buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
326.26,07-08-2018,12:00:00,326.26,Sell,AARTIIND,,304.15,,,,,,,,,,324.25,12:00:00,-1708.5,Stoploss Hit,,322.24,320.23,318.22,316.21,314.2,312.19,310.18,308.17,306.16,2.01,850,Tue,Aug,11423.15,11387.1,Up,00:00:00
344,10-08-2018,10:13:00,344,Sell,AARTIIND,,331.99,,,,,,,,,,350.39,10:45:00,5431.5,Stoploss Hit,Breakeven,348.55,346.71,344.87,343.03,341.19,339.35,337.51,335.67,333.83,1.84,850,Fri,Aug,11493.25,11450,Up,1899-12-29 23:28:00
347.5,23-08-2018,14:30:00,347.5,Sell,AARTIIND,,342,,,,,,,,,,347.5,10:12:00,0,Stoploss Hit,Breakeven,346.95,346.4,345.85,345.3,344.75,344.2,343.65,343.1,342.55,0.55,850,Thu,Aug,11620.7,11570.9,Up,04:18:00
349.3,24-08-2018,15:08:00,349.3,Sell,AARTIIND,,327.85,,,,,,,,,,347.35,10:02:00,-1657.5,Stoploss Hit,,345.4,343.45,341.5,339.55,337.6,335.65,333.7,331.75,329.8,1.95,850,Fri,Aug,11694.75,11691.9,Up,05:06:00
333.84,27-08-2018,12:19:00,333.84,Sell,AARTIIND,,324.54,,,,,,,,,,343.14,11:02:00,7905,Stoploss Hit,1to5 Trail,341.28,339.42,337.56,335.7,333.84,331.98,330.12,328.26,326.4,1.86,850,Mon,Aug,11605.85,11557.1,Up,01:17:00
328.4,29-08-2018,10:22:00,328.4,Sell,AARTIIND,,315.75,,,,,,,,,,327.25,10:16:00,-977.5,Stoploss Hit,,326.1,324.95,323.8,322.65,321.5,320.35,319.2,318.05,316.9,1.15,850,Wed,Aug,11751.8,11680.5,Up,00:06:00
329.51,30-08-2018,11:08:00,333.22,Buy,AARTIIND,0.53,334.81,330.04,330.57,331.1,331.63,332.16,332.69,333.22,333.75,334.28,333.22,11:12:00,3153.5,Stoploss Hit,1to7 trail,,,,,,,,,,,850,Thu,Aug,11598.75,11582.35,Up,00:04:00
338.52,07-09-2018,10:04:00,338,Buy,AARTIIND,0.52,343.72,339.04,339.56,340.08,340.6,341.12,341.64,342.16,342.68,343.2,338,10:05:00,-442,Stoploss Hit,,,,,,,,,,,,850,Fri,Sep,11558.25,11536.9,Up,00:01:00
327,19-09-2018,14:22:00,327,Sell,AARTIIND,,326.25,,,,,,,,,,328.75,14:17:00,1487.5,Stoploss Hit,1to7 Trail,328.5,328.25,328,327.75,327.5,327.25,327,326.75,326.5,0.25,850,Wed,Sep,11326.65,11278.9,Up,00:05:00
331.66,21-09-2018,09:59:00,331.66,Sell,AARTIIND,,327.26,,,,,,,,,,331.26,09:59:00,-340,Stoploss Hit,,330.86,330.46,330.06,329.66,329.26,328.86,328.46,328.06,327.66,0.4,850,Fri,Sep,11164.4,11143.1,Up,00:00:00
316.32,24-09-2018,10:43:00,316.32,Sell,AARTIIND,,301.11,,,,,,,,,,318.01,10:34:00,1436.5,Stoploss Hit,1to1 Trail,316.32,314.63,312.94,311.25,309.56,307.87,306.18,304.49,302.8,1.69,850,Mon,Sep,11164.4,11143.1,Up,00:09:00
305.9,26-09-2018,10:11:00,305.9,Sell,AARTIIND,,305.75,,,,,,,,,,306.25,09:58:00,297.5,Stoploss Hit,1to7 Trail,306.2,306.15,306.1,306.05,306,305.95,305.9,305.85,305.8,0.05,850,Wed,Sep,11008.1,10977.55,Up,00:13:00
297.39,27-09-2018,10:22:00,297.39,Sell,AARTIIND,,293.97,,,,,,,,,,297.77,09:56:00,323,Stoploss Hit,1to1 Trail,297.39,297.01,296.63,296.25,295.87,295.49,295.11,294.73,294.35,0.38,850,Thu,Sep,11079.8,11053.8,Up,00:26:00
