buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1209.95,2018-08-03,11:35:00,1209.95,Sell,ABB,,1166.5,,,,,,,,,,1206.0,11:27:00,-987.5,Stoploss Hit,,1202.05,1198.1,1194.15,1190.2,1186.25,1182.3,1178.35,1174.4,1170.45,3.95,250,Fri,Aug,11401.5,11360.8,Up,00:08:00
1208.0,2018-08-06,10:59:00,1208.0,Sell,ABB,,1186.0,,,,,,,,,,1206.0,10:13:00,-500.0,Stoploss Hit,,1204.0,1202.0,1200.0,1198.0,1196.0,1194.0,1192.0,1190.0,1188.0,2.0,250,Mon,Aug,11423.15,11387.1,Up,00:46:00
1212.5,2018-08-09,10:10:00,1212.5,Sell,ABB,,1117.35,,,,,,,,,,1203.85,10:10:00,-2162.5,Stoploss Hit,,1195.2,1186.55,1177.9,1169.25,1160.6,1151.95,1143.3,1134.65,1126.0,8.65,250,Thu,Aug,11493.25,11450.0,Up,00:00:00
1212.45,2018-08-10,10:22:00,1209.95,Buy,ABB,2.5,1237.45,1214.95,1217.45,1219.95,1222.45,1224.95,1227.45,1229.95,1232.45,1234.95,1209.95,10:22:00,-625.0,Stoploss Hit,,,,,,,,,,,,250,Fri,Aug,11369.6,11429.5,Down,00:00:00
1198.0,2018-08-13,09:46:00,1198.0,Sell,ABB,,1133.1,,,,,,,,,,1192.1,12:25:00,-1475.0,Stoploss Hit,,1186.2,1180.3,1174.4,1168.5,1162.6,1156.7,1150.8,1144.9,1139.0,5.9,250,Mon,Aug,11381.7,11355.75,Up,1899-12-29 21:21:00
1258.6,2018-09-05,14:16:00,1258.6,Sell,ABB,,1205.8,,,,,,,,,,1253.8,13:00:00,-1200.0,Stoploss Hit,,1249.0,1244.2,1239.4,1234.6,1229.8,1225.0,1220.2,1215.4,1210.6,4.8,250,Wed,Sep,11514.85,11520.3,Down,01:16:00
1280.75,2018-09-06,09:55:00,1280.75,Buy,ABB,2.75,1308.25,1283.5,1286.25,1289.0,1291.75,1294.5,1297.25,1300.0,1302.75,1305.5,1280.75,10:29:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,250,Thu,Sep,11514.15,11476.95,Up,00:34:00
1443.95,2018-09-19,09:50:00,1443.95,Sell,ABB,,1420.85,,,,,,,,,,1441.85,09:50:00,-525.0,Stoploss Hit,,1439.75,1437.65,1435.55,1433.45,1431.35,1429.25,1427.15,1425.05,1422.95,2.1,250,Wed,Sep,11326.65,11278.9,Up,00:00:00
1367.95,2018-10-10,10:01:00,1363.35,Buy,ABB,4.6,1413.95,1372.55,1377.15,1381.75,1386.35,1390.95,1395.55,1400.15,1404.75,1409.35,1363.35,10:03:00,-1150.0,Stoploss Hit,,,,,,,,,,,,250,Wed,Oct,10390.3,10348.05,Up,00:02:00
1325.0,2018-10-12,11:17:00,1322.0,Buy,ABB,3.0,1355.0,1328.0,1331.0,1334.0,1337.0,1340.0,1343.0,1346.0,1349.0,1352.0,1322.0,11:28:00,-750.0,Stoploss Hit,,,,,,,,,,,,250,Fri,Oct,10550.15,10512.5,Up,00:11:00
