buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
7749.0,2018-08-02,11:31:00,7791.0,Buy,ABBOTINDIA,14.0,7889.0,7763.0,7777.0,7791.0,7805.0,7819.0,7833.0,7847.0,7861.0,7875.0,7791.0,13:01:00,1680.0,Stoploss Hit,1to3 trail,,,,,,,,,,,40,Thu,Aug,11297.8,11244.7,Up,01:30:00
8075.0,2018-08-06,15:05:00,8075.0,Sell,ABBOTINDIA,,7941.5,,,,,,,,,,8075.0,13:20:00,0.0,Stoploss Hit,Breakeven,8061.65,8048.3,8034.95,8021.6,8008.25,7994.9,7981.55,7968.2,7954.85,13.35,40,Mon,Aug,11423.15,11387.1,Up,01:45:00
7982.1,2018-08-09,13:49:00,7982.1,Sell,ABBOTINDIA,,7794.0,,,,,,,,,,7965.0,13:45:00,-684.0,Stoploss Hit,,7947.9,7930.8,7913.7,7896.6,7879.5,7862.4,7845.3,7828.2,7811.1,17.1,40,Thu,Aug,11369.6,11429.5,Down,00:04:00
7879.0,2018-08-10,11:50:00,7879.0,Sell,ABBOTINDIA,,7586.95,,,,,,,,,,7852.45,11:14:00,-1062.0,Stoploss Hit,,7825.9,7799.35,7772.8,7746.25,7719.7,7693.15,7666.6,7640.05,7613.5,26.55,40,Fri,Aug,11397.15,11435.1,Down,00:36:00
7909.0,2018-08-21,09:48:00,7849.75,Buy,ABBOTINDIA,59.25,8501.5,7968.25,8027.5,8086.75,8146.0,8205.25,8264.5,8323.75,8383.0,8442.25,7849.75,14:35:00,-2370.0,Stoploss Hit,,,,,,,,,,,,40,Tue,Aug,11566.6,11582.75,Down,04:47:00
7681.65,2018-08-24,09:50:00,7582.95,Buy,ABBOTINDIA,98.7,8668.65,7780.35,7879.05,7977.75,8076.45,8175.15,8273.85,8372.55,8471.25,8569.95,7582.95,11:07:00,-3948.0,Stoploss Hit,,,,,,,,,,,,40,Fri,Aug,11605.85,11557.1,Up,01:17:00
7963.3,2018-08-28,10:09:00,7963.3,Buy,ABBOTINDIA,33.3,8296.3,7996.6,8029.9,8063.2,8096.5,8129.8,8163.1,8196.4,8229.7,8263.0,7963.3,10:21:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,40,Tue,Aug,11731.95,11691.95,Up,00:12:00
8100.8,2018-09-04,14:37:00,8100.8,Sell,ABBOTINDIA,,8034.6,,,,,,,,,,8200.1,14:14:00,3972.0,Stoploss Hit,1to6 Trail,8183.55,8167.0,8150.45,8133.9,8117.35,8100.8,8084.25,8067.7,8051.15,16.55,40,Tue,Sep,11514.85,11520.3,Down,00:23:00
8340.1,2018-09-06,10:01:00,8292.0,Buy,ABBOTINDIA,48.1,8821.1,8388.2,8436.3,8484.4,8532.5,8580.6,8628.7,8676.8,8724.9,8773.0,8292.0,10:11:00,-1924.0,Stoploss Hit,,,,,,,,,,,,40,Thu,Sep,11514.85,11520.3,Down,00:10:00
8360.0,2018-09-12,13:58:00,8405.15,Buy,ABBOTINDIA,15.05,8510.5,8375.05,8390.1,8405.15,8420.2,8435.25,8450.3,8465.35,8480.4,8495.45,8405.15,14:32:00,1806.0,Stoploss Hit,1to3 trail,,,,,,,,,,,40,Wed,Sep,11443.5,11369.9,Up,00:34:00
8430.6,2018-09-17,09:53:00,8412.0,Buy,ABBOTINDIA,18.6,8616.6,8449.2,8467.8,8486.4,8505.0,8523.6,8542.2,8560.8,8579.4,8598.0,8412.0,11:30:00,-744.0,Stoploss Hit,,,,,,,,,,,,40,Mon,Sep,11464.95,11515.2,Down,01:37:00
8432.45,2018-09-18,10:33:00,8432.45,Sell,ABBOTINDIA,,8075.5,,,,,,,,,,8400.0,09:47:00,-1298.0,Stoploss Hit,,8367.55,8335.1,8302.65,8270.2,8237.75,8205.3,8172.85,8140.4,8107.95,32.45,40,Tue,Sep,10740.1,10763.4,Down,00:46:00
