buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
133.1,2018-09-11,14:34:00,133.1,Sell,ABCAPITAL,,132.65,,,,,,,,,,134.15,13:45:00,5670.0,Stoploss Hit,1to7 Trail,134.0,133.85,133.7,133.55,133.4,133.25,133.1,132.95,132.8,0.15,5400,Tue,Sep,11297.8,11244.7,Up,00:49:00
130.8,2018-09-12,10:13:00,130.8,Sell,ABCAPITAL,,126.8,,,,,,,,,,130.8,10:03:00,0.0,Stoploss Hit,Breakeven,130.4,130.0,129.6,129.2,128.8,128.4,128.0,127.6,127.2,0.4,5400,Wed,Sep,11401.5,11360.8,Up,00:10:00
118.25,2018-09-24,10:17:00,118.25,Sell,ABCAPITAL,,117.5,,,,,,,,,,120.0,10:04:00,9450.0,Stoploss Hit,1to7 Trail,119.75,119.5,119.25,119.0,118.75,118.5,118.25,118.0,117.75,0.25,5400,Mon,Sep,11576.2,11551.75,Up,00:13:00
119.5,2018-09-26,11:30:00,119.5,Sell,ABCAPITAL,,114.5,,,,,,,,,,119.5,10:02:00,0.0,Stoploss Hit,Breakeven,119.0,118.5,118.0,117.5,117.0,116.5,116.0,115.5,115.0,0.5,5400,Wed,Sep,11502.1,11470.75,Up,01:28:00
114.8,2018-09-27,09:46:00,114.8,Sell,ABCAPITAL,,113.15,,,,,,,,,,118.65,09:47:00,20790.0,Stoploss Hit,1to7 Trail,118.1,117.55,117.0,116.45,115.9,115.35,114.8,114.25,113.7,0.55,5400,Thu,Sep,10331.55,10234.65,Up,1899-12-29 23:59:00
115.85,2018-11-19,10:07:00,115.15,Buy,ABCAPITAL,0.7,122.85,116.55,117.25,117.95,118.65,119.35,120.05,120.75,121.45,122.15,115.15,11:32:00,-3780.0,Stoploss Hit,,,,,,,,,,,,5400,Mon,Nov,10331.55,10234.65,Up,01:25:00
98.75,2018-12-28,10:17:00,98.75,Buy,ABCAPITAL,0.15,100.25,98.9,99.05,99.2,99.35,99.5,99.65,99.8,99.95,100.1,98.75,10:21:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,5400,Fri,Dec,10451.9,10482.2,Down,00:04:00
100.0,2019-01-01,10:01:00,100.0,Sell,ABCAPITAL,,99.1,,,,,,,,,,100.1,09:56:00,540.0,Stoploss Hit,1to1 Trail,100.0,99.9,99.8,99.7,99.6,99.5,99.4,99.3,99.2,0.1,5400,Tue,Jan,10740.1,10763.4,Down,00:05:00
101.0,2019-01-02,09:48:00,100.5,Buy,ABCAPITAL,0.5,106.0,101.5,102.0,102.5,103.0,103.5,104.0,104.5,105.0,105.5,100.5,11:24:00,-2700.0,Stoploss Hit,,,,,,,,,,,,5400,Wed,Jan,10740.1,10763.4,Down,01:36:00
98.45,2019-01-07,12:04:00,98.45,Sell,ABCAPITAL,,96.25,,,,,,,,,,98.25,10:27:00,-1080.0,Stoploss Hit,,98.05,97.85,97.65,97.45,97.25,97.05,96.85,96.65,96.45,0.2,5400,Mon,Jan,10731.25,10682.2,Up,01:37:00
