buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
183.0,2018-08-14,10:04:00,191.4,Buy,ABFRL,1.4,197.0,184.4,185.8,187.2,188.6,190.0,191.4,192.8,194.2,195.6,194.5,15:00:00,29900.0,Market Exit,1to6 trail,,,,,,,,,,,2600,Tue,Aug,11328.9,11346.2,Down,04:56:00
190.4,2018-08-23,10:12:00,190.4,Sell,ABFRL,,185.4,,,,,,,,,,190.4,09:46:00,0.0,Stoploss Hit,Breakeven,189.9,189.4,188.9,188.4,187.9,187.4,186.9,186.4,185.9,0.5,2600,Thu,Aug,11474.95,11470.7,Up,00:26:00
207.2,2018-08-28,11:54:00,207.2,Sell,ABFRL,,196.75,,,,,,,,,,206.25,10:09:00,-2470.0,Stoploss Hit,,205.3,204.35,203.4,202.45,201.5,200.55,199.6,198.65,197.7,0.95,2600,Tue,Aug,11397.15,11435.1,Down,01:45:00
199.9,2018-08-31,09:46:00,198.3,Buy,ABFRL,1.6,215.9,201.5,203.1,204.7,206.3,207.9,209.5,211.1,212.7,214.3,198.3,10:05:00,-4160.0,Stoploss Hit,,,,,,,,,,,,2600,Fri,Aug,11576.2,11551.75,Up,00:19:00
192.75,2018-09-07,13:53:00,192.75,Sell,ABFRL,,169.55,,,,,,,,,,199.05,13:16:00,16380.0,Stoploss Hit,Breakeven,196.1,193.15,190.2,187.25,184.3,181.35,178.4,175.45,172.5,2.95,2600,Fri,Sep,11558.25,11536.9,Up,00:37:00
189.25,2018-09-21,10:03:00,189.25,Sell,ABFRL,,187.5,,,,,,,,,,190.0,10:01:00,1950.0,Stoploss Hit,1to3 Trail,189.75,189.5,189.25,189.0,188.75,188.5,188.25,188.0,187.75,0.25,2600,Fri,Sep,11558.25,11536.9,Up,00:02:00
177.65,2018-10-04,11:41:00,177.65,Sell,ABFRL,,168.3,,,,,,,,,,176.8,11:35:00,-2210.0,Stoploss Hit,,175.95,175.1,174.25,173.4,172.55,171.7,170.85,170.0,169.15,0.85,2600,Thu,Oct,11164.4,11143.1,Up,00:06:00
173.85,2018-10-11,10:24:00,173.85,Buy,ABFRL,0.65,180.35,174.5,175.15,175.8,176.45,177.1,177.75,178.4,179.05,179.7,173.85,10:30:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2600,Thu,Oct,11145.55,11067.45,Up,00:06:00
181.9,2018-10-19,14:01:00,181.9,Sell,ABFRL,,173.1,,,,,,,,,,181.1,13:45:00,-2080.0,Stoploss Hit,,180.3,179.5,178.7,177.9,177.1,176.3,175.5,174.7,173.9,0.8,2600,Fri,Oct,10390.3,10348.05,Up,00:16:00
177.5,2018-10-23,10:18:00,176.9,Buy,ABFRL,0.6,183.5,178.1,178.7,179.3,179.9,180.5,181.1,181.7,182.3,182.9,176.9,10:23:00,-1560.0,Stoploss Hit,,,,,,,,,,,,2600,Tue,Oct,10524.2,10472.5,Up,00:05:00
173.7,2018-10-26,10:13:00,173.05,Buy,ABFRL,0.65,180.2,174.35,175.0,175.65,176.3,176.95,177.6,178.25,178.9,179.55,173.05,10:15:00,-1690.0,Stoploss Hit,,,,,,,,,,,,2600,Fri,Oct,10122.35,10124.9,Down,00:02:00
177.55,2018-10-29,10:46:00,177.55,Sell,ABFRL,,167.1,,,,,,,,,,176.6,10:20:00,-2470.0,Stoploss Hit,,175.65,174.7,173.75,172.8,171.85,170.9,169.95,169.0,168.05,0.95,2600,Mon,Oct,10339.7,10453.05,Down,00:26:00
179.45,2018-10-31,11:19:00,179.45,Sell,ABFRL,,174.45,,,,,,,,,,179.45,09:46:00,0.0,Stoploss Hit,Breakeven,178.95,178.45,177.95,177.45,176.95,176.45,175.95,175.45,174.95,0.5,2600,Wed,Oct,10152.6,10245.25,Down,01:33:00
186.9,2018-11-21,10:43:00,186.9,Sell,ABFRL,,180.9,,,,,,,,,,186.9,09:56:00,0.0,Stoploss Hit,Breakeven,186.3,185.7,185.1,184.5,183.9,183.3,182.7,182.1,181.5,0.6,2600,Wed,Nov,10614.7,10598.4,Up,00:47:00
183.75,2018-11-30,12:51:00,183.75,Sell,ABFRL,,182.75,,,,,,,,,,185.25,12:50:00,3900.0,Stoploss Hit,1to6 Trail,185.0,184.75,184.5,184.25,184.0,183.75,183.5,183.25,183.0,0.25,2600,Fri,Nov,10892.1,10858.7,Up,00:01:00
184.4,2018-12-04,09:55:00,184.4,Sell,ABFRL,,183.9,,,,,,,,,,184.9,09:53:00,1300.0,Stoploss Hit,1to5 Trail,184.8,184.7,184.6,184.5,184.4,184.3,184.2,184.1,184.0,0.1,2600,Tue,Dec,10670.95,10656.2,Up,00:02:00
178.65,2018-12-10,11:03:00,178.05,Buy,ABFRL,0.6,184.65,179.25,179.85,180.45,181.05,181.65,182.25,182.85,183.45,184.05,178.05,11:05:00,-1560.0,Stoploss Hit,,,,,,,,,,,,2600,Mon,Dec,10718.15,10782.9,Down,00:02:00
181.0,2018-12-11,09:52:00,182.5,Buy,ABFRL,0.5,186.0,181.5,182.0,182.5,183.0,183.5,184.0,184.5,185.0,185.5,182.5,10:26:00,3900.0,Stoploss Hit,1to3 trail,,,,,,,,,,,2600,Tue,Dec,10930.7,10876.75,Up,00:34:00
202.45,2018-12-13,10:45:00,202.45,Buy,ABFRL,1.05,212.95,203.5,204.55,205.6,206.65,207.7,208.75,209.8,210.85,211.9,202.45,11:38:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2600,Thu,Dec,10718.15,10782.9,Down,00:53:00
200.85,2018-12-17,10:18:00,200.85,Sell,ABFRL,,194.25,,,,,,,,,,200.25,10:00:00,-1560.0,Stoploss Hit,,199.65,199.05,198.45,197.85,197.25,196.65,196.05,195.45,194.85,0.6,2600,Mon,Dec,10591.0,10549.15,Up,00:18:00
204.4,2018-12-20,09:59:00,203.65,Buy,ABFRL,0.75,211.9,205.15,205.9,206.65,207.4,208.15,208.9,209.65,210.4,211.15,203.65,10:18:00,-1950.0,Stoploss Hit,,,,,,,,,,,,2600,Thu,Dec,10853.2,10805.45,Up,00:19:00
208.8,2018-12-24,12:17:00,208.8,Buy,ABFRL,0.8,216.8,209.6,210.4,211.2,212.0,212.8,213.6,214.4,215.2,216.0,208.8,13:10:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2600,Mon,Dec,10780.9,10754.0,Up,00:53:00
212.5,2018-12-27,09:50:00,211.0,Buy,ABFRL,1.5,227.5,214.0,215.5,217.0,218.5,220.0,221.5,223.0,224.5,226.0,211.0,10:03:00,-3900.0,Stoploss Hit,,,,,,,,,,,,2600,Thu,Dec,10885.2,10967.3,Down,00:13:00
206.9,2018-12-28,12:03:00,206.9,Sell,ABFRL,,197.0,,,,,,,,,,206.0,11:57:00,-2340.0,Stoploss Hit,,205.1,204.2,203.3,202.4,201.5,200.6,199.7,198.8,197.9,0.9,2600,Fri,Dec,10784.5,10791.55,Down,00:06:00
201.6,2019-01-07,09:50:00,201.4,Buy,ABFRL,0.2,203.6,201.8,202.0,202.2,202.4,202.6,202.8,203.0,203.2,203.4,201.4,09:52:00,-520.0,Stoploss Hit,,,,,,,,,,,,2600,Mon,Jan,10868.85,10910.1,Down,00:02:00
208.4,2019-01-09,10:44:00,208.4,Sell,ABFRL,,204.4,,,,,,,,,,208.4,10:06:00,0.0,Stoploss Hit,Breakeven,208.0,207.6,207.2,206.8,206.4,206.0,205.6,205.2,204.8,0.4,2600,Wed,Jan,10786.25,10771.8,Up,00:38:00
208.55,2019-01-11,14:53:00,208.55,Sell,ABFRL,,204.05,,,,,,,,,,211.55,10:10:00,7800.0,Stoploss Hit,1to4 Trail,210.8,210.05,209.3,208.55,207.8,207.05,206.3,205.55,204.8,0.75,2600,Fri,Jan,10786.25,10771.8,Up,04:43:00
212.6,2019-01-15,10:08:00,212.6,Sell,ABFRL,,210.35,,,,,,,,,,214.85,09:52:00,5850.0,Stoploss Hit,1to5 Trail,214.4,213.95,213.5,213.05,212.6,212.15,211.7,211.25,210.8,0.45,2600,Tue,Jan,10786.25,10771.8,Up,00:16:00
206.0,2019-01-16,10:32:00,206.0,Sell,ABFRL,,203.3,,,,,,,,,,207.8,10:02:00,4680.0,Stoploss Hit,1to4 Trail,207.35,206.9,206.45,206.0,205.55,205.1,204.65,204.2,203.75,0.45,2600,Wed,Jan,10862.4,10802.15,Up,00:30:00
203.5,2019-01-18,10:14:00,201.75,Buy,ABFRL,1.75,221.0,205.25,207.0,208.75,210.5,212.25,214.0,215.75,217.5,219.25,201.75,10:14:00,-4550.0,Stoploss Hit,,,,,,,,,,,,2600,Fri,Jan,10899.65,10886.8,Up,00:00:00
