buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1535.35,2018-08-08,09:52:00,1535.35,Buy,ACC,2.75,1562.85,1538.1,1540.85,1543.6,1546.35,1549.1,1551.85,1554.6,1557.35,1560.1,1538.4,15:00:00,762.5,Market Exit,Breakeven,,,,,,,,,,,250,Wed,Aug,11412.5,11389.45,Up,05:08:00
1531.95,2018-08-13,14:57:00,1531.95,Sell,ACC,,1447.8,,,,,,,,,,1524.3,09:48:00,-1912.5,Stoploss Hit,,1516.65,1509.0,1501.35,1493.7,1486.05,1478.4,1470.75,1463.1,1455.45,7.65,250,Mon,Aug,11381.7,11355.75,Up,05:09:00
1566.0,2018-08-17,09:52:00,1566.0,Sell,ACC,,1489.0,,,,,,,,,,1559.0,09:52:00,-1750.0,Stoploss Hit,,1552.0,1545.0,1538.0,1531.0,1524.0,1517.0,1510.0,1503.0,1496.0,7.0,250,Fri,Aug,10169.8,10460.1,Down,00:00:00
1596.6,2018-08-20,11:14:00,1596.6,Sell,ACC,,1579.0,,,,,,,,,,1601.0,11:13:00,1100.0,Stoploss Hit,1to2 Trail,1598.8,1596.6,1594.4,1592.2,1590.0,1587.8,1585.6,1583.4,1581.2,2.2,250,Mon,Aug,11502.1,11470.75,Up,00:01:00
1616.0,2018-08-29,10:32:00,1616.0,Sell,ACC,,1563.2,,,,,,,,,,1611.2,10:22:00,-1200.0,Stoploss Hit,,1606.4,1601.6,1596.8,1592.0,1587.2,1582.4,1577.6,1572.8,1568.0,4.8,250,Wed,Aug,11731.95,11691.95,Up,00:10:00
1641.65,2018-08-31,09:46:00,1636.0,Buy,ACC,5.65,1698.15,1647.3,1652.95,1658.6,1664.25,1669.9,1675.55,1681.2,1686.85,1692.5,1636.0,10:25:00,-1412.5,Stoploss Hit,,,,,,,,,,,,250,Fri,Aug,11675.85,11676.8,Down,00:39:00
1560.0,2018-09-06,14:19:00,1560.0,Sell,ACC,,1510.5,,,,,,,,,,1560.0,11:16:00,0.0,Stoploss Hit,Breakeven,1555.05,1550.1,1545.15,1540.2,1535.25,1530.3,1525.35,1520.4,1515.45,4.95,250,Thu,Sep,11570.25,11589.1,Down,03:03:00
1562.0,2018-09-07,10:54:00,1559.55,Buy,ACC,2.45,1586.5,1564.45,1566.9,1569.35,1571.8,1574.25,1576.7,1579.15,1581.6,1584.05,1559.55,11:00:00,-612.5,Stoploss Hit,,,,,,,,,,,,250,Fri,Sep,11558.25,11536.9,Up,00:06:00
1579.2,2018-09-14,10:35:00,1588.8,Buy,ACC,4.8,1627.2,1584.0,1588.8,1593.6,1598.4,1603.2,1608.0,1612.8,1617.6,1622.4,1598.25,15:00:00,4762.5,Market Exit,1to2 trail,,,,,,,,,,,250,Fri,Sep,11476.85,11438.1,Up,04:25:00
1535.9,2018-09-21,13:13:00,1535.9,Sell,ACC,,1523.0,,,,,,,,,,1566.0,09:48:00,7525.0,Stoploss Hit,1to7 Trail,1561.7,1557.4,1553.1,1548.8,1544.5,1540.2,1535.9,1531.6,1527.3,4.3,250,Fri,Sep,11145.55,11067.45,Up,03:25:00
1429.55,2018-10-22,10:02:00,1420.5,Buy,ACC,9.05,1520.05,1438.6,1447.65,1456.7,1465.75,1474.8,1483.85,1492.9,1501.95,1511.0,1420.5,10:25:00,-2262.5,Stoploss Hit,,,,,,,,,,,,250,Mon,Oct,10405.85,10303.55,Up,00:23:00
1349.2,2018-10-29,10:41:00,1349.2,Sell,ACC,,1303.55,,,,,,,,,,1345.05,10:04:00,-1037.5,Stoploss Hit,,1340.9,1336.75,1332.6,1328.45,1324.3,1320.15,1316.0,1311.85,1307.7,4.15,250,Mon,Oct,10239.4,10250.85,Down,00:37:00
1426.95,2018-11-05,11:33:00,1426.95,Sell,ACC,,1414.7,,,,,,,,,,1432.2,11:00:00,1312.5,Stoploss Hit,1to3 Trail,1430.45,1428.7,1426.95,1425.2,1423.45,1421.7,1419.95,1418.2,1416.45,1.75,250,Mon,Nov,10462.3,10380.45,Up,00:33:00
1491.0,2018-11-20,11:08:00,1487.0,Buy,ACC,4.0,1531.0,1495.0,1499.0,1503.0,1507.0,1511.0,1515.0,1519.0,1523.0,1527.0,1487.0,11:17:00,-1000.0,Stoploss Hit,,,,,,,,,,,,250,Tue,Nov,10740.1,10763.4,Down,00:09:00
