buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
138.1,2018-09-24,11:01:00,138.1,Sell,ADANIENT,,112.25,,,,,,,,,,135.75,09:49:00,-587.5,Stoploss Hit,,133.4,131.05,128.7,126.35,124.0,121.65,119.3,116.95,114.6,2.35,250,Mon,Sep,11359.8,11356.5,Up,01:12:00
138.85,2018-10-03,12:17:00,138.0,Buy,ADANIENT,0.85,147.35,139.7,140.55,141.4,142.25,143.1,143.95,144.8,145.65,146.5,138.0,12:19:00,-212.5,Stoploss Hit,,,,,,,,,,,,250,Wed,Oct,11412.5,11389.45,Up,00:02:00
132.2,2018-10-05,10:54:00,132.2,Sell,ADANIENT,,121.2,,,,,,,,,,131.2,10:04:00,-250.0,Stoploss Hit,,130.2,129.2,128.2,127.2,126.2,125.2,124.2,123.2,122.2,1.0,250,Fri,Oct,11369.6,11429.5,Down,00:50:00
133.3,2018-10-09,10:40:00,133.3,Sell,ADANIENT,,126.7,,,,,,,,,,132.7,10:35:00,-150.0,Stoploss Hit,,132.1,131.5,130.9,130.3,129.7,129.1,128.5,127.9,127.3,0.6,250,Tue,Oct,11381.7,11355.75,Up,00:05:00
138.0,2018-10-10,10:19:00,137.5,Buy,ADANIENT,0.5,143.0,138.5,139.0,139.5,140.0,140.5,141.0,141.5,142.0,142.5,137.5,10:22:00,-125.0,Stoploss Hit,,,,,,,,,,,,250,Wed,Oct,11397.15,11435.1,Down,00:03:00
145.0,2018-10-15,10:23:00,145.0,Sell,ADANIENT,,137.85,,,,,,,,,,144.35,10:15:00,-162.5,Stoploss Hit,,143.7,143.05,142.4,141.75,141.1,140.45,139.8,139.15,138.5,0.65,250,Mon,Oct,11576.2,11551.75,Up,00:08:00
155.0,2018-10-16,12:50:00,155.0,Buy,ADANIENT,1.35,168.5,156.35,157.7,159.05,160.4,161.75,163.1,164.45,165.8,167.15,158.4,15:00:00,850.0,Market Exit,Breakeven,,,,,,,,,,,250,Tue,Oct,10405.85,10303.55,Up,02:10:00
164.0,2018-10-19,10:03:00,163.0,Buy,ADANIENT,1.0,174.0,165.0,166.0,167.0,168.0,169.0,170.0,171.0,172.0,173.0,163.0,10:19:00,-250.0,Stoploss Hit,,,,,,,,,,,,250,Fri,Oct,11605.85,11557.1,Up,00:16:00
168.85,2018-10-23,12:27:00,168.85,Sell,ADANIENT,,152.35,,,,,,,,,,167.35,11:05:00,-375.0,Stoploss Hit,,165.85,164.35,162.85,161.35,159.85,158.35,156.85,155.35,153.85,1.5,250,Tue,Oct,11675.85,11676.8,Down,01:22:00
170.5,2018-11-01,10:03:00,170.5,Sell,ADANIENT,,165.0,,,,,,,,,,170.0,09:46:00,-125.0,Stoploss Hit,,169.5,169.0,168.5,168.0,167.5,167.0,166.5,166.0,165.5,0.5,250,Thu,Nov,11570.25,11589.1,Down,00:17:00
