buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
376.2,2018-08-13,10:02:00,376.2,Sell,ADANIPORTS,,367.4,,,,,,,,,,375.4,09:58:00,-500.0,Stoploss Hit,,374.6,373.8,373.0,372.2,371.4,370.6,369.8,369.0,368.2,0.8,625,Mon,Aug,11493.25,11450.0,Up,00:04:00
376.45,2018-08-14,10:15:00,376.45,Sell,ADANIPORTS,,367.1,,,,,,,,,,375.6,09:54:00,-531.25,Stoploss Hit,,374.75,373.9,373.05,372.2,371.35,370.5,369.65,368.8,367.95,0.85,625,Tue,Aug,11412.5,11389.45,Up,00:21:00
372.0,2018-08-16,10:30:00,370.3,Buy,ADANIPORTS,1.7,389.0,373.7,375.4,377.1,378.8,380.5,382.2,383.9,385.6,387.3,370.3,13:14:00,-1062.5,Stoploss Hit,,,,,,,,,,,,625,Thu,Aug,11474.95,11470.7,Up,02:44:00
378.5,2018-08-21,10:13:00,378.5,Sell,ADANIPORTS,,372.0,,,,,,,,,,378.5,09:47:00,0.0,Stoploss Hit,Breakeven,377.85,377.2,376.55,375.9,375.25,374.6,373.95,373.3,372.65,0.65,625,Tue,Aug,11570.25,11589.1,Down,00:26:00
379.7,2018-08-23,12:25:00,379.7,Buy,ADANIPORTS,1.45,394.2,381.15,382.6,384.05,385.5,386.95,388.4,389.85,391.3,392.75,382.4,15:00:00,1687.5,Market Exit,Breakeven,,,,,,,,,,,625,Thu,Aug,11437.15,11385.05,Up,02:35:00
379.55,2018-08-24,10:13:00,379.55,Sell,ADANIPORTS,,368.05,,,,,,,,,,379.55,12:10:00,0.0,Stoploss Hit,Breakeven,378.4,377.25,376.1,374.95,373.8,372.65,371.5,370.35,369.2,1.15,625,Fri,Aug,11502.1,11470.75,Up,1899-12-29 22:03:00
382.8,2018-08-30,10:52:00,382.8,Sell,ADANIPORTS,,372.3,,,,,,,,,,382.8,09:50:00,0.0,Stoploss Hit,Breakeven,381.75,380.7,379.65,378.6,377.55,376.5,375.45,374.4,373.35,1.05,625,Thu,Aug,11620.7,11570.9,Up,01:02:00
381.5,2018-09-06,10:55:00,379.5,Buy,ADANIPORTS,2.0,401.5,383.5,385.5,387.5,389.5,391.5,393.5,395.5,397.5,399.5,379.5,11:00:00,-1250.0,Stoploss Hit,,,,,,,,,,,,625,Thu,Sep,11514.85,11520.3,Down,00:05:00
380.8,2018-09-10,11:39:00,379.25,Buy,ADANIPORTS,1.55,396.3,382.35,383.9,385.45,387.0,388.55,390.1,391.65,393.2,394.75,379.25,12:01:00,-968.75,Stoploss Hit,,,,,,,,,,,,625,Mon,Sep,11570.25,11589.1,Down,00:22:00
371.9,2018-09-12,10:31:00,371.0,Buy,ADANIPORTS,0.9,380.9,372.8,373.7,374.6,375.5,376.4,377.3,378.2,379.1,380.0,371.0,10:47:00,-562.5,Stoploss Hit,,,,,,,,,,,,625,Wed,Sep,11514.15,11476.95,Up,00:16:00
357.7,2018-09-24,10:22:00,357.7,Sell,ADANIPORTS,,335.15,,,,,,,,,,355.65,09:51:00,-1281.25,Stoploss Hit,,353.6,351.55,349.5,347.45,345.4,343.35,341.3,339.25,337.2,2.05,625,Mon,Sep,11443.5,11369.9,Up,00:31:00
346.9,2018-09-25,09:56:00,345.4,Buy,ADANIPORTS,1.5,361.9,348.4,349.9,351.4,352.9,354.4,355.9,357.4,358.9,360.4,345.4,10:08:00,-937.5,Stoploss Hit,,,,,,,,,,,,625,Tue,Sep,11464.95,11515.2,Down,00:12:00
333.95,2018-10-03,10:00:00,332.5,Buy,ADANIPORTS,1.45,348.45,335.4,336.85,338.3,339.75,341.2,342.65,344.1,345.55,347.0,332.5,10:52:00,-906.25,Stoploss Hit,,,,,,,,,,,,625,Wed,Oct,11079.8,11053.8,Up,00:52:00
309.45,2018-10-05,12:34:00,309.45,Sell,ADANIPORTS,,288.95,,,,,,,,,,309.45,10:04:00,0.0,Stoploss Hit,Breakeven,307.4,305.35,303.3,301.25,299.2,297.15,295.1,293.05,291.0,2.05,625,Fri,Oct,10930.9,10930.45,Up,02:30:00
317.35,2018-10-23,12:27:00,317.35,Sell,ADANIPORTS,,295.9,,,,,,,,,,315.4,11:04:00,-1218.75,Stoploss Hit,,313.45,311.5,309.55,307.6,305.65,303.7,301.75,299.8,297.85,1.95,625,Tue,Oct,10152.6,10245.25,Down,01:23:00
304.2,2018-10-26,10:46:00,304.2,Sell,ADANIPORTS,,293.2,,,,,,,,,,303.2,10:41:00,-625.0,Stoploss Hit,,302.2,301.2,300.2,299.2,298.2,297.2,296.2,295.2,294.2,1.0,625,Fri,Oct,10278.15,10146.8,Up,00:05:00
347.5,2018-11-16,10:01:00,347.5,Buy,ADANIPORTS,1.05,358.0,348.55,349.6,350.65,351.7,352.75,353.8,354.85,355.9,356.95,347.5,10:59:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,625,Fri,Nov,10644.0,10616.7,Up,00:58:00
356.9,2018-11-21,09:50:00,354.6,Buy,ADANIPORTS,2.3,379.9,359.2,361.5,363.8,366.1,368.4,370.7,373.0,375.3,377.6,354.6,11:40:00,-1437.5,Stoploss Hit,,,,,,,,,,,,625,Wed,Nov,10670.95,10656.2,Up,01:50:00
368.5,2018-11-26,14:21:00,366.35,Buy,ADANIPORTS,2.15,390.0,370.65,372.8,374.95,377.1,379.25,381.4,383.55,385.7,387.85,368.65,15:00:00,93.75,Market Exit,,,,,,,,,,,,625,Mon,Nov,10350.05,10488.45,Down,00:39:00
364.35,2018-11-29,10:16:00,364.35,Sell,ADANIPORTS,,352.8,,,,,,,,,,363.3,10:15:00,-656.25,Stoploss Hit,,362.25,361.2,360.15,359.1,358.05,357.0,355.95,354.9,353.85,1.05,625,Thu,Nov,10877.1,10883.75,Down,00:01:00
375.0,2018-12-04,10:19:00,373.85,Buy,ADANIPORTS,1.15,386.5,376.15,377.3,378.45,379.6,380.75,381.9,383.05,384.2,385.35,373.85,10:21:00,-718.75,Stoploss Hit,,,,,,,,,,,,625,Tue,Dec,10877.1,10883.75,Down,00:02:00
375.0,2018-12-06,09:47:00,374.5,Buy,ADANIPORTS,0.5,380.0,375.5,376.0,376.5,377.0,377.5,378.0,378.5,379.0,379.5,374.5,09:50:00,-312.5,Stoploss Hit,,,,,,,,,,,,625,Thu,Dec,10820.45,10869.5,Down,00:03:00
360.5,2018-12-12,09:50:00,370.4,Buy,ADANIPORTS,1.65,377.0,362.15,363.8,365.45,367.1,368.75,370.4,372.05,373.7,375.35,373.65,15:00:00,8218.75,Market Exit,1to6 trail,,,,,,,,,,,625,Wed,Dec,10591.0,10549.15,Up,05:10:00
