buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
2222.0,2018-08-02,12:08:00,2197.9,Buy,ALKEM,24.1,2463.0,2246.1,2270.2,2294.3,2318.4,2342.5,2366.6,2390.7,2414.8,2438.9,2197.9,14:55:00,-4820.0,Stoploss Hit,,,,,,,,,,,,200,Thu,Aug,11359.8,11356.5,Up,02:47:00
2016.1,2018-08-13,10:28:00,2016.1,Sell,ALKEM,,1960.0,,,,,,,,,,2011.0,10:20:00,-1020.0,Stoploss Hit,,2005.9,2000.8,1995.7,1990.6,1985.5,1980.4,1975.3,1970.2,1965.1,5.1,200,Mon,Aug,11369.6,11429.5,Down,00:08:00
2024.6,2018-08-14,12:40:00,2013.95,Buy,ALKEM,10.65,2131.1,2035.25,2045.9,2056.55,2067.2,2077.85,2088.5,2099.15,2109.8,2120.45,2013.95,13:28:00,-2130.0,Stoploss Hit,,,,,,,,,,,,200,Tue,Aug,11381.7,11355.75,Up,00:48:00
2048.1,2018-08-16,14:04:00,2048.1,Buy,ALKEM,8.1,2129.1,2056.2,2064.3,2072.4,2080.5,2088.6,2096.7,2104.8,2112.9,2121.0,2048.1,14:13:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,200,Thu,Aug,11381.7,11355.75,Up,00:09:00
2128.95,2018-08-20,11:22:00,2124.0,Buy,ALKEM,4.95,2178.45,2133.9,2138.85,2143.8,2148.75,2153.7,2158.65,2163.6,2168.55,2173.5,2124.0,13:01:00,-990.0,Stoploss Hit,,,,,,,,,,,,200,Mon,Aug,11620.7,11570.9,Up,01:39:00
2130.0,2018-09-03,09:58:00,2131.4,Buy,ALKEM,0.2,2132.0,2130.2,2130.4,2130.6,2130.8,2131.0,2131.2,2131.4,2131.6,2131.8,2131.4,10:00:00,280.0,Stoploss Hit,1to7 trail,,,,,,,,,,,200,Mon,Sep,11675.85,11676.8,Down,00:02:00
2164.9,2018-09-04,11:33:00,2164.9,Sell,ALKEM,,2074.15,,,,,,,,,,2156.65,11:17:00,-1650.0,Stoploss Hit,,2148.4,2140.15,2131.9,2123.65,2115.4,2107.15,2098.9,2090.65,2082.4,8.25,200,Tue,Sep,11558.25,11536.9,Up,00:16:00
2110.0,2018-09-06,09:53:00,2101.45,Buy,ALKEM,8.55,2195.5,2118.55,2127.1,2135.65,2144.2,2152.75,2161.3,2169.85,2178.4,2186.95,2101.45,09:55:00,-1710.0,Stoploss Hit,,,,,,,,,,,,200,Thu,Sep,11514.15,11476.95,Up,00:02:00
2067.9,2018-09-17,09:54:00,2067.9,Sell,ALKEM,,1959.55,,,,,,,,,,2058.05,09:52:00,-1970.0,Stoploss Hit,,2048.2,2038.35,2028.5,2018.65,2008.8,1998.95,1989.1,1979.25,1969.4,9.85,200,Mon,Sep,11464.95,11515.2,Down,00:02:00
2032.75,2018-09-25,09:57:00,2018.05,Buy,ALKEM,14.7,2179.75,2047.45,2062.15,2076.85,2091.55,2106.25,2120.95,2135.65,2150.35,2165.05,2018.05,10:06:00,-2940.0,Stoploss Hit,,,,,,,,,,,,200,Tue,Sep,11164.4,11143.1,Up,00:09:00
