buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
201.5,2018-10-11,10:01:00,201.5,Sell,AMBUJACEM,,192.7,,,,,,,,,,200.7,09:59:00,-1440.0,Stoploss Hit,,199.9,199.1,198.3,197.5,196.7,195.9,195.1,194.3,193.5,0.8,1800,Thu,Oct,11474.95,11470.7,Up,00:02:00
212.05,2018-10-22,10:00:00,211.0,Buy,AMBUJACEM,1.05,222.55,213.1,214.15,215.2,216.25,217.3,218.35,219.4,220.45,221.5,211.0,11:27:00,-1890.0,Stoploss Hit,,,,,,,,,,,,1800,Mon,Oct,11502.1,11470.75,Up,01:27:00
198.4,2018-11-01,12:05:00,198.4,Sell,AMBUJACEM,,185.75,,,,,,,,,,197.25,11:41:00,-2070.0,Stoploss Hit,,196.1,194.95,193.8,192.65,191.5,190.35,189.2,188.05,186.9,1.15,1800,Thu,Nov,11558.25,11536.9,Up,00:24:00
205.8,2018-11-06,10:06:00,205.8,Sell,AMBUJACEM,,198.1,,,,,,,,,,205.1,10:01:00,-1260.0,Stoploss Hit,,204.4,203.7,203.0,202.3,201.6,200.9,200.2,199.5,198.8,0.7,1800,Tue,Nov,11514.85,11520.3,Down,00:05:00
209.25,2018-11-14,10:35:00,210.6,Buy,AMBUJACEM,0.45,213.75,209.7,210.15,210.6,211.05,211.5,211.95,212.4,212.85,213.3,210.6,10:56:00,2430.0,Stoploss Hit,1to3 trail,,,,,,,,,,,1800,Wed,Nov,11443.5,11369.9,Up,00:21:00
215.9,2018-11-20,15:29:00,215.9,Sell,AMBUJACEM,,210.05,,,,,,,,,,216.55,14:07:00,1170.0,Stoploss Hit,1to1 Trail,215.9,215.25,214.6,213.95,213.3,212.65,212.0,211.35,210.7,0.65,1800,Tue,Nov,11464.95,11515.2,Down,01:22:00
217.65,2018-11-27,09:47:00,217.4,Buy,AMBUJACEM,0.25,220.15,217.9,218.15,218.4,218.65,218.9,219.15,219.4,219.65,219.9,217.4,09:53:00,-450.0,Stoploss Hit,,,,,,,,,,,,1800,Tue,Nov,11145.55,11067.45,Up,00:06:00
217.6,2018-11-29,10:53:00,217.6,Buy,AMBUJACEM,0.55,223.1,218.15,218.7,219.25,219.8,220.35,220.9,221.45,222.0,222.55,217.6,11:24:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1800,Thu,Nov,11008.1,10977.55,Up,00:31:00
206.95,2018-12-11,09:48:00,210.55,Buy,AMBUJACEM,0.9,215.95,207.85,208.75,209.65,210.55,211.45,212.35,213.25,214.15,215.05,212.85,15:00:00,10620.0,Market Exit,1to4 trail,,,,,,,,,,,1800,Tue,Dec,10331.55,10234.65,Up,05:12:00
221.75,2018-12-14,10:19:00,221.75,Sell,AMBUJACEM,,210.75,,,,,,,,,,220.75,09:53:00,-1800.0,Stoploss Hit,,219.75,218.75,217.75,216.75,215.75,214.75,213.75,212.75,211.75,1.0,1800,Fri,Dec,10405.85,10303.55,Up,00:26:00
216.55,2018-12-24,14:00:00,216.55,Sell,AMBUJACEM,,205.0,,,,,,,,,,215.5,13:29:00,-1890.0,Stoploss Hit,,214.45,213.4,212.35,211.3,210.25,209.2,208.15,207.1,206.05,1.05,1800,Mon,Dec,10152.6,10245.25,Down,00:31:00
222.6,2019-01-01,14:21:00,222.6,Sell,AMBUJACEM,,219.6,,,,,,,,,,222.6,12:07:00,0.0,Stoploss Hit,Breakeven,222.3,222.0,221.7,221.4,221.1,220.8,220.5,220.2,219.9,0.3,1800,Tue,Jan,17859.1,17856.5,Up,02:14:00
217.15,2019-01-08,09:49:00,217.15,Buy,AMBUJACEM,0.3,220.15,217.45,217.75,218.05,218.35,218.65,218.95,219.25,219.55,219.85,217.15,09:59:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1800,Tue,Jan,10868.85,10910.1,Down,00:10:00
216.3,2019-01-15,09:48:00,215.6,Buy,AMBUJACEM,0.7,223.3,217.0,217.7,218.4,219.1,219.8,220.5,221.2,221.9,222.6,217.2,15:00:00,1620.0,Market Exit,,,,,,,,,,,,1800,Tue,Jan,10644.0,10616.7,Up,05:12:00
214.05,2019-02-05,10:02:00,212.85,Buy,AMBUJACEM,1.2,226.05,215.25,216.45,217.65,218.85,220.05,221.25,222.45,223.65,224.85,212.85,11:24:00,-2160.0,Stoploss Hit,,,,,,,,,,,,1800,Tue,Feb,10644.8,10601.15,Up,01:22:00
205.1,2019-02-14,14:06:00,205.1,Sell,AMBUJACEM,,196.6,,,,,,,,,,205.1,09:56:00,0.0,Stoploss Hit,Breakeven,204.25,203.4,202.55,201.7,200.85,200.0,199.15,198.3,197.45,0.85,1800,Thu,Feb,10885.2,10967.3,Down,04:10:00
209.95,2019-02-22,10:36:00,209.95,Buy,AMBUJACEM,0.25,212.45,210.2,210.45,210.7,210.95,211.2,211.45,211.7,211.95,212.2,209.95,10:46:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1800,Fri,Feb,10820.95,10779.8,Up,00:10:00
