buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
959.85,2018-08-01,10:19:00,956.1,Buy,APOLLOHOSP,3.75,997.35,963.6,967.35,971.1,974.85,978.6,982.35,986.1,989.85,993.6,956.1,10:56:00,-468.75,Stoploss Hit,,,,,,,,,,,,125,Wed,Aug,11328.9,11346.2,Down,00:37:00
951.9,2018-08-02,10:52:00,954.45,Buy,APOLLOHOSP,2.55,977.4,954.45,957.0,959.55,962.1,964.65,967.2,969.75,972.3,974.85,961.1,15:00:00,1150.0,Market Exit,1to1 trail,,,,,,,,,,,125,Thu,Aug,11328.9,11346.2,Down,04:08:00
983.7,2018-08-06,11:28:00,982.7,Buy,APOLLOHOSP,1.0,993.7,984.7,985.7,986.7,987.7,988.7,989.7,990.7,991.7,992.7,982.7,11:28:00,-125.0,Stoploss Hit,,,,,,,,,,,,125,Mon,Aug,11401.5,11360.8,Up,00:00:00
969.9,2018-08-10,11:02:00,974.8,Buy,APOLLOHOSP,4.9,1018.9,974.8,979.7,984.6,989.5,994.4,999.3,1004.2,1009.1,1014.0,974.8,13:39:00,612.5,Stoploss Hit,1to1 trail,,,,,,,,,,,125,Fri,Aug,10982.7,11008.3,Down,02:37:00
1147.3,2018-08-16,14:02:00,1139.55,Buy,APOLLOHOSP,7.75,1224.8,1155.05,1162.8,1170.55,1178.3,1186.05,1193.8,1201.55,1209.3,1217.05,1139.55,14:43:00,-968.75,Stoploss Hit,,,,,,,,,,,,125,Thu,Aug,11397.15,11435.1,Down,00:41:00
1172.3,2018-08-23,10:47:00,1172.3,Sell,APOLLOHOSP,,1141.3,,,,,,,,,,1172.3,10:31:00,0.0,Stoploss Hit,Breakeven,1169.2,1166.1,1163.0,1159.9,1156.8,1153.7,1150.6,1147.5,1144.4,3.1,125,Thu,Aug,11620.7,11570.9,Up,00:16:00
1178.8,2018-08-31,10:48:00,1178.8,Sell,APOLLOHOSP,,1160.8,,,,,,,,,,1178.8,10:44:00,0.0,Stoploss Hit,Breakeven,1177.0,1175.2,1173.4,1171.6,1169.8,1168.0,1166.2,1164.4,1162.6,1.8,125,Fri,Aug,11675.85,11676.8,Down,00:04:00
1194.8,2018-09-03,11:29:00,1186.1,Buy,APOLLOHOSP,8.7,1281.8,1203.5,1212.2,1220.9,1229.6,1238.3,1247.0,1255.7,1264.4,1273.1,1186.1,11:39:00,-1087.5,Stoploss Hit,,,,,,,,,,,,125,Mon,Sep,11751.8,11680.5,Up,00:10:00
1168.45,2018-09-04,13:28:00,1168.45,Sell,APOLLOHOSP,,1131.6,,,,,,,,,,1165.1,13:23:00,-418.75,Stoploss Hit,,1161.75,1158.4,1155.05,1151.7,1148.35,1145.0,1141.65,1138.3,1134.95,3.35,125,Tue,Sep,11598.75,11582.35,Up,00:05:00
1116.2,2018-09-11,10:50:00,1116.2,Sell,APOLLOHOSP,,1090.7,,,,,,,,,,1116.2,10:40:00,0.0,Stoploss Hit,Breakeven,1113.65,1111.1,1108.55,1106.0,1103.45,1100.9,1098.35,1095.8,1093.25,2.55,125,Tue,Sep,11476.85,11438.1,Up,00:10:00
1116.7,2018-09-17,09:53:00,1112.5,Buy,APOLLOHOSP,4.2,1158.7,1120.9,1125.1,1129.3,1133.5,1137.7,1141.9,1146.1,1150.3,1154.5,1112.5,09:54:00,-525.0,Stoploss Hit,,,,,,,,,,,,125,Mon,Sep,11326.65,11278.9,Up,00:01:00
1027.5,2018-09-24,12:47:00,1027.5,Sell,APOLLOHOSP,,945.0,,,,,,,,,,1020.0,10:00:00,-937.5,Stoploss Hit,,1012.5,1005.0,997.5,990.0,982.5,975.0,967.5,960.0,952.5,7.5,125,Mon,Sep,11164.4,11143.1,Up,02:47:00
1059.8,2018-10-03,09:46:00,1059.8,Buy,APOLLOHOSP,8.65,1146.3,1068.45,1077.1,1085.75,1094.4,1103.05,1111.7,1120.35,1129.0,1137.65,1059.8,10:27:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,125,Wed,Oct,10331.85,10301.05,Up,00:41:00
1055.45,2018-10-04,10:41:00,1055.45,Sell,APOLLOHOSP,,1013.65,,,,,,,,,,1051.65,10:17:00,-475.0,Stoploss Hit,,1047.85,1044.05,1040.25,1036.45,1032.65,1028.85,1025.05,1021.25,1017.45,3.8,125,Thu,Oct,10982.7,11008.3,Down,00:24:00
1049.25,2018-10-05,09:51:00,1045.0,Buy,APOLLOHOSP,4.25,1091.75,1053.5,1057.75,1062.0,1066.25,1070.5,1074.75,1079.0,1083.25,1087.5,1045.0,09:51:00,-531.25,Stoploss Hit,,,,,,,,,,,,125,Fri,Oct,10310.15,10316.45,Down,00:00:00
1077.25,2018-10-09,09:52:00,1077.25,Sell,APOLLOHOSP,,1009.6,,,,,,,,,,1071.1,09:52:00,-768.75,Stoploss Hit,,1064.95,1058.8,1052.65,1046.5,1040.35,1034.2,1028.05,1021.9,1015.75,6.15,125,Tue,Oct,10331.85,10301.05,Up,00:00:00
1115.05,2018-10-16,09:46:00,1115.05,Sell,APOLLOHOSP,,1065.85,,,,,,,,,,1127.35,10:44:00,1537.5,Stoploss Hit,1to2 Trail,1121.2,1115.05,1108.9,1102.75,1096.6,1090.45,1084.3,1078.15,1072.0,6.15,125,Tue,Oct,10688.7,10584.75,Up,1899-12-29 23:02:00
1121.75,2018-10-17,10:12:00,1121.75,Sell,APOLLOHOSP,,1076.1,,,,,,,,,,1117.6,09:50:00,-518.75,Stoploss Hit,,1113.45,1109.3,1105.15,1101.0,1096.85,1092.7,1088.55,1084.4,1080.25,4.15,125,Wed,Oct,10550.15,10512.5,Up,00:22:00
1136.0,2018-10-23,11:13:00,1136.0,Sell,APOLLOHOSP,,1048.0,,,,,,,,,,1128.0,10:28:00,-1000.0,Stoploss Hit,,1120.0,1112.0,1104.0,1096.0,1088.0,1080.0,1072.0,1064.0,1056.0,8.0,125,Tue,Oct,10550.15,10512.5,Up,00:45:00
1149.4,2018-10-30,09:56:00,1140.7,Buy,APOLLOHOSP,8.7,1236.4,1158.1,1166.8,1175.5,1184.2,1192.9,1201.6,1210.3,1219.0,1227.7,1140.7,11:22:00,-1087.5,Stoploss Hit,,,,,,,,,,,,125,Tue,Oct,10239.4,10250.85,Down,01:26:00
1199.95,2018-11-02,10:56:00,1196.8,Buy,APOLLOHOSP,3.15,1231.45,1203.1,1206.25,1209.4,1212.55,1215.7,1218.85,1222.0,1225.15,1228.3,1196.8,10:58:00,-393.75,Stoploss Hit,,,,,,,,,,,,125,Fri,Nov,10614.7,10598.4,Up,00:02:00
1146.65,2018-11-06,09:46:00,1146.65,Sell,APOLLOHOSP,,1120.25,,,,,,,,,,1144.25,09:46:00,-300.0,Stoploss Hit,,1141.85,1139.45,1137.05,1134.65,1132.25,1129.85,1127.45,1125.05,1122.65,2.4,125,Tue,Nov,10552.0,10524.0,Up,00:00:00
1153.4,2018-11-09,09:46:00,1153.4,Buy,APOLLOHOSP,2.75,1180.9,1156.15,1158.9,1161.65,1164.4,1167.15,1169.9,1172.65,1175.4,1178.15,1153.4,10:08:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,125,Fri,Nov,10634.9,10582.5,Up,00:22:00
1127.55,2018-11-13,12:40:00,1127.55,Sell,APOLLOHOSP,,1089.05,,,,,,,,,,1127.55,10:29:00,0.0,Stoploss Hit,Breakeven,1123.7,1119.85,1116.0,1112.15,1108.3,1104.45,1100.6,1096.75,1092.9,3.85,125,Tue,Nov,10451.9,10482.2,Down,02:11:00
1217.8,2018-11-15,13:35:00,1253.0,Buy,APOLLOHOSP,8.8,1305.8,1226.6,1235.4,1244.2,1253.0,1261.8,1270.6,1279.4,1288.2,1297.0,1276.2,15:00:00,7300.0,Market Exit,1to4 trail,,,,,,,,,,,125,Thu,Nov,10580.6,10576.3,Up,01:25:00
1209.95,2018-11-20,13:02:00,1209.95,Sell,APOLLOHOSP,,1125.8,,,,,,,,,,1202.3,12:05:00,-956.25,Stoploss Hit,,1194.65,1187.0,1179.35,1171.7,1164.05,1156.4,1148.75,1141.1,1133.45,7.65,125,Tue,Nov,10568.3,10526.75,Up,00:57:00
1227.0,2018-11-26,11:39:00,1227.0,Sell,APOLLOHOSP,,1153.85,,,,,,,,,,1220.35,10:30:00,-831.25,Stoploss Hit,,1213.7,1207.05,1200.4,1193.75,1187.1,1180.45,1173.8,1167.15,1160.5,6.65,125,Mon,Nov,10612.65,10600.05,Up,01:09:00
1246.0,2018-11-27,10:10:00,1246.0,Sell,APOLLOHOSP,,1165.15,,,,,,,,,,1238.65,10:01:00,-918.75,Stoploss Hit,,1231.3,1223.95,1216.6,1209.25,1201.9,1194.55,1187.2,1179.85,1172.5,7.35,125,Tue,Nov,10862.4,10802.15,Up,00:09:00
1233.25,2018-11-29,11:28:00,1233.25,Sell,APOLLOHOSP,,1193.65,,,,,,,,,,1229.65,11:08:00,-450.0,Stoploss Hit,,1226.05,1222.45,1218.85,1215.25,1211.65,1208.05,1204.45,1200.85,1197.25,3.6,125,Thu,Nov,10930.7,10876.75,Up,00:20:00
1167.3,2018-12-05,10:07:00,1167.3,Sell,APOLLOHOSP,,1084.0,,,,,,,,,,1235.0,13:57:00,8462.5,Stoploss Hit,Breakeven,1219.9,1204.8,1189.7,1174.6,1159.5,1144.4,1129.3,1114.2,1099.1,15.1,125,Wed,Dec,10810.75,10737.6,Up,1899-12-29 20:10:00
1200.0,2018-12-17,09:47:00,1200.0,Sell,APOLLOHOSP,,1165.05,,,,,,,,,,1226.05,10:13:00,3256.25,Stoploss Hit,Breakeven,1219.95,1213.85,1207.75,1201.65,1195.55,1189.45,1183.35,1177.25,1171.15,6.1,125,Mon,Dec,10850.9,10888.35,Down,1899-12-29 23:34:00
1220.7,2018-12-18,13:42:00,1215.6,Buy,APOLLOHOSP,5.1,1271.7,1225.8,1230.9,1236.0,1241.1,1246.2,1251.3,1256.4,1261.5,1266.6,1223.0,15:00:00,287.5,Market Exit,,,,,,,,,,,,125,Tue,Dec,10850.9,10888.35,Down,01:18:00
1233.55,2018-12-21,09:47:00,1233.55,Sell,APOLLOHOSP,,1230.35,,,,,,,,,,1260.35,09:46:00,3350.0,Stoploss Hit,Breakeven,1257.35,1254.35,1251.35,1248.35,1245.35,1242.35,1239.35,1236.35,1233.35,3.0,125,Fri,Dec,10881.7,10862.55,Up,00:01:00
1262.0,2018-12-24,10:46:00,1256.5,Buy,APOLLOHOSP,5.5,1317.0,1267.5,1273.0,1278.5,1284.0,1289.5,1295.0,1300.5,1306.0,1311.5,1262.05,15:00:00,6.25,Market Exit,,,,,,,,,,,,125,Mon,Dec,10796.8,10792.5,Up,04:14:00
1287.6,2019-01-07,10:06:00,1287.6,Sell,APOLLOHOSP,,1254.1,,,,,,,,,,1287.6,09:52:00,0.0,Stoploss Hit,Breakeven,1284.25,1280.9,1277.55,1274.2,1270.85,1267.5,1264.15,1260.8,1257.45,3.35,125,Mon,Jan,10899.65,10886.8,Up,00:14:00
1257.55,2019-01-08,12:18:00,1257.55,Sell,APOLLOHOSP,,1234.45,,,,,,,,,,1255.45,12:13:00,-262.5,Stoploss Hit,,1253.35,1251.25,1249.15,1247.05,1244.95,1242.85,1240.75,1238.65,1236.55,2.1,125,Tue,Jan,10920.85,10890.3,Up,00:05:00
1351.7,2019-01-18,09:46:00,1349.45,Buy,APOLLOHOSP,2.25,1374.2,1353.95,1356.2,1358.45,1360.7,1362.95,1365.2,1367.45,1369.7,1371.95,1349.45,09:46:00,-281.25,Stoploss Hit,,,,,,,,,,,,125,Fri,Jan,10859.75,10849.8,Up,00:00:00
1319.0,2019-01-22,09:54:00,1315.7,Buy,APOLLOHOSP,3.3,1352.0,1322.3,1325.6,1328.9,1332.2,1335.5,1338.8,1342.1,1345.4,1348.7,1315.7,10:00:00,-412.5,Stoploss Hit,,,,,,,,,,,,125,Tue,Jan,10851.35,10830.95,Up,00:06:00
1299.55,2019-01-24,10:11:00,1299.55,Sell,APOLLOHOSP,,1250.05,,,,,,,,,,1295.05,09:55:00,-562.5,Stoploss Hit,,1290.55,1286.05,1281.55,1277.05,1272.55,1268.05,1263.55,1259.05,1254.55,4.5,125,Thu,Jan,10690.55,10651.8,Up,00:16:00
1272.1,2019-01-29,10:18:00,1290.7,Buy,APOLLOHOSP,3.1,1303.1,1275.2,1278.3,1281.4,1284.5,1287.6,1290.7,1293.8,1296.9,1300.0,1296.6,15:00:00,3062.5,Market Exit,1to6 trail,,,,,,,,,,,125,Tue,Jan,10965.1,10934.35,Up,04:42:00
1328.15,2019-01-31,12:51:00,1321.5,Buy,APOLLOHOSP,6.65,1394.65,1334.8,1341.45,1348.1,1354.75,1361.4,1368.05,1374.7,1381.35,1388.0,1332.55,15:00:00,550.0,Market Exit,,,,,,,,,,,,125,Thu,Jan,10702.25,10652.2,Up,02:09:00
1335.0,2019-02-01,10:21:00,1335.0,Buy,APOLLOHOSP,5.0,1385.0,1340.0,1345.0,1350.0,1355.0,1360.0,1365.0,1370.0,1375.0,1380.0,1335.0,12:00:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,125,Fri,Feb,10851.35,10830.95,Up,01:39:00
1335.15,2019-02-04,10:00:00,1329.45,Buy,APOLLOHOSP,5.7,1392.15,1340.85,1346.55,1352.25,1357.95,1363.65,1369.35,1375.05,1380.75,1386.45,1329.45,10:03:00,-712.5,Stoploss Hit,,,,,,,,,,,,125,Mon,Feb,10876.75,10893.65,Down,00:03:00
1141.2,2019-02-14,11:35:00,1141.2,Sell,APOLLOHOSP,,1084.55,,,,,,,,,,1136.05,11:04:00,-643.75,Stoploss Hit,,1130.9,1125.75,1120.6,1115.45,1110.3,1105.15,1100.0,1094.85,1089.7,5.15,125,Thu,Feb,10786.1,10793.65,Down,00:31:00
1152.3,2019-03-01,10:20:00,1147.7,Buy,APOLLOHOSP,4.6,1198.3,1156.9,1161.5,1166.1,1170.7,1175.3,1179.9,1184.5,1189.1,1193.7,1147.7,10:20:00,-575.0,Stoploss Hit,,,,,,,,,,,,125,Fri,Mar,10842.65,10792.5,Up,00:00:00
1192.2,2019-03-06,10:27:00,1192.2,Sell,APOLLOHOSP,,1127.3,,,,,,,,,,1186.3,10:23:00,-737.5,Stoploss Hit,,1180.4,1174.5,1168.6,1162.7,1156.8,1150.9,1145.0,1139.1,1133.2,5.9,125,Wed,Mar,11478.7,11497.9,Down,00:04:00
1187.35,2019-03-11,09:46:00,1199.95,Buy,APOLLOHOSP,2.1,1208.35,1189.45,1191.55,1193.65,1195.75,1197.85,1199.95,1202.05,1204.15,1206.25,1205.55,15:00:00,2275.0,Market Exit,1to6 trail,,,,,,,,,,,125,Mon,Mar,11395.65,11456.9,Down,05:14:00
1147.8,2019-03-13,10:05:00,1147.8,Sell,APOLLOHOSP,,1106.0,,,,,,,,,,1144.0,09:58:00,-475.0,Stoploss Hit,,1140.2,1136.4,1132.6,1128.8,1125.0,1121.2,1117.4,1113.6,1109.8,3.8,125,Wed,Mar,11473.85,11426.85,Up,00:07:00
