buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
295.95,2018-08-01,10:02:00,295.95,Sell,APOLLOTYRE,,282.2,,,,,,,,,,294.7,09:46:00,-4375.0,Stoploss Hit,,293.45,292.2,290.95,289.7,288.45,287.2,285.95,284.7,283.45,1.25,3500,Wed,Aug,11359.8,11356.5,Up,00:16:00
275.0,2018-08-07,11:34:00,275.0,Sell,APOLLOTYRE,,265.5,,,,,,,,,,275.0,10:15:00,0.0,Stoploss Hit,Breakeven,274.05,273.1,272.15,271.2,270.25,269.3,268.35,267.4,266.45,0.95,3500,Tue,Aug,11401.5,11360.8,Up,01:19:00
269.15,2018-08-10,11:37:00,269.15,Sell,APOLLOTYRE,,262.15,,,,,,,,,,269.15,09:50:00,0.0,Stoploss Hit,Breakeven,268.45,267.75,267.05,266.35,265.65,264.95,264.25,263.55,262.85,0.7,3500,Fri,Aug,11369.6,11429.5,Down,01:47:00
258.8,2018-08-24,10:27:00,258.8,Sell,APOLLOTYRE,,248.35,,,,,,,,,,257.85,10:14:00,-3325.0,Stoploss Hit,,256.9,255.95,255.0,254.05,253.1,252.15,251.2,250.25,249.3,0.95,3500,Fri,Aug,11576.2,11551.75,Up,00:13:00
240.45,2018-09-17,10:52:00,241.3,Buy,APOLLOTYRE,0.85,248.95,241.3,242.15,243.0,243.85,244.7,245.55,246.4,247.25,248.1,243.15,15:00:00,9450.0,Market Exit,1to1 trail,,,,,,,,,,,3500,Mon,Sep,11443.5,11369.9,Up,04:08:00
239.4,2018-09-21,10:08:00,239.4,Sell,APOLLOTYRE,,235.0,,,,,,,,,,239.0,10:05:00,-1400.0,Stoploss Hit,,238.6,238.2,237.8,237.4,237.0,236.6,236.2,235.8,235.4,0.4,3500,Fri,Sep,11271.3,11234.35,Up,00:03:00
225.05,2018-09-24,12:16:00,225.05,Sell,APOLLOTYRE,,219.55,,,,,,,,,,225.05,11:50:00,0.0,Stoploss Hit,Breakeven,224.5,223.95,223.4,222.85,222.3,221.75,221.2,220.65,220.1,0.55,3500,Mon,Sep,11164.4,11143.1,Up,00:26:00
224.15,2018-09-27,09:46:00,224.15,Sell,APOLLOTYRE,,221.0,,,,,,,,,,231.5,09:52:00,25725.0,Stoploss Hit,1to7 Trail,230.45,229.4,228.35,227.3,226.25,225.2,224.15,223.1,222.05,1.05,3500,Thu,Sep,10462.3,10380.45,Up,1899-12-29 23:54:00
220.5,2018-11-05,09:48:00,220.5,Buy,APOLLOTYRE,0.65,227.0,221.15,221.8,222.45,223.1,223.75,224.4,225.05,225.7,226.35,220.5,09:55:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,3500,Mon,Nov,10462.3,10380.45,Up,00:07:00
233.0,2018-11-28,09:46:00,234.0,Buy,APOLLOTYRE,1.0,243.0,234.0,235.0,236.0,237.0,238.0,239.0,240.0,241.0,242.0,236.75,15:00:00,13125.0,Market Exit,1to1 trail,,,,,,,,,,,3500,Wed,Nov,10670.95,10656.2,Up,05:14:00
224.9,2018-12-07,12:24:00,224.9,Sell,APOLLOTYRE,,221.3,,,,,,,,,,225.8,09:53:00,3150.0,Stoploss Hit,1to2 Trail,225.35,224.9,224.45,224.0,223.55,223.1,222.65,222.2,221.75,0.45,3500,Fri,Dec,10350.05,10488.45,Down,02:31:00
225.5,2018-12-11,09:49:00,224.6,Buy,APOLLOTYRE,0.9,234.5,226.4,227.3,228.2,229.1,230.0,230.9,231.8,232.7,233.6,224.6,10:10:00,-3150.0,Stoploss Hit,,,,,,,,,,,,3500,Tue,Dec,10718.15,10782.9,Down,00:21:00
232.0,2018-12-14,12:47:00,232.0,Sell,APOLLOTYRE,,225.0,,,,,,,,,,232.0,11:17:00,0.0,Stoploss Hit,Breakeven,231.3,230.6,229.9,229.2,228.5,227.8,227.1,226.4,225.7,0.7,3500,Fri,Dec,10784.5,10791.55,Down,01:30:00
235.5,2018-12-17,10:31:00,235.5,Sell,APOLLOTYRE,,227.25,,,,,,,,,,234.75,10:09:00,-2625.0,Stoploss Hit,,234.0,233.25,232.5,231.75,231.0,230.25,229.5,228.75,228.0,0.75,3500,Mon,Dec,10881.7,10862.55,Up,00:22:00
236.3,2018-12-18,15:09:00,236.3,Sell,APOLLOTYRE,,213.75,,,,,,,,,,234.25,10:25:00,-7175.0,Stoploss Hit,,232.2,230.15,228.1,226.05,224.0,221.95,219.9,217.85,215.8,2.05,3500,Tue,Dec,10810.75,10737.6,Up,04:44:00
233.85,2018-12-28,09:47:00,233.85,Buy,APOLLOTYRE,1.2,245.85,235.05,236.25,237.45,238.65,239.85,241.05,242.25,243.45,244.65,235.15,15:00:00,4550.0,Market Exit,Breakeven,,,,,,,,,,,3500,Fri,Dec,10881.7,10862.55,Up,05:13:00
218.65,2019-01-23,09:56:00,218.65,Sell,APOLLOTYRE,,209.85,,,,,,,,,,217.85,09:56:00,-2800.0,Stoploss Hit,,217.05,216.25,215.45,214.65,213.85,213.05,212.25,211.45,210.65,0.8,3500,Wed,Jan,10931.05,10922.75,Up,00:00:00
203.75,2019-01-31,14:30:00,203.75,Sell,APOLLOTYRE,,194.25,,,,,,,,,,203.75,09:49:00,0.0,Stoploss Hit,Breakeven,202.8,201.85,200.9,199.95,199.0,198.05,197.1,196.15,195.2,0.95,3500,Thu,Jan,11070.45,11062.45,Up,04:41:00
204.75,2019-02-05,09:56:00,202.9,Buy,APOLLOTYRE,1.85,223.25,206.6,208.45,210.3,212.15,214.0,215.85,217.7,219.55,221.4,202.9,10:04:00,-6475.0,Stoploss Hit,,,,,,,,,,,,3500,Tue,Feb,11070.45,11062.45,Up,00:08:00
199.35,2019-02-06,09:47:00,199.35,Sell,APOLLOTYRE,,190.0,,,,,,,,,,198.5,09:46:00,-2975.0,Stoploss Hit,,197.65,196.8,195.95,195.1,194.25,193.4,192.55,191.7,190.85,0.85,3500,Wed,Feb,11023.5,11069.4,Down,00:01:00
211.6,2019-02-25,10:14:00,211.6,Sell,APOLLOTYRE,,199.5,,,,,,,,,,210.5,09:51:00,-3850.0,Stoploss Hit,,209.4,208.3,207.2,206.1,205.0,203.9,202.8,201.7,200.6,1.1,3500,Mon,Feb,10782.7,10789.85,Down,00:23:00
212.7,2019-02-27,09:46:00,212.7,Buy,APOLLOTYRE,0.65,219.2,213.35,214.0,214.65,215.3,215.95,216.6,217.25,217.9,218.55,212.7,12:01:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,3500,Wed,Feb,10881.2,10835.3,Up,02:15:00
