buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
113.25,2018-08-01,10:35:00,117.0,Buy,ASHOKLEY,0.75,120.75,114.0,114.75,115.5,116.25,117.0,117.75,118.5,119.25,120.0,118.75,15:00:00,27500.0,Market Exit,1to5 trail,,,,,,,,,,,5000,Wed,Aug,11297.8,11244.7,Up,04:25:00
126.75,2018-08-13,12:30:00,126.75,Buy,ASHOKLEY,0.75,134.25,127.5,128.25,129.0,129.75,130.5,131.25,132.0,132.75,133.5,126.75,13:55:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,5000,Mon,Aug,11620.7,11570.9,Up,01:25:00
128.7,2018-08-21,09:58:00,128.7,Sell,ASHOKLEY,,124.3,,,,,,,,,,128.3,09:47:00,-2000.0,Stoploss Hit,,127.9,127.5,127.1,126.7,126.3,125.9,125.5,125.1,124.7,0.4,5000,Tue,Aug,11566.6,11582.75,Down,00:11:00
131.4,2018-08-30,10:03:00,131.4,Sell,ASHOKLEY,,129.75,,,,,,,,,,131.25,10:00:00,-750.0,Stoploss Hit,,131.1,130.95,130.8,130.65,130.5,130.35,130.2,130.05,129.9,0.15,5000,Thu,Aug,11694.75,11691.9,Up,00:03:00
131.7,2018-09-10,09:47:00,131.1,Buy,ASHOKLEY,0.6,137.7,132.3,132.9,133.5,134.1,134.7,135.3,135.9,136.5,137.1,131.1,10:04:00,-3000.0,Stoploss Hit,,,,,,,,,,,,5000,Mon,Sep,11340.1,11287.5,Up,00:17:00
131.0,2018-09-11,10:53:00,130.7,Buy,ASHOKLEY,0.3,134.0,131.3,131.6,131.9,132.2,132.5,132.8,133.1,133.4,133.7,130.7,11:22:00,-1500.0,Stoploss Hit,,,,,,,,,,,,5000,Tue,Sep,11476.85,11438.1,Up,00:29:00
119.45,2018-09-24,11:12:00,119.45,Sell,ASHOKLEY,,115.05,,,,,,,,,,119.05,11:04:00,-2000.0,Stoploss Hit,,118.65,118.25,117.85,117.45,117.05,116.65,116.25,115.85,115.45,0.4,5000,Mon,Sep,11271.3,11234.35,Up,00:08:00
121.65,2018-09-26,10:27:00,121.65,Sell,ASHOKLEY,,120.0,,,,,,,,,,121.5,10:25:00,-750.0,Stoploss Hit,,121.35,121.2,121.05,120.9,120.75,120.6,120.45,120.3,120.15,0.15,5000,Wed,Sep,11145.55,11067.45,Up,00:02:00
112.7,2018-10-19,14:26:00,112.7,Sell,ASHOKLEY,,107.75,,,,,,,,,,112.25,14:21:00,-2250.0,Stoploss Hit,,111.8,111.35,110.9,110.45,110.0,109.55,109.1,108.65,108.2,0.45,5000,Fri,Oct,10339.7,10453.05,Down,00:05:00
112.8,2018-10-23,10:12:00,112.6,Buy,ASHOKLEY,0.2,114.8,113.0,113.2,113.4,113.6,113.8,114.0,114.2,114.4,114.6,112.6,10:12:00,-1000.0,Stoploss Hit,,,,,,,,,,,,5000,Tue,Oct,10152.6,10245.25,Down,00:00:00
116.2,2018-10-30,10:16:00,115.9,Buy,ASHOKLEY,0.3,119.2,116.5,116.8,117.1,117.4,117.7,118.0,118.3,118.6,118.9,115.9,10:33:00,-1500.0,Stoploss Hit,,,,,,,,,,,,5000,Tue,Oct,10239.4,10250.85,Down,00:17:00
121.3,2018-11-06,09:50:00,121.3,Sell,ASHOKLEY,,119.1,,,,,,,,,,121.1,09:50:00,-1000.0,Stoploss Hit,,120.9,120.7,120.5,120.3,120.1,119.9,119.7,119.5,119.3,0.2,5000,Tue,Nov,10451.9,10482.2,Down,00:00:00
121.4,2018-11-09,10:02:00,121.4,Sell,ASHOKLEY,,117.55,,,,,,,,,,121.05,09:52:00,-1750.0,Stoploss Hit,,120.7,120.35,120.0,119.65,119.3,118.95,118.6,118.25,117.9,0.35,5000,Fri,Nov,10982.7,11008.3,Down,00:10:00
117.95,2018-11-13,10:27:00,117.95,Sell,ASHOKLEY,,114.1,,,,,,,,,,117.6,10:09:00,-1750.0,Stoploss Hit,,117.25,116.9,116.55,116.2,115.85,115.5,115.15,114.8,114.45,0.35,5000,Tue,Nov,10580.6,10576.3,Up,00:18:00
106.5,2018-11-19,09:57:00,106.5,Buy,ASHOKLEY,0.2,108.5,106.7,106.9,107.1,107.3,107.5,107.7,107.9,108.1,108.3,106.5,10:07:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,5000,Mon,Nov,10670.95,10656.2,Up,00:10:00
109.9,2018-11-20,09:48:00,109.35,Buy,ASHOKLEY,0.55,115.4,110.45,111.0,111.55,112.1,112.65,113.2,113.75,114.3,114.85,109.35,10:00:00,-2750.0,Stoploss Hit,,,,,,,,,,,,5000,Tue,Nov,10670.95,10656.2,Up,00:12:00
102.5,2018-12-06,12:49:00,102.15,Buy,ASHOKLEY,0.35,106.0,102.85,103.2,103.55,103.9,104.25,104.6,104.95,105.3,105.65,102.15,12:49:00,-1750.0,Stoploss Hit,,,,,,,,,,,,5000,Thu,Dec,10820.45,10869.5,Down,00:00:00
101.45,2018-12-10,10:55:00,100.8,Buy,ASHOKLEY,0.65,107.95,102.1,102.75,103.4,104.05,104.7,105.35,106.0,106.65,107.3,100.8,11:19:00,-3250.0,Stoploss Hit,,,,,,,,,,,,5000,Mon,Dec,10850.9,10888.35,Down,00:24:00
