buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1437.2,2018-08-02,10:19:00,1433.8,Buy,ASIANPAINT,3.4,1471.2,1440.6,1444.0,1447.4,1450.8,1454.2,1457.6,1461.0,1464.4,1467.8,1433.8,10:56:00,-680.0,Stoploss Hit,,,,,,,,,,,,200,Thu,Aug,11423.15,11387.1,Up,00:37:00
1414.0,2018-08-03,10:32:00,1414.0,Sell,ASIANPAINT,,1389.5,,,,,,,,,,1414.0,10:03:00,0.0,Stoploss Hit,Breakeven,1411.55,1409.1,1406.65,1404.2,1401.75,1399.3,1396.85,1394.4,1391.95,2.45,200,Fri,Aug,11476.85,11438.1,Up,00:29:00
1416.0,2018-08-06,11:30:00,1416.0,Sell,ASIANPAINT,,1393.45,,,,,,,,,,1413.95,09:49:00,-410.0,Stoploss Hit,,1411.9,1409.85,1407.8,1405.75,1403.7,1401.65,1399.6,1397.55,1395.5,2.05,200,Mon,Aug,11328.9,11346.2,Down,01:41:00
1417.75,2018-08-07,09:47:00,1417.75,Buy,ASIANPAINT,4.65,1464.25,1422.4,1427.05,1431.7,1436.35,1441.0,1445.65,1450.3,1454.95,1459.6,1425.05,15:00:00,1460.0,Market Exit,Breakeven,,,,,,,,,,,200,Tue,Aug,11079.8,11053.8,Up,05:13:00
1416.45,2018-08-13,09:53:00,1413.55,Buy,ASIANPAINT,2.9,1445.45,1419.35,1422.25,1425.15,1428.05,1430.95,1433.85,1436.75,1439.65,1442.55,1413.55,10:32:00,-580.0,Stoploss Hit,,,,,,,,,,,,200,Mon,Aug,11381.7,11355.75,Up,00:39:00
1393.85,2018-08-16,11:43:00,1393.85,Sell,ASIANPAINT,,1364.15,,,,,,,,,,1391.15,11:43:00,-540.0,Stoploss Hit,,1388.45,1385.75,1383.05,1380.35,1377.65,1374.95,1372.25,1369.55,1366.85,2.7,200,Thu,Aug,11397.15,11435.1,Down,00:00:00
1407.35,2018-08-20,10:02:00,1407.35,Sell,ASIANPAINT,,1360.6,,,,,,,,,,1403.1,09:46:00,-850.0,Stoploss Hit,,1398.85,1394.6,1390.35,1386.1,1381.85,1377.6,1373.35,1369.1,1364.85,4.25,200,Mon,Aug,11502.1,11470.75,Up,00:16:00
1395.0,2018-08-23,11:35:00,1395.0,Sell,ASIANPAINT,,1366.55,,,,,,,,,,1405.05,10:12:00,2010.0,Stoploss Hit,Breakeven,1401.2,1397.35,1393.5,1389.65,1385.8,1381.95,1378.1,1374.25,1370.4,3.85,200,Thu,Aug,11500.3,11462.2,Up,01:23:00
1407.75,2018-08-24,12:04:00,1404.35,Buy,ASIANPAINT,3.4,1441.75,1411.15,1414.55,1417.95,1421.35,1424.75,1428.15,1431.55,1434.95,1438.35,1404.35,12:16:00,-680.0,Stoploss Hit,,,,,,,,,,,,200,Fri,Aug,11576.2,11551.75,Up,00:12:00
1405.0,2018-08-27,10:10:00,1402.5,Buy,ASIANPAINT,2.5,1430.0,1407.5,1410.0,1412.5,1415.0,1417.5,1420.0,1422.5,1425.0,1427.5,1402.5,10:22:00,-500.0,Stoploss Hit,,,,,,,,,,,,200,Mon,Aug,11605.85,11557.1,Up,00:12:00
