buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
647.34,2018-08-06,10:09:00,645.09,Buy,ASTRAL,2.25,669.84,649.59,651.84,654.09,656.34,658.59,660.84,663.09,665.34,667.59,645.09,10:09:00,-618.75,Stoploss Hit,,,,,,,,,,,,275,Mon,Aug,11328.9,11346.2,Down,00:00:00
661.26,2018-08-13,10:20:00,661.26,Sell,ASTRAL,,647.4,,,,,,,,,,660.0,10:05:00,-346.5,Stoploss Hit,,658.74,657.48,656.22,654.96,653.7,652.44,651.18,649.92,648.66,1.26,275,Mon,Aug,11474.95,11470.7,Up,00:15:00
683.7,2018-08-17,10:26:00,683.7,Sell,ASTRAL,,656.97,,,,,,,,,,681.27,09:58:00,-668.25,Stoploss Hit,,678.84,676.41,673.98,671.55,669.12,666.69,664.26,661.83,659.4,2.43,275,Fri,Aug,11437.15,11385.05,Up,00:28:00
668.1,2018-08-31,09:46:00,668.1,Sell,ASTRAL,,649.2,,,,,,,,,,676.2,12:45:00,2227.5,Stoploss Hit,1to3 Trail,673.5,670.8,668.1,665.4,662.7,660.0,657.3,654.6,651.9,2.7,275,Fri,Aug,11675.85,11676.8,Down,1899-12-29 21:01:00
677.19,2018-09-04,10:21:00,677.19,Sell,ASTRAL,,658.59,,,,,,,,,,677.19,09:59:00,0.0,Stoploss Hit,Breakeven,675.33,673.47,671.61,669.75,667.89,666.03,664.17,662.31,660.45,1.86,275,Tue,Sep,11694.75,11691.9,Up,00:22:00
651.57,2018-09-11,10:17:00,651.57,Sell,ASTRAL,,612.96,,,,,,,,,,648.06,10:06:00,-965.25,Stoploss Hit,,644.55,641.04,637.53,634.02,630.51,627.0,623.49,619.98,616.47,3.51,275,Tue,Sep,11476.85,11438.1,Up,00:11:00
633.6,2018-09-12,10:30:00,633.6,Sell,ASTRAL,,616.77,,,,,,,,,,632.07,10:16:00,-420.75,Stoploss Hit,,630.54,629.01,627.48,625.95,624.42,622.89,621.36,619.83,618.3,1.53,275,Wed,Sep,11340.1,11287.5,Up,00:14:00
654.75,2018-09-18,14:51:00,654.75,Sell,ASTRAL,,636.15,,,,,,,,,,654.75,10:32:00,0.0,Stoploss Hit,Breakeven,652.89,651.03,649.17,647.31,645.45,643.59,641.73,639.87,638.01,1.86,275,Tue,Sep,11443.5,11369.9,Up,04:19:00
652.98,2018-09-19,10:31:00,652.98,Sell,ASTRAL,,630.21,,,,,,,,,,650.91,10:04:00,-569.25,Stoploss Hit,,648.84,646.77,644.7,642.63,640.56,638.49,636.42,634.35,632.28,2.07,275,Wed,Sep,11381.55,11377.75,Up,00:27:00
592.38,2018-09-24,11:58:00,592.38,Sell,ASTRAL,,550.92,,,,,,,,,,621.72,09:46:00,8068.5,Stoploss Hit,Breakeven,614.64,607.56,600.48,593.4,586.32,579.24,572.16,565.08,558.0,7.08,275,Mon,Sep,11271.3,11234.35,Up,02:12:00
