buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
2910.0,2018-08-02,14:12:00,2960.0,Buy,ATUL,10.0,3010.0,2920.0,2930.0,2940.0,2950.0,2960.0,2970.0,2980.0,2990.0,3000.0,2960.0,14:13:00,3750.0,Stoploss Hit,1to5 trail,,,,,,,,,,,75,Thu,Aug,11359.8,11356.5,Up,00:01:00
2925.0,2018-08-03,11:12:00,2929.0,Buy,ATUL,4.0,2965.0,2929.0,2933.0,2937.0,2941.0,2945.0,2949.0,2953.0,2957.0,2961.0,2929.0,11:23:00,300.0,Stoploss Hit,1to1 trail,,,,,,,,,,,75,Fri,Aug,11297.8,11244.7,Up,00:11:00
3050.0,2018-08-09,13:01:00,3042.0,Buy,ATUL,8.0,3130.0,3058.0,3066.0,3074.0,3082.0,3090.0,3098.0,3106.0,3114.0,3122.0,3042.0,13:01:00,-600.0,Stoploss Hit,,,,,,,,,,,,75,Thu,Aug,11493.25,11450.0,Up,00:00:00
3020.55,2018-08-16,11:13:00,3020.55,Sell,ATUL,,3015.05,,,,,,,,,,3020.05,11:09:00,-37.5,Stoploss Hit,,3019.55,3019.05,3018.55,3018.05,3017.55,3017.05,3016.55,3016.05,3015.55,0.5,75,Thu,Aug,10331.85,10301.05,Up,00:04:00
3030.0,2018-08-20,13:58:00,3030.0,Sell,ATUL,,2975.0,,,,,,,,,,3025.0,13:58:00,-375.0,Stoploss Hit,,3020.0,3015.0,3010.0,3005.0,3000.0,2995.0,2990.0,2985.0,2980.0,5.0,75,Mon,Aug,11437.15,11385.05,Up,00:00:00
3169.0,2018-08-29,10:15:00,3231.65,Buy,ATUL,8.95,3258.5,3177.95,3186.9,3195.85,3204.8,3213.75,3222.7,3231.65,3240.6,3249.55,3231.65,10:24:00,4698.75,Stoploss Hit,1to7 trail,,,,,,,,,,,75,Wed,Aug,11395.65,11456.9,Down,00:09:00
3234.0,2018-08-30,09:48:00,3229.35,Buy,ATUL,4.65,3280.5,3238.65,3243.3,3247.95,3252.6,3257.25,3261.9,3266.55,3271.2,3275.85,3229.35,09:48:00,-348.75,Stoploss Hit,,,,,,,,,,,,75,Thu,Aug,11744.95,11738.5,Up,00:00:00
3264.4,2018-09-03,09:51:00,3253.65,Buy,ATUL,10.75,3371.9,3275.15,3285.9,3296.65,3307.4,3318.15,3328.9,3339.65,3350.4,3361.15,3253.65,10:39:00,-806.25,Stoploss Hit,,,,,,,,,,,,75,Mon,Sep,11751.8,11680.5,Up,00:48:00
3145.6,2018-09-12,10:51:00,3145.6,Buy,ATUL,4.3,3188.6,3149.9,3154.2,3158.5,3162.8,3167.1,3171.4,3175.7,3180.0,3184.3,3145.6,11:31:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,75,Wed,Sep,11464.95,11515.2,Down,00:40:00
3179.95,2018-09-14,11:07:00,3162.3,Buy,ATUL,17.65,3356.45,3197.6,3215.25,3232.9,3250.55,3268.2,3285.85,3303.5,3321.15,3338.8,3162.3,11:49:00,-1323.75,Stoploss Hit,,,,,,,,,,,,75,Fri,Sep,11271.3,11234.35,Up,00:42:00
3140.8,2018-09-28,14:10:00,3140.8,Sell,ATUL,,3137.35,,,,,,,,,,3148.85,14:08:00,603.75,Stoploss Hit,1to7 Trail,3147.7,3146.55,3145.4,3144.25,3143.1,3141.95,3140.8,3139.65,3138.5,1.15,75,Fri,Sep,10754.7,10858.25,Down,00:02:00
