buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
320.8,2018-08-01,11:05:00,320.8,Sell,AUBANK,,313.1,,,,,,,,,,320.1,11:05:00,-700.0,Stoploss Hit,,319.4,318.7,318.0,317.3,316.6,315.9,315.2,314.5,313.8,0.7,1000,Wed,Aug,11328.9,11346.2,Down,00:00:00
330.25,2018-08-06,10:21:00,330.25,Sell,AUBANK,,318.7,,,,,,,,,,329.2,10:15:00,-1050.0,Stoploss Hit,,328.15,327.1,326.05,325.0,323.95,322.9,321.85,320.8,319.75,1.05,1000,Mon,Aug,11401.5,11360.8,Up,00:06:00
326.35,2018-08-08,10:55:00,325.25,Buy,AUBANK,1.1,337.35,327.45,328.55,329.65,330.75,331.85,332.95,334.05,335.15,336.25,325.25,10:58:00,-1100.0,Stoploss Hit,,,,,,,,,,,,1000,Wed,Aug,11423.15,11387.1,Up,00:03:00
324.38,2018-08-09,13:41:00,324.38,Sell,AUBANK,,320.2,,,,,,,,,,324.0,13:40:00,-380.0,Stoploss Hit,,323.62,323.24,322.86,322.48,322.1,321.72,321.34,320.96,320.58,0.38,1000,Thu,Aug,11381.7,11429.5,Down,00:01:00
349.0,2018-08-24,10:16:00,349.0,Buy,AUBANK,0.75,356.5,349.75,350.5,351.25,352.0,352.75,353.5,354.25,355.0,355.75,349.0,11:23:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1000,Fri,Aug,11566.6,11582.75,Down,01:07:00
302.4,2018-09-27,11:40:00,302.4,Sell,AUBANK,,297.75,,,,,,,,,,307.05,10:58:00,4650.0,Stoploss Hit,1to5 Trail,306.12,305.19,304.26,303.33,302.4,301.47,300.54,299.61,298.68,0.93,1000,Thu,Sep,10621.45,10628.6,Down,00:42:00
286.9,2018-10-01,09:49:00,280.17,Buy,AUBANK,6.73,354.2,293.63,300.36,307.09,313.82,320.55,327.28,334.01,340.74,347.47,280.17,09:52:00,-6730.0,Stoploss Hit,,,,,,,,,,,,1000,Mon,Oct,10930.9,10930.45,Up,00:03:00
277.73,2018-10-04,11:13:00,277.73,Sell,AUBANK,,254.85,,,,,,,,,,275.65,11:08:00,-2080.0,Stoploss Hit,,273.57,271.49,269.41,267.33,265.25,263.17,261.09,259.01,256.93,2.08,1000,Thu,Oct,10754.7,10858.25,Down,00:05:00
280.52,2018-10-09,10:35:00,280.52,Sell,AUBANK,,270.4,,,,,,,,,,279.6,10:25:00,-920.0,Stoploss Hit,,278.68,277.76,276.84,275.92,275.0,274.08,273.16,272.24,271.32,0.92,1000,Tue,Oct,10514.1,10599.25,Down,00:10:00
282.98,2018-10-11,09:59:00,282.33,Buy,AUBANK,0.65,289.48,283.63,284.28,284.93,285.58,286.23,286.88,287.53,288.18,288.83,282.33,09:59:00,-650.0,Stoploss Hit,,,,,,,,,,,,1000,Thu,Oct,10754.7,10858.25,Down,00:00:00
299.17,2018-10-12,10:56:00,298.02,Buy,AUBANK,1.15,310.67,300.32,301.47,302.62,303.77,304.92,306.07,307.22,308.37,309.52,298.02,11:00:00,-1150.0,Stoploss Hit,,,,,,,,,,,,1000,Fri,Oct,10169.8,10460.1,Down,00:04:00
312.52,2018-10-16,09:51:00,311.0,Buy,AUBANK,1.52,327.72,314.04,315.56,317.08,318.6,320.12,321.64,323.16,324.68,326.2,311.0,10:22:00,-1520.0,Stoploss Hit,,,,,,,,,,,,1000,Tue,Oct,10331.85,10301.05,Up,00:31:00
317.0,2018-10-17,09:52:00,317.0,Sell,AUBANK,,303.47,,,,,,,,,,315.77,09:50:00,-1230.0,Stoploss Hit,,314.54,313.31,312.08,310.85,309.62,308.39,307.16,305.93,304.7,1.23,1000,Wed,Oct,10331.55,10234.65,Up,00:02:00
