buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
606.45,2018-08-02,09:47:00,611.95,Buy,AUROPHARMA,2.75,633.95,609.2,611.95,614.7,617.45,620.2,622.95,625.7,628.45,631.2,617.6,15:00:00,11150.0,Market Exit,1to2 trail,,,,,,,,,,,1000,Thu,Aug,11328.9,11346.2,Down,05:13:00
623.4,2018-08-03,09:52:00,621.65,Buy,AUROPHARMA,1.75,640.9,625.15,626.9,628.65,630.4,632.15,633.9,635.65,637.4,639.15,621.65,10:38:00,-1750.0,Stoploss Hit,,,,,,,,,,,,1000,Fri,Aug,11297.8,11244.7,Up,00:46:00
614.75,2018-08-14,10:04:00,614.75,Sell,AUROPHARMA,,599.35,,,,,,,,,,613.35,09:46:00,-1400.0,Stoploss Hit,,611.95,610.55,609.15,607.75,606.35,604.95,603.55,602.15,600.75,1.4,1000,Tue,Aug,11381.7,11355.75,Up,00:18:00
636.0,2018-08-16,11:23:00,636.0,Buy,AUROPHARMA,1.2,648.0,637.2,638.4,639.6,640.8,642.0,643.2,644.4,645.6,646.8,636.0,11:26:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1000,Thu,Aug,11437.15,11385.05,Up,00:03:00
676.5,2018-08-23,11:02:00,676.5,Buy,AUROPHARMA,1.9,695.5,678.4,680.3,682.2,684.1,686.0,687.9,689.8,691.7,693.6,681.7,15:00:00,5200.0,Market Exit,Breakeven,,,,,,,,,,,1000,Thu,Aug,11566.6,11582.75,Down,03:58:00
782.45,2018-09-07,09:51:00,791.45,Buy,AUROPHARMA,4.5,827.45,786.95,791.45,795.95,800.45,804.95,809.45,813.95,818.45,822.95,800.55,15:00:00,18100.0,Market Exit,1to2 trail,,,,,,,,,,,1000,Fri,Sep,11558.25,11536.9,Up,05:09:00
798.3,2018-09-11,10:49:00,798.3,Sell,AUROPHARMA,,771.3,,,,,,,,,,798.3,09:46:00,0.0,Stoploss Hit,Breakeven,795.6,792.9,790.2,787.5,784.8,782.1,779.4,776.7,774.0,2.7,1000,Tue,Sep,11464.95,11515.2,Down,01:03:00
809.95,2018-09-17,09:56:00,807.15,Buy,AUROPHARMA,2.8,837.95,812.75,815.55,818.35,821.15,823.95,826.75,829.55,832.35,835.15,807.15,09:56:00,-2800.0,Stoploss Hit,,,,,,,,,,,,1000,Mon,Sep,11271.3,11234.35,Up,00:00:00
743.0,2018-09-24,12:46:00,743.0,Sell,AUROPHARMA,,708.9,,,,,,,,,,739.9,12:31:00,-3100.0,Stoploss Hit,,736.8,733.7,730.6,727.5,724.4,721.3,718.2,715.1,712.0,3.1,1000,Mon,Sep,10982.7,11008.3,Down,00:15:00
761.85,2018-10-05,09:49:00,756.35,Buy,AUROPHARMA,5.5,816.85,767.35,772.85,778.35,783.85,789.35,794.85,800.35,805.85,811.35,756.35,10:02:00,-5500.0,Stoploss Hit,,,,,,,,,,,,1000,Fri,Oct,10169.8,10460.1,Down,00:13:00
774.5,2018-10-10,10:16:00,774.5,Sell,AUROPHARMA,,725.0,,,,,,,,,,770.0,10:07:00,-4500.0,Stoploss Hit,,765.5,761.0,756.5,752.0,747.5,743.0,738.5,734.0,729.5,4.5,1000,Wed,Oct,10688.7,10584.75,Up,00:09:00
756.6,2018-10-12,10:00:00,756.6,Sell,AUROPHARMA,,725.8,,,,,,,,,,753.8,09:52:00,-2800.0,Stoploss Hit,,751.0,748.2,745.4,742.6,739.8,737.0,734.2,731.4,728.6,2.8,1000,Fri,Oct,10331.85,10301.05,Up,00:08:00
760.85,2018-10-16,12:01:00,760.85,Sell,AUROPHARMA,,716.3,,,,,,,,,,756.8,10:01:00,-4050.0,Stoploss Hit,,752.75,748.7,744.65,740.6,736.55,732.5,728.45,724.4,720.35,4.05,1000,Tue,Oct,10405.85,10303.55,Up,02:00:00
751.0,2018-10-19,09:52:00,751.0,Sell,AUROPHARMA,,721.3,,,,,,,,,,748.3,09:50:00,-2700.0,Stoploss Hit,,745.6,742.9,740.2,737.5,734.8,732.1,729.4,726.7,724.0,2.7,1000,Fri,Oct,10339.7,10453.05,Down,00:02:00
810.0,2018-11-09,11:01:00,807.75,Buy,AUROPHARMA,2.25,832.5,812.25,814.5,816.75,819.0,821.25,823.5,825.75,828.0,830.25,807.75,11:27:00,-2250.0,Stoploss Hit,,,,,,,,,,,,1000,Fri,Nov,10451.9,10482.2,Down,00:26:00
780.05,2018-11-13,09:47:00,780.05,Sell,AUROPHARMA,,766.0,,,,,,,,,,795.0,09:58:00,14950.0,Stoploss Hit,Breakeven,792.1,789.2,786.3,783.4,780.5,777.6,774.7,771.8,768.9,2.9,1000,Tue,Nov,10740.1,10763.4,Down,1899-12-29 23:49:00
794.45,2018-11-26,09:59:00,794.45,Sell,AUROPHARMA,,759.25,,,,,,,,,,791.25,09:55:00,-3200.0,Stoploss Hit,,788.05,784.85,781.65,778.45,775.25,772.05,768.85,765.65,762.45,3.2,1000,Mon,Nov,10644.8,10601.15,Up,00:04:00
805.5,2018-12-03,11:06:00,805.5,Sell,AUROPHARMA,,778.55,,,,,,,,,,803.05,11:01:00,-2450.0,Stoploss Hit,,800.6,798.15,795.7,793.25,790.8,788.35,785.9,783.45,781.0,2.45,1000,Mon,Dec,10930.7,10876.75,Up,00:05:00
773.95,2018-12-06,10:43:00,773.95,Sell,AUROPHARMA,,737.65,,,,,,,,,,770.65,10:00:00,-3300.0,Stoploss Hit,,767.35,764.05,760.75,757.45,754.15,750.85,747.55,744.25,740.95,3.3,1000,Thu,Dec,10877.1,10883.75,Down,00:43:00
736.05,2018-12-10,15:15:00,736.05,Sell,AUROPHARMA,,693.05,,,,,,,,,,736.05,10:45:00,0.0,Stoploss Hit,Breakeven,731.75,727.45,723.15,718.85,714.55,710.25,705.95,701.65,697.35,4.3,1000,Mon,Dec,10850.9,10888.35,Down,04:30:00
738.0,2018-12-11,11:16:00,733.95,Buy,AUROPHARMA,4.05,778.5,742.05,746.1,750.15,754.2,758.25,762.3,766.35,770.4,774.45,733.95,11:58:00,-4050.0,Stoploss Hit,,,,,,,,,,,,1000,Tue,Dec,10853.2,10805.45,Up,00:42:00
737.1,2018-12-12,14:19:00,737.1,Sell,AUROPHARMA,,704.1,,,,,,,,,,734.1,12:23:00,-3000.0,Stoploss Hit,,731.1,728.1,725.1,722.1,719.1,716.1,713.1,710.1,707.1,3.0,1000,Wed,Dec,10853.2,10805.45,Up,01:56:00
751.55,2018-12-13,09:54:00,747.55,Buy,AUROPHARMA,4.0,791.55,755.55,759.55,763.55,767.55,771.55,775.55,779.55,783.55,787.55,747.55,11:09:00,-4000.0,Stoploss Hit,,,,,,,,,,,,1000,Thu,Dec,10885.2,10967.3,Down,01:15:00
743.35,2018-12-17,13:56:00,745.2,Buy,AUROPHARMA,1.85,761.85,745.2,747.05,748.9,750.75,752.6,754.45,756.3,758.15,760.0,749.65,15:00:00,6300.0,Market Exit,1to1 trail,,,,,,,,,,,1000,Mon,Dec,10930.55,10908.7,Up,01:04:00
734.55,2018-12-18,13:13:00,734.55,Sell,AUROPHARMA,,711.05,,,,,,,,,,734.55,11:47:00,0.0,Stoploss Hit,Breakeven,732.2,729.85,727.5,725.15,722.8,720.45,718.1,715.75,713.4,2.35,1000,Tue,Dec,10868.85,10910.1,Down,01:26:00
732.0,2018-12-21,09:47:00,728.1,Buy,AUROPHARMA,3.9,771.0,735.9,739.8,743.7,747.6,751.5,755.4,759.3,763.2,767.1,728.1,09:54:00,-3900.0,Stoploss Hit,,,,,,,,,,,,1000,Fri,Dec,10944.25,10951.7,Down,00:07:00
703.6,2018-12-24,11:01:00,703.6,Sell,AUROPHARMA,,681.65,,,,,,,,,,720.65,10:32:00,17050.0,Stoploss Hit,Breakeven,716.75,712.85,708.95,705.05,701.15,697.25,693.35,689.45,685.55,3.9,1000,Mon,Dec,10859.35,10855.15,Up,00:29:00
