buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
545.25,2018-08-02,12:38:00,542.6,Buy,AXISBANK,2.65,571.75,547.9,550.55,553.2,555.85,558.5,561.15,563.8,566.45,569.1,542.6,12:52:00,-3180.0,Stoploss Hit,,,,,,,,,,,,1200,Thu,Aug,11328.9,11346.2,Down,00:14:00
583.0,2018-08-06,10:37:00,589.75,Buy,AXISBANK,1.35,596.5,584.35,585.7,587.05,588.4,589.75,591.1,592.45,593.8,595.15,589.75,11:13:00,8100.0,Stoploss Hit,1to5 trail,,,,,,,,,,,1200,Mon,Aug,11401.5,11360.8,Up,00:36:00
638.0,2018-09-05,09:57:00,638.0,Sell,AXISBANK,,612.7,,,,,,,,,,635.7,09:51:00,-2760.0,Stoploss Hit,,633.4,631.1,628.8,626.5,624.2,621.9,619.6,617.3,615.0,2.3,1200,Wed,Sep,11514.85,11520.3,Down,00:06:00
622.15,2018-09-18,11:40:00,622.15,Sell,AXISBANK,,608.65,,,,,,,,,,622.15,10:23:00,0.0,Stoploss Hit,Breakeven,620.8,619.45,618.1,616.75,615.4,614.05,612.7,611.35,610.0,1.35,1200,Tue,Sep,11381.55,11377.75,Up,01:17:00
599.85,2018-09-24,10:21:00,599.85,Buy,AXISBANK,2.9,628.85,602.75,605.65,608.55,611.45,614.35,617.25,620.15,623.05,625.95,599.85,11:21:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1200,Mon,Sep,11079.8,11053.8,Up,01:00:00
597.6,2018-09-27,11:52:00,597.6,Sell,AXISBANK,,594.15,,,,,,,,,,614.15,09:46:00,19860.0,Stoploss Hit,Breakeven,612.15,610.15,608.15,606.15,604.15,602.15,600.15,598.15,596.15,2.0,1200,Thu,Sep,10930.9,10930.45,Up,02:06:00
561.0,2018-10-09,10:36:00,561.0,Sell,AXISBANK,,522.5,,,,,,,,,,557.5,10:04:00,-4200.0,Stoploss Hit,,554.0,550.5,547.0,543.5,540.0,536.5,533.0,529.5,526.0,3.5,1200,Tue,Oct,10169.8,10460.1,Down,00:32:00
590.0,2018-10-12,11:34:00,590.0,Sell,AXISBANK,,557.0,,,,,,,,,,587.0,11:18:00,-3600.0,Stoploss Hit,,584.0,581.0,578.0,575.0,572.0,569.0,566.0,563.0,560.0,3.0,1200,Fri,Oct,10550.15,10512.5,Up,00:16:00
575.0,2018-10-19,09:58:00,572.65,Buy,AXISBANK,2.35,598.5,577.35,579.7,582.05,584.4,586.75,589.1,591.45,593.8,596.15,572.65,10:00:00,-2820.0,Stoploss Hit,,,,,,,,,,,,1200,Fri,Oct,10278.15,10146.8,Up,00:02:00
567.95,2018-10-22,10:07:00,564.55,Buy,AXISBANK,3.4,601.95,571.35,574.75,578.15,581.55,584.95,588.35,591.75,595.15,598.55,564.55,10:12:00,-4080.0,Stoploss Hit,,,,,,,,,,,,1200,Mon,Oct,10339.7,10453.05,Down,00:05:00
566.1,2018-10-23,09:48:00,563.8,Buy,AXISBANK,2.3,589.1,568.4,570.7,573.0,575.3,577.6,579.9,582.2,584.5,586.8,563.8,09:53:00,-2760.0,Stoploss Hit,,,,,,,,,,,,1200,Tue,Oct,10209.55,10198.4,Up,00:05:00
