buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
2680.0,2018-08-02,12:19:00,2680.0,Buy,BAJAJ-AUTO,6.8,2748.0,2686.8,2693.6,2700.4,2707.2,2714.0,2720.8,2727.6,2734.4,2741.2,2685.85,15:00:00,1462.5,Market Exit,Breakeven,,,,,,,,,,,250,Thu,Aug,11328.9,11346.2,Down,02:41:00
2690.3,2018-08-06,10:16:00,2690.3,Sell,BAJAJ-AUTO,,2639.0,,,,,,,,,,2696.0,10:15:00,1425.0,Stoploss Hit,1to1 Trail,2690.3,2684.6,2678.9,2673.2,2667.5,2661.8,2656.1,2650.4,2644.7,5.7,250,Mon,Aug,11401.5,11360.8,Up,00:01:00
2676.2,2018-08-08,09:46:00,2676.2,Sell,BAJAJ-AUTO,,2623.1,,,,,,,,,,2682.1,09:46:00,1475.0,Stoploss Hit,1to1 Trail,2676.2,2670.3,2664.4,2658.5,2652.6,2646.7,2640.8,2634.9,2629.0,5.9,250,Wed,Aug,,11389.45,Down,00:00:00
2628.9,2018-08-13,10:15:00,2628.9,Buy,BAJAJ-AUTO,7.55,2704.4,2636.45,2644.0,2651.55,2659.1,2666.65,2674.2,2681.75,2689.3,2696.85,2630.05,15:00:00,287.5,Market Exit,Breakeven,,,,,,,,,,,250,Mon,Aug,11474.95,11470.7,Up,04:45:00
2666.0,2018-08-16,10:15:00,2660.0,Buy,BAJAJ-AUTO,6.0,2726.0,2672.0,2678.0,2684.0,2690.0,2696.0,2702.0,2708.0,2714.0,2720.0,2660.0,12:29:00,-1500.0,Stoploss Hit,,,,,,,,,,,,250,Thu,Aug,11576.2,11551.75,Up,02:14:00
2705.8,2018-08-21,09:57:00,2705.8,Sell,BAJAJ-AUTO,,2672.0,,,,,,,,,,2750.0,11:07:00,11050.0,Stoploss Hit,Breakeven,2742.2,2734.4,2726.6,2718.8,2711.0,2703.2,2695.4,2687.6,2679.8,7.8,250,Tue,Aug,11694.75,11691.9,Up,1899-12-29 22:50:00
2735.0,2018-08-31,09:58:00,2728.35,Buy,BAJAJ-AUTO,6.65,2801.5,2741.65,2748.3,2754.95,2761.6,2768.25,2774.9,2781.55,2788.2,2794.85,2728.35,10:10:00,-1662.5,Stoploss Hit,,,,,,,,,,,,250,Fri,Aug,11751.8,11680.5,Up,00:12:00
2872.4,2018-09-07,10:01:00,2898.95,Buy,BAJAJ-AUTO,8.85,2960.9,2881.25,2890.1,2898.95,2907.8,2916.65,2925.5,2934.35,2943.2,2952.05,2916.85,15:00:00,11112.5,Market Exit,1to3 trail,,,,,,,,,,,250,Fri,Sep,11558.25,11536.9,Up,04:59:00
2812.7,2018-09-18,09:55:00,2812.7,Sell,BAJAJ-AUTO,,2796.95,,,,,,,,,,2849.45,09:46:00,9187.5,Stoploss Hit,1to7 Trail,2844.2,2838.95,2833.7,2828.45,2823.2,2817.95,2812.7,2807.45,2802.2,5.25,250,Tue,Sep,11326.65,11278.9,Up,00:09:00
2798.95,2018-09-19,09:56:00,2782.85,Buy,BAJAJ-AUTO,-2.3,2775.95,2796.65,2794.35,2792.05,2789.75,2787.45,2785.15,2782.85,2780.55,2778.25,2782.85,14:33:00,-4025.0,Stoploss Hit,1to7 trail,,,,,,,,,,,250,Wed,Sep,11271.3,11234.35,Up,04:37:00
2750.0,2018-10-03,11:50:00,2750.0,Buy,BAJAJ-AUTO,8.45,2834.5,2758.45,2766.9,2775.35,2783.8,2792.25,2800.7,2809.15,2817.6,2826.05,2750.0,12:56:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,250,Wed,Oct,10982.7,11008.3,Down,01:06:00
2565.0,2018-10-05,13:35:00,2565.0,Sell,BAJAJ-AUTO,,2484.7,,,,,,,,,,2557.7,13:05:00,-1825.0,Stoploss Hit,,2550.4,2543.1,2535.8,2528.5,2521.2,2513.9,2506.6,2499.3,2492.0,7.3,250,Fri,Oct,10390.3,10348.05,Up,00:30:00
2540.0,2018-10-19,11:31:00,2533.0,Buy,BAJAJ-AUTO,7.0,2610.0,2547.0,2554.0,2561.0,2568.0,2575.0,2582.0,2589.0,2596.0,2603.0,2533.0,11:40:00,-1750.0,Stoploss Hit,,,,,,,,,,,,250,Fri,Oct,10339.7,10453.05,Down,00:09:00
2558.5,2018-10-23,10:35:00,2551.6,Buy,BAJAJ-AUTO,6.9,2627.5,2565.4,2572.3,2579.2,2586.1,2593.0,2599.9,2606.8,2613.7,2620.6,2551.6,10:52:00,-1725.0,Stoploss Hit,,,,,,,,,,,,250,Tue,Oct,10152.6,10245.25,Down,00:17:00
2460.0,2018-10-25,09:46:00,2456.85,Buy,BAJAJ-AUTO,3.15,2491.5,2463.15,2466.3,2469.45,2472.6,2475.75,2478.9,2482.05,2485.2,2488.35,2456.85,09:46:00,-787.5,Stoploss Hit,,,,,,,,,,,,250,Thu,Oct,10135.05,10224.75,Down,00:00:00
2488.0,2018-10-26,11:30:00,2505.9,Buy,BAJAJ-AUTO,8.95,2577.5,2496.95,2505.9,2514.85,2523.8,2532.75,2541.7,2550.65,2559.6,2568.55,2524.5,15:00:00,9125.0,Market Exit,1to2 trail,,,,,,,,,,,250,Fri,Oct,10239.4,10250.85,Down,03:30:00
2598.3,2018-11-01,10:31:00,2598.3,Sell,BAJAJ-AUTO,,2469.05,,,,,,,,,,2586.55,09:46:00,-2937.5,Stoploss Hit,,2574.8,2563.05,2551.3,2539.55,2527.8,2516.05,2504.3,2492.55,2480.8,11.75,250,Thu,Nov,17859.1,17856.5,Up,00:45:00
2679.9,2018-11-06,11:44:00,2679.9,Sell,BAJAJ-AUTO,,2606.2,,,,,,,,,,2673.2,09:58:00,-1675.0,Stoploss Hit,,2666.5,2659.8,2653.1,2646.4,2639.7,2633.0,2626.3,2619.6,2612.9,6.7,250,Tue,Nov,10552.0,10524.0,Up,01:46:00
2616.3,2018-11-12,15:22:00,2616.3,Sell,BAJAJ-AUTO,,2598.0,,,,,,,,,,2698.0,09:46:00,20425.0,Stoploss Hit,Breakeven,2688.0,2678.0,2668.0,2658.0,2648.0,2638.0,2628.0,2618.0,2608.0,10.0,250,Mon,Nov,10558.75,10553.0,Up,05:36:00
2694.45,2018-11-15,10:53:00,2685.55,Buy,BAJAJ-AUTO,8.9,2783.45,2703.35,2712.25,2721.15,2730.05,2738.95,2747.85,2756.75,2765.65,2774.55,2685.55,11:02:00,-2225.0,Stoploss Hit,,,,,,,,,,,,250,Thu,Nov,10740.1,10763.4,Down,00:09:00
2694.0,2018-11-16,10:04:00,2690.1,Buy,BAJAJ-AUTO,3.9,2733.0,2697.9,2701.8,2705.7,2709.6,2713.5,2717.4,2721.3,2725.2,2729.1,2690.1,10:18:00,-975.0,Stoploss Hit,,,,,,,,,,,,250,Fri,Nov,10740.1,10763.4,Down,00:14:00
2691.95,2018-11-19,10:38:00,2691.95,Sell,BAJAJ-AUTO,,2646.95,,,,,,,,,,2691.95,09:51:00,0.0,Stoploss Hit,Breakeven,2687.45,2682.95,2678.45,2673.95,2669.45,2664.95,2660.45,2655.95,2651.45,4.5,250,Mon,Nov,10731.25,10682.2,Up,00:47:00
2615.0,2018-11-22,12:25:00,2600.1,Buy,BAJAJ-AUTO,14.9,2764.0,2629.9,2644.8,2659.7,2674.6,2689.5,2704.4,2719.3,2734.2,2749.1,2600.1,13:00:00,-3725.0,Stoploss Hit,,,,,,,,,,,,250,Thu,Nov,10568.3,10526.75,Up,00:35:00
2591.0,2018-11-27,11:50:00,2591.0,Sell,BAJAJ-AUTO,,2568.0,,,,,,,,,,2591.0,11:27:00,0.0,Stoploss Hit,Breakeven,2588.7,2586.4,2584.1,2581.8,2579.5,2577.2,2574.9,2572.6,2570.3,2.3,250,Tue,Nov,10808.7,10728.85,Up,00:23:00
