buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
682.2,2018-08-31,09:46:00,682.2,Sell,BAJAJFINSV,,678.0,,,,,,,,,,692.0,10:10:00,4900.0,Stoploss Hit,1to7 Trail,690.6,689.2,687.8,686.4,685.0,683.6,682.2,680.8,679.4,1.4,500,Fri,Aug,11397.15,11435.1,Down,1899-12-29 23:36:00
696.5,2019-03-18,10:08:00,696.5,Sell,BAJAJFINSV,,682.31,,,,,,,,,,695.21,09:57:00,-645.0,Stoploss Hit,,693.92,692.63,691.34,690.05,688.76,687.47,686.18,684.89,683.6,1.29,500,Mon,Mar,11620.7,11570.9,Up,00:11:00
701.48,2019-03-19,10:01:00,698.9,Buy,BAJAJFINSV,2.58,727.28,704.06,706.64,709.22,711.8,714.38,716.96,719.54,722.12,724.7,698.9,10:20:00,-1290.0,Stoploss Hit,,,,,,,,,,,,500,Tue,Mar,11566.6,11582.75,Down,00:19:00
694.49,2019-03-25,09:58:00,694.49,Buy,BAJAJFINSV,1.16,706.09,695.65,696.81,697.97,699.13,700.29,701.45,702.61,703.77,704.93,694.49,11:06:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,500,Mon,Mar,11675.85,11676.8,Down,01:08:00
693.99,2019-03-26,10:04:00,693.99,Sell,BAJAJFINSV,,683.32,,,,,,,,,,693.02,09:58:00,-485.0,Stoploss Hit,,692.05,691.08,690.11,689.14,688.17,687.2,686.23,685.26,684.29,0.97,500,Tue,Mar,10969.95,10967.4,Up,00:06:00
709.0,2019-04-01,10:07:00,712.0,Buy,BAJAJFINSV,1.0,719.0,710.0,711.0,712.0,713.0,714.0,715.0,716.0,717.0,718.0,712.0,14:14:00,1500.0,Stoploss Hit,1to3 trail,,,,,,,,,,,500,Mon,Apr,11514.85,11520.3,Down,04:07:00
721.5,2019-04-02,10:06:00,720.55,Buy,BAJAJFINSV,0.95,731.0,722.45,723.4,724.35,725.3,726.25,727.2,728.15,729.1,730.05,720.55,10:09:00,-475.0,Stoploss Hit,,,,,,,,,,,,500,Tue,Apr,11751.8,11680.5,Up,00:03:00
733.0,2019-04-03,09:52:00,732.06,Buy,BAJAJFINSV,0.94,742.4,733.94,734.88,735.82,736.76,737.7,738.64,739.58,740.52,741.46,732.06,09:52:00,-470.0,Stoploss Hit,,,,,,,,,,,,500,Wed,Apr,11735.3,11713.2,Up,00:00:00
736.48,2019-04-04,12:17:00,736.48,Sell,BAJAJFINSV,,716.9,,,,,,,,,,734.7,11:53:00,-890.0,Stoploss Hit,,732.92,731.14,729.36,727.58,725.8,724.02,722.24,720.46,718.68,1.78,500,Thu,Apr,11514.85,11520.3,Down,00:24:00
753.62,2019-04-12,10:45:00,753.62,Sell,BAJAJFINSV,,744.6,,,,,,,,,,752.8,10:39:00,-410.0,Stoploss Hit,,751.98,751.16,750.34,749.52,748.7,747.88,747.06,746.24,745.42,0.82,500,Fri,Apr,11079.8,11053.8,Up,00:06:00
