buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
2721.95,2018-08-01,09:53:00,2721.95,Buy,BAJFINANCE,10.4,2825.95,2732.35,2742.75,2753.15,2763.55,2773.95,2784.35,2794.75,2805.15,2815.55,2721.95,14:00:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,125,Wed,Aug,11359.8,11356.5,Up,04:07:00
2692.55,2018-08-02,09:46:00,2692.55,Sell,BAJFINANCE,,2630.05,,,,,,,,,,2692.55,13:40:00,0.0,Stoploss Hit,Breakeven,2686.3,2680.05,2673.8,2667.55,2661.3,2655.05,2648.8,2642.55,2636.3,6.25,125,Thu,Aug,11401.5,11360.8,Up,1899-12-29 20:06:00
2685.35,2018-08-07,10:34:00,2685.35,Sell,BAJFINANCE,,2659.5,,,,,,,,,,2683.0,10:24:00,-293.75,Stoploss Hit,,2680.65,2678.3,2675.95,2673.6,2671.25,2668.9,2666.55,2664.2,2661.85,2.35,125,Tue,Aug,11423.15,11387.1,Up,00:10:00
2825.6,2018-08-09,11:30:00,2825.6,Sell,BAJFINANCE,,2729.35,,,,,,,,,,2816.85,10:58:00,-1093.75,Stoploss Hit,,2808.1,2799.35,2790.6,2781.85,2773.1,2764.35,2755.6,2746.85,2738.1,8.75,125,Thu,Aug,11493.25,11450.0,Up,00:32:00
2840.85,2018-08-20,09:47:00,2840.85,Sell,BAJFINANCE,,2771.15,,,,,,,,,,2855.15,11:26:00,1787.5,Stoploss Hit,Breakeven,2846.75,2838.35,2829.95,2821.55,2813.15,2804.75,2796.35,2787.95,2779.55,8.4,125,Mon,Aug,11576.2,11551.75,Up,1899-12-29 22:21:00
2958.6,2018-08-29,10:40:00,2953.0,Buy,BAJFINANCE,5.6,3014.6,2964.2,2969.8,2975.4,2981.0,2986.6,2992.2,2997.8,3003.4,3009.0,2953.0,11:46:00,-700.0,Stoploss Hit,,,,,,,,,,,,125,Wed,Aug,11731.95,11691.95,Up,01:06:00
2897.4,2018-08-31,10:31:00,2897.4,Sell,BAJFINANCE,,2877.0,,,,,,,,,,2928.0,10:05:00,3825.0,Stoploss Hit,1to6 Trail,2922.9,2917.8,2912.7,2907.6,2902.5,2897.4,2892.3,2887.2,2882.1,5.1,125,Fri,Aug,11744.95,11738.5,Up,00:26:00
2810.0,2018-09-03,11:52:00,2810.0,Sell,BAJFINANCE,,2747.3,,,,,,,,,,2804.3,11:50:00,-712.5,Stoploss Hit,,2798.6,2792.9,2787.2,2781.5,2775.8,2770.1,2764.4,2758.7,2753.0,5.7,125,Mon,Sep,11576.2,11551.75,Up,00:02:00
2625.0,2018-09-11,09:59:00,2599.85,Buy,BAJFINANCE,25.15,2876.5,2650.15,2675.3,2700.45,2725.6,2750.75,2775.9,2801.05,2826.2,2851.35,2599.85,14:21:00,-3143.75,Stoploss Hit,,,,,,,,,,,,125,Tue,Sep,11476.85,11438.1,Up,04:22:00
2653.9,2018-09-14,10:16:00,2641.0,Buy,BAJFINANCE,12.9,2782.9,2666.8,2679.7,2692.6,2705.5,2718.4,2731.3,2744.2,2757.1,2770.0,2641.0,11:13:00,-1612.5,Stoploss Hit,,,,,,,,,,,,125,Fri,Sep,11558.25,11536.9,Up,00:57:00
2621.8,2018-09-17,11:54:00,2621.8,Sell,BAJFINANCE,,2492.55,,,,,,,,,,2610.05,10:34:00,-1468.75,Stoploss Hit,,2598.3,2586.55,2574.8,2563.05,2551.3,2539.55,2527.8,2516.05,2504.3,11.75,125,Mon,Sep,11340.1,11287.5,Up,01:20:00
2556.0,2018-09-21,09:58:00,2548.15,Buy,BAJFINANCE,7.85,2634.5,2563.85,2571.7,2579.55,2587.4,2595.25,2603.1,2610.95,2618.8,2626.65,2548.15,10:11:00,-981.25,Stoploss Hit,,,,,,,,,,,,125,Fri,Sep,11271.3,11234.35,Up,00:13:00
2232.85,2018-10-03,10:11:00,2211.35,Buy,BAJFINANCE,21.5,2447.85,2254.35,2275.85,2297.35,2318.85,2340.35,2361.85,2383.35,2404.85,2426.35,2211.35,10:32:00,-2687.5,Stoploss Hit,,,,,,,,,,,,125,Wed,Oct,10982.7,11008.3,Down,00:21:00
2189.95,2018-10-04,09:50:00,2195.7,Buy,BAJFINANCE,5.75,2247.45,2195.7,2201.45,2207.2,2212.95,2218.7,2224.45,2230.2,2235.95,2241.7,2195.7,10:01:00,718.75,Stoploss Hit,1to1 trail,,,,,,,,,,,125,Thu,Oct,10930.9,10930.45,Up,00:11:00
2155.5,2018-10-05,14:04:00,2155.5,Sell,BAJFINANCE,,2010.5,,,,,,,,,,2155.5,12:43:00,0.0,Stoploss Hit,Breakeven,2141.0,2126.5,2112.0,2097.5,2083.0,2068.5,2054.0,2039.5,2025.0,14.5,125,Fri,Oct,10514.1,10599.25,Down,01:21:00
2275.0,2018-10-15,11:10:00,2275.0,Sell,BAJFINANCE,,2215.0,,,,,,,,,,2275.0,11:07:00,0.0,Stoploss Hit,Breakeven,2269.0,2263.0,2257.0,2251.0,2245.0,2239.0,2233.0,2227.0,2221.0,6.0,125,Mon,Oct,10331.85,10301.05,Up,00:03:00
