buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1260.9,2018-08-03,13:06:00,1254.8,Buy,BALKRISIND,6.1,1321.9,1267.0,1273.1,1279.2,1285.3,1291.4,1297.5,1303.6,1309.7,1315.8,1254.8,14:08:00,-1830.0,Stoploss Hit,,,,,,,,,,,,300,Fri,Aug,11297.8,11244.7,Up,01:02:00
1233.0,2018-08-07,12:15:00,1233.0,Sell,BALKRISIND,,1170.5,,,,,,,,,,1233.0,10:00:00,0.0,Stoploss Hit,Breakeven,1226.75,1220.5,1214.25,1208.0,1201.75,1195.5,1189.25,1183.0,1176.75,6.25,300,Tue,Aug,11412.5,11389.45,Up,02:15:00
1250.5,2018-08-09,10:08:00,1250.5,Sell,BALKRISIND,,1207.0,,,,,,,,,,1250.5,09:53:00,0.0,Stoploss Hit,Breakeven,1246.15,1241.8,1237.45,1233.1,1228.75,1224.4,1220.05,1215.7,1211.35,4.35,300,Thu,Aug,11474.95,11470.7,Up,00:15:00
1251.4,2018-08-10,14:07:00,1251.4,Sell,BALKRISIND,,1221.9,,,,,,,,,,1251.4,14:03:00,0.0,Stoploss Hit,Breakeven,1248.45,1245.5,1242.55,1239.6,1236.65,1233.7,1230.75,1227.8,1224.85,2.95,300,Fri,Aug,11566.6,11582.75,Down,00:04:00
1266.7,2018-09-03,12:08:00,1266.7,Sell,BALKRISIND,,1189.15,,,,,,,,,,1259.65,11:40:00,-2115.0,Stoploss Hit,,1252.6,1245.55,1238.5,1231.45,1224.4,1217.35,1210.3,1203.25,1196.2,7.05,300,Mon,Sep,11514.85,11520.3,Down,00:28:00
1157.9,2018-09-05,10:10:00,1157.9,Sell,BALKRISIND,,1102.9,,,,,,,,,,1152.9,10:03:00,-1500.0,Stoploss Hit,,1147.9,1142.9,1137.9,1132.9,1127.9,1122.9,1117.9,1112.9,1107.9,5.0,300,Wed,Sep,11514.85,11520.3,Down,00:07:00
1180.05,2018-09-10,09:47:00,1177.15,Buy,BALKRISIND,2.9,1209.05,1182.95,1185.85,1188.75,1191.65,1194.55,1197.45,1200.35,1203.25,1206.15,1177.15,09:50:00,-870.0,Stoploss Hit,,,,,,,,,,,,300,Mon,Sep,11381.55,11377.75,Up,00:03:00
1152.0,2018-09-12,13:36:00,1152.0,Buy,BALKRISIND,3.7,1189.0,1155.7,1159.4,1163.1,1166.8,1170.5,1174.2,1177.9,1181.6,1185.3,1158.05,15:00:00,1815.0,Market Exit,Breakeven,,,,,,,,,,,300,Wed,Sep,11340.1,11287.5,Up,01:24:00
1186.0,2018-09-14,11:20:00,1181.65,Buy,BALKRISIND,4.35,1229.5,1190.35,1194.7,1199.05,1203.4,1207.75,1212.1,1216.45,1220.8,1225.15,1181.65,11:22:00,-1305.0,Stoploss Hit,,,,,,,,,,,,300,Fri,Sep,11381.55,11377.75,Up,00:02:00
1156.4,2018-09-17,10:03:00,1153.0,Buy,BALKRISIND,3.4,1190.4,1159.8,1163.2,1166.6,1170.0,1173.4,1176.8,1180.2,1183.6,1187.0,1153.0,10:21:00,-1020.0,Stoploss Hit,,,,,,,,,,,,300,Mon,Sep,10580.6,10576.3,Up,00:18:00
1098.8,2018-09-24,13:09:00,1098.8,Buy,BALKRISIND,4.8,1146.8,1103.6,1108.4,1113.2,1118.0,1122.8,1127.6,1132.4,1137.2,1142.0,1098.8,13:18:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,300,Mon,Sep,11601.5,11575.95,Up,00:09:00
1104.55,2018-09-25,09:55:00,1096.2,Buy,BALKRISIND,8.35,1188.05,1112.9,1121.25,1129.6,1137.95,1146.3,1154.65,1163.0,1171.35,1179.7,1096.2,11:29:00,-2505.0,Stoploss Hit,,,,,,,,,,,,300,Tue,Sep,10754.7,10858.25,Down,01:34:00
996.1,2018-10-09,09:56:00,988.85,Buy,BALKRISIND,7.25,1068.6,1003.35,1010.6,1017.85,1025.1,1032.35,1039.6,1046.85,1054.1,1061.35,988.85,10:39:00,-2175.0,Stoploss Hit,,,,,,,,,,,,300,Tue,Oct,10524.2,10472.5,Up,00:43:00
