buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
72.2,2018-08-14,09:48:00,72.6,Buy,BALRAMCHIN,0.2,74.2,72.4,72.6,72.8,73.0,73.2,73.4,73.6,73.8,74.0,72.6,09:53:00,640.0,Stoploss Hit,1to2 trail,,,,,,,,,,,1600,Tue,Aug,11423.15,11387.1,Up,00:05:00
71.55,2018-08-16,13:41:00,71.55,Sell,BALRAMCHIN,,70.45,,,,,,,,,,71.45,13:41:00,-160.0,Stoploss Hit,,71.35,71.25,71.15,71.05,70.95,70.85,70.75,70.65,70.55,0.1,1600,Thu,Aug,11397.15,11435.1,Down,00:00:00
96.25,2018-09-17,09:55:00,95.55,Buy,BALRAMCHIN,0.7,103.25,96.95,97.65,98.35,99.05,99.75,100.45,101.15,101.85,102.55,95.55,10:18:00,-1120.0,Stoploss Hit,,,,,,,,,,,,1600,Mon,Sep,11514.85,11520.3,Down,00:23:00
85.35,2018-09-21,10:29:00,85.35,Sell,BALRAMCHIN,,81.5,,,,,,,,,,85.0,10:26:00,-560.0,Stoploss Hit,,84.65,84.3,83.95,83.6,83.25,82.9,82.55,82.2,81.85,0.35,1600,Fri,Sep,11476.85,11438.1,Up,00:03:00
76.85,2018-09-27,10:01:00,76.85,Sell,BALRAMCHIN,,70.8,,,,,,,,,,76.3,09:56:00,-880.0,Stoploss Hit,,75.75,75.2,74.65,74.1,73.55,73.0,72.45,71.9,71.35,0.55,1600,Thu,Sep,11340.1,11287.5,Up,00:05:00
82.0,2018-10-09,09:53:00,82.55,Buy,BALRAMCHIN,0.55,87.5,82.55,83.1,83.65,84.2,84.75,85.3,85.85,86.4,86.95,83.75,15:00:00,2800.0,Market Exit,1to1 trail,,,,,,,,,,,1600,Tue,Oct,10982.7,11008.3,Down,05:07:00
85.9,2018-10-10,12:20:00,91.5,Buy,BALRAMCHIN,0.8,93.9,86.7,87.5,88.3,89.1,89.9,90.7,91.5,92.3,93.1,91.5,14:27:00,8960.0,Stoploss Hit,1to7 trail,,,,,,,,,,,1600,Wed,Oct,10310.15,10316.45,Down,02:07:00
95.7,2018-10-19,10:15:00,94.25,Buy,BALRAMCHIN,1.45,110.2,97.15,98.6,100.05,101.5,102.95,104.4,105.85,107.3,108.75,94.25,10:26:00,-2320.0,Stoploss Hit,,,,,,,,,,,,1600,Fri,Oct,10331.55,10234.65,Up,00:11:00
99.15,2018-10-26,10:19:00,99.65,Buy,BALRAMCHIN,0.25,101.65,99.4,99.65,99.9,100.15,100.4,100.65,100.9,101.15,101.4,99.65,12:40:00,800.0,Stoploss Hit,1to2 trail,,,,,,,,,,,1600,Fri,Oct,10152.6,10245.25,Down,02:21:00
109.9,2018-11-02,12:02:00,108.8,Buy,BALRAMCHIN,1.1,120.9,111.0,112.1,113.2,114.3,115.4,116.5,117.6,118.7,119.8,108.8,14:17:00,-1760.0,Stoploss Hit,,,,,,,,,,,,1600,Fri,Nov,10078.1,10030.0,Up,02:15:00
112.35,2018-11-14,09:57:00,112.35,Buy,BALRAMCHIN,1.0,122.35,113.35,114.35,115.35,116.35,117.35,118.35,119.35,120.35,121.35,112.35,14:20:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1600,Wed,Nov,10462.3,10380.45,Up,04:23:00
111.0,2018-11-16,10:44:00,111.0,Sell,BALRAMCHIN,,110.7,,,,,,,,,,111.7,11:25:00,1120.0,Stoploss Hit,1to7 Trail,111.6,111.5,111.4,111.3,111.2,111.1,111.0,110.9,110.8,0.1,1600,Fri,Nov,10635.45,10663.5,Down,1899-12-29 23:19:00
109.25,2019-01-04,10:45:00,101.55,Buy,BALRAMCHIN,-1.1,98.25,108.15,107.05,105.95,104.85,103.75,102.65,101.55,100.45,99.35,101.55,09:46:00,-12320.0,Stoploss Hit,1to7 trail,,,,,,,,,,,1600,Fri,Jan,10807.0,10794.95,Up,1899-12-29 23:01:00
105.15,2019-02-05,10:46:00,105.15,Sell,BALRAMCHIN,,99.65,,,,,,,,,,105.15,09:57:00,0.0,Stoploss Hit,Breakeven,104.6,104.05,103.5,102.95,102.4,101.85,101.3,100.75,100.2,0.55,1600,Tue,Feb,10908.65,10912.25,Down,00:49:00
108.8,2019-02-06,09:55:00,108.8,Sell,BALRAMCHIN,,105.5,,,,,,,,,,108.5,09:55:00,-480.0,Stoploss Hit,,108.2,107.9,107.6,107.3,107.0,106.7,106.4,106.1,105.8,0.3,1600,Wed,Feb,10653.7,10661.55,Down,00:00:00
130.5,2019-02-27,11:32:00,130.5,Sell,BALRAMCHIN,,125.0,,,,,,,,,,130.5,11:28:00,0.0,Stoploss Hit,Breakeven,129.95,129.4,128.85,128.3,127.75,127.2,126.65,126.1,125.55,0.55,1600,Wed,Feb,10965.1,10934.35,Up,00:04:00
136.45,2019-03-05,12:37:00,135.65,Buy,BALRAMCHIN,0.8,144.45,137.25,138.05,138.85,139.65,140.45,141.25,142.05,142.85,143.65,135.65,13:45:00,-1280.0,Stoploss Hit,,,,,,,,,,,,1600,Tue,Mar,10782.7,10789.85,Down,01:08:00
142.7,2019-03-07,09:55:00,142.7,Sell,BALRAMCHIN,,137.2,,,,,,,,,,142.2,09:50:00,-800.0,Stoploss Hit,,141.7,141.2,140.7,140.2,139.7,139.2,138.7,138.2,137.7,0.5,1600,Thu,Mar,10775.3,10880.1,Down,00:05:00
134.1,2019-03-08,13:03:00,134.1,Sell,BALRAMCHIN,,133.65,,,,,,,,,,135.15,13:00:00,1680.0,Stoploss Hit,1to7 Trail,135.0,134.85,134.7,134.55,134.4,134.25,134.1,133.95,133.8,0.15,1600,Fri,Mar,11024.85,10987.45,Up,00:03:00
133.5,2019-03-13,14:27:00,133.5,Sell,BALRAMCHIN,,129.0,,,,,,,,,,133.5,10:00:00,0.0,Stoploss Hit,Breakeven,133.05,132.6,132.15,131.7,131.25,130.8,130.35,129.9,129.45,0.45,1600,Wed,Mar,10775.3,10880.1,Down,04:27:00
131.85,2019-03-19,10:12:00,131.85,Sell,BALRAMCHIN,,127.85,,,,,,,,,,131.85,10:00:00,0.0,Stoploss Hit,Breakeven,131.45,131.05,130.65,130.25,129.85,129.45,129.05,128.65,128.25,0.4,1600,Tue,Mar,11500.3,11462.2,Up,00:12:00
133.35,2019-03-27,09:48:00,135.1,Buy,BALRAMCHIN,0.25,135.85,133.6,133.85,134.1,134.35,134.6,134.85,135.1,135.35,135.6,135.1,10:14:00,2800.0,Stoploss Hit,1to7 trail,,,,,,,,,,,1600,Wed,Mar,11376.85,11343.25,Up,00:26:00
136.75,2019-03-29,09:59:00,136.55,Buy,BALRAMCHIN,0.2,138.75,136.95,137.15,137.35,137.55,137.75,137.95,138.15,138.35,138.55,136.55,10:17:00,-320.0,Stoploss Hit,,,,,,,,,,,,1600,Fri,Mar,11500.3,11462.2,Up,00:18:00
137.5,2019-04-04,10:40:00,137.5,Sell,BALRAMCHIN,,134.2,,,,,,,,,,137.2,10:38:00,-480.0,Stoploss Hit,,136.9,136.6,136.3,136.0,135.7,135.4,135.1,134.8,134.5,0.3,1600,Thu,Apr,11553.35,11532.4,Up,00:02:00
131.05,2019-04-08,13:46:00,131.05,Sell,BALRAMCHIN,,124.15,,,,,,,,,,137.15,10:10:00,9760.0,Stoploss Hit,Breakeven,135.85,134.55,133.25,131.95,130.65,129.35,128.05,126.75,125.45,1.3,1600,Mon,Apr,11549.2,11521.05,Up,03:36:00
142.45,2019-04-23,12:57:00,142.45,Sell,BALRAMCHIN,,136.95,,,,,,,,,,142.45,11:56:00,0.0,Stoploss Hit,Breakeven,141.9,141.35,140.8,140.25,139.7,139.15,138.6,138.05,137.5,0.55,1600,Tue,Apr,11704.35,11665.95,Up,01:01:00
145.9,2019-04-26,14:33:00,145.9,Sell,BALRAMCHIN,,140.9,,,,,,,,,,145.9,13:32:00,0.0,Stoploss Hit,Breakeven,145.4,144.9,144.4,143.9,143.4,142.9,142.4,141.9,141.4,0.5,1600,Fri,Apr,11856.15,11787.15,Up,01:01:00
153.4,2019-05-07,10:39:00,153.4,Sell,BALRAMCHIN,,149.55,,,,,,,,,,153.05,10:36:00,-560.0,Stoploss Hit,,152.7,152.35,152.0,151.65,151.3,150.95,150.6,150.25,149.9,0.35,1600,Tue,May,11727.05,11752.8,Down,00:03:00
141.95,2019-05-15,13:16:00,141.95,Sell,BALRAMCHIN,,139.95,,,,,,,,,,142.45,13:14:00,800.0,Stoploss Hit,1to2 Trail,142.2,141.95,141.7,141.45,141.2,140.95,140.7,140.45,140.2,0.25,1600,Wed,May,11735.7,11726.15,Up,00:02:00
152.4,2019-05-30,09:55:00,152.4,Buy,BALRAMCHIN,0.65,158.9,153.05,153.7,154.35,155.0,155.65,156.3,156.95,157.6,158.25,152.4,11:49:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1600,Thu,May,11314.15,11301.8,Up,01:54:00
152.6,2019-05-31,12:01:00,152.6,Sell,BALRAMCHIN,,152.0,,,,,,,,,,154.0,11:48:00,2240.0,Stoploss Hit,1to7 Trail,153.8,153.6,153.4,153.2,153.0,152.8,152.6,152.4,152.2,0.2,1600,Fri,May,11905.8,11928.75,Down,00:13:00
155.4,2019-06-03,10:00:00,155.4,Buy,BALRAMCHIN,0.45,159.9,155.85,156.3,156.75,157.2,157.65,158.1,158.55,159.0,159.45,155.4,10:19:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1600,Mon,Jun,11905.8,11928.75,Down,00:19:00
155.0,2019-06-07,09:49:00,154.0,Buy,BALRAMCHIN,1.0,165.0,156.0,157.0,158.0,159.0,160.0,161.0,162.0,163.0,164.0,154.0,10:46:00,-1600.0,Stoploss Hit,,,,,,,,,,,,1600,Fri,Jun,11180.35,11157.0,Up,00:57:00
155.6,2019-06-14,10:13:00,155.6,Sell,BALRAMCHIN,,149.0,,,,,,,,,,155.0,09:53:00,-960.0,Stoploss Hit,,154.4,153.8,153.2,152.6,152.0,151.4,150.8,150.2,149.6,0.6,1600,Fri,Jun,11865.3,11861.1,Up,00:20:00
149.95,2019-06-18,10:02:00,149.15,Buy,BALRAMCHIN,0.8,157.95,150.75,151.55,152.35,153.15,153.95,154.75,155.55,156.35,157.15,149.15,14:41:00,-1280.0,Stoploss Hit,,,,,,,,,,,,1600,Tue,Jun,11910.1,11914.05,Down,04:39:00
135.15,2019-06-24,09:46:00,135.15,Sell,BALRAMCHIN,,131.15,,,,,,,,,,139.15,09:50:00,6400.0,Stoploss Hit,1to5 Trail,138.35,137.55,136.75,135.95,135.15,134.35,133.55,132.75,131.95,0.8,1600,Mon,Jun,11962.45,11965.6,Down,1899-12-29 23:56:00
151.8,2019-07-08,09:47:00,151.8,Buy,BALRAMCHIN,0.95,161.3,152.75,153.7,154.65,155.6,156.55,157.5,158.45,159.4,160.35,154.5,15:00:00,4320.0,Market Exit,Breakeven,,,,,,,,,,,1600,Mon,Jul,11861.15,11841.55,Up,05:13:00
152.95,2019-07-09,10:20:00,152.95,Sell,BALRAMCHIN,,152.5,,,,,,,,,,154.0,10:19:00,1680.0,Stoploss Hit,1to7 Trail,153.85,153.7,153.55,153.4,153.25,153.1,152.95,152.8,152.65,0.15,1600,Tue,Jul,11827.6,11831.75,Down,00:01:00
154.7,2019-07-10,09:51:00,153.75,Buy,BALRAMCHIN,0.95,164.2,155.65,156.6,157.55,158.5,159.45,160.4,161.35,162.3,163.25,153.75,10:32:00,-1520.0,Stoploss Hit,,,,,,,,,,,,1600,Wed,Jul,11839.9,11788.85,Up,00:41:00
149.9,2019-07-19,09:56:00,149.9,Sell,BALRAMCHIN,,136.15,,,,,,,,,,148.65,09:52:00,-2000.0,Stoploss Hit,,147.4,146.15,144.9,143.65,142.4,141.15,139.9,138.65,137.4,1.25,1600,Fri,Jul,11861.15,11841.55,Up,00:04:00
