buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
689.6,2018-08-29,11:02:00,689.6,Sell,BANDHANBNK,,664.85,,,,,,,,,,687.35,10:16:00,-4050.0,Stoploss Hit,,685.1,682.85,680.6,678.35,676.1,673.85,671.6,669.35,667.1,2.25,1800,Wed,Aug,11328.9,11346.2,Down,00:46:00
677.45,2018-08-30,09:47:00,677.45,Sell,BANDHANBNK,,665.5,,,,,,,,,,685.0,10:00:00,13590.0,Stoploss Hit,Breakeven,683.05,681.1,679.15,677.2,675.25,673.3,671.35,669.4,667.45,1.95,1800,Thu,Aug,11297.8,11244.7,Up,1899-12-29 23:47:00
687.95,2018-09-03,10:06:00,687.95,Sell,BANDHANBNK,,656.6,,,,,,,,,,685.1,10:02:00,-5130.0,Stoploss Hit,,682.25,679.4,676.55,673.7,670.85,668.0,665.15,662.3,659.45,2.85,1800,Mon,Sep,11423.15,11387.1,Up,00:04:00
664.0,2018-09-10,10:49:00,661.1,Buy,BANDHANBNK,2.9,693.0,666.9,669.8,672.7,675.6,678.5,681.4,684.3,687.2,690.1,661.1,11:18:00,-5220.0,Stoploss Hit,,,,,,,,,,,,1800,Mon,Sep,11369.6,11429.5,Down,00:29:00
619.0,2018-09-12,10:19:00,619.0,Sell,BANDHANBNK,,590.0,,,,,,,,,,619.0,09:55:00,0.0,Stoploss Hit,Breakeven,616.1,613.2,610.3,607.4,604.5,601.6,598.7,595.8,592.9,2.9,1800,Wed,Sep,11340.1,11287.5,Up,00:24:00
550.75,2018-09-24,12:00:00,550.75,Sell,BANDHANBNK,,538.5,,,,,,,,,,563.0,11:49:00,22050.0,Stoploss Hit,1to5 Trail,560.55,558.1,555.65,553.2,550.75,548.3,545.85,543.4,540.95,2.45,1800,Mon,Sep,11164.4,11143.1,Up,00:11:00
547.75,2018-09-25,09:56:00,551.25,Buy,BANDHANBNK,1.75,565.25,549.5,551.25,553.0,554.75,556.5,558.25,560.0,561.75,563.5,551.25,09:59:00,6300.0,Stoploss Hit,1to2 trail,,,,,,,,,,,1800,Tue,Sep,11675.85,11676.8,Down,00:03:00
553.75,2018-09-27,10:27:00,553.75,Sell,BANDHANBNK,,535.6,,,,,,,,,,552.1,10:14:00,-2970.0,Stoploss Hit,,550.45,548.8,547.15,545.5,543.85,542.2,540.55,538.9,537.25,1.65,1800,Thu,Sep,11079.8,11053.8,Up,00:13:00
456.8,2018-10-05,13:42:00,456.8,Sell,BANDHANBNK,,442.4,,,,,,,,,,458.4,12:47:00,2880.0,Stoploss Hit,1to1 Trail,456.8,455.2,453.6,452.0,450.4,448.8,447.2,445.6,444.0,1.6,1800,Fri,Oct,10514.1,10599.25,Down,00:55:00
500.5,2018-10-10,14:01:00,500.5,Sell,BANDHANBNK,,461.45,,,,,,,,,,496.95,14:01:00,-6390.0,Stoploss Hit,,493.4,489.85,486.3,482.75,479.2,475.65,472.1,468.55,465.0,3.55,1800,Wed,Oct,11464.95,11515.2,Down,00:00:00
472.0,2018-10-11,10:21:00,472.0,Sell,BANDHANBNK,,441.2,,,,,,,,,,469.2,10:10:00,-5040.0,Stoploss Hit,,466.4,463.6,460.8,458.0,455.2,452.4,449.6,446.8,444.0,2.8,1800,Thu,Oct,11443.5,11369.9,Up,00:11:00
477.2,2018-10-12,11:16:00,477.2,Sell,BANDHANBNK,,453.0,,,,,,,,,,475.0,10:36:00,-3960.0,Stoploss Hit,,472.8,470.6,468.4,466.2,464.0,461.8,459.6,457.4,455.2,2.2,1800,Fri,Oct,11271.3,11234.35,Up,00:40:00
397.0,2018-10-22,09:47:00,397.0,Sell,BANDHANBNK,,372.0,,,,,,,,,,410.0,14:10:00,23400.0,Stoploss Hit,Breakeven,406.2,402.4,398.6,394.8,391.0,387.2,383.4,379.6,375.8,3.8,1800,Mon,Oct,11079.8,11053.8,Up,1899-12-29 19:37:00
384.95,2018-10-25,13:11:00,384.95,Sell,BANDHANBNK,,363.5,,,,,,,,,,383.0,13:04:00,-3510.0,Stoploss Hit,,381.05,379.1,377.15,375.2,373.25,371.3,369.35,367.4,365.45,1.95,1800,Thu,Oct,11008.1,10977.55,Up,00:07:00
378.85,2018-10-26,10:47:00,375.0,Buy,BANDHANBNK,3.85,417.35,382.7,386.55,390.4,394.25,398.1,401.95,405.8,409.65,413.5,375.0,10:59:00,-6930.0,Stoploss Hit,,,,,,,,,,,,1800,Fri,Oct,10122.35,10124.9,Down,00:12:00
395.0,2018-11-01,10:22:00,402.5,Buy,BANDHANBNK,1.5,410.0,396.5,398.0,399.5,401.0,402.5,404.0,405.5,407.0,408.5,405.55,15:00:00,18990.0,Market Exit,1to5 trail,,,,,,,,,,,1800,Thu,Nov,10804.85,10727.35,Up,04:38:00
468.0,2019-02-08,10:17:00,467.0,Buy,BANDHANBNK,1.0,478.0,469.0,470.0,471.0,472.0,473.0,474.0,475.0,476.0,477.0,467.0,10:22:00,-1800.0,Stoploss Hit,,,,,,,,,,,,1800,Fri,Feb,10868.85,10910.1,Down,00:05:00
467.7,2019-02-13,10:09:00,467.7,Sell,BANDHANBNK,,460.8,,,,,,,,,,472.3,09:55:00,8280.0,Stoploss Hit,1to4 Trail,471.15,470.0,468.85,467.7,466.55,465.4,464.25,463.1,461.95,1.15,1800,Wed,Feb,10777.55,10737.6,Up,00:14:00
473.65,2019-02-15,12:32:00,473.65,Sell,BANDHANBNK,,455.5,,,,,,,,,,472.0,12:30:00,-2970.0,Stoploss Hit,,470.35,468.7,467.05,465.4,463.75,462.1,460.45,458.8,457.15,1.65,1800,Fri,Feb,10834.75,10821.6,Up,00:02:00
