buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
148.95,2018-08-24,12:02:00,148.95,Sell,BANKBARODA,,142.9,,,,,,,,,,148.4,11:11:00,-3217.5,Stoploss Hit,,147.85,147.3,146.75,146.2,145.65,145.1,144.55,144.0,143.45,0.55,5850,Fri,Aug,11566.6,11582.75,Down,00:51:00
146.0,2018-08-30,10:04:00,146.0,Sell,BANKBARODA,,142.7,,,,,,,,,,145.7,10:02:00,-1755.0,Stoploss Hit,,145.4,145.1,144.8,144.5,144.2,143.9,143.6,143.3,143.0,0.3,5850,Thu,Aug,11694.75,11691.9,Up,00:02:00
149.6,2018-08-31,11:56:00,149.6,Sell,BANKBARODA,,140.25,,,,,,,,,,148.75,10:16:00,-4972.5,Stoploss Hit,,147.9,147.05,146.2,145.35,144.5,143.65,142.8,141.95,141.1,0.85,5850,Fri,Aug,11401.5,11360.8,Up,01:40:00
154.65,2018-09-03,09:49:00,153.7,Buy,BANKBARODA,0.95,164.15,155.6,156.55,157.5,158.45,159.4,160.35,161.3,162.25,163.2,153.7,14:32:00,-5557.5,Stoploss Hit,,,,,,,,,,,,5850,Mon,Sep,11381.7,11355.75,Up,04:43:00
146.65,2018-09-07,10:21:00,146.65,Buy,BANKBARODA,0.4,150.65,147.05,147.45,147.85,148.25,148.65,149.05,149.45,149.85,150.25,146.65,10:33:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,5850,Fri,Sep,11437.15,11385.05,Up,00:12:00
116.1,2018-09-18,14:43:00,116.1,Sell,BANKBARODA,,105.6,,,,,,,,,,116.1,13:12:00,0.0,Stoploss Hit,Breakeven,115.05,114.0,112.95,111.9,110.85,109.8,108.75,107.7,106.65,1.05,5850,Tue,Sep,11566.6,11582.75,Down,01:31:00
108.6,2018-09-27,09:58:00,108.6,Sell,BANKBARODA,,103.1,,,,,,,,,,108.1,09:54:00,-2925.0,Stoploss Hit,,107.6,107.1,106.6,106.1,105.6,105.1,104.6,104.1,103.6,0.5,5850,Thu,Sep,11598.75,11582.35,Up,00:04:00
94.5,2018-10-10,10:27:00,94.5,Buy,BANKBARODA,0.55,100.0,95.05,95.6,96.15,96.7,97.25,97.8,98.35,98.9,99.45,95.6,15:00:00,6435.0,Market Exit,Breakeven,,,,,,,,,,,5850,Wed,Oct,11381.55,11377.75,Up,04:33:00
98.4,2018-10-16,09:57:00,98.15,Buy,BANKBARODA,0.25,100.9,98.65,98.9,99.15,99.4,99.65,99.9,100.15,100.4,100.65,98.15,10:11:00,-1462.5,Stoploss Hit,,,,,,,,,,,,5850,Tue,Oct,10550.15,10512.5,Up,00:14:00
101.0,2018-10-25,11:49:00,101.0,Sell,BANKBARODA,,96.0,,,,,,,,,,101.0,11:16:00,0.0,Stoploss Hit,Breakeven,100.5,100.0,99.5,99.0,98.5,98.0,97.5,97.0,96.5,0.5,5850,Thu,Oct,10930.9,10930.45,Up,00:33:00
