buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
953.85,2018-08-09,10:04:00,952.0,Buy,BATAINDIA,1.85,972.35,955.7,957.55,959.4,961.25,963.1,964.95,966.8,968.65,970.5,952.0,10:12:00,-508.75,Stoploss Hit,,,,,,,,,,,,275,Thu,Aug,11474.95,11470.7,Up,00:08:00
1061.5,2018-08-27,10:21:00,1061.5,Sell,BATAINDIA,,1015.5,,,,,,,,,,1070.5,09:52:00,2475.0,Stoploss Hit,Breakeven,1065.0,1059.5,1054.0,1048.5,1043.0,1037.5,1032.0,1026.5,1021.0,5.5,275,Mon,Aug,11514.85,11520.3,Down,00:29:00
1062.3,2018-08-28,10:23:00,1062.3,Sell,BATAINDIA,,1053.5,,,,,,,,,,1061.5,10:23:00,-220.0,Stoploss Hit,,1060.7,1059.9,1059.1,1058.3,1057.5,1056.7,1055.9,1055.1,1054.3,0.8,275,Tue,Aug,11731.95,11691.95,Up,00:00:00
1100.0,2018-08-29,14:26:00,1100.0,Sell,BATAINDIA,,1070.0,,,,,,,,,,1100.0,12:07:00,0.0,Stoploss Hit,Breakeven,1097.0,1094.0,1091.0,1088.0,1085.0,1082.0,1079.0,1076.0,1073.0,3.0,275,Wed,Aug,11744.95,11738.5,Up,02:19:00
1091.45,2018-08-31,09:55:00,1087.55,Buy,BATAINDIA,3.9,1130.45,1095.35,1099.25,1103.15,1107.05,1110.95,1114.85,1118.75,1122.65,1126.55,1087.55,10:16:00,-1072.5,Stoploss Hit,,,,,,,,,,,,275,Fri,Aug,11675.85,11676.8,Down,00:21:00
1051.4,2018-09-07,09:50:00,1045.45,Buy,BATAINDIA,5.95,1110.9,1057.35,1063.3,1069.25,1075.2,1081.15,1087.1,1093.05,1099.0,1104.95,1045.45,11:26:00,-1636.25,Stoploss Hit,,,,,,,,,,,,275,Fri,Sep,11558.25,11536.9,Up,01:36:00
1028.95,2018-09-11,10:00:00,1028.95,Sell,BATAINDIA,,1002.0,,,,,,,,,,1026.5,09:56:00,-673.75,Stoploss Hit,,1024.05,1021.6,1019.15,1016.7,1014.25,1011.8,1009.35,1006.9,1004.45,2.45,275,Tue,Sep,10331.55,10234.65,Up,00:04:00
1022.0,2018-09-12,10:39:00,1016.95,Buy,BATAINDIA,5.05,1072.5,1027.05,1032.1,1037.15,1042.2,1047.25,1052.3,1057.35,1062.4,1067.45,1016.95,12:05:00,-1388.75,Stoploss Hit,,,,,,,,,,,,275,Wed,Sep,11340.1,11287.5,Up,01:26:00
945.6,2018-10-01,12:38:00,945.6,Sell,BATAINDIA,,912.05,,,,,,,,,,942.55,12:30:00,-838.75,Stoploss Hit,,939.5,936.45,933.4,930.35,927.3,924.25,921.2,918.15,915.1,3.05,275,Mon,Oct,10390.3,10348.05,Up,00:08:00
957.3,2018-10-03,10:13:00,957.3,Sell,BATAINDIA,,919.35,,,,,,,,,,953.85,09:55:00,-948.75,Stoploss Hit,,950.4,946.95,943.5,940.05,936.6,933.15,929.7,926.25,922.8,3.45,275,Wed,Oct,10331.55,10234.65,Up,00:18:00
852.6,2018-10-04,09:50:00,852.6,Sell,BATAINDIA,,827.05,,,,,,,,,,881.05,11:06:00,7823.75,Stoploss Hit,Breakeven,875.65,870.25,864.85,859.45,854.05,848.65,843.25,837.85,832.45,5.4,275,Thu,Oct,10331.85,10301.05,Up,1899-12-29 22:44:00
891.4,2018-10-10,11:40:00,896.8,Buy,BATAINDIA,5.4,945.4,896.8,902.2,907.6,913.0,918.4,923.8,929.2,934.6,940.0,907.0,15:00:00,4290.0,Market Exit,1to1 trail,,,,,,,,,,,275,Wed,Oct,10754.7,10858.25,Down,03:20:00
891.95,2018-10-11,11:18:00,891.95,Buy,BATAINDIA,9.45,986.45,901.4,910.85,920.3,929.75,939.2,948.65,958.1,967.55,977.0,901.0,15:00:00,2488.75,Market Exit,Breakeven,,,,,,,,,,,275,Thu,Oct,10550.15,10512.5,Up,03:42:00
