buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
39.33,2018-08-03,09:46:00,39.17,Buy,BEL,0.16,40.93,39.49,39.65,39.81,39.97,40.13,40.29,40.45,40.61,40.77,39.17,10:08:00,-912.0,Stoploss Hit,,,,,,,,,,,,5700,Fri,Aug,11297.8,11244.7,Up,00:22:00
39.25,2018-08-20,09:46:00,39.12,Buy,BEL,0.13,40.55,39.38,39.51,39.64,39.77,39.9,40.03,40.16,40.29,40.42,39.12,14:04:00,-741.0,Stoploss Hit,,,,,,,,,,,,5700,Mon,Aug,11502.1,11470.75,Up,04:18:00
38.33,2018-08-31,09:46:00,38.89,Buy,BEL,0.08,39.13,38.41,38.49,38.57,38.65,38.73,38.81,38.89,38.97,39.05,38.89,10:04:00,3192.0,Stoploss Hit,1to7 trail,,,,,,,,,,,5700,Fri,Aug,11675.85,11676.8,Down,00:18:00
28.92,2018-09-18,09:54:00,28.92,Sell,BEL,,27.93,,,,,,,,,,28.83,09:46:00,-513.0,Stoploss Hit,,28.74,28.65,28.56,28.47,28.38,28.29,28.2,28.11,28.02,0.09,5700,Tue,Sep,10969.95,10967.4,Up,00:08:00
26.25,2018-09-21,13:13:00,26.25,Sell,BEL,,25.8,,,,,,,,,,27.3,10:38:00,5985.0,Stoploss Hit,1to7 Trail,27.15,27.0,26.85,26.7,26.55,26.4,26.25,26.1,25.95,0.15,5700,Fri,Sep,10969.95,10967.4,Up,02:35:00
27.23,2018-09-26,09:51:00,27.46,Buy,BEL,0.23,29.53,27.46,27.69,27.92,28.15,28.38,28.61,28.84,29.07,29.3,27.97,15:00:00,4218.0,Market Exit,1to1 trail,,,,,,,,,,,5700,Wed,Sep,11079.8,11053.8,Up,05:09:00
26.85,2018-10-01,09:46:00,26.65,Buy,BEL,0.2,28.85,27.05,27.25,27.45,27.65,27.85,28.05,28.25,28.45,28.65,26.65,10:36:00,-1140.0,Stoploss Hit,,,,,,,,,,,,5700,Mon,Oct,10982.7,11008.3,Down,00:50:00
27.75,2018-10-03,09:47:00,27.47,Buy,BEL,0.28,30.55,28.03,28.31,28.59,28.87,29.15,29.43,29.71,29.99,30.27,27.47,10:27:00,-1596.0,Stoploss Hit,,,,,,,,,,,,5700,Wed,Oct,10514.1,10599.25,Down,00:40:00
27.42,2018-10-05,09:56:00,27.33,Buy,BEL,0.09,28.32,27.51,27.6,27.69,27.78,27.87,27.96,28.05,28.14,28.23,27.33,10:03:00,-513.0,Stoploss Hit,,,,,,,,,,,,5700,Fri,Oct,10390.3,10348.05,Up,00:07:00
26.12,2018-10-09,10:01:00,25.95,Buy,BEL,0.17,27.82,26.29,26.46,26.63,26.8,26.97,27.14,27.31,27.48,27.65,25.95,10:54:00,-969.0,Stoploss Hit,,,,,,,,,,,,5700,Tue,Oct,10514.1,10599.25,Down,00:53:00
