buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
316.15,2018-08-03,09:46:00,316.15,Sell,BERGEPAINT,,301.3,,,,,,,,,,314.8,10:07:00,-1485.0,Stoploss Hit,,313.45,312.1,310.75,309.4,308.05,306.7,305.35,304.0,302.65,1.35,1100,Fri,Aug,11297.8,11244.7,Up,1899-12-29 23:39:00
334.35,2018-08-17,11:51:00,334.35,Sell,BERGEPAINT,,314.0,,,,,,,,,,332.5,10:03:00,-2035.0,Stoploss Hit,,330.65,328.8,326.95,325.1,323.25,321.4,319.55,317.7,315.85,1.85,1100,Fri,Aug,11437.15,11385.05,Up,01:48:00
305.75,2018-09-14,10:07:00,305.75,Sell,BERGEPAINT,,296.4,,,,,,,,,,304.9,09:56:00,-935.0,Stoploss Hit,,304.05,303.2,302.35,301.5,300.65,299.8,298.95,298.1,297.25,0.85,1100,Fri,Sep,11476.85,11438.1,Up,00:11:00
309.9,2018-09-18,10:54:00,308.5,Buy,BERGEPAINT,1.4,323.9,311.3,312.7,314.1,315.5,316.9,318.3,319.7,321.1,322.5,308.5,11:01:00,-1540.0,Stoploss Hit,,,,,,,,,,,,1100,Tue,Sep,11381.55,11377.75,Up,00:07:00
303.4,2018-09-19,09:52:00,303.4,Sell,BERGEPAINT,,293.5,,,,,,,,,,302.5,09:46:00,-990.0,Stoploss Hit,,301.6,300.7,299.8,298.9,298.0,297.1,296.2,295.3,294.4,0.9,1100,Wed,Sep,11008.1,10977.55,Up,00:06:00
297.2,2018-09-24,14:34:00,297.2,Sell,BERGEPAINT,,290.05,,,,,,,,,,296.55,14:19:00,-715.0,Stoploss Hit,,295.9,295.25,294.6,293.95,293.3,292.65,292.0,291.35,290.7,0.65,1100,Mon,Sep,11443.5,11369.9,Up,00:15:00
301.55,2018-09-26,10:32:00,301.55,Sell,BERGEPAINT,,296.05,,,,,,,,,,301.05,10:32:00,-550.0,Stoploss Hit,,300.55,300.05,299.55,299.05,298.55,298.05,297.55,297.05,296.55,0.5,1100,Wed,Sep,11164.4,11143.1,Up,00:00:00
284.5,2018-10-03,09:46:00,283.15,Buy,BERGEPAINT,1.35,298.0,285.85,287.2,288.55,289.9,291.25,292.6,293.95,295.3,296.65,283.15,09:46:00,-1485.0,Stoploss Hit,,,,,,,,,,,,1100,Wed,Oct,10982.7,11008.3,Down,00:00:00
271.85,2018-10-05,10:22:00,271.85,Sell,BERGEPAINT,,260.3,,,,,,,,,,270.8,10:17:00,-1155.0,Stoploss Hit,,269.75,268.7,267.65,266.6,265.55,264.5,263.45,262.4,261.35,1.05,1100,Fri,Oct,10754.7,10858.25,Down,00:05:00
269.85,2018-10-08,10:08:00,272.75,Buy,BERGEPAINT,1.45,284.35,271.3,272.75,274.2,275.65,277.1,278.55,280.0,281.45,282.9,276.75,15:00:00,7590.0,Market Exit,1to2 trail,,,,,,,,,,,1100,Mon,Oct,10754.7,10858.25,Down,04:52:00
274.6,2018-10-09,10:07:00,274.6,Sell,BERGEPAINT,,248.75,,,,,,,,,,272.25,09:55:00,-2585.0,Stoploss Hit,,269.9,267.55,265.2,262.85,260.5,258.15,255.8,253.45,251.1,2.35,1100,Tue,Oct,10390.3,10348.05,Up,00:12:00
273.9,2018-10-11,11:59:00,273.9,Buy,BERGEPAINT,1.4,287.9,275.3,276.7,278.1,279.5,280.9,282.3,283.7,285.1,286.5,273.9,14:35:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1100,Thu,Oct,10310.15,10316.45,Down,02:36:00
268.45,2018-10-23,10:06:00,267.6,Buy,BERGEPAINT,0.85,276.95,269.3,270.15,271.0,271.85,272.7,273.55,274.4,275.25,276.1,267.6,10:30:00,-935.0,Stoploss Hit,,,,,,,,,,,,1100,Tue,Oct,10152.6,10245.25,Down,00:24:00
274.55,2018-10-24,12:07:00,274.55,Buy,BERGEPAINT,1.05,285.05,275.6,276.65,277.7,278.75,279.8,280.85,281.9,282.95,284.0,277.2,15:00:00,2915.0,Market Exit,Breakeven,,,,,,,,,,,1100,Wed,Oct,10278.15,10146.8,Up,02:53:00
282.0,2018-11-01,10:32:00,282.0,Sell,BERGEPAINT,,258.9,,,,,,,,,,279.9,10:07:00,-2310.0,Stoploss Hit,,277.8,275.7,273.6,271.5,269.4,267.3,265.2,263.1,261.0,2.1,1100,Thu,Nov,10441.7,10386.6,Up,00:25:00
304.0,2018-11-05,10:07:00,302.05,Buy,BERGEPAINT,1.95,323.5,305.95,307.9,309.85,311.8,313.75,315.7,317.65,319.6,321.55,302.05,10:52:00,-2145.0,Stoploss Hit,,,,,,,,,,,,1100,Mon,Nov,10441.7,10386.6,Up,00:45:00
310.0,2018-11-09,10:54:00,308.1,Buy,BERGEPAINT,1.9,329.0,311.9,313.8,315.7,317.6,319.5,321.4,323.3,325.2,327.1,308.1,11:19:00,-2090.0,Stoploss Hit,,,,,,,,,,,,1100,Fri,Nov,10817.9,10729.85,Up,00:25:00
