buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
604.7,2018-09-24,09:51:00,604.7,Sell,BHARATFORG,,586.7,,,,,,,,,,619.2,10:03:00,14500.0,Stoploss Hit,Breakeven,615.95,612.7,609.45,606.2,602.95,599.7,596.45,593.2,589.95,3.25,1000,Mon,Sep,11164.4,11143.1,Up,1899-12-29 23:48:00
631.75,2018-09-27,10:01:00,629.4,Buy,BHARATFORG,2.35,655.25,634.1,636.45,638.8,641.15,643.5,645.85,648.2,650.55,652.9,629.4,10:31:00,-2350.0,Stoploss Hit,,,,,,,,,,,,1000,Thu,Sep,11423.15,11387.1,Up,00:30:00
604.95,2018-10-01,10:23:00,603.0,Buy,BHARATFORG,1.95,624.45,606.9,608.85,610.8,612.75,614.7,616.65,618.6,620.55,622.5,603.0,10:25:00,-1950.0,Stoploss Hit,,,,,,,,,,,,1000,Mon,Oct,11493.25,11450.0,Up,00:02:00
611.0,2018-10-03,10:56:00,611.0,Sell,BHARATFORG,,578.0,,,,,,,,,,608.0,10:45:00,-3000.0,Stoploss Hit,,605.0,602.0,599.0,596.0,593.0,590.0,587.0,584.0,581.0,3.0,1000,Wed,Oct,11493.25,11450.0,Up,00:11:00
593.9,2018-10-05,11:08:00,592.0,Buy,BHARATFORG,1.9,612.9,595.8,597.7,599.6,601.5,603.4,605.3,607.2,609.1,611.0,592.0,11:31:00,-1900.0,Stoploss Hit,,,,,,,,,,,,1000,Fri,Oct,11369.6,11429.5,Down,00:23:00
562.65,2018-10-11,10:27:00,562.65,Sell,BHARATFORG,,536.8,,,,,,,,,,560.3,10:13:00,-2350.0,Stoploss Hit,,557.95,555.6,553.25,550.9,548.55,546.2,543.85,541.5,539.15,2.35,1000,Thu,Oct,11576.2,11551.75,Up,00:14:00
575.7,2018-10-15,09:52:00,573.75,Buy,BHARATFORG,1.95,595.2,577.65,579.6,581.55,583.5,585.45,587.4,589.35,591.3,593.25,573.75,10:03:00,-1950.0,Stoploss Hit,,,,,,,,,,,,1000,Mon,Oct,11566.6,11582.75,Down,00:11:00
582.0,2018-10-16,14:22:00,582.0,Sell,BHARATFORG,,552.0,,,,,,,,,,582.0,10:08:00,0.0,Stoploss Hit,Breakeven,579.0,576.0,573.0,570.0,567.0,564.0,561.0,558.0,555.0,3.0,1000,Tue,Oct,10550.15,10512.5,Up,04:14:00
561.7,2018-10-19,09:54:00,561.7,Sell,BHARATFORG,,521.0,,,,,,,,,,558.0,09:49:00,-3700.0,Stoploss Hit,,554.3,550.6,546.9,543.2,539.5,535.8,532.1,528.4,524.7,3.7,1000,Fri,Oct,10339.7,10453.05,Down,00:05:00
556.95,2018-10-23,09:59:00,556.95,Buy,BHARATFORG,2.25,579.45,559.2,561.45,563.7,565.95,568.2,570.45,572.7,574.95,577.2,556.95,12:48:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1000,Tue,Oct,11744.95,11738.5,Up,02:49:00
555.25,2018-10-24,10:02:00,555.25,Sell,BHARATFORG,,536.0,,,,,,,,,,553.5,10:00:00,-1750.0,Stoploss Hit,,551.75,550.0,548.25,546.5,544.75,543.0,541.25,539.5,537.75,1.75,1000,Wed,Oct,11751.8,11680.5,Up,00:02:00
597.15,2018-11-09,10:06:00,594.0,Buy,BHARATFORG,3.15,628.65,600.3,603.45,606.6,609.75,612.9,616.05,619.2,622.35,625.5,594.0,10:32:00,-3150.0,Stoploss Hit,,,,,,,,,,,,1000,Fri,Nov,11464.95,11515.2,Down,00:26:00
594.35,2018-11-19,10:21:00,594.35,Sell,BHARATFORG,,585.55,,,,,,,,,,593.55,10:21:00,-800.0,Stoploss Hit,,592.75,591.95,591.15,590.35,589.55,588.75,587.95,587.15,586.35,0.8,1000,Mon,Nov,11145.55,11067.45,Up,00:00:00
596.85,2018-11-20,09:54:00,594.35,Buy,BHARATFORG,2.5,621.85,599.35,601.85,604.35,606.85,609.35,611.85,614.35,616.85,619.35,594.35,11:09:00,-2500.0,Stoploss Hit,,,,,,,,,,,,1000,Tue,Nov,10930.9,10930.45,Up,01:15:00
569.25,2018-12-04,11:41:00,568.0,Buy,BHARATFORG,1.25,581.75,570.5,571.75,573.0,574.25,575.5,576.75,578.0,579.25,580.5,568.0,11:41:00,-1250.0,Stoploss Hit,,,,,,,,,,,,1000,Tue,Dec,10390.3,10348.05,Up,00:00:00
488.05,2018-12-07,09:59:00,488.05,Sell,BHARATFORG,,465.65,,,,,,,,,,518.15,10:09:00,30100.0,Stoploss Hit,Breakeven,512.9,507.65,502.4,497.15,491.9,486.65,481.4,476.15,470.9,5.25,1000,Fri,Dec,10339.7,10453.05,Down,1899-12-29 23:50:00
505.9,2018-12-11,11:25:00,502.8,Buy,BHARATFORG,3.1,536.9,509.0,512.1,515.2,518.3,521.4,524.5,527.6,530.7,533.8,502.8,11:30:00,-3100.0,Stoploss Hit,,,,,,,,,,,,1000,Tue,Dec,10339.7,10453.05,Down,00:05:00
