buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
349.0,2018-08-08,13:33:00,349.0,Sell,BHARTIARTL,,338.0,,,,,,,,,,349.0,09:59:00,0.0,Stoploss Hit,Breakeven,347.9,346.8,345.7,344.6,343.5,342.4,341.3,340.2,339.1,1.1,950,Wed,Aug,11297.8,11244.7,Up,03:34:00
333.3,2018-08-09,10:44:00,333.3,Sell,BHARTIARTL,,327.83,,,,,,,,,,349.83,09:50:00,15703.5,Stoploss Hit,Breakeven,347.63,345.43,343.23,341.03,338.83,336.63,334.43,332.23,330.03,2.2,950,Thu,Aug,11493.25,11450.0,Up,00:54:00
338.17,2018-08-14,10:26:00,338.17,Sell,BHARTIARTL,,329.04,,,,,,,,,,337.34,10:22:00,-788.5,Stoploss Hit,,336.51,335.68,334.85,334.02,333.19,332.36,331.53,330.7,329.87,0.83,950,Tue,Aug,11474.95,11470.7,Up,00:04:00
340.55,2018-08-16,11:17:00,339.31,Buy,BHARTIARTL,1.24,352.95,341.79,343.03,344.27,345.51,346.75,347.99,349.23,350.47,351.71,339.31,11:56:00,-1178.0,Stoploss Hit,,,,,,,,,,,,950,Thu,Aug,11369.6,11429.5,Down,00:39:00
339.36,2018-08-21,12:05:00,338.17,Buy,BHARTIARTL,1.19,351.26,340.55,341.74,342.93,344.12,345.31,346.5,347.69,348.88,350.07,338.17,12:26:00,-1130.5,Stoploss Hit,,,,,,,,,,,,950,Tue,Aug,11502.1,11470.75,Up,00:21:00
346.75,2018-08-29,12:05:00,346.75,Sell,BHARTIARTL,,338.17,,,,,,,,,,345.97,12:02:00,-741.0,Stoploss Hit,,345.19,344.41,343.63,342.85,342.07,341.29,340.51,339.73,338.95,0.78,950,Wed,Aug,11605.85,11557.1,Up,00:03:00
351.02,2018-08-31,09:46:00,349.83,Buy,BHARTIARTL,1.19,362.92,352.21,353.4,354.59,355.78,356.97,358.16,359.35,360.54,361.73,349.83,10:09:00,-1130.5,Stoploss Hit,,,,,,,,,,,,950,Fri,Aug,11675.85,11676.8,Down,00:23:00
352.67,2018-09-03,10:49:00,352.67,Sell,BHARTIARTL,,326.93,,,,,,,,,,350.33,10:16:00,-2223.0,Stoploss Hit,,347.99,345.65,343.31,340.97,338.63,336.29,333.95,331.61,329.27,2.34,950,Mon,Sep,11694.75,11691.9,Up,00:33:00
344.82,2018-09-05,09:57:00,344.82,Sell,BHARTIARTL,,334.26,,,,,,,,,,343.86,09:48:00,-912.0,Stoploss Hit,,342.9,341.94,340.98,340.02,339.06,338.1,337.14,336.18,335.22,0.96,950,Wed,Sep,11605.85,11557.1,Up,00:09:00
343.31,2018-09-07,10:53:00,342.66,Buy,BHARTIARTL,0.65,349.81,343.96,344.61,345.26,345.91,346.56,347.21,347.86,348.51,349.16,342.66,10:56:00,-617.5,Stoploss Hit,,,,,,,,,,,,950,Fri,Sep,11514.85,11520.3,Down,00:03:00
