buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
73.8,2018-08-02,10:43:00,73.3,Buy,BHEL,0.5,78.8,74.3,74.8,75.3,75.8,76.3,76.8,77.3,77.8,78.3,73.3,11:40:00,-5250.0,Stoploss Hit,,,,,,,,,,,,10500,Thu,Aug,11359.8,11356.5,Up,00:57:00
75.35,2018-08-06,10:32:00,75.0,Buy,BHEL,0.35,78.85,75.7,76.05,76.4,76.75,77.1,77.45,77.8,78.15,78.5,75.1,15:00:00,-2625.0,Market Exit,,,,,,,,,,,,10500,Mon,Aug,11297.8,11244.7,Up,04:28:00
73.3,2018-08-07,11:18:00,73.3,Sell,BHEL,,72.3,,,,,,,,,,74.8,10:26:00,15750.0,Stoploss Hit,1to6 Trail,74.55,74.3,74.05,73.8,73.55,73.3,73.05,72.8,72.55,0.25,10500,Tue,Aug,11340.1,11287.5,Up,00:52:00
73.2,2018-08-13,10:17:00,73.2,Buy,BHEL,0.2,75.2,73.4,73.6,73.8,74.0,74.2,74.4,74.6,74.8,75.0,73.2,11:38:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,10500,Mon,Aug,11493.25,11450.0,Up,01:21:00
73.1,2018-08-14,09:49:00,72.95,Buy,BHEL,0.15,74.6,73.25,73.4,73.55,73.7,73.85,74.0,74.15,74.3,74.45,72.95,09:56:00,-1575.0,Stoploss Hit,,,,,,,,,,,,10500,Tue,Aug,11474.95,11470.7,Up,00:07:00
75.55,2018-08-21,12:35:00,75.55,Sell,BHEL,,72.25,,,,,,,,,,75.25,11:46:00,-3150.0,Stoploss Hit,,74.95,74.65,74.35,74.05,73.75,73.45,73.15,72.85,72.55,0.3,10500,Tue,Aug,11576.2,11551.75,Up,00:49:00
77.35,2018-09-11,13:00:00,77.35,Sell,BHEL,,74.85,,,,,,,,,,77.35,09:46:00,0.0,Stoploss Hit,Breakeven,77.1,76.85,76.6,76.35,76.1,75.85,75.6,75.35,75.1,0.25,10500,Tue,Sep,11514.85,11520.3,Down,03:14:00
68.45,2018-10-01,09:56:00,67.65,Buy,BHEL,0.8,76.45,69.25,70.05,70.85,71.65,72.45,73.25,74.05,74.85,75.65,67.65,10:47:00,-8400.0,Stoploss Hit,,,,,,,,,,,,10500,Mon,Oct,10982.7,11008.3,Down,00:51:00
70.1,2018-10-09,09:56:00,70.1,Sell,BHEL,,66.25,,,,,,,,,,69.75,09:54:00,-3675.0,Stoploss Hit,,69.4,69.05,68.7,68.35,68.0,67.65,67.3,66.95,66.6,0.35,10500,Tue,Oct,10390.3,10348.05,Up,00:02:00
71.9,2018-10-10,10:28:00,71.6,Buy,BHEL,0.3,74.9,72.2,72.5,72.8,73.1,73.4,73.7,74.0,74.3,74.6,71.6,10:28:00,-3150.0,Stoploss Hit,,,,,,,,,,,,10500,Wed,Oct,10331.85,10301.05,Up,00:00:00
71.7,2018-11-02,09:47:00,72.2,Buy,BHEL,0.25,74.2,71.95,72.2,72.45,72.7,72.95,73.2,73.45,73.7,73.95,72.7,15:00:00,10500.0,Market Exit,1to2 trail,,,,,,,,,,,10500,Fri,Nov,10558.75,10553.0,Up,05:13:00
70.2,2018-11-05,13:16:00,70.2,Sell,BHEL,,67.7,,,,,,,,,,70.2,09:55:00,0.0,Stoploss Hit,Breakeven,69.95,69.7,69.45,69.2,68.95,68.7,68.45,68.2,67.95,0.25,10500,Mon,Nov,10552.0,10524.0,Up,03:21:00
70.45,2018-11-06,10:28:00,70.45,Sell,BHEL,,66.6,,,,,,,,,,70.1,09:49:00,-3675.0,Stoploss Hit,,69.75,69.4,69.05,68.7,68.35,68.0,67.65,67.3,66.95,0.35,10500,Tue,Nov,10614.7,10598.4,Up,00:39:00
69.85,2018-11-09,10:22:00,69.65,Buy,BHEL,0.2,71.85,70.05,70.25,70.45,70.65,70.85,71.05,71.25,71.45,71.65,69.65,10:31:00,-2100.0,Stoploss Hit,,,,,,,,,,,,10500,Fri,Nov,10209.55,10198.4,Up,00:09:00
67.5,2018-11-19,09:56:00,67.5,Buy,BHEL,0.3,70.5,67.8,68.1,68.4,68.7,69.0,69.3,69.6,69.9,70.2,67.9,15:00:00,4200.0,Market Exit,Breakeven,,,,,,,,,,,10500,Mon,Nov,10731.25,10682.2,Up,05:04:00
67.9,2018-11-20,10:16:00,67.7,Buy,BHEL,0.2,69.9,68.1,68.3,68.5,68.7,68.9,69.1,69.3,69.5,69.7,67.7,10:25:00,-2100.0,Stoploss Hit,,,,,,,,,,,,10500,Tue,Nov,10740.1,10763.4,Down,00:09:00
67.05,2018-11-21,10:30:00,67.05,Sell,BHEL,,65.4,,,,,,,,,,66.9,10:30:00,-1575.0,Stoploss Hit,,66.75,66.6,66.45,66.3,66.15,66.0,65.85,65.7,65.55,0.15,10500,Wed,Nov,10740.1,10763.4,Down,00:00:00
67.05,2018-11-22,10:48:00,66.75,Buy,BHEL,0.3,70.05,67.35,67.65,67.95,68.25,68.55,68.85,69.15,69.45,69.75,66.75,12:15:00,-3150.0,Stoploss Hit,,,,,,,,,,,,10500,Thu,Nov,10568.3,10526.75,Up,01:27:00
66.9,2018-11-30,13:18:00,66.9,Sell,BHEL,,64.9,,,,,,,,,,66.9,10:10:00,0.0,Stoploss Hit,Breakeven,66.7,66.5,66.3,66.1,65.9,65.7,65.5,65.3,65.1,0.2,10500,Fri,Nov,10621.45,10628.6,Down,03:08:00
65.35,2018-12-07,11:52:00,65.35,Sell,BHEL,,61.85,,,,,,,,,,65.35,10:09:00,0.0,Stoploss Hit,Breakeven,65.0,64.65,64.3,63.95,63.6,63.25,62.9,62.55,62.2,0.35,10500,Fri,Dec,10820.45,10869.5,Down,01:43:00
