buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
287.0,2018-08-08,12:27:00,287.0,Sell,BIOCON,,280.3,,,,,,,,,,287.0,10:20:00,0.0,Stoploss Hit,Breakeven,286.33,285.66,284.99,284.32,283.65,282.98,282.31,281.64,280.97,0.67,2300,Wed,Aug,,11389.45,Down,02:07:00
287.88,2018-08-10,09:48:00,287.4,Buy,BIOCON,0.48,292.68,288.36,288.84,289.32,289.8,290.28,290.76,291.24,291.72,292.2,287.4,09:54:00,-1104.0,Stoploss Hit,,,,,,,,,,,,2300,Fri,Aug,11474.95,11470.7,Up,00:06:00
287.5,2018-08-14,11:47:00,289.5,Buy,BIOCON,0.5,292.5,288.0,288.5,289.0,289.5,290.0,290.5,291.0,291.5,292.0,289.5,14:14:00,4600.0,Stoploss Hit,1to4 trail,,,,,,,,,,,2300,Tue,Aug,11381.7,11355.75,Up,02:27:00
307.5,2018-08-28,12:19:00,306.73,Buy,BIOCON,0.77,315.2,308.27,309.04,309.81,310.58,311.35,312.12,312.89,313.66,314.43,306.73,14:04:00,-1771.0,Stoploss Hit,,,,,,,,,,,,2300,Tue,Aug,11675.85,11676.8,Down,01:45:00
306.05,2018-08-30,10:28:00,306.05,Sell,BIOCON,,296.75,,,,,,,,,,306.05,09:55:00,0.0,Stoploss Hit,Breakeven,305.12,304.19,303.26,302.33,301.4,300.47,299.54,298.61,297.68,0.93,2300,Thu,Aug,11744.95,11738.5,Up,00:33:00
310.23,2018-09-12,10:29:00,310.23,Sell,BIOCON,,292.08,,,,,,,,,,308.58,10:03:00,-3795.0,Stoploss Hit,,306.93,305.28,303.63,301.98,300.33,298.68,297.03,295.38,293.73,1.65,2300,Wed,Sep,11476.85,11438.1,Up,00:26:00
327.85,2018-09-14,09:59:00,326.0,Buy,BIOCON,1.85,346.35,329.7,331.55,333.4,335.25,337.1,338.95,340.8,342.65,344.5,331.25,15:00:00,7820.0,Market Exit,,,,,,,,,,,,2300,Fri,Sep,11443.5,11369.9,Up,05:01:00
322.23,2018-10-04,10:41:00,322.23,Sell,BIOCON,,303.75,,,,,,,,,,320.55,10:36:00,-3864.0,Stoploss Hit,,318.87,317.19,315.51,313.83,312.15,310.47,308.79,307.11,305.43,1.68,2300,Thu,Oct,10514.1,10599.25,Down,00:05:00
296.96,2018-10-09,14:05:00,296.96,Sell,BIOCON,,287.42,,,,,,,,,,298.02,10:34:00,2438.0,Stoploss Hit,1to1 Trail,296.96,295.9,294.84,293.78,292.72,291.66,290.6,289.54,288.48,1.06,2300,Tue,Oct,10169.8,10460.1,Down,03:31:00
302.0,2018-10-11,10:41:00,301.12,Buy,BIOCON,0.88,310.8,302.88,303.76,304.64,305.52,306.4,307.28,308.16,309.04,309.92,301.12,10:48:00,-2024.0,Stoploss Hit,,,,,,,,,,,,2300,Thu,Oct,10331.85,10301.05,Up,00:07:00
306.25,2018-10-12,09:46:00,306.25,Sell,BIOCON,,286.45,,,,,,,,,,306.25,09:50:00,0.0,Stoploss Hit,Breakeven,304.27,302.29,300.31,298.33,296.35,294.37,292.39,290.41,288.43,1.98,2300,Fri,Oct,10524.2,10472.5,Up,1899-12-29 23:56:00
315.15,2018-10-30,10:00:00,316.07,Buy,BIOCON,0.92,324.35,316.07,316.99,317.91,318.83,319.75,320.67,321.59,322.51,323.43,317.83,15:00:00,6164.0,Market Exit,1to1 trail,,,,,,,,,,,2300,Tue,Oct,10239.4,10250.85,Down,05:00:00
323.55,2018-10-31,10:50:00,321.55,Buy,BIOCON,2.0,343.55,325.55,327.55,329.55,331.55,333.55,335.55,337.55,339.55,341.55,321.55,10:59:00,-4600.0,Stoploss Hit,,,,,,,,,,,,2300,Wed,Oct,10209.55,10198.4,Up,00:09:00
331.5,2018-11-01,10:22:00,331.5,Buy,BIOCON,0.8,339.5,332.3,333.1,333.9,334.7,335.5,336.3,337.1,337.9,338.7,331.5,10:46:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2300,Thu,Nov,10558.75,10553.0,Up,00:24:00
314.88,2018-11-16,10:19:00,314.88,Sell,BIOCON,,300.8,,,,,,,,,,313.6,10:04:00,-2944.0,Stoploss Hit,,312.32,311.04,309.76,308.48,307.2,305.92,304.64,303.36,302.08,1.28,2300,Fri,Nov,10644.0,10616.7,Up,00:15:00
309.42,2018-11-21,11:25:00,308.3,Buy,BIOCON,1.12,320.62,310.54,311.66,312.78,313.9,315.02,316.14,317.26,318.38,319.5,308.3,12:05:00,-2576.0,Stoploss Hit,,,,,,,,,,,,2300,Wed,Nov,10612.65,10600.05,Up,00:40:00
307.23,2018-11-27,10:19:00,307.23,Sell,BIOCON,,298.03,,,,,,,,,,307.23,09:55:00,0.0,Stoploss Hit,Breakeven,306.31,305.39,304.47,303.55,302.63,301.71,300.79,299.87,298.95,0.92,2300,Tue,Nov,10892.1,10858.7,Up,00:24:00
299.48,2018-11-29,09:50:00,301.24,Buy,BIOCON,0.88,308.28,300.36,301.24,302.12,303.0,303.88,304.76,305.64,306.52,307.4,302.58,15:00:00,7130.0,Market Exit,1to2 trail,,,,,,,,,,,2300,Thu,Nov,10708.75,10685.6,Up,05:10:00
313.8,2018-12-05,10:49:00,312.5,Buy,BIOCON,1.3,326.8,315.1,316.4,317.7,319.0,320.3,321.6,322.9,324.2,325.5,312.5,14:37:00,-2990.0,Stoploss Hit,,,,,,,,,,,,2300,Wed,Dec,10930.7,10876.75,Up,03:48:00
305.06,2018-12-06,13:00:00,305.06,Sell,BIOCON,,303.8,,,,,,,,,,308.0,09:47:00,6762.0,Stoploss Hit,1to7 Trail,307.58,307.16,306.74,306.32,305.9,305.48,305.06,304.64,304.22,0.42,2300,Thu,Dec,10718.15,10782.9,Down,03:13:00
307.98,2018-12-11,10:03:00,306.58,Buy,BIOCON,1.4,321.98,309.38,310.78,312.18,313.58,314.98,316.38,317.78,319.18,320.58,306.58,10:09:00,-3220.0,Stoploss Hit,,,,,,,,,,,,2300,Tue,Dec,10653.7,10661.55,Down,00:06:00
321.27,2018-12-19,10:18:00,321.27,Sell,BIOCON,,311.15,,,,,,,,,,320.35,10:05:00,-2116.0,Stoploss Hit,,319.43,318.51,317.59,316.67,315.75,314.83,313.91,312.99,312.07,0.92,2300,Wed,Dec,10930.55,10908.7,Up,00:13:00
316.7,2019-01-09,10:04:00,316.7,Buy,BIOCON,0.3,319.7,317.0,317.3,317.6,317.9,318.2,318.5,318.8,319.1,319.4,316.7,10:39:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2300,Wed,Jan,10702.25,10652.2,Up,00:35:00
323.77,2019-01-15,10:05:00,323.77,Sell,BIOCON,,315.3,,,,,,,,,,323.0,09:48:00,-1771.0,Stoploss Hit,,322.23,321.46,320.69,319.92,319.15,318.38,317.61,316.84,316.07,0.77,2300,Tue,Jan,10786.25,10771.8,Up,00:17:00
326.23,2019-01-17,09:54:00,326.23,Sell,BIOCON,,318.2,,,,,,,,,,325.5,09:49:00,-1679.0,Stoploss Hit,,324.77,324.04,323.31,322.58,321.85,321.12,320.39,319.66,318.93,0.73,2300,Thu,Jan,10899.65,10886.8,Up,00:05:00
333.65,2019-01-22,09:52:00,331.83,Buy,BIOCON,1.82,351.85,335.47,337.29,339.11,340.93,342.75,344.57,346.39,348.21,350.03,331.83,13:10:00,-4186.0,Stoploss Hit,,,,,,,,,,,,2300,Tue,Jan,10919.35,10906.95,Up,03:18:00
325.48,2019-01-30,09:49:00,324.55,Buy,BIOCON,0.93,334.78,326.41,327.34,328.27,329.2,330.13,331.06,331.99,332.92,333.85,324.55,09:52:00,-2139.0,Stoploss Hit,,,,,,,,,,,,2300,Wed,Jan,10919.35,10906.95,Up,00:03:00
326.0,2019-01-31,13:46:00,326.0,Buy,BIOCON,0.6,332.0,326.6,327.2,327.8,328.4,329.0,329.6,330.2,330.8,331.4,326.0,14:16:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2300,Thu,Jan,10899.65,10886.8,Up,00:30:00
319.2,2019-02-14,10:36:00,319.2,Sell,BIOCON,,304.13,,,,,,,,,,317.83,10:11:00,-3151.0,Stoploss Hit,,316.46,315.09,313.72,312.35,310.98,309.61,308.24,306.87,305.5,1.37,2300,Thu,Feb,11023.5,11069.4,Down,00:25:00
