buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
18841.05,2018-08-01,11:54:00,18841.05,Sell,BOSCHLTD,,17641.5,,,,,,,,,,18732.0,11:29:00,-5452.5,Stoploss Hit,,18622.95,18513.9,18404.85,18295.8,18186.75,18077.7,17968.65,17859.6,17750.55,109.05,50,Wed,Aug,11359.8,11356.5,Up,00:25:00
19443.25,2018-08-10,10:06:00,19405.0,Buy,BOSCHLTD,38.25,19825.75,19481.5,19519.75,19558.0,19596.25,19634.5,19672.75,19711.0,19749.25,19787.5,19405.0,10:06:00,-1912.5,Stoploss Hit,,,,,,,,,,,,50,Fri,Aug,11369.6,11429.5,Down,00:00:00
18973.0,2018-08-17,10:18:00,18950.3,Buy,BOSCHLTD,22.7,19200.0,18995.7,19018.4,19041.1,19063.8,19086.5,19109.2,19131.9,19154.6,19177.3,18950.3,10:19:00,-1135.0,Stoploss Hit,,,,,,,,,,,,50,Fri,Aug,11502.1,11470.75,Up,00:01:00
18758.1,2018-08-24,09:54:00,18758.1,Sell,BOSCHLTD,,18581.0,,,,,,,,,,18742.0,09:54:00,-805.0,Stoploss Hit,,18725.9,18709.8,18693.7,18677.6,18661.5,18645.4,18629.3,18613.2,18597.1,16.1,50,Fri,Aug,11731.95,11691.95,Up,00:00:00
18947.3,2018-08-29,09:50:00,19676.55,Buy,BOSCHLTD,145.85,20405.8,19093.15,19239.0,19384.85,19530.7,19676.55,19822.4,19968.25,20114.1,20259.95,20039.85,15:00:00,54627.5,Market Exit,1to5 trail,,,,,,,,,,,50,Wed,Aug,11744.95,11738.5,Up,05:10:00
20559.95,2018-08-30,09:59:00,20959.7,Buy,BOSCHLTD,79.95,21359.45,20639.9,20719.85,20799.8,20879.75,20959.7,21039.65,21119.6,21199.55,21279.5,20959.7,10:48:00,19987.5,Stoploss Hit,1to5 trail,,,,,,,,,,,50,Thu,Aug,11751.8,11680.5,Up,00:49:00
20816.1,2018-09-05,11:00:00,20816.1,Sell,BOSCHLTD,,20354.1,,,,,,,,,,20816.1,10:02:00,0.0,Stoploss Hit,Breakeven,20769.9,20723.7,20677.5,20631.3,20585.1,20538.9,20492.7,20446.5,20400.3,46.2,50,Wed,Sep,11514.85,11520.3,Down,00:58:00
21190.0,2018-09-14,10:14:00,21190.0,Sell,BOSCHLTD,,20243.45,,,,,,,,,,21103.95,09:55:00,-4302.5,Stoploss Hit,,21017.9,20931.85,20845.8,20759.75,20673.7,20587.65,20501.6,20415.55,20329.5,86.05,50,Fri,Sep,11464.95,11515.2,Down,00:19:00
19712.3,2018-09-26,11:19:00,19712.3,Sell,BOSCHLTD,,19453.7,,,,,,,,,,20100.2,10:24:00,19395.0,Stoploss Hit,1to6 Trail,20035.55,19970.9,19906.25,19841.6,19776.95,19712.3,19647.65,19583.0,19518.35,64.65,50,Wed,Sep,11164.4,11143.1,Up,00:55:00
19750.0,2018-09-27,13:48:00,19750.0,Sell,BOSCHLTD,,18931.5,,,,,,,,,,19750.0,09:56:00,0.0,Stoploss Hit,Breakeven,19668.15,19586.3,19504.45,19422.6,19340.75,19258.9,19177.05,19095.2,19013.35,81.85,50,Thu,Sep,10969.95,10967.4,Up,03:52:00
