buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
393.4,2018-08-07,13:16:00,393.4,Sell,BPCL,,388.65,,,,,,,,,,398.15,10:24:00,8550.0,Stoploss Hit,1to5 Trail,397.2,396.25,395.3,394.35,393.4,392.45,391.5,390.55,389.6,0.95,1800,Tue,Aug,11328.9,11346.2,Down,02:52:00
379.7,2018-08-14,11:28:00,379.7,Sell,BPCL,,369.7,,,,,,,,,,379.7,10:32:00,0.0,Stoploss Hit,Breakeven,378.7,377.7,376.7,375.7,374.7,373.7,372.7,371.7,370.7,1.0,1800,Tue,Aug,11566.6,11582.75,Down,00:56:00
358.25,2018-08-24,11:00:00,355.0,Buy,BPCL,3.25,390.75,361.5,364.75,368.0,371.25,374.5,377.75,381.0,384.25,387.5,356.65,15:00:00,-2880.0,Market Exit,,,,,,,,,,,,1800,Fri,Aug,11369.6,11429.5,Down,04:00:00
362.45,2018-08-31,10:29:00,363.65,Buy,BPCL,0.6,368.45,363.05,363.65,364.25,364.85,365.45,366.05,366.65,367.25,367.85,363.65,10:35:00,2160.0,Stoploss Hit,1to2 trail,,,,,,,,,,,1800,Fri,Aug,11566.6,11582.75,Down,00:06:00
350.0,2018-09-05,09:49:00,350.0,Buy,BPCL,1.45,364.5,351.45,352.9,354.35,355.8,357.25,358.7,360.15,361.6,363.05,350.0,11:52:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1800,Wed,Sep,11566.6,11582.75,Down,02:03:00
353.05,2018-09-17,10:04:00,352.2,Buy,BPCL,0.85,361.55,353.9,354.75,355.6,356.45,357.3,358.15,359.0,359.85,360.7,352.2,10:04:00,-1530.0,Stoploss Hit,,,,,,,,,,,,1800,Mon,Sep,11751.8,11680.5,Up,00:00:00
362.9,2018-09-18,10:16:00,362.9,Sell,BPCL,,347.5,,,,,,,,,,361.5,10:00:00,-2520.0,Stoploss Hit,,360.1,358.7,357.3,355.9,354.5,353.1,351.7,350.3,348.9,1.4,1800,Tue,Sep,11514.85,11520.3,Down,00:16:00
355.7,2018-09-19,09:51:00,355.7,Sell,BPCL,,345.25,,,,,,,,,,354.75,09:46:00,-1710.0,Stoploss Hit,,353.8,352.85,351.9,350.95,350.0,349.05,348.1,347.15,346.2,0.95,1800,Wed,Sep,11570.25,11589.1,Down,00:05:00
359.25,2018-09-25,11:51:00,359.25,Sell,BPCL,,345.5,,,,,,,,,,358.0,09:51:00,-2250.0,Stoploss Hit,,356.75,355.5,354.25,353.0,351.75,350.5,349.25,348.0,346.75,1.25,1800,Tue,Sep,11476.85,11438.1,Up,02:00:00
364.55,2018-09-26,09:52:00,364.55,Sell,BPCL,,349.7,,,,,,,,,,363.2,09:50:00,-2430.0,Stoploss Hit,,361.85,360.5,359.15,357.8,356.45,355.1,353.75,352.4,351.05,1.35,1800,Wed,Sep,10634.9,10582.5,Up,00:02:00
375.0,2018-10-04,10:04:00,380.8,Buy,BPCL,1.45,389.5,376.45,377.9,379.35,380.8,382.25,383.7,385.15,386.6,388.05,380.8,10:16:00,10440.0,Stoploss Hit,1to4 trail,,,,,,,,,,,1800,Thu,Oct,11164.4,11143.1,Up,00:12:00
276.9,2018-10-08,09:47:00,272.9,Buy,BPCL,4.0,316.9,280.9,284.9,288.9,292.9,296.9,300.9,304.9,308.9,312.9,272.9,09:54:00,-7200.0,Stoploss Hit,,,,,,,,,,,,1800,Mon,Oct,11145.55,11067.45,Up,00:07:00
283.0,2018-10-12,10:07:00,283.0,Sell,BPCL,,272.0,,,,,,,,,,282.0,09:50:00,-1800.0,Stoploss Hit,,281.0,280.0,279.0,278.0,277.0,276.0,275.0,274.0,273.0,1.0,1800,Fri,Oct,10982.7,11008.3,Down,00:17:00
291.25,2018-10-15,13:08:00,291.25,Buy,BPCL,3.15,322.75,294.4,297.55,300.7,303.85,307.0,310.15,313.3,316.45,319.6,298.2,15:00:00,12510.0,Market Exit,Breakeven,,,,,,,,,,,1800,Mon,Oct,10982.7,11008.3,Down,01:52:00
296.75,2018-10-16,09:55:00,295.05,Buy,BPCL,1.7,313.75,298.45,300.15,301.85,303.55,305.25,306.95,308.65,310.35,312.05,295.05,10:41:00,-3060.0,Stoploss Hit,,,,,,,,,,,,1800,Tue,Oct,10930.9,10930.45,Up,00:46:00
279.65,2018-10-24,09:46:00,279.65,Buy,BPCL,1.65,296.15,281.3,282.95,284.6,286.25,287.9,289.55,291.2,292.85,294.5,279.65,11:31:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1800,Wed,Oct,10331.55,10234.65,Up,01:45:00
265.8,2018-10-31,10:04:00,265.8,Sell,BPCL,,257.3,,,,,,,,,,265.8,09:54:00,0.0,Stoploss Hit,Breakeven,264.95,264.1,263.25,262.4,261.55,260.7,259.85,259.0,258.15,0.85,1800,Wed,Oct,10405.85,10303.55,Up,00:10:00
