buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
3175.5,2018-08-06,11:20:00,3175.5,Sell,BRITANNIA,,2976.0,,,,,,,,,,3175.5,11:12:00,0.0,Stoploss Hit,Breakeven,3155.55,3135.6,3115.65,3095.7,3075.75,3055.8,3035.85,3015.9,2995.95,19.95,200,Mon,Aug,11381.7,11355.75,Up,00:08:00
3108.02,2018-08-07,09:47:00,3108.02,Sell,BRITANNIA,,3043.27,,,,,,,,,,3142.57,09:47:00,6910.0,Stoploss Hit,Breakeven,3132.64,3122.71,3112.78,3102.85,3092.92,3082.99,3073.06,3063.13,3053.2,9.93,200,Tue,Aug,11423.15,11387.1,Up,00:00:00
3163.0,2018-08-09,10:00:00,3163.0,Buy,BRITANNIA,6.5,3228.0,3169.5,3176.0,3182.5,3189.0,3195.5,3202.0,3208.5,3215.0,3221.5,3171.45,15:00:00,1690.0,Market Exit,Breakeven,,,,,,,,,,,200,Thu,Aug,,11450.0,Down,05:00:00
3163.43,2018-08-10,10:22:00,3163.43,Sell,BRITANNIA,,3073.67,,,,,,,,,,3155.27,10:04:00,-1632.0,Stoploss Hit,,3147.11,3138.95,3130.79,3122.63,3114.47,3106.31,3098.15,3089.99,3081.83,8.16,200,Fri,Aug,11474.95,11470.7,Up,00:18:00
3174.5,2018-08-13,10:20:00,3168.55,Buy,BRITANNIA,5.95,3234.0,3180.45,3186.4,3192.35,3198.3,3204.25,3210.2,3216.15,3222.1,3228.05,3168.55,10:44:00,-1190.0,Stoploss Hit,,,,,,,,,,,,200,Mon,Aug,11474.95,11470.7,Up,00:24:00
3259.65,2018-08-17,10:22:00,3290.5,Buy,BRITANNIA,6.17,3321.35,3265.82,3271.99,3278.16,3284.33,3290.5,3296.67,3302.84,3309.01,3315.18,3303.25,15:00:00,8720.0,Market Exit,1to5 trail,,,,,,,,,,,200,Fri,Aug,11397.15,11435.1,Down,04:38:00
3410.0,2018-08-24,09:46:00,3410.0,Sell,BRITANNIA,,3290.0,,,,,,,,,,3410.0,10:58:00,0.0,Stoploss Hit,Breakeven,3398.0,3386.0,3374.0,3362.0,3350.0,3338.0,3326.0,3314.0,3302.0,12.0,200,Fri,Aug,11566.6,11582.75,Down,1899-12-29 22:48:00
3332.92,2018-09-03,10:16:00,3332.92,Sell,BRITANNIA,,3306.52,,,,,,,,,,3372.52,12:59:00,7920.0,Stoploss Hit,1to6 Trail,3365.92,3359.32,3352.72,3346.12,3339.52,3332.92,3326.32,3319.72,3313.12,6.6,200,Mon,Sep,11360.85,11341.15,Up,1899-12-29 21:17:00
3266.2,2019-10-25,10:16:00,3266.2,Sell,BRITANNIA,,3220.0,,,,,,,,,,3262.0,10:16:00,-840.0,Stoploss Hit,,3257.8,3253.6,3249.4,3245.2,3241.0,3236.8,3232.6,3228.4,3224.2,4.2,200,Fri,Oct,11466.3,11464.0,Up,00:00:00
3275.95,2019-10-31,10:28:00,3275.95,Sell,BRITANNIA,,3172.5,,,,,,,,,,3297.5,10:38:00,4310.0,Stoploss Hit,Breakeven,3285.0,3272.5,3260.0,3247.5,3235.0,3222.5,3210.0,3197.5,3185.0,12.5,200,Thu,Oct,11890.45,11844.1,Up,1899-12-29 23:50:00
3209.2,2019-11-06,10:19:00,3209.2,Sell,BRITANNIA,,3143.2,,,,,,,,,,3203.2,10:07:00,-1200.0,Stoploss Hit,,3197.2,3191.2,3185.2,3179.2,3173.2,3167.2,3161.2,3155.2,3149.2,6.0,200,Wed,Nov,11657.15,11661.85,Down,00:12:00
3290.0,2019-11-13,09:46:00,3267.95,Buy,BRITANNIA,22.05,3510.5,3312.05,3334.1,3356.15,3378.2,3400.25,3422.3,3444.35,3466.4,3488.45,3267.95,11:14:00,-4410.0,Stoploss Hit,,,,,,,,,,,,200,Wed,Nov,11911.5,11917.2,Down,01:28:00
3071.3,2019-11-26,09:47:00,3066.0,Buy,BRITANNIA,5.3,3124.3,3076.6,3081.9,3087.2,3092.5,3097.8,3103.1,3108.4,3113.7,3119.0,3066.0,10:13:00,-1060.0,Stoploss Hit,,,,,,,,,,,,200,Tue,Nov,11911.5,11917.2,Down,00:26:00
3090.0,2019-11-27,12:51:00,3086.0,Buy,BRITANNIA,4.0,3130.0,3094.0,3098.0,3102.0,3106.0,3110.0,3114.0,3118.0,3122.0,3126.0,3086.0,14:22:00,-800.0,Stoploss Hit,,,,,,,,,,,,200,Wed,Nov,11928.9,11890.6,Up,01:31:00
3080.25,2019-12-06,10:39:00,3080.25,Sell,BRITANNIA,,3055.5,,,,,,,,,,3078.0,10:35:00,-450.0,Stoploss Hit,,3075.75,3073.5,3071.25,3069.0,3066.75,3064.5,3062.25,3060.0,3057.75,2.25,200,Fri,Dec,11911.5,11917.2,Down,00:04:00
