buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
307.7,2018-08-03,13:28:00,305.65,Buy,BSOFT,2.05,328.2,309.75,311.8,313.85,315.9,317.95,320.0,322.05,324.1,326.15,305.65,13:36:00,-4100.0,Stoploss Hit,,,,,,,,,,,,2000,Fri,Aug,11297.8,11244.7,Up,00:08:00
294.1,2018-08-23,10:23:00,294.1,Sell,BSOFT,,288.1,,,,,,,,,,294.1,10:11:00,0.0,Stoploss Hit,Breakeven,293.5,292.9,292.3,291.7,291.1,290.5,289.9,289.3,288.7,0.6,2000,Thu,Aug,11620.7,11570.9,Up,00:12:00
294.5,2018-08-29,11:59:00,293.15,Buy,BSOFT,1.35,308.0,295.85,297.2,298.55,299.9,301.25,302.6,303.95,305.3,306.65,293.15,12:10:00,-2700.0,Stoploss Hit,,,,,,,,,,,,2000,Wed,Aug,11731.95,11691.95,Up,00:11:00
299.9,2018-08-31,09:49:00,300.45,Buy,BSOFT,0.55,305.4,300.45,301.0,301.55,302.1,302.65,303.2,303.75,304.3,304.85,300.45,11:13:00,1100.0,Stoploss Hit,1to1 trail,,,,,,,,,,,2000,Fri,Aug,11675.85,11676.8,Down,01:24:00
308.55,2018-09-07,12:31:00,308.55,Sell,BSOFT,,290.55,,,,,,,,,,308.55,11:19:00,0.0,Stoploss Hit,Breakeven,306.75,304.95,303.15,301.35,299.55,297.75,295.95,294.15,292.35,1.8,2000,Fri,Sep,11558.25,11536.9,Up,01:12:00
277.85,2018-09-21,13:14:00,277.85,Sell,BSOFT,,274.55,,,,,,,,,,285.55,10:21:00,15400.0,Stoploss Hit,1to7 Trail,284.45,283.35,282.25,281.15,280.05,278.95,277.85,276.75,275.65,1.1,2000,Fri,Sep,11271.3,11234.35,Up,02:53:00
248.2,2018-09-26,09:46:00,248.2,Sell,BSOFT,,242.8,,,,,,,,,,260.8,09:47:00,25200.0,Stoploss Hit,1to7 Trail,259.0,257.2,255.4,253.6,251.8,250.0,248.2,246.4,244.6,1.8,2000,Wed,Sep,13980.9,13932.6,Up,1899-12-29 23:59:00
252.7,2020-12-30,12:13:00,250.7,Buy,BSOFT,2.0,272.7,254.7,256.7,258.7,260.7,262.7,264.7,266.7,268.7,270.7,250.7,12:27:00,-4000.0,Stoploss Hit,,,,,,,,,,,,2000,Wed,Dec,13473.5,13466.3,Up,00:14:00
251.0,2020-12-31,11:21:00,251.0,Sell,BSOFT,,242.0,,,,,,,,,,251.0,10:51:00,0.0,Stoploss Hit,Breakeven,250.1,249.2,248.3,247.4,246.5,245.6,244.7,243.8,242.9,0.9,2000,Thu,Dec,13264.85,13258.55,Up,00:30:00
269.35,2021-01-06,10:30:00,267.4,Buy,BSOFT,1.95,288.85,271.3,273.25,275.2,277.15,279.1,281.05,283.0,284.95,286.9,267.4,13:03:00,-3900.0,Stoploss Hit,,,,,,,,,,,,2000,Wed,Jan,14237.95,14238.9,Down,02:33:00
267.0,2021-01-13,10:27:00,267.0,Sell,BSOFT,,256.0,,,,,,,,,,266.0,10:10:00,-2000.0,Stoploss Hit,,265.0,264.0,263.0,262.0,261.0,260.0,259.0,258.0,257.0,1.0,2000,Wed,Jan,13970.0,13981.95,Down,00:17:00
248.75,2021-02-01,12:55:00,246.15,Buy,BSOFT,2.6,274.75,251.35,253.95,256.55,259.15,261.75,264.35,266.95,269.55,272.15,246.15,13:20:00,-5200.0,Stoploss Hit,,,,,,,,,,,,2000,Mon,Feb,14538.3,14521.15,Up,00:25:00
258.9,2021-02-10,11:07:00,258.9,Buy,BSOFT,0.95,268.4,259.85,260.8,261.75,262.7,263.65,264.6,265.55,266.5,267.45,258.9,11:15:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2000,Wed,Feb,14729.15,14707.8,Up,00:08:00
253.65,2021-02-12,10:28:00,253.65,Sell,BSOFT,,227.8,,,,,,,,,,251.3,10:21:00,-4700.0,Stoploss Hit,,248.95,246.6,244.25,241.9,239.55,237.2,234.85,232.5,230.15,2.35,2000,Fri,Feb,14789.05,14789.95,Down,00:07:00
244.1,2021-02-16,10:22:00,244.1,Sell,BSOFT,,232.0,,,,,,,,,,243.0,09:55:00,-2200.0,Stoploss Hit,,241.9,240.8,239.7,238.6,237.5,236.4,235.3,234.2,233.1,1.1,2000,Tue,Feb,14730.95,14644.7,Up,00:27:00
227.55,2021-02-26,11:54:00,227.55,Sell,BSOFT,,221.55,,,,,,,,,,227.55,11:17:00,0.0,Stoploss Hit,Breakeven,226.95,226.35,225.75,225.15,224.55,223.95,223.35,222.75,222.15,0.6,2000,Fri,Feb,15026.75,15245.6,Down,00:37:00
231.8,2021-03-01,09:49:00,230.25,Buy,BSOFT,1.55,247.3,233.35,234.9,236.45,238.0,239.55,241.1,242.65,244.2,245.75,230.25,09:51:00,-3100.0,Stoploss Hit,,,,,,,,,,,,2000,Mon,Mar,14702.5,14529.15,Up,00:02:00
252.0,2021-03-16,10:25:00,249.8,Buy,BSOFT,2.2,274.0,254.2,256.4,258.6,260.8,263.0,265.2,267.4,269.6,271.8,249.8,14:44:00,-4400.0,Stoploss Hit,,,,,,,,,,,,2000,Tue,Mar,14712.45,14814.75,Down,04:19:00
258.8,2021-03-17,09:46:00,257.55,Buy,BSOFT,1.25,271.3,260.05,261.3,262.55,263.8,265.05,266.3,267.55,268.8,270.05,257.55,09:55:00,-2500.0,Stoploss Hit,,,,,,,,,,,,2000,Wed,Mar,15049.9,14956.2,Up,00:09:00
247.0,2021-03-18,10:51:00,247.0,Sell,BSOFT,,237.0,,,,,,,,,,247.0,10:25:00,0.0,Stoploss Hit,Breakeven,246.0,245.0,244.0,243.0,242.0,241.0,240.0,239.0,238.0,1.0,2000,Thu,Mar,15002.45,14938.1,Up,00:26:00
244.7,2021-03-22,12:05:00,243.0,Buy,BSOFT,1.7,261.7,246.4,248.1,249.8,251.5,253.2,254.9,256.6,258.3,260.0,243.0,13:00:00,-3400.0,Stoploss Hit,,,,,,,,,,,,2000,Mon,Mar,14570.9,14549.4,Up,00:55:00
250.8,2021-03-24,09:46:00,256.8,Buy,BSOFT,1.0,260.8,251.8,252.8,253.8,254.8,255.8,256.8,257.8,258.8,259.8,256.8,09:50:00,12000.0,Stoploss Hit,1to6 trail,,,,,,,,,,,2000,Wed,Mar,14449.45,14341.35,Up,00:04:00
249.8,2021-03-26,12:07:00,249.8,Buy,BSOFT,0.55,255.3,250.35,250.9,251.45,252.0,252.55,253.1,253.65,254.2,254.75,249.8,12:21:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2000,Fri,Mar,14996.1,14929.5,Up,00:14:00
260.85,2021-04-13,09:48:00,261.5,Buy,BSOFT,0.65,267.35,261.5,262.15,262.8,263.45,264.1,264.75,265.4,266.05,266.7,261.5,09:50:00,1300.0,Stoploss Hit,1to1 trail,,,,,,,,,,,2000,Tue,Apr,14716.45,14683.5,Up,00:02:00
251.15,2021-04-15,10:28:00,251.15,Sell,BSOFT,,240.7,,,,,,,,,,250.2,10:26:00,-1900.0,Stoploss Hit,,249.25,248.3,247.35,246.4,245.45,244.5,243.55,242.6,241.65,0.95,2000,Thu,Apr,14522.4,14504.8,Up,00:02:00
255.4,2021-04-16,12:48:00,255.4,Sell,BSOFT,,240.55,,,,,,,,,,254.05,12:30:00,-2700.0,Stoploss Hit,,252.7,251.35,250.0,248.65,247.3,245.95,244.6,243.25,241.9,1.35,2000,Fri,Apr,14837.7,14867.35,Down,00:18:00
247.8,2021-04-22,09:49:00,247.8,Buy,BSOFT,0.8,255.8,248.6,249.4,250.2,251.0,251.8,252.6,253.4,254.2,255.0,247.8,10:02:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2000,Thu,Apr,14506.3,14324.9,Up,00:13:00
257.0,2021-04-26,10:50:00,257.0,Sell,BSOFT,,248.0,,,,,,,,,,257.0,10:28:00,0.0,Stoploss Hit,Breakeven,256.1,255.2,254.3,253.4,252.5,251.6,250.7,249.8,248.9,0.9,2000,Mon,Apr,14837.7,14867.35,Down,00:22:00
245.55,2021-05-03,10:28:00,245.55,Sell,BSOFT,,233.45,,,,,,,,,,244.45,10:17:00,-2200.0,Stoploss Hit,,243.35,242.25,241.15,240.05,238.95,237.85,236.75,235.65,234.55,1.1,2000,Mon,May,14493.8,14485.0,Up,00:11:00
255.1,2021-05-14,11:32:00,255.1,Sell,BSOFT,,249.6,,,,,,,,,,254.6,11:29:00,-1000.0,Stoploss Hit,,254.1,253.6,253.1,252.6,252.1,251.6,251.1,250.6,250.1,0.5,2000,Fri,May,15773.9,15751.65,Up,00:03:00
270.55,2021-05-19,10:50:00,270.55,Sell,BSOFT,,255.15,,,,,,,,,,269.15,10:43:00,-2800.0,Stoploss Hit,,267.75,266.35,264.95,263.55,262.15,260.75,259.35,257.95,256.55,1.4,2000,Wed,May,14756.25,14677.8,Up,00:07:00
318.25,2021-05-27,09:54:00,318.25,Sell,BSOFT,,303.5,,,,,,,,,,328.0,13:48:00,19500.0,Stoploss Hit,Breakeven,325.55,323.1,320.65,318.2,315.75,313.3,310.85,308.4,305.95,2.45,2000,Thu,May,15323.95,15301.45,Up,1899-12-29 20:06:00
341.4,2021-06-08,10:04:00,341.4,Sell,BSOFT,,315.0,,,,,,,,,,339.0,10:02:00,-4800.0,Stoploss Hit,,336.6,334.2,331.8,329.4,327.0,324.6,322.2,319.8,317.4,2.4,2000,Tue,Jun,15067.2,14923.15,Up,00:02:00
401.65,2021-06-15,13:13:00,401.65,Sell,BSOFT,,383.5,,,,,,,,,,400.0,10:05:00,-3300.0,Stoploss Hit,,398.35,396.7,395.05,393.4,391.75,390.1,388.45,386.8,385.15,1.65,2000,Tue,Jun,15712.5,15690.35,Up,03:08:00
379.65,2021-06-25,09:48:00,379.65,Sell,BSOFT,,373.65,,,,,,,,,,385.15,11:04:00,11000.0,Stoploss Hit,Breakeven,384.0,382.85,381.7,380.55,379.4,378.25,377.1,375.95,374.8,1.15,2000,Fri,Jun,15754.5,15923.4,Down,1899-12-29 22:44:00
394.8,2021-07-05,10:48:00,394.8,Sell,BSOFT,,381.05,,,,,,,,,,393.55,10:40:00,-2500.0,Stoploss Hit,,392.3,391.05,389.8,388.55,387.3,386.05,384.8,383.55,382.3,1.25,2000,Mon,Jul,15756.5,15691.4,Up,00:08:00
389.1,2021-07-09,11:10:00,389.1,Sell,BSOFT,,380.85,,,,,,,,,,388.35,11:07:00,-1500.0,Stoploss Hit,,387.6,386.85,386.1,385.35,384.6,383.85,383.1,382.35,381.6,0.75,2000,Fri,Jul,15872.15,15853.95,Up,00:03:00
388.65,2021-07-12,12:53:00,388.65,Sell,BSOFT,,381.5,,,,,,,,,,388.0,12:48:00,-1300.0,Stoploss Hit,,387.35,386.7,386.05,385.4,384.75,384.1,383.45,382.8,382.15,0.65,2000,Mon,Jul,15736.6,15632.1,Up,00:05:00
425.0,2021-07-16,10:07:00,425.0,Sell,BSOFT,,403.5,,,,,,,,,,425.0,10:03:00,0.0,Stoploss Hit,Breakeven,422.85,420.7,418.55,416.4,414.25,412.1,409.95,407.8,405.65,2.15,2000,Fri,Jul,15736.6,15632.1,Up,00:04:00
404.15,2021-07-22,11:12:00,404.15,Sell,BSOFT,,396.5,,,,,,,,,,405.0,11:11:00,1700.0,Stoploss Hit,1to1 Trail,404.15,403.3,402.45,401.6,400.75,399.9,399.05,398.2,397.35,0.85,2000,Thu,Jul,15736.6,15632.1,Up,00:01:00
397.05,2021-07-23,10:23:00,397.05,Sell,BSOFT,,392.5,,,,,,,,,,407.5,11:06:00,20900.0,Stoploss Hit,Breakeven,406.0,404.5,403.0,401.5,400.0,398.5,397.0,395.5,394.0,1.5,2000,Fri,Jul,15819.6,15818.25,Up,1899-12-29 23:17:00
404.35,2021-07-26,10:24:00,403.4,Buy,BSOFT,0.95,413.85,405.3,406.25,407.2,408.15,409.1,410.05,411.0,411.95,412.9,403.4,11:12:00,-1900.0,Stoploss Hit,,,,,,,,,,,,2000,Mon,Jul,15761.55,15746.45,Up,00:48:00
403.3,2021-07-28,09:57:00,403.3,Sell,BSOFT,,393.5,,,,,,,,,,407.5,09:47:00,8400.0,Stoploss Hit,1to3 Trail,406.1,404.7,403.3,401.9,400.5,399.1,397.7,396.3,394.9,1.4,2000,Wed,Jul,15958.35,15924.2,Up,00:10:00
402.0,2021-07-30,09:47:00,402.0,Sell,BSOFT,,392.5,,,,,,,,,,406.0,09:48:00,8000.0,Stoploss Hit,Breakeven,404.65,403.3,401.95,400.6,399.25,397.9,396.55,395.2,393.85,1.35,2000,Fri,Jul,15874.9,15763.05,Up,1899-12-29 23:59:00
394.1,2021-08-04,15:27:00,394.1,Sell,BSOFT,,385.1,,,,,,,,,,394.1,09:52:00,0.0,Stoploss Hit,Breakeven,393.2,392.3,391.4,390.5,389.6,388.7,387.8,386.9,386.0,0.9,2000,Wed,Aug,15855.4,15879.65,Down,05:35:00
397.35,2021-08-09,09:51:00,397.35,Sell,BSOFT,,393.5,,,,,,,,,,399.0,09:46:00,3300.0,Stoploss Hit,1to3 Trail,398.45,397.9,397.35,396.8,396.25,395.7,395.15,394.6,394.05,0.55,2000,Mon,Aug,15703.95,15752.4,Down,00:05:00
425.4,2021-08-13,09:46:00,425.4,Sell,BSOFT,,403.4,,,,,,,,,,425.4,10:52:00,0.0,Stoploss Hit,Breakeven,423.2,421.0,418.8,416.6,414.4,412.2,410.0,407.8,405.6,2.2,2000,Fri,Aug,15761.55,15746.45,Up,1899-12-29 22:54:00
410.95,2021-08-26,11:39:00,410.95,Buy,BSOFT,1.45,425.45,412.4,413.85,415.3,416.75,418.2,419.65,421.1,422.55,424.0,410.95,12:13:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2000,Thu,Aug,16627.95,16634.65,Down,00:34:00
407.5,2021-09-13,09:58:00,407.5,Buy,BSOFT,1.35,421.0,408.85,410.2,411.55,412.9,414.25,415.6,416.95,418.3,419.65,407.5,11:31:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2000,Mon,Sep,17262.45,17234.15,Up,01:33:00
411.1,2021-09-14,11:02:00,408.95,Buy,BSOFT,2.15,432.6,413.25,415.4,417.55,419.7,421.85,424.0,426.15,428.3,430.45,408.95,14:32:00,-4300.0,Stoploss Hit,,,,,,,,,,,,2000,Tue,Sep,18272.85,18161.75,Up,03:30:00
407.55,2021-09-15,10:54:00,407.55,Sell,BSOFT,,396.0,,,,,,,,,,406.5,09:57:00,-2100.0,Stoploss Hit,,405.45,404.4,403.35,402.3,401.25,400.2,399.15,398.1,397.05,1.05,2000,Wed,Sep,17387.65,17380.0,Up,00:57:00
440.8,2021-09-23,12:07:00,440.8,Sell,BSOFT,,410.0,,,,,,,,,,438.0,10:43:00,-5600.0,Stoploss Hit,,435.2,432.4,429.6,426.8,424.0,421.2,418.4,415.6,412.8,2.8,2000,Thu,Sep,17420.35,17355.3,Up,01:24:00
437.95,2021-09-27,09:54:00,437.95,Sell,BSOFT,,428.6,,,,,,,,,,437.1,09:54:00,-1700.0,Stoploss Hit,,436.25,435.4,434.55,433.7,432.85,432.0,431.15,430.3,429.45,0.85,2000,Mon,Sep,17539.2,17519.45,Up,00:00:00
413.0,2021-09-30,10:36:00,413.0,Sell,BSOFT,,397.05,,,,,,,,,,411.55,10:18:00,-2900.0,Stoploss Hit,,410.1,408.65,407.2,405.75,404.3,402.85,401.4,399.95,398.5,1.45,2000,Thu,Sep,17718.9,17711.3,Up,00:18:00
405.0,2021-10-01,09:46:00,405.0,Sell,BSOFT,,376.0,,,,,,,,,,405.0,10:30:00,0.0,Stoploss Hit,Breakeven,402.1,399.2,396.3,393.4,390.5,387.6,384.7,381.8,378.9,2.9,2000,Fri,Oct,17387.65,17380.0,Up,1899-12-29 23:16:00
406.7,2021-10-04,10:17:00,405.45,Buy,BSOFT,1.25,419.2,407.95,409.2,410.45,411.7,412.95,414.2,415.45,416.7,417.95,405.45,11:32:00,-2500.0,Stoploss Hit,,,,,,,,,,,,2000,Mon,Oct,17450.5,17396.9,Up,01:15:00
434.15,2021-10-14,12:26:00,433.05,Buy,BSOFT,1.1,445.15,435.25,436.35,437.45,438.55,439.65,440.75,441.85,442.95,444.05,433.05,12:27:00,-2200.0,Stoploss Hit,,,,,,,,,,,,2000,Thu,Oct,18439.9,18418.75,Up,00:01:00
408.05,2021-10-22,12:28:00,408.05,Sell,BSOFT,,396.05,,,,,,,,,,408.05,12:08:00,0.0,Stoploss Hit,Breakeven,406.85,405.65,404.45,403.25,402.05,400.85,399.65,398.45,397.25,1.2,2000,Fri,Oct,18295.85,18268.4,Up,00:20:00
409.0,2021-10-27,10:30:00,406.95,Buy,BSOFT,2.05,429.5,411.05,413.1,415.15,417.2,419.25,421.3,423.35,425.4,427.45,406.95,10:39:00,-4100.0,Stoploss Hit,,,,,,,,,,,,2000,Wed,Oct,18439.9,18418.75,Up,00:09:00
407.5,2021-11-01,14:55:00,407.5,Sell,BSOFT,,380.55,,,,,,,,,,405.05,09:47:00,-4900.0,Stoploss Hit,,402.6,400.15,397.7,395.25,392.8,390.35,387.9,385.45,383.0,2.45,2000,Mon,Nov,18295.85,18268.4,Up,05:08:00
410.75,2021-11-02,10:39:00,410.75,Sell,BSOFT,,393.15,,,,,,,,,,409.15,10:39:00,-3200.0,Stoploss Hit,,407.55,405.95,404.35,402.75,401.15,399.55,397.95,396.35,394.75,1.6,2000,Tue,Nov,18229.5,18114.9,Up,00:00:00
405.0,2021-11-03,10:04:00,405.0,Sell,BSOFT,,398.5,,,,,,,,,,410.0,10:03:00,10000.0,Stoploss Hit,Breakeven,408.85,407.7,406.55,405.4,404.25,403.1,401.95,400.8,399.65,1.15,2000,Wed,Nov,17947.95,17888.95,Up,00:01:00
447.0,2021-11-17,11:14:00,466.5,Buy,BSOFT,3.25,479.5,450.25,453.5,456.75,460.0,463.25,466.5,469.75,473.0,476.25,473.95,15:00:00,53900.0,Market Exit,1to6 trail,,,,,,,,,,,2000,Wed,Nov,17973.45,18044.25,Down,03:46:00
467.85,2021-11-29,09:46:00,467.85,Buy,BSOFT,2.85,496.35,470.7,473.55,476.4,479.25,482.1,484.95,487.8,490.65,493.5,467.85,14:30:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2000,Mon,Nov,17055.8,17026.45,Up,04:44:00
489.4,2021-12-01,11:15:00,487.95,Buy,BSOFT,1.45,503.9,490.85,492.3,493.75,495.2,496.65,498.1,499.55,501.0,502.45,487.95,11:15:00,-2900.0,Stoploss Hit,,,,,,,,,,,,2000,Wed,Dec,17796.25,17764.8,Up,00:00:00
491.9,2021-12-03,10:06:00,491.9,Sell,BSOFT,,473.75,,,,,,,,,,490.25,09:55:00,-3300.0,Stoploss Hit,,488.6,486.95,485.3,483.65,482.0,480.35,478.7,477.05,475.4,1.65,2000,Fri,Dec,17104.4,16983.2,Up,00:11:00
479.05,2021-12-06,10:36:00,479.05,Sell,BSOFT,,467.5,,,,,,,,,,484.0,10:26:00,9900.0,Stoploss Hit,1to3 Trail,482.35,480.7,479.05,477.4,475.75,474.1,472.45,470.8,469.15,1.65,2000,Mon,Dec,17338.75,17536.25,Down,00:10:00
