buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
288.15,2018-08-08,09:49:00,288.15,Sell,CANBK,,275.5,,,,,,,,,,287.0,09:46:00,-3105.0,Stoploss Hit,,285.85,284.7,283.55,282.4,281.25,280.1,278.95,277.8,276.65,1.15,2700,Wed,Aug,11493.25,11450.0,Up,00:03:00
279.7,2018-08-13,10:00:00,278.75,Buy,CANBK,0.95,289.2,280.65,281.6,282.55,283.5,284.45,285.4,286.35,287.3,288.25,278.75,10:03:00,-2565.0,Stoploss Hit,,,,,,,,,,,,2700,Mon,Aug,11369.6,11429.5,Down,00:03:00
272.95,2018-08-14,09:47:00,271.7,Buy,CANBK,1.25,285.45,274.2,275.45,276.7,277.95,279.2,280.45,281.7,282.95,284.2,271.7,10:34:00,-3375.0,Stoploss Hit,,,,,,,,,,,,2700,Tue,Aug,11502.1,11470.75,Up,00:47:00
281.4,2018-08-20,09:46:00,280.45,Buy,CANBK,0.95,290.9,282.35,283.3,284.25,285.2,286.15,287.1,288.05,289.0,289.95,280.45,10:03:00,-2565.0,Stoploss Hit,,,,,,,,,,,,2700,Mon,Aug,11675.85,11676.8,Down,00:17:00
279.8,2018-08-30,09:53:00,279.8,Sell,CANBK,,272.65,,,,,,,,,,279.15,09:49:00,-1755.0,Stoploss Hit,,278.5,277.85,277.2,276.55,275.9,275.25,274.6,273.95,273.3,0.65,2700,Thu,Aug,11675.85,11676.8,Down,00:04:00
260.95,2018-09-12,10:32:00,260.95,Sell,CANBK,,244.45,,,,,,,,,,259.45,09:52:00,-4050.0,Stoploss Hit,,257.95,256.45,254.95,253.45,251.95,250.45,248.95,247.45,245.95,1.5,2700,Wed,Sep,11340.1,11287.5,Up,00:40:00
269.15,2018-09-14,10:00:00,269.15,Sell,CANBK,,256.5,,,,,,,,,,268.0,09:54:00,-3105.0,Stoploss Hit,,266.85,265.7,264.55,263.4,262.25,261.1,259.95,258.8,257.65,1.15,2700,Fri,Sep,11326.65,11278.9,Up,00:06:00
249.45,2018-09-19,09:49:00,249.45,Buy,CANBK,1.45,263.95,250.9,252.35,253.8,255.25,256.7,258.15,259.6,261.05,262.5,249.45,11:02:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2700,Wed,Sep,11164.4,11143.1,Up,01:13:00
233.2,2018-09-24,12:39:00,233.2,Sell,CANBK,,218.35,,,,,,,,,,231.85,12:09:00,-3645.0,Stoploss Hit,,230.5,229.15,227.8,226.45,225.1,223.75,222.4,221.05,219.7,1.35,2700,Mon,Sep,11164.4,11143.1,Up,00:30:00
234.5,2018-09-27,09:58:00,234.5,Sell,CANBK,,229.0,,,,,,,,,,234.0,09:57:00,-1350.0,Stoploss Hit,,233.5,233.0,232.5,232.0,231.5,231.0,230.5,230.0,229.5,0.5,2700,Thu,Sep,10930.9,10930.45,Up,00:01:00
218.7,2018-10-10,10:00:00,222.95,Buy,CANBK,0.85,227.2,219.55,220.4,221.25,222.1,222.95,223.8,224.65,225.5,226.35,222.95,09:50:00,11475.0,Stoploss Hit,1to5 trail,,,,,,,,,,,2700,Wed,Oct,10524.2,10472.5,Up,1899-12-29 23:50:00
226.5,2018-10-11,11:55:00,226.5,Buy,CANBK,0.5,231.5,227.0,227.5,228.0,228.5,229.0,229.5,230.0,230.5,231.0,226.5,12:30:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2700,Thu,Oct,10169.8,10460.1,Down,00:35:00
231.9,2018-10-12,09:46:00,231.9,Buy,CANBK,0.75,239.4,232.65,233.4,234.15,234.9,235.65,236.4,237.15,237.9,238.65,231.9,10:19:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2700,Fri,Oct,10169.8,10460.1,Down,00:33:00
212.85,2018-10-25,10:04:00,212.15,Buy,CANBK,0.7,219.85,213.55,214.25,214.95,215.65,216.35,217.05,217.75,218.45,219.15,212.15,10:17:00,-1890.0,Stoploss Hit,,,,,,,,,,,,2700,Thu,Oct,10135.05,10224.75,Down,00:13:00
265.1,2019-03-18,10:26:00,265.1,Sell,CANBK,,258.1,,,,,,,,,,265.1,10:02:00,0.0,Stoploss Hit,Breakeven,264.4,263.7,263.0,262.3,261.6,260.9,260.2,259.5,258.8,0.7,2700,Mon,Mar,11478.7,11497.9,Down,00:24:00
269.05,2019-03-25,09:54:00,268.1,Buy,CANBK,0.95,278.55,270.0,270.95,271.9,272.85,273.8,274.75,275.7,276.65,277.6,268.1,13:07:00,-2565.0,Stoploss Hit,,,,,,,,,,,,2700,Mon,Mar,11500.3,11462.2,Up,03:13:00
286.8,2019-03-28,09:46:00,290.6,Buy,CANBK,0.95,296.3,287.75,288.7,289.65,290.6,291.55,292.5,293.45,294.4,295.35,293.0,15:00:00,16740.0,Market Exit,1to4 trail,,,,,,,,,,,2700,Thu,Mar,11463.65,11445.05,Up,05:14:00
282.4,2019-04-05,10:36:00,282.4,Sell,CANBK,,275.8,,,,,,,,,,281.8,10:32:00,-1620.0,Stoploss Hit,,281.2,280.6,280.0,279.4,278.8,278.2,277.6,277.0,276.4,0.6,2700,Fri,Apr,11711.55,11669.15,Up,00:04:00
279.55,2019-04-11,10:50:00,279.55,Sell,CANBK,,272.05,,,,,,,,,,279.55,09:59:00,0.0,Stoploss Hit,Breakeven,278.8,278.05,277.3,276.55,275.8,275.05,274.3,273.55,272.8,0.75,2700,Thu,Apr,11592.55,11584.3,Up,00:51:00
281.55,2019-04-16,10:48:00,281.55,Sell,CANBK,,277.5,,,,,,,,,,282.0,10:30:00,1215.0,Stoploss Hit,1to1 Trail,281.55,281.1,280.65,280.2,279.75,279.3,278.85,278.4,277.95,0.45,2700,Tue,Apr,12052.65,12088.55,Down,00:18:00
270.35,2019-04-23,10:59:00,270.35,Buy,CANBK,0.7,277.35,271.05,271.75,272.45,273.15,273.85,274.55,275.25,275.95,276.65,270.35,14:43:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2700,Tue,Apr,11856.15,11787.15,Up,03:44:00
272.65,2019-04-25,13:03:00,272.65,Sell,CANBK,,263.85,,,,,,,,,,271.85,12:28:00,-2160.0,Stoploss Hit,,271.05,270.25,269.45,268.65,267.85,267.05,266.25,265.45,264.65,0.8,2700,Thu,Apr,11592.55,11584.3,Up,00:35:00
264.85,2019-05-06,10:06:00,263.2,Buy,CANBK,1.65,281.35,266.5,268.15,269.8,271.45,273.1,274.75,276.4,278.05,279.7,265.6,15:00:00,2025.0,Market Exit,,,,,,,,,,,,2700,Mon,May,11736.2,11690.35,Up,04:54:00
258.8,2019-05-09,10:01:00,258.15,Buy,CANBK,0.65,265.3,259.45,260.1,260.75,261.4,262.05,262.7,263.35,264.0,264.65,258.15,10:08:00,-1755.0,Stoploss Hit,,,,,,,,,,,,2700,Thu,May,11667.0,11643.45,Up,00:07:00
261.6,2019-05-20,10:02:00,261.6,Buy,CANBK,2.85,290.1,264.45,267.3,270.15,273.0,275.85,278.7,281.55,284.4,287.25,265.7,15:00:00,11070.0,Market Exit,Breakeven,,,,,,,,,,,2700,Mon,May,11962.45,11965.6,Down,04:58:00
275.9,2019-05-31,09:51:00,275.2,Buy,CANBK,0.7,282.9,276.6,277.3,278.0,278.7,279.4,280.1,280.8,281.5,282.2,275.2,10:01:00,-1890.0,Stoploss Hit,,,,,,,,,,,,2700,Fri,May,11958.35,11924.75,Up,00:10:00
272.5,2019-06-06,10:36:00,271.8,Buy,CANBK,0.7,279.5,273.2,273.9,274.6,275.3,276.0,276.7,277.4,278.1,278.8,271.8,10:55:00,-1890.0,Stoploss Hit,,,,,,,,,,,,2700,Thu,Jun,11865.2,11843.75,Up,00:19:00
260.6,2019-06-11,09:48:00,264.35,Buy,CANBK,1.25,273.1,261.85,263.1,264.35,265.6,266.85,268.1,269.35,270.6,271.85,267.8,15:00:00,19440.0,Market Exit,1to3 trail,,,,,,,,,,,2700,Tue,Jun,12052.65,12088.55,Down,05:12:00
227.75,2019-08-08,10:00:00,226.85,Buy,CANBK,0.9,236.75,228.65,229.55,230.45,231.35,232.25,233.15,234.05,234.95,235.85,226.85,10:12:00,-2430.0,Stoploss Hit,,,,,,,,,,,,2700,Thu,Aug,11247.45,11252.15,Down,00:12:00
226.55,2019-08-21,10:11:00,226.15,Buy,CANBK,0.4,230.55,226.95,227.35,227.75,228.15,228.55,228.95,229.35,229.75,230.15,226.15,10:12:00,-1080.0,Stoploss Hit,,,,,,,,,,,,2700,Wed,Aug,11307.5,11284.3,Up,00:01:00
211.0,2019-08-23,09:47:00,212.65,Buy,CANBK,1.65,227.5,212.65,214.3,215.95,217.6,219.25,220.9,222.55,224.2,225.85,216.65,15:00:00,15255.0,Market Exit,1to1 trail,,,,,,,,,,,2700,Fri,Aug,11106.55,11057.85,Up,05:13:00
222.65,2019-08-29,09:46:00,222.65,Sell,CANBK,,216.65,,,,,,,,,,224.15,10:38:00,4050.0,Stoploss Hit,1to2 Trail,223.4,222.65,221.9,221.15,220.4,219.65,218.9,218.15,217.4,0.75,2700,Thu,Aug,10936.7,10946.2,Down,1899-12-29 23:08:00
207.55,2019-09-24,09:53:00,207.55,Sell,CANBK,,194.35,,,,,,,,,,206.35,09:47:00,-3240.0,Stoploss Hit,,205.15,203.95,202.75,201.55,200.35,199.15,197.95,196.75,195.55,1.2,2700,Tue,Sep,11590.7,11600.2,Down,00:06:00
191.2,2019-09-27,12:43:00,191.2,Sell,CANBK,,181.2,,,,,,,,,,191.2,09:57:00,0.0,Stoploss Hit,Breakeven,190.2,189.2,188.2,187.2,186.2,185.2,184.2,183.2,182.2,1.0,2700,Fri,Sep,10746.8,10704.8,Up,02:46:00
179.35,2019-10-15,10:05:00,179.35,Sell,CANBK,,173.3,,,,,,,,,,178.8,09:50:00,-1485.0,Stoploss Hit,,178.25,177.7,177.15,176.6,176.05,175.5,174.95,174.4,173.85,0.55,2700,Tue,Oct,11596.2,11588.35,Up,00:15:00
190.15,2019-10-25,10:41:00,189.75,Buy,CANBK,0.4,194.15,190.55,190.95,191.35,191.75,192.15,192.55,192.95,193.35,193.75,189.75,10:44:00,-1080.0,Stoploss Hit,,,,,,,,,,,,2700,Fri,Oct,12137.05,12056.05,Up,00:03:00
223.5,2019-11-21,10:56:00,223.5,Sell,CANBK,,213.6,,,,,,,,,,222.6,10:47:00,-2430.0,Stoploss Hit,,221.7,220.8,219.9,219.0,218.1,217.2,216.3,215.4,214.5,0.9,2700,Thu,Nov,12025.65,11999.1,Up,00:09:00
