buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
330.35,2018-08-09,10:23:00,329.3,Buy,CANFINHOME,1.05,340.85,331.4,332.45,333.5,334.55,335.6,336.65,337.7,338.75,339.8,329.3,10:43:00,-1023.75,Stoploss Hit,,,,,,,,,,,,975,Thu,Aug,11381.7,11355.75,Up,00:20:00
319.4,2018-08-29,10:09:00,319.4,Sell,CANFINHOME,,307.85,,,,,,,,,,318.35,10:08:00,-1023.75,Stoploss Hit,,317.3,316.25,315.2,314.15,313.1,312.05,311.0,309.95,308.9,1.05,975,Wed,Aug,11744.95,11738.5,Up,00:01:00
312.5,2018-09-10,09:48:00,311.05,Buy,CANFINHOME,1.45,327.0,313.95,315.4,316.85,318.3,319.75,321.2,322.65,324.1,325.55,311.05,10:01:00,-1413.75,Stoploss Hit,,,,,,,,,,,,975,Mon,Sep,11570.25,11589.1,Down,00:13:00
310.4,2018-09-11,14:20:00,310.4,Sell,CANFINHOME,,306.0,,,,,,,,,,310.0,14:18:00,-390.0,Stoploss Hit,,309.6,309.2,308.8,308.4,308.0,307.6,307.2,306.8,306.4,0.4,975,Tue,Sep,11464.95,11515.2,Down,00:02:00
304.25,2018-09-12,10:16:00,304.25,Sell,CANFINHOME,,295.25,,,,,,,,,,304.25,10:01:00,0.0,Stoploss Hit,Breakeven,303.35,302.45,301.55,300.65,299.75,298.85,297.95,297.05,296.15,0.9,975,Wed,Sep,11340.1,11287.5,Up,00:15:00
309.65,2018-09-14,13:01:00,309.65,Buy,CANFINHOME,0.95,319.15,310.6,311.55,312.5,313.45,314.4,315.35,316.3,317.25,318.2,309.65,14:28:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,975,Fri,Sep,11443.5,11369.9,Up,01:27:00
309.15,2018-09-19,14:16:00,309.15,Sell,CANFINHOME,,299.25,,,,,,,,,,308.25,14:16:00,-877.5,Stoploss Hit,,307.35,306.45,305.55,304.65,303.75,302.85,301.95,301.05,300.15,0.9,975,Wed,Sep,11164.4,11143.1,Up,00:00:00
257.8,2018-09-26,10:04:00,254.0,Buy,CANFINHOME,3.8,295.8,261.6,265.4,269.2,273.0,276.8,280.6,284.4,288.2,292.0,254.0,10:12:00,-3705.0,Stoploss Hit,,,,,,,,,,,,975,Wed,Sep,11079.8,11053.8,Up,00:08:00
241.3,2018-10-04,12:22:00,241.3,Sell,CANFINHOME,,215.8,,,,,,,,,,241.3,11:05:00,0.0,Stoploss Hit,Breakeven,238.75,236.2,233.65,231.1,228.55,226.0,223.45,220.9,218.35,2.55,975,Thu,Oct,10310.15,10316.45,Down,01:17:00
242.5,2018-10-05,13:37:00,242.5,Sell,CANFINHOME,,219.4,,,,,,,,,,240.4,13:11:00,-2047.5,Stoploss Hit,,238.3,236.2,234.1,232.0,229.9,227.8,225.7,223.6,221.5,2.1,975,Fri,Oct,10390.3,10348.05,Up,00:26:00
