buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
142.0,2018-08-07,10:35:00,142.0,Sell,CHAMBLFERT,,138.85,,,,,,,,,,143.35,10:29:00,2025.0,Stoploss Hit,1to3 Trail,142.9,142.45,142.0,141.55,141.1,140.65,140.2,139.75,139.3,0.45,1500,Tue,Aug,11412.5,11389.45,Up,00:06:00
138.8,2018-08-13,10:02:00,139.05,Buy,CHAMBLFERT,0.05,139.3,138.85,138.9,138.95,139.0,139.05,139.1,139.15,139.2,139.25,139.05,10:04:00,375.0,Stoploss Hit,1to5 trail,,,,,,,,,,,1500,Mon,Aug,11381.7,11355.75,Up,00:02:00
138.1,2018-08-14,09:49:00,137.8,Buy,CHAMBLFERT,0.3,141.1,138.4,138.7,139.0,139.3,139.6,139.9,140.2,140.5,140.8,137.8,09:49:00,-450.0,Stoploss Hit,,,,,,,,,,,,1500,Tue,Aug,11381.7,11355.75,Up,00:00:00
144.85,2018-08-17,09:53:00,144.85,Sell,CHAMBLFERT,,137.7,,,,,,,,,,144.2,09:47:00,-975.0,Stoploss Hit,,143.55,142.9,142.25,141.6,140.95,140.3,139.65,139.0,138.35,0.65,1500,Fri,Aug,11437.15,11385.05,Up,00:06:00
149.0,2018-08-20,10:56:00,149.0,Sell,CHAMBLFERT,,146.8,,,,,,,,,,148.8,10:45:00,-300.0,Stoploss Hit,,148.6,148.4,148.2,148.0,147.8,147.6,147.4,147.2,147.0,0.2,1500,Mon,Aug,11397.15,11435.1,Down,00:11:00
149.5,2018-08-27,11:23:00,149.5,Buy,CHAMBLFERT,1.35,163.0,150.85,152.2,153.55,154.9,156.25,157.6,158.95,160.3,161.65,151.75,15:00:00,3375.0,Market Exit,Breakeven,,,,,,,,,,,1500,Mon,Aug,11566.6,11582.75,Down,03:37:00
166.0,2018-08-28,09:52:00,166.0,Buy,CHAMBLFERT,2.5,191.0,168.5,171.0,173.5,176.0,178.5,181.0,183.5,186.0,188.5,166.0,11:09:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1500,Tue,Aug,11605.85,11557.1,Up,01:17:00
163.0,2018-09-06,09:57:00,165.4,Buy,CHAMBLFERT,0.4,167.0,163.4,163.8,164.2,164.6,165.0,165.4,165.8,166.2,166.6,165.4,10:01:00,3600.0,Stoploss Hit,1to6 trail,,,,,,,,,,,1500,Thu,Sep,11598.75,11582.35,Up,00:04:00
162.15,2018-09-10,10:09:00,162.15,Sell,CHAMBLFERT,,160.15,,,,,,,,,,162.15,10:05:00,0.0,Stoploss Hit,Breakeven,161.95,161.75,161.55,161.35,161.15,160.95,160.75,160.55,160.35,0.2,1500,Mon,Sep,11514.85,11520.3,Down,00:04:00
161.0,2018-09-21,13:10:00,161.0,Sell,CHAMBLFERT,,158.0,,,,,,,,,,163.0,10:05:00,3000.0,Stoploss Hit,1to4 Trail,162.5,162.0,161.5,161.0,160.5,160.0,159.5,159.0,158.5,0.5,1500,Fri,Sep,11476.85,11438.1,Up,03:05:00
153.25,2018-09-26,10:24:00,153.25,Sell,CHAMBLFERT,,148.85,,,,,,,,,,152.85,10:21:00,-600.0,Stoploss Hit,,152.45,152.05,151.65,151.25,150.85,150.45,150.05,149.65,149.25,0.4,1500,Wed,Sep,11164.4,11143.1,Up,00:03:00
