buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
287.19,2018-08-03,11:58:00,287.19,Sell,CHOLAFIN,,269.92,,,,,,,,,,285.62,11:40:00,-1962.5,Stoploss Hit,,284.05,282.48,280.91,279.34,277.77,276.2,274.63,273.06,271.49,1.57,1250,Fri,Aug,11297.8,11244.7,Up,00:18:00
295.31,2018-08-21,09:58:00,295.31,Sell,CHOLAFIN,,289.37,,,,,,,,,,294.77,09:56:00,-675.0,Stoploss Hit,,294.23,293.69,293.15,292.61,292.07,291.53,290.99,290.45,289.91,0.54,1250,Tue,Aug,11576.2,11551.75,Up,00:02:00
295.35,2018-08-23,09:52:00,295.35,Sell,CHOLAFIN,,290.4,,,,,,,,,,294.9,09:48:00,-562.5,Stoploss Hit,,294.45,294.0,293.55,293.1,292.65,292.2,291.75,291.3,290.85,0.45,1250,Thu,Aug,11502.1,11470.75,Up,00:04:00
293.33,2018-08-29,10:07:00,291.94,Buy,CHOLAFIN,1.39,307.23,294.72,296.11,297.5,298.89,300.28,301.67,303.06,304.45,305.84,291.94,10:20:00,-1737.5,Stoploss Hit,,,,,,,,,,,,1250,Wed,Aug,11605.85,11557.1,Up,00:13:00
299.4,2018-09-03,11:38:00,303.78,Buy,CHOLAFIN,0.73,306.7,300.13,300.86,301.59,302.32,303.05,303.78,304.51,305.24,305.97,303.78,14:31:00,5475.0,Stoploss Hit,1to6 trail,,,,,,,,,,,1250,Mon,Sep,11514.15,11476.95,Up,02:53:00
264.0,2018-09-17,09:55:00,262.26,Buy,CHOLAFIN,1.74,281.4,265.74,267.48,269.22,270.96,272.7,274.44,276.18,277.92,279.66,262.26,10:37:00,-2175.0,Stoploss Hit,,,,,,,,,,,,1250,Mon,Sep,11464.95,11515.2,Down,00:42:00
242.85,2018-09-24,10:17:00,242.85,Sell,CHOLAFIN,,230.16,,,,,,,,,,244.26,09:49:00,1762.5,Stoploss Hit,1to1 Trail,242.85,241.44,240.03,238.62,237.21,235.8,234.39,232.98,231.57,1.41,1250,Mon,Sep,10969.95,10967.4,Up,00:28:00
236.2,2018-10-05,09:52:00,235.69,Buy,CHOLAFIN,0.51,241.3,236.71,237.22,237.73,238.24,238.75,239.26,239.77,240.28,240.79,235.69,09:52:00,-637.5,Stoploss Hit,,,,,,,,,,,,1250,Fri,Oct,10169.8,10460.1,Down,00:00:00
237.0,2018-10-12,11:04:00,234.72,Buy,CHOLAFIN,2.28,259.8,239.28,241.56,243.84,246.12,248.4,250.68,252.96,255.24,257.52,234.72,12:52:00,-2850.0,Stoploss Hit,,,,,,,,,,,,1250,Fri,Oct,10331.55,10234.65,Up,01:48:00
235.78,2018-10-15,10:02:00,235.78,Sell,CHOLAFIN,,225.0,,,,,,,,,,234.8,09:57:00,-1225.0,Stoploss Hit,,233.82,232.84,231.86,230.88,229.9,228.92,227.94,226.96,225.98,0.98,1250,Mon,Oct,10524.2,10472.5,Up,00:05:00
229.89,2018-10-22,10:05:00,227.28,Buy,CHOLAFIN,2.61,255.99,232.5,235.11,237.72,240.33,242.94,245.55,248.16,250.77,253.38,227.28,10:21:00,-3262.5,Stoploss Hit,,,,,,,,,,,,1250,Mon,Oct,10405.85,10303.55,Up,00:16:00
227.6,2018-10-23,09:52:00,231.59,Buy,CHOLAFIN,0.57,233.3,228.17,228.74,229.31,229.88,230.45,231.02,231.59,232.16,232.73,231.59,10:44:00,4987.5,Stoploss Hit,1to7 trail,,,,,,,,,,,1250,Tue,Oct,10078.1,10030.0,Up,00:52:00
240.0,2018-10-29,10:23:00,240.0,Sell,CHOLAFIN,,231.97,,,,,,,,,,239.27,10:17:00,-912.5,Stoploss Hit,,238.54,237.81,237.08,236.35,235.62,234.89,234.16,233.43,232.7,0.73,1250,Mon,Oct,10078.1,10030.0,Up,00:06:00
270.4,2018-11-02,09:51:00,270.4,Sell,CHOLAFIN,,254.67,,,,,,,,,,268.97,09:48:00,-1787.5,Stoploss Hit,,267.54,266.11,264.68,263.25,261.82,260.39,258.96,257.53,256.1,1.43,1250,Fri,Nov,10239.4,10250.85,Down,00:03:00
266.0,2018-11-12,11:21:00,265.6,Buy,CHOLAFIN,0.4,270.0,266.4,266.8,267.2,267.6,268.0,268.4,268.8,269.2,269.6,265.6,11:21:00,-500.0,Stoploss Hit,,,,,,,,,,,,1250,Mon,Nov,10607.8,10585.2,Up,00:00:00
256.6,2018-11-21,10:51:00,255.48,Buy,CHOLAFIN,1.12,267.8,257.72,258.84,259.96,261.08,262.2,263.32,264.44,265.56,266.68,255.48,11:32:00,-1400.0,Stoploss Hit,,,,,,,,,,,,1250,Wed,Nov,10740.1,10763.4,Down,00:41:00
264.97,2018-11-28,09:46:00,264.97,Buy,CHOLAFIN,0.44,269.37,265.41,265.85,266.29,266.73,267.17,267.61,268.05,268.49,268.93,264.97,09:51:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1250,Wed,Nov,10877.1,10883.75,Down,00:05:00
