buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
636.05,2018-08-01,10:09:00,636.05,Sell,CIPLA,,626.7,,,,,,,,,,635.2,10:04:00,-552.5,Stoploss Hit,,634.35,633.5,632.65,631.8,630.95,630.1,629.25,628.4,627.55,0.85,650,Wed,Aug,11359.8,11356.5,Up,00:05:00
627.4,2018-08-08,10:44:00,627.4,Sell,CIPLA,,602.1,,,,,,,,,,625.1,10:22:00,-1495.0,Stoploss Hit,,622.8,620.5,618.2,615.9,613.6,611.3,609.0,606.7,604.4,2.3,650,Wed,Aug,11412.5,11389.45,Up,00:22:00
632.2,2018-08-14,10:17:00,637.15,Buy,CIPLA,1.65,648.7,633.85,635.5,637.15,638.8,640.45,642.1,643.75,645.4,647.05,641.75,15:00:00,6207.5,Market Exit,1to3 trail,,,,,,,,,,,650,Tue,Aug,11381.7,11355.75,Up,04:43:00
654.8,2018-08-17,09:54:00,653.0,Buy,CIPLA,1.8,672.8,656.6,658.4,660.2,662.0,663.8,665.6,667.4,669.2,671.0,653.0,10:11:00,-1170.0,Stoploss Hit,,,,,,,,,,,,650,Fri,Aug,11502.1,11470.75,Up,00:17:00
647.0,2018-08-24,12:59:00,647.0,Sell,CIPLA,,627.2,,,,,,,,,,645.2,12:53:00,-1170.0,Stoploss Hit,,643.4,641.6,639.8,638.0,636.2,634.4,632.6,630.8,629.0,1.8,650,Fri,Aug,11566.6,11582.75,Down,00:06:00
663.85,2018-09-07,09:57:00,661.0,Buy,CIPLA,2.85,692.35,666.7,669.55,672.4,675.25,678.1,680.95,683.8,686.65,689.5,661.0,13:35:00,-1852.5,Stoploss Hit,,,,,,,,,,,,650,Fri,Sep,10552.0,10524.0,Up,03:38:00
667.85,2018-09-11,09:51:00,667.85,Sell,CIPLA,,648.05,,,,,,,,,,666.05,09:49:00,-1170.0,Stoploss Hit,,664.25,662.45,660.65,658.85,657.05,655.25,653.45,651.65,649.85,1.8,650,Tue,Sep,11340.1,11287.5,Up,00:02:00
666.35,2018-09-14,09:57:00,664.1,Buy,CIPLA,2.25,688.85,668.6,670.85,673.1,675.35,677.6,679.85,682.1,684.35,686.6,664.1,13:30:00,-1462.5,Stoploss Hit,,,,,,,,,,,,650,Fri,Sep,11340.1,11287.5,Up,03:33:00
666.4,2018-09-21,10:22:00,666.4,Sell,CIPLA,,653.2,,,,,,,,,,665.2,10:17:00,-780.0,Stoploss Hit,,664.0,662.8,661.6,660.4,659.2,658.0,656.8,655.6,654.4,1.2,650,Fri,Sep,11464.95,11515.2,Down,00:05:00
672.95,2018-09-27,09:51:00,672.95,Sell,CIPLA,,658.1,,,,,,,,,,671.6,09:46:00,-877.5,Stoploss Hit,,670.25,668.9,667.55,666.2,664.85,663.5,662.15,660.8,659.45,1.35,650,Thu,Sep,11164.4,11143.1,Up,00:05:00
632.8,2018-10-11,10:35:00,630.9,Buy,CIPLA,1.9,651.8,634.7,636.6,638.5,640.4,642.3,644.2,646.1,648.0,649.9,630.9,10:46:00,-1235.0,Stoploss Hit,,,,,,,,,,,,650,Thu,Oct,10169.8,10460.1,Down,00:11:00
625.0,2018-10-23,10:26:00,625.0,Sell,CIPLA,,605.75,,,,,,,,,,623.25,10:03:00,-1137.5,Stoploss Hit,,621.5,619.75,618.0,616.25,614.5,612.75,611.0,609.25,607.5,1.75,650,Tue,Oct,10169.8,10460.1,Down,00:23:00
626.6,2018-10-24,09:47:00,626.6,Sell,CIPLA,,614.5,,,,,,,,,,625.5,09:47:00,-715.0,Stoploss Hit,,624.4,623.3,622.2,621.1,620.0,618.9,617.8,616.7,615.6,1.1,650,Wed,Oct,10405.85,10303.55,Up,00:00:00
617.7,2018-11-02,10:24:00,617.7,Sell,CIPLA,,599.0,,,,,,,,,,616.0,10:16:00,-1105.0,Stoploss Hit,,614.3,612.6,610.9,609.2,607.5,605.8,604.1,602.4,600.7,1.7,650,Fri,Nov,10462.3,10380.45,Up,00:08:00
538.4,2018-11-06,10:18:00,538.4,Sell,CIPLA,,501.0,,,,,,,,,,535.0,10:17:00,-2210.0,Stoploss Hit,,531.6,528.2,524.8,521.4,518.0,514.6,511.2,507.8,504.4,3.4,650,Tue,Nov,10462.3,10380.45,Up,00:01:00
531.0,2018-11-16,12:42:00,531.55,Buy,CIPLA,0.55,536.5,531.55,532.1,532.65,533.2,533.75,534.3,534.85,535.4,535.95,531.55,13:25:00,357.5,Stoploss Hit,1to1 trail,,,,,,,,,,,650,Fri,Nov,10644.0,10616.7,Up,00:43:00
526.95,2018-11-20,11:33:00,526.95,Sell,CIPLA,,506.6,,,,,,,,,,525.1,09:47:00,-1202.5,Stoploss Hit,,523.25,521.4,519.55,517.7,515.85,514.0,512.15,510.3,508.45,1.85,650,Tue,Nov,10731.25,10682.2,Up,01:46:00
