buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
274.55,2018-08-02,10:15:00,273.3,Buy,COALINDIA,1.25,287.05,275.8,277.05,278.3,279.55,280.8,282.05,283.3,284.55,285.8,273.3,10:28:00,-5250.0,Stoploss Hit,,,,,,,,,,,,4200,Thu,Aug,11359.8,11356.5,Up,00:13:00
282.5,2018-08-06,10:55:00,284.0,Buy,COALINDIA,0.5,287.5,283.0,283.5,284.0,284.5,285.0,285.5,286.0,286.5,287.0,284.0,11:09:00,6300.0,Stoploss Hit,1to3 trail,,,,,,,,,,,4200,Mon,Aug,11297.8,11244.7,Up,00:14:00
287.0,2018-08-07,09:47:00,287.0,Buy,COALINDIA,0.6,293.0,287.6,288.2,288.8,289.4,290.0,290.6,291.2,291.8,292.4,287.0,10:16:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,4200,Tue,Aug,11423.15,11387.1,Up,00:29:00
276.5,2018-08-08,10:11:00,276.5,Sell,COALINDIA,,265.5,,,,,,,,,,275.5,09:53:00,-4200.0,Stoploss Hit,,274.5,273.5,272.5,271.5,270.5,269.5,268.5,267.5,266.5,1.0,4200,Wed,Aug,11401.5,11360.8,Up,00:18:00
276.9,2018-08-09,09:53:00,276.9,Sell,COALINDIA,,271.95,,,,,,,,,,276.45,09:50:00,-1890.0,Stoploss Hit,,276.0,275.55,275.1,274.65,274.2,273.75,273.3,272.85,272.4,0.45,4200,Thu,Aug,11401.5,11360.8,Up,00:03:00
278.8,2018-08-14,10:07:00,278.8,Sell,COALINDIA,,274.8,,,,,,,,,,278.8,09:59:00,0.0,Stoploss Hit,Breakeven,278.4,278.0,277.6,277.2,276.8,276.4,276.0,275.6,275.2,0.4,4200,Tue,Aug,11381.7,11355.75,Up,00:08:00
287.4,2018-08-21,09:46:00,290.4,Buy,COALINDIA,0.5,292.4,287.9,288.4,288.9,289.4,289.9,290.4,290.9,291.4,291.9,291.45,15:00:00,17010.0,Market Exit,1to6 trail,,,,,,,,,,,4200,Tue,Aug,11576.2,11551.75,Up,05:14:00
290.2,2018-08-30,10:19:00,289.8,Buy,COALINDIA,0.4,294.2,290.6,291.0,291.4,291.8,292.2,292.6,293.0,293.4,293.8,289.8,10:30:00,-1680.0,Stoploss Hit,,,,,,,,,,,,4200,Thu,Aug,11694.75,11691.9,Up,00:11:00
273.5,2018-09-05,09:53:00,273.5,Sell,COALINDIA,,268.55,,,,,,,,,,273.05,09:47:00,-1890.0,Stoploss Hit,,272.6,272.15,271.7,271.25,270.8,270.35,269.9,269.45,269.0,0.45,4200,Wed,Sep,11514.85,11520.3,Down,00:06:00
279.45,2018-09-06,13:24:00,279.45,Sell,COALINDIA,,269.0,,,,,,,,,,278.5,11:45:00,-3990.0,Stoploss Hit,,277.55,276.6,275.65,274.7,273.75,272.8,271.85,270.9,269.95,0.95,4200,Thu,Sep,11514.85,11520.3,Down,01:39:00
280.0,2018-09-19,12:19:00,278.95,Buy,COALINDIA,1.05,290.5,281.05,282.1,283.15,284.2,285.25,286.3,287.35,288.4,289.45,278.95,14:30:00,-4410.0,Stoploss Hit,,,,,,,,,,,,4200,Wed,Sep,10969.95,10967.4,Up,02:11:00
266.95,2018-10-05,09:46:00,266.95,Sell,COALINDIA,,254.55,,,,,,,,,,270.05,10:32:00,13020.0,Stoploss Hit,1to2 Trail,268.5,266.95,265.4,263.85,262.3,260.75,259.2,257.65,256.1,1.55,4200,Fri,Oct,10514.1,10599.25,Down,1899-12-29 23:14:00
273.7,2018-10-09,12:20:00,274.7,Buy,COALINDIA,1.0,283.7,274.7,275.7,276.7,277.7,278.7,279.7,280.7,281.7,282.7,276.5,15:00:00,11760.0,Market Exit,1to1 trail,,,,,,,,,,,4200,Tue,Oct,11722.6,11724.75,Down,02:40:00
278.0,2018-10-16,11:24:00,277.3,Buy,COALINDIA,0.7,285.0,278.7,279.4,280.1,280.8,281.5,282.2,282.9,283.6,284.3,277.3,11:38:00,-2940.0,Stoploss Hit,,,,,,,,,,,,4200,Tue,Oct,10169.8,10460.1,Down,00:14:00
277.75,2018-10-23,10:27:00,277.75,Buy,COALINDIA,0.7,284.75,278.45,279.15,279.85,280.55,281.25,281.95,282.65,283.35,284.05,277.75,13:37:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,4200,Tue,Oct,10078.1,10030.0,Up,03:10:00
275.95,2018-10-25,11:05:00,275.6,Buy,COALINDIA,0.35,279.45,276.3,276.65,277.0,277.35,277.7,278.05,278.4,278.75,279.1,275.6,11:26:00,-1470.0,Stoploss Hit,,,,,,,,,,,,4200,Thu,Oct,10122.35,10124.9,Down,00:21:00
281.5,2018-10-29,12:25:00,281.5,Buy,COALINDIA,0.8,289.5,282.3,283.1,283.9,284.7,285.5,286.3,287.1,287.9,288.7,281.5,12:59:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,4200,Mon,Oct,10078.1,10030.0,Up,00:34:00
261.2,2018-11-02,11:13:00,262.2,Buy,COALINDIA,0.25,263.7,261.45,261.7,261.95,262.2,262.45,262.7,262.95,263.2,263.45,262.2,11:19:00,4200.0,Stoploss Hit,1to4 trail,,,,,,,,,,,4200,Fri,Nov,10607.8,10585.2,Up,00:06:00
267.75,2018-11-09,11:10:00,267.75,Sell,COALINDIA,,262.25,,,,,,,,,,267.25,10:52:00,-2100.0,Stoploss Hit,,266.75,266.25,265.75,265.25,264.75,264.25,263.75,263.25,262.75,0.5,4200,Fri,Nov,10607.8,10585.2,Up,00:18:00
264.9,2018-11-16,10:24:00,264.0,Buy,COALINDIA,0.9,273.9,265.8,266.7,267.6,268.5,269.4,270.3,271.2,272.1,273.0,264.0,14:06:00,-3780.0,Stoploss Hit,,,,,,,,,,,,4200,Fri,Nov,10607.8,10585.2,Up,03:42:00
261.1,2018-11-21,12:12:00,261.1,Sell,COALINDIA,,258.9,,,,,,,,,,260.9,12:03:00,-840.0,Stoploss Hit,,260.7,260.5,260.3,260.1,259.9,259.7,259.5,259.3,259.1,0.2,4200,Wed,Nov,10740.1,10763.4,Down,00:09:00
251.7,2018-11-27,10:17:00,251.7,Sell,COALINDIA,,245.1,,,,,,,,,,251.1,10:05:00,-2520.0,Stoploss Hit,,250.5,249.9,249.3,248.7,248.1,247.5,246.9,246.3,245.7,0.6,4200,Tue,Nov,10568.3,10526.75,Up,00:12:00
244.95,2018-12-13,10:44:00,244.95,Sell,COALINDIA,,242.75,,,,,,,,,,244.75,10:38:00,-840.0,Stoploss Hit,,244.55,244.35,244.15,243.95,243.75,243.55,243.35,243.15,242.95,0.2,4200,Thu,Dec,10850.9,10888.35,Down,00:06:00
243.2,2018-12-14,10:47:00,243.2,Sell,COALINDIA,,236.6,,,,,,,,,,242.6,10:39:00,-2520.0,Stoploss Hit,,242.0,241.4,240.8,240.2,239.6,239.0,238.4,237.8,237.2,0.6,4200,Fri,Dec,10853.2,10805.45,Up,00:08:00
249.9,2018-12-18,10:02:00,249.9,Sell,COALINDIA,,246.6,,,,,,,,,,249.6,09:57:00,-1260.0,Stoploss Hit,,249.3,249.0,248.7,248.4,248.1,247.8,247.5,247.2,246.9,0.3,4200,Tue,Dec,10780.9,10754.0,Up,00:05:00
