buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1321.5,2018-08-14,10:07:00,1317.5,Buy,COFORGE,4.0,1361.5,1325.5,1329.5,1333.5,1337.5,1341.5,1345.5,1349.5,1353.5,1357.5,1317.5,10:20:00,-600.0,Stoploss Hit,,,,,,,,,,,,150,Tue,Aug,11493.25,11450.0,Up,00:13:00
1349.6,2018-08-21,11:22:00,1362.95,Buy,COFORGE,4.45,1394.1,1354.05,1358.5,1362.95,1367.4,1371.85,1376.3,1380.75,1385.2,1389.65,1371.75,15:00:00,3322.5,Market Exit,1to3 trail,,,,,,,,,,,150,Tue,Aug,11397.15,11435.1,Down,03:38:00
1353.65,2018-09-06,10:00:00,1346.2,Buy,COFORGE,7.45,1428.15,1361.1,1368.55,1376.0,1383.45,1390.9,1398.35,1405.8,1413.25,1420.7,1346.2,10:20:00,-1117.5,Stoploss Hit,,,,,,,,,,,,150,Thu,Sep,11514.15,11476.95,Up,00:20:00
1353.85,2018-09-11,09:46:00,1353.85,Sell,COFORGE,,1340.05,,,,,,,,,,1386.05,10:03:00,4830.0,Stoploss Hit,1to7 Trail,1381.45,1376.85,1372.25,1367.65,1363.05,1358.45,1353.85,1349.25,1344.65,4.6,150,Tue,Sep,11476.85,11438.1,Up,1899-12-29 23:43:00
1256.8,2018-09-19,13:28:00,1256.8,Sell,COFORGE,,1237.0,,,,,,,,,,1303.0,09:46:00,6930.0,Stoploss Hit,1to7 Trail,1296.4,1289.8,1283.2,1276.6,1270.0,1263.4,1256.8,1250.2,1243.6,6.6,150,Wed,Sep,11164.4,11143.1,Up,03:42:00
1251.05,2018-09-21,13:29:00,1251.05,Sell,COFORGE,,1371.5,,,,,,,,,,1262.0,13:29:00,1642.5,Stoploss Hit,,1272.95,1283.9,1294.85,1305.8,1316.75,1327.7,1338.65,1349.6,1360.55,-10.95,150,Fri,Sep,10607.8,10585.2,Up,00:00:00
1226.7,2018-09-25,10:01:00,1221.1,Buy,COFORGE,5.6,1282.7,1232.3,1237.9,1243.5,1249.1,1254.7,1260.3,1265.9,1271.5,1277.1,1221.1,10:04:00,-840.0,Stoploss Hit,,,,,,,,,,,,150,Tue,Sep,11464.95,11515.2,Down,00:03:00
1170.85,2018-09-26,11:38:00,1170.85,Sell,COFORGE,,1156.0,,,,,,,,,,1205.5,09:48:00,5197.5,Stoploss Hit,1to7 Trail,1200.55,1195.6,1190.65,1185.7,1180.75,1175.8,1170.85,1165.9,1160.95,4.95,150,Wed,Sep,11326.65,11278.9,Up,01:50:00
1137.2,2018-10-10,10:00:00,1142.55,Buy,COFORGE,5.35,1190.7,1142.55,1147.9,1153.25,1158.6,1163.95,1169.3,1174.65,1180.0,1185.35,1142.55,12:02:00,802.5,Stoploss Hit,1to1 trail,,,,,,,,,,,150,Wed,Oct,10331.85,10301.05,Up,02:02:00
1123.25,2018-10-11,12:52:00,1123.25,Sell,COFORGE,,923.6,,,,,,,,,,1105.1,09:46:00,-2722.5,Stoploss Hit,,1086.95,1068.8,1050.65,1032.5,1014.35,996.2,978.05,959.9,941.75,18.15,150,Thu,Oct,10930.9,10930.45,Up,03:06:00
1061.0,2018-10-12,10:08:00,1061.0,Sell,COFORGE,,926.25,,,,,,,,,,1048.75,09:57:00,-1837.5,Stoploss Hit,,1036.5,1024.25,1012.0,999.75,987.5,975.25,963.0,950.75,938.5,12.25,150,Fri,Oct,10169.8,10460.1,Down,00:11:00
1191.05,2018-11-06,09:53:00,1191.05,Sell,COFORGE,,1142.1,,,,,,,,,,1186.6,09:47:00,-667.5,Stoploss Hit,,1182.15,1177.7,1173.25,1168.8,1164.35,1159.9,1155.45,1151.0,1146.55,4.45,150,Tue,Nov,10078.1,10030.0,Up,00:06:00
1169.95,2018-11-09,10:03:00,1166.3,Buy,COFORGE,3.65,1206.45,1173.6,1177.25,1180.9,1184.55,1188.2,1191.85,1195.5,1199.15,1202.8,1166.3,10:06:00,-547.5,Stoploss Hit,,,,,,,,,,,,150,Fri,Nov,10552.0,10524.0,Up,00:03:00
1143.9,2018-11-19,10:17:00,1134.65,Buy,COFORGE,9.25,1236.4,1153.15,1162.4,1171.65,1180.9,1190.15,1199.4,1208.65,1217.9,1227.15,1134.65,10:33:00,-1387.5,Stoploss Hit,,,,,,,,,,,,150,Mon,Nov,10644.0,10616.7,Up,00:16:00
1106.25,2018-11-28,09:49:00,1106.25,Buy,COFORGE,3.2,1138.25,1109.45,1112.65,1115.85,1119.05,1122.25,1125.45,1128.65,1131.85,1135.05,1106.25,10:01:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,150,Wed,Nov,10731.25,10682.2,Up,00:12:00
