buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1116.05,2018-08-03,10:58:00,1116.05,Sell,COLPAL,,1110.0,,,,,,,,,,1115.5,10:58:00,-192.5,Stoploss Hit,,1114.95,1114.4,1113.85,1113.3,1112.75,1112.2,1111.65,1111.1,1110.55,0.55,350,Fri,Aug,11359.8,11356.5,Up,00:00:00
1135.0,2018-08-07,09:57:00,1132.5,Buy,COLPAL,2.5,1160.0,1137.5,1140.0,1142.5,1145.0,1147.5,1150.0,1152.5,1155.0,1157.5,1132.5,10:00:00,-875.0,Stoploss Hit,,,,,,,,,,,,350,Tue,Aug,11423.15,11387.1,Up,00:03:00
1128.6,2018-08-13,12:20:00,1128.6,Sell,COLPAL,,1102.75,,,,,,,,,,1126.25,11:48:00,-822.5,Stoploss Hit,,1123.9,1121.55,1119.2,1116.85,1114.5,1112.15,1109.8,1107.45,1105.1,2.35,350,Mon,Aug,11493.25,11450.0,Up,00:32:00
1142.95,2018-08-17,11:28:00,1142.95,Sell,COLPAL,,1112.45,,,,,,,,,,1142.95,09:49:00,0.0,Stoploss Hit,Breakeven,1139.9,1136.85,1133.8,1130.75,1127.7,1124.65,1121.6,1118.55,1115.5,3.05,350,Fri,Aug,11437.15,11385.05,Up,01:39:00
1149.0,2018-08-20,11:55:00,1146.4,Buy,COLPAL,2.6,1175.0,1151.6,1154.2,1156.8,1159.4,1162.0,1164.6,1167.2,1169.8,1172.4,1146.4,12:44:00,-910.0,Stoploss Hit,,,,,,,,,,,,350,Mon,Aug,11397.15,11435.1,Down,00:49:00
1184.0,2018-08-23,14:01:00,1186.75,Buy,COLPAL,2.75,1211.5,1186.75,1189.5,1192.25,1195.0,1197.75,1200.5,1203.25,1206.0,1208.75,1186.75,14:18:00,962.5,Stoploss Hit,1to1 trail,,,,,,,,,,,350,Thu,Aug,11620.7,11570.9,Up,00:17:00
1164.95,2018-08-31,09:52:00,1163.25,Buy,COLPAL,1.7,1181.95,1166.65,1168.35,1170.05,1171.75,1173.45,1175.15,1176.85,1178.55,1180.25,1163.25,09:57:00,-595.0,Stoploss Hit,,,,,,,,,,,,350,Fri,Aug,11675.85,11676.8,Down,00:05:00
1188.1,2018-09-03,10:33:00,1194.1,Buy,COLPAL,1.5,1203.1,1189.6,1191.1,1192.6,1194.1,1195.6,1197.1,1198.6,1200.1,1201.6,1194.1,12:17:00,2100.0,Stoploss Hit,1to4 trail,,,,,,,,,,,350,Mon,Sep,11675.85,11676.8,Down,01:44:00
1120.95,2018-09-18,09:46:00,1119.5,Buy,COLPAL,1.45,1135.45,1122.4,1123.85,1125.3,1126.75,1128.2,1129.65,1131.1,1132.55,1134.0,1119.5,09:46:00,-507.5,Stoploss Hit,,,,,,,,,,,,350,Tue,Sep,11476.85,11438.1,Up,00:00:00
1110.7,2018-09-21,13:08:00,1110.7,Sell,COLPAL,,1064.7,,,,,,,,,,1122.2,12:56:00,4025.0,Stoploss Hit,1to2 Trail,1116.45,1110.7,1104.95,1099.2,1093.45,1087.7,1081.95,1076.2,1070.45,5.75,350,Fri,Sep,11326.65,11278.9,Up,00:12:00
1097.8,2018-09-25,09:55:00,1097.8,Buy,COLPAL,4.3,1140.8,1102.1,1106.4,1110.7,1115.0,1119.3,1123.6,1127.9,1132.2,1136.5,1097.8,11:30:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,350,Tue,Sep,11164.4,11143.1,Up,01:35:00
1100.05,2018-10-12,10:24:00,1100.05,Sell,COLPAL,,1055.5,,,,,,,,,,1096.0,09:56:00,-1417.5,Stoploss Hit,,1091.95,1087.9,1083.85,1079.8,1075.75,1071.7,1067.65,1063.6,1059.55,4.05,350,Fri,Oct,10390.3,10348.05,Up,00:28:00
