buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
532.08,2018-08-01,10:07:00,532.08,Sell,CONCOR,,522.84,,,,,,,,,,536.04,09:50:00,3960.0,Stoploss Hit,1to3 Trail,534.72,533.4,532.08,530.76,529.44,528.12,526.8,525.48,524.16,1.32,1000,Wed,Aug,11297.8,11244.7,Up,00:17:00
519.56,2018-08-03,09:46:00,519.56,Sell,CONCOR,,503.16,,,,,,,,,,519.56,09:46:00,0.0,Stoploss Hit,Breakeven,517.92,516.28,514.64,513.0,511.36,509.72,508.08,506.44,504.8,1.64,1000,Fri,Aug,11423.15,11387.1,Up,00:00:00
515.04,2018-08-08,11:22:00,515.04,Buy,CONCOR,0.84,523.44,515.88,516.72,517.56,518.4,519.24,520.08,520.92,521.76,522.6,515.04,11:42:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1000,Wed,Aug,11412.5,11389.45,Up,00:20:00
513.6,2018-08-10,10:00:00,513.6,Sell,CONCOR,,506.8,,,,,,,,,,513.6,09:55:00,0.0,Stoploss Hit,Breakeven,512.92,512.24,511.56,510.88,510.2,509.52,508.84,508.16,507.48,0.68,1000,Fri,Aug,11474.95,11470.7,Up,00:05:00
516.56,2018-08-16,09:48:00,514.6,Buy,CONCOR,1.96,536.16,518.52,520.48,522.44,524.4,526.36,528.32,530.28,532.24,534.2,514.6,10:37:00,-1960.0,Stoploss Hit,,,,,,,,,,,,1000,Thu,Aug,11397.15,11435.1,Down,00:49:00
504.0,2018-08-21,11:18:00,474.6,Buy,CONCOR,-4.2,462.0,499.8,495.6,491.4,487.2,483.0,478.8,474.6,470.4,466.2,474.6,09:46:00,-29400.0,Stoploss Hit,1to7 trail,,,,,,,,,,,1000,Tue,Aug,10331.85,10301.05,Up,1899-12-29 22:28:00
480.8,2018-10-05,10:13:00,480.8,Buy,CONCOR,4.0,520.8,484.8,488.8,492.8,496.8,500.8,504.8,508.8,512.8,516.8,490.92,15:00:00,10120.0,Market Exit,Breakeven,,,,,,,,,,,1000,Fri,Oct,10754.7,10858.25,Down,04:47:00
484.36,2018-10-10,10:00:00,484.36,Buy,CONCOR,3.64,520.76,488.0,491.64,495.28,498.92,502.56,506.2,509.84,513.48,517.12,493.12,15:00:00,8760.0,Market Exit,Breakeven,,,,,,,,,,,1000,Wed,Oct,10331.55,10234.65,Up,05:00:00
488.56,2018-10-12,11:03:00,485.6,Buy,CONCOR,2.96,518.16,491.52,494.48,497.44,500.4,503.36,506.32,509.28,512.24,515.2,485.6,11:14:00,-2960.0,Stoploss Hit,,,,,,,,,,,,1000,Fri,Oct,10339.7,10453.05,Down,00:11:00
483.24,2018-10-15,15:04:00,483.24,Sell,CONCOR,,447.6,,,,,,,,,,480.0,13:52:00,-3240.0,Stoploss Hit,,476.76,473.52,470.28,467.04,463.8,460.56,457.32,454.08,450.84,3.24,1000,Mon,Oct,10169.8,10460.1,Down,01:12:00
479.56,2018-10-19,09:47:00,479.56,Buy,CONCOR,2.16,501.16,481.72,483.88,486.04,488.2,490.36,492.52,494.68,496.84,499.0,479.56,10:39:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1000,Fri,Oct,10339.7,10453.05,Down,00:52:00
444.8,2018-10-24,15:17:00,444.8,Sell,CONCOR,,437.6,,,,,,,,,,461.6,09:54:00,16800.0,Stoploss Hit,1to7 Trail,459.2,456.8,454.4,452.0,449.6,447.2,444.8,442.4,440.0,2.4,1000,Wed,Oct,10278.15,10146.8,Up,05:23:00
538.28,2018-11-09,09:54:00,536.16,Buy,CONCOR,2.12,559.48,540.4,542.52,544.64,546.76,548.88,551.0,553.12,555.24,557.36,536.16,13:04:00,-2120.0,Stoploss Hit,,,,,,,,,,,,1000,Fri,Nov,10708.75,10685.6,Up,03:10:00
541.2,2018-11-15,13:37:00,539.2,Buy,CONCOR,2.0,561.2,543.2,545.2,547.2,549.2,551.2,553.2,555.2,557.2,559.2,539.2,14:00:00,-2000.0,Stoploss Hit,,,,,,,,,,,,1000,Thu,Nov,10670.95,10656.2,Up,00:23:00
541.64,2018-11-21,13:29:00,541.64,Sell,CONCOR,,532.04,,,,,,,,,,541.64,13:15:00,0.0,Stoploss Hit,Breakeven,540.68,539.72,538.76,537.8,536.84,535.88,534.92,533.96,533.0,0.96,1000,Wed,Nov,10892.1,10858.7,Up,00:14:00
545.44,2018-11-22,09:52:00,544.0,Buy,CONCOR,1.44,559.84,546.88,548.32,549.76,551.2,552.64,554.08,555.52,556.96,558.4,544.0,10:12:00,-1440.0,Stoploss Hit,,,,,,,,,,,,1000,Thu,Nov,10930.7,10876.75,Up,00:20:00
541.04,2018-11-26,10:13:00,541.04,Sell,CONCOR,,534.88,,,,,,,,,,540.48,10:13:00,-560.0,Stoploss Hit,,539.92,539.36,538.8,538.24,537.68,537.12,536.56,536.0,535.44,0.56,1000,Mon,Nov,10568.3,10526.75,Up,00:00:00
540.0,2018-12-03,10:20:00,538.68,Buy,CONCOR,1.32,553.2,541.32,542.64,543.96,545.28,546.6,547.92,549.24,550.56,551.88,538.68,10:33:00,-1320.0,Stoploss Hit,,,,,,,,,,,,1000,Mon,Dec,10820.45,10869.5,Down,00:13:00
536.0,2018-12-06,11:03:00,534.64,Buy,CONCOR,1.36,549.6,537.36,538.72,540.08,541.44,542.8,544.16,545.52,546.88,548.24,534.64,11:15:00,-1360.0,Stoploss Hit,,,,,,,,,,,,1000,Thu,Dec,10591.0,10549.15,Up,00:12:00
526.8,2018-12-07,13:38:00,526.8,Sell,CONCOR,,517.12,,,,,,,,,,525.92,13:32:00,-880.0,Stoploss Hit,,525.04,524.16,523.28,522.4,521.52,520.64,519.76,518.88,518.0,0.88,1000,Fri,Dec,10350.05,10488.45,Down,00:06:00
519.36,2018-12-10,09:58:00,519.36,Sell,CONCOR,,494.28,,,,,,,,,,517.08,09:52:00,-2280.0,Stoploss Hit,,514.8,512.52,510.24,507.96,505.68,503.4,501.12,498.84,496.56,2.28,1000,Mon,Dec,10718.15,10782.9,Down,00:06:00
533.0,2018-12-11,10:24:00,532.0,Buy,CONCOR,1.0,543.0,534.0,535.0,536.0,537.0,538.0,539.0,540.0,541.0,542.0,532.0,10:29:00,-1000.0,Stoploss Hit,,,,,,,,,,,,1000,Tue,Dec,10350.05,10488.45,Down,00:05:00
513.64,2018-12-12,12:15:00,513.64,Sell,CONCOR,,504.96,,,,,,,,,,526.56,11:27:00,12920.0,Stoploss Hit,Breakeven,524.4,522.24,520.08,517.92,515.76,513.6,511.44,509.28,507.12,2.16,1000,Wed,Dec,10784.5,10791.55,Down,00:48:00
521.16,2018-12-14,12:17:00,520.24,Buy,CONCOR,0.92,530.36,522.08,523.0,523.92,524.84,525.76,526.68,527.6,528.52,529.44,520.24,12:20:00,-920.0,Stoploss Hit,,,,,,,,,,,,1000,Fri,Dec,10784.5,10791.55,Down,00:03:00
528.32,2018-12-21,10:27:00,528.32,Sell,CONCOR,,512.92,,,,,,,,,,526.92,10:14:00,-1400.0,Stoploss Hit,,525.52,524.12,522.72,521.32,519.92,518.52,517.12,515.72,514.32,1.4,1000,Fri,Dec,10913.2,10859.9,Up,00:13:00
548.52,2019-01-01,15:17:00,548.52,Sell,CONCOR,,525.64,,,,,,,,,,546.44,09:46:00,-2080.0,Stoploss Hit,,544.36,542.28,540.2,538.12,536.04,533.96,531.88,529.8,527.72,2.08,1000,Tue,Jan,10786.25,10771.8,Up,05:31:00
538.0,2019-01-04,10:55:00,538.0,Sell,CONCOR,,517.32,,,,,,,,,,536.12,10:20:00,-1880.0,Stoploss Hit,,534.24,532.36,530.48,528.6,526.72,524.84,522.96,521.08,519.2,1.88,1000,Fri,Jan,10699.7,10672.25,Up,00:35:00
542.68,2019-01-08,11:22:00,542.68,Sell,CONCOR,,536.96,,,,,,,,,,542.16,11:22:00,-520.0,Stoploss Hit,,541.64,541.12,540.6,540.08,539.56,539.04,538.52,538.0,537.48,0.52,1000,Tue,Jan,10834.75,10821.6,Up,00:00:00
539.12,2019-01-14,10:10:00,539.12,Sell,CONCOR,,521.08,,,,,,,,,,537.48,10:06:00,-1640.0,Stoploss Hit,,535.84,534.2,532.56,530.92,529.28,527.64,526.0,524.36,522.72,1.64,1000,Mon,Jan,10862.4,10802.15,Up,00:04:00
539.12,2019-01-21,10:09:00,539.12,Sell,CONCOR,,519.76,,,,,,,,,,537.36,09:55:00,-1760.0,Stoploss Hit,,535.6,533.84,532.08,530.32,528.56,526.8,525.04,523.28,521.52,1.76,1000,Mon,Jan,10744.1,10735.45,Up,00:14:00
528.0,2019-01-22,09:56:00,528.0,Sell,CONCOR,,521.6,,,,,,,,,,528.0,09:48:00,0.0,Stoploss Hit,Breakeven,527.36,526.72,526.08,525.44,524.8,524.16,523.52,522.88,522.24,0.64,1000,Tue,Jan,10690.55,10651.8,Up,00:08:00
