buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
425.95,2018-08-16,10:12:00,425.4,Buy,COROMANDEL,0.55,431.45,426.5,427.05,427.6,428.15,428.7,429.25,429.8,430.35,430.9,425.4,10:14:00,-385.0,Stoploss Hit,,,,,,,,,,,,700,Thu,Aug,11381.7,11355.75,Up,00:02:00
419.8,2018-08-23,10:03:00,416.9,Buy,COROMANDEL,2.9,448.8,422.7,425.6,428.5,431.4,434.3,437.2,440.1,443.0,445.9,416.9,10:47:00,-2030.0,Stoploss Hit,,,,,,,,,,,,700,Thu,Aug,11369.6,11429.5,Down,00:44:00
400.85,2018-09-03,15:24:00,400.85,Sell,COROMANDEL,,396.0,,,,,,,,,,418.0,09:50:00,12005.0,Stoploss Hit,Breakeven,415.8,413.6,411.4,409.2,407.0,404.8,402.6,400.4,398.2,2.2,700,Mon,Sep,11605.85,11557.1,Up,05:34:00
407.85,2018-09-10,09:46:00,411.65,Buy,COROMANDEL,1.9,426.85,409.75,411.65,413.55,415.45,417.35,419.25,421.15,423.05,424.95,411.65,09:47:00,2660.0,Stoploss Hit,1to2 trail,,,,,,,,,,,700,Mon,Sep,11570.25,11589.1,Down,00:01:00
395.1,2018-09-12,10:44:00,395.1,Sell,COROMANDEL,,350.0,,,,,,,,,,391.0,10:18:00,-2870.0,Stoploss Hit,,386.9,382.8,378.7,374.6,370.5,366.4,362.3,358.2,354.1,4.1,700,Wed,Sep,11675.85,11676.8,Down,00:26:00
406.9,2018-09-14,10:24:00,406.4,Buy,COROMANDEL,0.5,411.9,407.4,407.9,408.4,408.9,409.4,409.9,410.4,410.9,411.4,406.4,10:29:00,-350.0,Stoploss Hit,,,,,,,,,,,,700,Fri,Sep,11751.8,11680.5,Up,00:05:00
411.25,2018-09-18,10:00:00,411.25,Sell,COROMANDEL,,401.25,,,,,,,,,,413.75,09:51:00,1750.0,Stoploss Hit,1to2 Trail,412.5,411.25,410.0,408.75,407.5,406.25,405.0,403.75,402.5,1.25,700,Tue,Sep,11558.25,11536.9,Up,00:09:00
395.0,2018-09-21,13:57:00,395.0,Sell,COROMANDEL,,361.5,,,,,,,,,,395.0,11:07:00,0.0,Stoploss Hit,Breakeven,391.65,388.3,384.95,381.6,378.25,374.9,371.55,368.2,364.85,3.35,700,Fri,Sep,11271.3,11234.35,Up,02:50:00
396.3,2018-09-25,14:15:00,396.3,Sell,COROMANDEL,,360.0,,,,,,,,,,393.0,14:02:00,-2310.0,Stoploss Hit,,389.7,386.4,383.1,379.8,376.5,373.2,369.9,366.6,363.3,3.3,700,Tue,Sep,10969.95,10967.4,Up,00:13:00
399.15,2018-09-28,10:34:00,398.0,Buy,COROMANDEL,1.15,410.65,400.3,401.45,402.6,403.75,404.9,406.05,407.2,408.35,409.5,398.0,11:02:00,-805.0,Stoploss Hit,,,,,,,,,,,,700,Fri,Sep,11381.55,11377.75,Up,00:28:00
377.3,2018-10-05,13:09:00,377.3,Sell,COROMANDEL,,374.6,,,,,,,,,,383.6,12:44:00,4410.0,Stoploss Hit,1to7 Trail,382.7,381.8,380.9,380.0,379.1,378.2,377.3,376.4,375.5,0.9,700,Fri,Oct,11271.3,11234.35,Up,00:25:00
376.45,2018-10-11,10:43:00,374.75,Buy,COROMANDEL,1.7,393.45,378.15,379.85,381.55,383.25,384.95,386.65,388.35,390.05,391.75,374.75,10:46:00,-1190.0,Stoploss Hit,,,,,,,,,,,,700,Thu,Oct,10930.9,10930.45,Up,00:03:00
379.0,2018-10-17,09:47:00,379.0,Sell,COROMANDEL,,370.2,,,,,,,,,,388.2,09:51:00,6440.0,Stoploss Hit,Breakeven,386.4,384.6,382.8,381.0,379.2,377.4,375.6,373.8,372.0,1.8,700,Wed,Oct,10514.1,10599.25,Down,1899-12-29 23:56:00
398.8,2018-10-30,10:20:00,398.8,Sell,COROMANDEL,,374.6,,,,,,,,,,396.6,10:10:00,-1540.0,Stoploss Hit,,394.4,392.2,390.0,387.8,385.6,383.4,381.2,379.0,376.8,2.2,700,Tue,Oct,10169.8,10460.1,Down,00:10:00
432.2,2018-11-05,10:45:00,430.1,Buy,COROMANDEL,2.1,453.2,434.3,436.4,438.5,440.6,442.7,444.8,446.9,449.0,451.1,430.1,11:17:00,-1470.0,Stoploss Hit,,,,,,,,,,,,700,Mon,Nov,10339.7,10453.05,Down,00:32:00
429.1,2018-11-06,10:22:00,429.1,Sell,COROMANDEL,,410.1,,,,,,,,,,429.1,09:52:00,0.0,Stoploss Hit,Breakeven,427.2,425.3,423.4,421.5,419.6,417.7,415.8,413.9,412.0,1.9,700,Tue,Nov,10078.1,10030.0,Up,00:30:00
425.7,2018-11-12,11:38:00,425.7,Sell,COROMANDEL,,416.2,,,,,,,,,,425.7,09:53:00,0.0,Stoploss Hit,Breakeven,424.75,423.8,422.85,421.9,420.95,420.0,419.05,418.1,417.15,0.95,700,Mon,Nov,10152.6,10245.25,Down,01:45:00
420.3,2018-11-15,10:01:00,420.3,Sell,COROMANDEL,,404.55,,,,,,,,,,422.05,09:53:00,1225.0,Stoploss Hit,1to1 Trail,420.3,418.55,416.8,415.05,413.3,411.55,409.8,408.05,406.3,1.75,700,Thu,Nov,10209.55,10198.4,Up,00:08:00
400.0,2018-11-21,09:46:00,400.0,Buy,COROMANDEL,2.0,420.0,402.0,404.0,406.0,408.0,410.0,412.0,414.0,416.0,418.0,400.0,09:55:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,700,Wed,Nov,10209.55,10198.4,Up,00:09:00
397.05,2018-11-22,09:47:00,397.05,Sell,COROMANDEL,,373.45,,,,,,,,,,406.45,09:47:00,6580.0,Stoploss Hit,Breakeven,403.15,399.85,396.55,393.25,389.95,386.65,383.35,380.05,376.75,3.3,700,Thu,Nov,10580.6,10576.3,Up,00:00:00
407.5,2018-11-30,10:01:00,405.1,Buy,COROMANDEL,2.4,431.5,409.9,412.3,414.7,417.1,419.5,421.9,424.3,426.7,429.1,405.1,11:36:00,-1680.0,Stoploss Hit,,,,,,,,,,,,700,Fri,Nov,10740.1,10763.4,Down,01:35:00
406.0,2018-12-11,11:48:00,406.0,Buy,COROMANDEL,0.8,414.0,406.8,407.6,408.4,409.2,410.0,410.8,411.6,412.4,413.2,406.0,13:34:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,700,Tue,Dec,10612.65,10600.05,Up,01:46:00
412.05,2018-12-13,10:47:00,412.05,Sell,COROMANDEL,,399.55,,,,,,,,,,412.05,10:17:00,0.0,Stoploss Hit,Breakeven,410.8,409.55,408.3,407.05,405.8,404.55,403.3,402.05,400.8,1.25,700,Thu,Dec,10930.7,10876.75,Up,00:30:00
438.9,2018-12-17,10:57:00,438.9,Sell,COROMANDEL,,438.75,,,,,,,,,,439.25,10:54:00,245.0,Stoploss Hit,1to7 Trail,439.2,439.15,439.1,439.05,439.0,438.95,438.9,438.85,438.8,0.05,700,Mon,Dec,10612.65,10600.05,Up,00:03:00
449.9,2018-12-20,09:46:00,453.65,Buy,COROMANDEL,1.25,462.4,451.15,452.4,453.65,454.9,456.15,457.4,458.65,459.9,461.15,453.65,09:51:00,2625.0,Stoploss Hit,1to3 trail,,,,,,,,,,,700,Thu,Dec,10808.7,10728.85,Up,00:05:00
447.6,2018-12-24,10:21:00,446.9,Buy,COROMANDEL,0.7,454.6,448.3,449.0,449.7,450.4,451.1,451.8,452.5,453.2,453.9,446.9,10:25:00,-490.0,Stoploss Hit,,,,,,,,,,,,700,Mon,Dec,10820.45,10869.5,Down,00:04:00
446.25,2018-12-26,11:26:00,446.25,Buy,COROMANDEL,1.55,461.75,447.8,449.35,450.9,452.45,454.0,455.55,457.1,458.65,460.2,446.25,13:01:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,700,Wed,Dec,10853.2,10805.45,Up,01:35:00
450.5,2018-12-31,11:14:00,450.5,Sell,COROMANDEL,,445.0,,,,,,,,,,450.0,11:11:00,-350.0,Stoploss Hit,,449.5,449.0,448.5,448.0,447.5,447.0,446.5,446.0,445.5,0.5,700,Mon,Dec,10913.2,10859.9,Up,00:03:00
452.0,2019-01-01,13:16:00,452.35,Buy,COROMANDEL,0.05,452.5,452.05,452.1,452.15,452.2,452.25,452.3,452.35,452.4,452.45,452.35,13:21:00,245.0,Stoploss Hit,1to7 trail,,,,,,,,,,,700,Tue,Jan,10853.2,10805.45,Up,00:05:00
455.25,2019-01-16,10:12:00,455.25,Sell,COROMANDEL,,452.5,,,,,,,,,,455.0,10:10:00,-175.0,Stoploss Hit,,454.75,454.5,454.25,454.0,453.75,453.5,453.25,453.0,452.75,0.25,700,Wed,Jan,10862.4,10802.15,Up,00:02:00
457.7,2019-01-17,10:19:00,457.7,Buy,COROMANDEL,1.45,472.2,459.15,460.6,462.05,463.5,464.95,466.4,467.85,469.3,470.75,457.7,10:31:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,700,Thu,Jan,10591.0,10549.15,Up,00:12:00
453.4,2019-01-18,13:13:00,453.4,Sell,COROMANDEL,,444.05,,,,,,,,,,452.55,12:39:00,-595.0,Stoploss Hit,,451.7,450.85,450.0,449.15,448.3,447.45,446.6,445.75,444.9,0.85,700,Fri,Jan,10786.25,10771.8,Up,00:34:00
436.45,2019-01-23,11:05:00,436.45,Buy,COROMANDEL,0.75,443.95,437.2,437.95,438.7,439.45,440.2,440.95,441.7,442.45,443.2,436.45,11:11:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,700,Wed,Jan,10931.05,10922.75,Up,00:06:00
441.45,2019-01-25,10:20:00,443.65,Buy,COROMANDEL,2.2,463.45,443.65,445.85,448.05,450.25,452.45,454.65,456.85,459.05,461.25,444.05,15:00:00,1820.0,Market Exit,1to1 trail,,,,,,,,,,,700,Fri,Jan,10859.75,10849.8,Up,04:40:00
440.55,2019-01-28,10:12:00,439.0,Buy,COROMANDEL,1.55,456.05,442.1,443.65,445.2,446.75,448.3,449.85,451.4,452.95,454.5,439.0,10:40:00,-1085.0,Stoploss Hit,,,,,,,,,,,,700,Mon,Jan,10777.55,10737.6,Up,00:28:00
442.9,2019-01-30,09:46:00,442.9,Sell,COROMANDEL,,420.35,,,,,,,,,,440.85,09:46:00,-1435.0,Stoploss Hit,,438.8,436.75,434.7,432.65,430.6,428.55,426.5,424.45,422.4,2.05,700,Wed,Jan,10920.85,10890.3,Up,00:00:00
456.0,2019-02-12,15:10:00,456.0,Sell,COROMANDEL,,440.6,,,,,,,,,,454.6,14:29:00,-980.0,Stoploss Hit,,453.2,451.8,450.4,449.0,447.6,446.2,444.8,443.4,442.0,1.4,700,Tue,Feb,10844.05,10831.5,Up,00:41:00
441.3,2019-02-14,11:36:00,441.3,Sell,COROMANDEL,,436.55,,,,,,,,,,446.05,09:58:00,3325.0,Stoploss Hit,1to5 Trail,445.1,444.15,443.2,442.25,441.3,440.35,439.4,438.45,437.5,0.95,700,Thu,Feb,10908.65,10912.25,Down,01:38:00
441.2,2019-03-01,10:39:00,441.2,Sell,COROMANDEL,,437.6,,,,,,,,,,442.1,10:16:00,630.0,Stoploss Hit,1to2 Trail,441.65,441.2,440.75,440.3,439.85,439.4,438.95,438.5,438.05,0.45,700,Fri,Mar,10842.65,10792.5,Up,00:23:00
461.0,2019-03-06,12:48:00,461.0,Sell,COROMANDEL,,450.0,,,,,,,,,,460.0,12:12:00,-700.0,Stoploss Hit,,459.0,458.0,457.0,456.0,455.0,454.0,453.0,452.0,451.0,1.0,700,Wed,Mar,10744.1,10735.45,Up,00:36:00
462.0,2019-03-07,10:06:00,462.0,Sell,COROMANDEL,,446.6,,,,,,,,,,460.6,09:54:00,-980.0,Stoploss Hit,,459.2,457.8,456.4,455.0,453.6,452.2,450.8,449.4,448.0,1.4,700,Thu,Mar,11077.95,11053.0,Up,00:12:00
486.5,2019-03-11,10:23:00,485.5,Buy,COROMANDEL,1.0,496.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,485.5,10:24:00,-700.0,Stoploss Hit,,,,,,,,,,,,700,Mon,Mar,10636.7,10640.95,Down,00:01:00
477.1,2019-03-14,10:00:00,477.1,Sell,COROMANDEL,,476.55,,,,,,,,,,477.05,10:00:00,-35.0,Stoploss Hit,,477.0,476.95,476.9,476.85,476.8,476.75,476.7,476.65,476.6,0.05,700,Thu,Mar,10842.65,10792.5,Up,00:00:00
484.25,2019-03-15,09:49:00,484.25,Sell,COROMANDEL,,457.85,,,,,,,,,,481.85,09:46:00,-1680.0,Stoploss Hit,,479.45,477.05,474.65,472.25,469.85,467.45,465.05,462.65,460.25,2.4,700,Fri,Mar,10775.3,10880.1,Down,00:03:00
474.0,2019-03-25,10:10:00,479.75,Buy,COROMANDEL,1.15,485.5,475.15,476.3,477.45,478.6,479.75,480.9,482.05,483.2,484.35,483.05,15:00:00,6335.0,Market Exit,1to5 trail,,,,,,,,,,,700,Mon,Mar,10775.3,10880.1,Down,04:50:00
486.0,2019-03-27,09:46:00,486.0,Buy,COROMANDEL,1.25,498.5,487.25,488.5,489.75,491.0,492.25,493.5,494.75,496.0,497.25,486.0,09:55:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,700,Wed,Mar,11038.85,11058.2,Down,00:09:00
495.9,2019-03-29,10:08:00,495.9,Sell,COROMANDEL,,492.05,,,,,,,,,,495.55,10:02:00,-245.0,Stoploss Hit,,495.2,494.85,494.5,494.15,493.8,493.45,493.1,492.75,492.4,0.35,700,Fri,Mar,11038.85,11058.2,Down,00:06:00
492.3,2019-04-02,09:58:00,492.3,Sell,COROMANDEL,,467.95,,,,,,,,,,499.95,09:47:00,5355.0,Stoploss Hit,Breakeven,496.75,493.55,490.35,487.15,483.95,480.75,477.55,474.35,471.15,3.2,700,Tue,Apr,11531.45,11483.25,Up,00:11:00
432.15,2019-04-11,10:38:00,432.15,Buy,COROMANDEL,0.65,438.65,432.8,433.45,434.1,434.75,435.4,436.05,436.7,437.35,438.0,432.15,11:39:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,700,Thu,Apr,11625.45,11570.0,Up,01:01:00
437.0,2019-04-16,12:50:00,437.0,Sell,COROMANDEL,,434.3,,,,,,,,,,437.3,12:46:00,210.0,Stoploss Hit,1to1 Trail,437.0,436.7,436.4,436.1,435.8,435.5,435.2,434.9,434.6,0.3,700,Tue,Apr,11711.55,11669.15,Up,00:04:00
435.7,2019-04-24,12:58:00,435.7,Sell,COROMANDEL,,421.4,,,,,,,,,,434.4,12:49:00,-910.0,Stoploss Hit,,433.1,431.8,430.5,429.2,427.9,426.6,425.3,424.0,422.7,1.3,700,Wed,Apr,11711.55,11669.15,Up,00:09:00
438.65,2019-04-25,10:02:00,438.65,Sell,COROMANDEL,,410.6,,,,,,,,,,436.1,09:58:00,-1785.0,Stoploss Hit,,433.55,431.0,428.45,425.9,423.35,420.8,418.25,415.7,413.15,2.55,700,Thu,Apr,11638.4,11598.0,Up,00:04:00
427.8,2019-05-06,09:51:00,427.2,Buy,COROMANDEL,0.6,433.8,428.4,429.0,429.6,430.2,430.8,431.4,432.0,432.6,433.2,427.2,10:28:00,-420.0,Stoploss Hit,,,,,,,,,,,,700,Mon,May,11180.35,11157.0,Up,00:37:00
407.35,2019-05-14,10:04:00,407.35,Sell,COROMANDEL,,392.5,,,,,,,,,,406.0,10:04:00,-945.0,Stoploss Hit,,404.65,403.3,401.95,400.6,399.25,397.9,396.55,395.2,393.85,1.35,700,Tue,May,11725.55,11748.15,Down,00:00:00
407.05,2019-05-15,09:47:00,406.55,Buy,COROMANDEL,0.5,412.05,407.55,408.05,408.55,409.05,409.55,410.05,410.55,411.05,411.55,406.55,10:23:00,-350.0,Stoploss Hit,,,,,,,,,,,,700,Wed,May,11314.15,11301.8,Up,00:36:00
402.0,2019-05-16,11:17:00,400.65,Buy,COROMANDEL,1.35,415.5,403.35,404.7,406.05,407.4,408.75,410.1,411.45,412.8,414.15,400.65,12:28:00,-945.0,Stoploss Hit,,,,,,,,,,,,700,Thu,May,11735.7,11726.15,Up,01:11:00
408.0,2019-05-21,15:12:00,408.0,Sell,COROMANDEL,,392.5,,,,,,,,,,408.0,09:50:00,0.0,Stoploss Hit,Breakeven,406.45,404.9,403.35,401.8,400.25,398.7,397.15,395.6,394.05,1.55,700,Tue,May,11722.6,11724.75,Down,05:22:00
425.45,2019-05-30,10:43:00,425.45,Sell,COROMANDEL,,423.85,,,,,,,,,,425.85,10:36:00,280.0,Stoploss Hit,1to2 Trail,425.65,425.45,425.25,425.05,424.85,424.65,424.45,424.25,424.05,0.2,700,Thu,May,11722.6,11724.75,Down,00:07:00
435.1,2019-06-04,11:14:00,435.1,Sell,COROMANDEL,,419.1,,,,,,,,,,435.1,09:46:00,0.0,Stoploss Hit,Breakeven,433.5,431.9,430.3,428.7,427.1,425.5,423.9,422.3,420.7,1.6,700,Tue,Jun,11258.7,11278.9,Down,01:28:00
424.0,2019-06-10,12:41:00,424.0,Sell,COROMANDEL,,408.05,,,,,,,,,,422.55,11:45:00,-1015.0,Stoploss Hit,,421.1,419.65,418.2,416.75,415.3,413.85,412.4,410.95,409.5,1.45,700,Mon,Jun,11934.9,11870.65,Up,00:56:00
422.9,2019-06-14,10:33:00,422.9,Sell,COROMANDEL,,412.45,,,,,,,,,,421.95,10:33:00,-665.0,Stoploss Hit,,421.0,420.05,419.1,418.15,417.2,416.25,415.3,414.35,413.4,0.95,700,Fri,Jun,11910.1,11914.05,Down,00:00:00
410.0,2019-06-27,12:26:00,408.35,Buy,COROMANDEL,1.65,426.5,411.65,413.3,414.95,416.6,418.25,419.9,421.55,423.2,424.85,408.35,12:35:00,-1155.0,Stoploss Hit,,,,,,,,,,,,700,Thu,Jun,11873.9,11906.2,Down,00:09:00
414.7,2019-07-08,10:21:00,413.95,Buy,COROMANDEL,0.75,422.2,415.45,416.2,416.95,417.7,418.45,419.2,419.95,420.7,421.45,413.95,11:06:00,-525.0,Stoploss Hit,,,,,,,,,,,,700,Mon,Jul,11962.45,11965.6,Down,00:45:00
375.95,2019-07-19,10:18:00,375.95,Sell,COROMANDEL,,347.45,,,,,,,,,,375.95,09:46:00,0.0,Stoploss Hit,Breakeven,373.1,370.25,367.4,364.55,361.7,358.85,356.0,353.15,350.3,2.85,700,Fri,Jul,11928.8,11916.75,Up,00:32:00
373.1,2019-07-23,11:32:00,365.0,Buy,COROMANDEL,8.1,454.1,381.2,389.3,397.4,405.5,413.6,421.7,429.8,437.9,446.0,365.0,12:19:00,-5670.0,Stoploss Hit,,,,,,,,,,,,700,Tue,Jul,11964.75,11946.75,Up,00:47:00
384.6,2019-07-24,10:11:00,384.6,Sell,COROMANDEL,,365.35,,,,,,,,,,382.85,09:56:00,-1225.0,Stoploss Hit,,381.1,379.35,377.6,375.85,374.1,372.35,370.6,368.85,367.1,1.75,700,Wed,Jul,11744.45,11691.5,Up,00:15:00
383.2,2019-07-25,11:18:00,383.2,Sell,COROMANDEL,,381.0,,,,,,,,,,383.0,11:11:00,-140.0,Stoploss Hit,,382.8,382.6,382.4,382.2,382.0,381.8,381.6,381.4,381.2,0.2,700,Thu,Jul,11614.75,11552.5,Up,00:07:00
374.4,2019-07-29,10:11:00,374.4,Sell,COROMANDEL,,372.9,,,,,,,,,,374.4,10:10:00,0.0,Stoploss Hit,Breakeven,374.25,374.1,373.95,373.8,373.65,373.5,373.35,373.2,373.05,0.15,700,Mon,Jul,11596.65,11588.35,Up,00:01:00
371.0,2019-07-30,12:01:00,371.0,Sell,COROMANDEL,,367.0,,,,,,,,,,375.0,10:08:00,2800.0,Stoploss Hit,1to5 Trail,374.2,373.4,372.6,371.8,371.0,370.2,369.4,368.6,367.8,0.8,700,Tue,Jul,11213.7,11189.2,Up,01:53:00
367.65,2019-08-01,09:56:00,367.65,Sell,COROMANDEL,,360.5,,,,,,,,,,367.0,09:46:00,-455.0,Stoploss Hit,,366.35,365.7,365.05,364.4,363.75,363.1,362.45,361.8,361.15,0.65,700,Thu,Aug,11596.65,11588.35,Up,00:10:00
359.6,2019-08-09,11:16:00,359.6,Sell,COROMANDEL,,350.0,,,,,,,,,,362.0,10:35:00,1680.0,Stoploss Hit,1to2 Trail,360.8,359.6,358.4,357.2,356.0,354.8,353.6,352.4,351.2,1.2,700,Fri,Aug,11247.45,11252.15,Down,00:41:00
359.6,2019-08-13,10:13:00,358.35,Buy,COROMANDEL,1.25,372.1,360.85,362.1,363.35,364.6,365.85,367.1,368.35,369.6,370.85,358.35,10:23:00,-875.0,Stoploss Hit,,,,,,,,,,,,700,Tue,Aug,11536.15,11555.9,Down,00:10:00
339.9,2019-08-16,11:37:00,339.9,Sell,COROMANDEL,,330.55,,,,,,,,,,339.05,11:35:00,-595.0,Stoploss Hit,,338.2,337.35,336.5,335.65,334.8,333.95,333.1,332.25,331.4,0.85,700,Fri,Aug,11307.5,11284.3,Up,00:02:00
339.7,2019-08-19,10:25:00,339.7,Sell,COROMANDEL,,337.7,,,,,,,,,,340.2,10:24:00,350.0,Stoploss Hit,1to2 Trail,339.95,339.7,339.45,339.2,338.95,338.7,338.45,338.2,337.95,0.25,700,Mon,Aug,11139.4,11109.65,Up,00:01:00
356.95,2019-08-23,14:28:00,359.55,Buy,COROMANDEL,0.65,363.45,357.6,358.25,358.9,359.55,360.2,360.85,361.5,362.15,362.8,359.55,14:55:00,1820.0,Stoploss Hit,1to4 trail,,,,,,,,,,,700,Fri,Aug,11372.25,11346.2,Up,00:27:00
376.75,2019-08-27,10:38:00,376.15,Buy,COROMANDEL,0.6,382.75,377.35,377.95,378.55,379.15,379.75,380.35,380.95,381.55,382.15,376.15,10:38:00,-420.0,Stoploss Hit,,,,,,,,,,,,700,Tue,Aug,11139.4,11109.65,Up,00:00:00
382.2,2019-08-29,14:51:00,382.2,Sell,COROMANDEL,,371.2,,,,,,,,,,382.2,10:12:00,0.0,Stoploss Hit,Breakeven,381.1,380.0,378.9,377.8,376.7,375.6,374.5,373.4,372.3,1.1,700,Thu,Aug,10699.6,10741.35,Down,04:39:00
383.5,2019-08-30,10:49:00,383.5,Sell,COROMANDEL,,380.2,,,,,,,,,,383.2,10:44:00,-210.0,Stoploss Hit,,382.9,382.6,382.3,382.0,381.7,381.4,381.1,380.8,380.5,0.3,700,Fri,Aug,10987.8,10948.3,Up,00:05:00
397.5,2019-09-16,15:04:00,397.5,Sell,COROMANDEL,,370.0,,,,,,,,,,395.0,11:02:00,-1750.0,Stoploss Hit,,392.5,390.0,387.5,385.0,382.5,380.0,377.5,375.0,372.5,2.5,700,Mon,Sep,11003.25,10925.85,Up,04:02:00
