buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
246.0,2018-08-03,13:13:00,246.15,Buy,CROMPTON,0.15,247.5,246.15,246.3,246.45,246.6,246.75,246.9,247.05,247.2,247.35,246.15,13:18:00,225.0,Stoploss Hit,1to1 trail,,,,,,,,,,,1500,Fri,Aug,11297.8,11244.7,Up,00:05:00
267.05,2018-08-14,13:59:00,267.05,Sell,CROMPTON,,250.05,,,,,,,,,,267.05,09:55:00,0.0,Stoploss Hit,Breakeven,265.35,263.65,261.95,260.25,258.55,256.85,255.15,253.45,251.75,1.7,1500,Tue,Aug,10514.1,10599.25,Down,04:04:00
266.45,2018-08-24,09:46:00,265.2,Buy,CROMPTON,1.25,278.95,267.7,268.95,270.2,271.45,272.7,273.95,275.2,276.45,277.7,265.2,09:47:00,-1875.0,Stoploss Hit,,,,,,,,,,,,1500,Fri,Aug,11576.2,11551.75,Up,00:01:00
264.45,2018-08-27,11:25:00,264.45,Sell,CROMPTON,,259.5,,,,,,,,,,264.0,10:03:00,-675.0,Stoploss Hit,,263.55,263.1,262.65,262.2,261.75,261.3,260.85,260.4,259.95,0.45,1500,Mon,Aug,11566.6,11582.75,Down,01:22:00
217.0,2018-09-12,10:05:00,217.0,Sell,CROMPTON,,207.1,,,,,,,,,,216.1,09:46:00,-1350.0,Stoploss Hit,,215.2,214.3,213.4,212.5,211.6,210.7,209.8,208.9,208.0,0.9,1500,Wed,Sep,11558.25,11536.9,Up,00:19:00
217.65,2018-09-26,09:50:00,217.65,Sell,CROMPTON,,205.55,,,,,,,,,,216.55,09:46:00,-1650.0,Stoploss Hit,,215.45,214.35,213.25,212.15,211.05,209.95,208.85,207.75,206.65,1.1,1500,Wed,Sep,10969.95,10967.4,Up,00:04:00
218.7,2018-09-27,12:00:00,218.7,Sell,CROMPTON,,211.2,,,,,,,,,,218.7,09:54:00,0.0,Stoploss Hit,Breakeven,217.95,217.2,216.45,215.7,214.95,214.2,213.45,212.7,211.95,0.75,1500,Thu,Sep,11079.8,11053.8,Up,02:06:00
219.1,2018-10-01,14:17:00,219.1,Sell,CROMPTON,,197.1,,,,,,,,,,217.1,10:05:00,-3000.0,Stoploss Hit,,215.1,213.1,211.1,209.1,207.1,205.1,203.1,201.1,199.1,2.0,1500,Mon,Oct,11008.1,10977.55,Up,04:12:00
209.55,2018-10-05,09:53:00,207.45,Buy,CROMPTON,2.1,230.55,211.65,213.75,215.85,217.95,220.05,222.15,224.25,226.35,228.45,207.45,10:07:00,-3150.0,Stoploss Hit,,,,,,,,,,,,1500,Fri,Oct,10514.1,10599.25,Down,00:14:00
201.95,2018-10-10,10:08:00,201.95,Sell,CROMPTON,,194.8,,,,,,,,,,201.3,09:56:00,-975.0,Stoploss Hit,,200.65,200.0,199.35,198.7,198.05,197.4,196.75,196.1,195.45,0.65,1500,Wed,Oct,10514.1,10599.25,Down,00:12:00
