buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
171.7,2018-08-02,12:42:00,171.7,Sell,CUB,,166.2,,,,,,,,,,171.2,10:17:00,-2500.0,Stoploss Hit,,170.7,170.2,169.7,169.2,168.7,168.2,167.7,167.2,166.7,0.5,5000,Thu,Aug,11359.8,11356.5,Up,02:25:00
170.0,2018-08-06,10:29:00,170.0,Sell,CUB,,168.9,,,,,,,,,,169.9,10:20:00,-500.0,Stoploss Hit,,169.8,169.7,169.6,169.5,169.4,169.3,169.2,169.1,169.0,0.1,5000,Mon,Aug,11328.9,11346.2,Down,00:09:00
179.0,2018-08-09,14:10:00,179.0,Sell,CUB,,168.55,,,,,,,,,,178.05,11:52:00,-4750.0,Stoploss Hit,,177.1,176.15,175.2,174.25,173.3,172.35,171.4,170.45,169.5,0.95,5000,Thu,Aug,11493.25,11450.0,Up,02:18:00
177.4,2018-08-10,10:09:00,177.4,Sell,CUB,,175.2,,,,,,,,,,177.2,09:58:00,-1000.0,Stoploss Hit,,177.0,176.8,176.6,176.4,176.2,176.0,175.8,175.6,175.4,0.2,5000,Fri,Aug,11423.15,11387.1,Up,00:11:00
174.3,2018-08-13,10:27:00,174.3,Sell,CUB,,173.5,,,,,,,,,,174.5,10:25:00,1000.0,Stoploss Hit,1to2 Trail,174.4,174.3,174.2,174.1,174.0,173.9,173.8,173.7,173.6,0.1,5000,Mon,Aug,11369.6,11429.5,Down,00:02:00
185.15,2018-08-23,15:26:00,185.15,Sell,CUB,,180.65,,,,,,,,,,185.15,09:50:00,0.0,Stoploss Hit,Breakeven,184.7,184.25,183.8,183.35,182.9,182.45,182.0,181.55,181.1,0.45,5000,Thu,Aug,11502.1,11470.75,Up,05:36:00
187.75,2018-08-27,11:22:00,187.75,Sell,CUB,,176.2,,,,,,,,,,186.7,11:07:00,-5250.0,Stoploss Hit,,185.65,184.6,183.55,182.5,181.45,180.4,179.35,178.3,177.25,1.05,5000,Mon,Aug,11566.6,11582.75,Down,00:15:00
189.55,2018-08-28,11:26:00,190.55,Buy,CUB,0.5,194.55,190.05,190.55,191.05,191.55,192.05,192.55,193.05,193.55,194.05,191.9,15:00:00,11750.0,Market Exit,1to2 trail,,,,,,,,,,,5000,Tue,Aug,11566.6,11582.75,Down,03:34:00
202.85,2018-08-30,14:44:00,202.85,Sell,CUB,,191.35,,,,,,,,,,202.85,09:47:00,0.0,Stoploss Hit,Breakeven,201.7,200.55,199.4,198.25,197.1,195.95,194.8,193.65,192.5,1.15,5000,Thu,Aug,11605.85,11557.1,Up,04:57:00
202.85,2018-08-31,13:45:00,202.85,Sell,CUB,,189.65,,,,,,,,,,201.65,09:58:00,-6000.0,Stoploss Hit,,200.45,199.25,198.05,196.85,195.65,194.45,193.25,192.05,190.85,1.2,5000,Fri,Aug,11605.85,11557.1,Up,03:47:00
