buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
687.0,2018-08-09,10:55:00,684.75,Buy,CUMMINSIND,2.25,709.5,689.25,691.5,693.75,696.0,698.25,700.5,702.75,705.0,707.25,684.75,10:58:00,-1350.0,Stoploss Hit,,,,,,,,,,,,600,Thu,Aug,11474.95,11470.7,Up,00:03:00
663.0,2018-08-10,09:46:00,660.6,Buy,CUMMINSIND,2.4,687.0,665.4,667.8,670.2,672.6,675.0,677.4,679.8,682.2,684.6,660.6,09:48:00,-1440.0,Stoploss Hit,,,,,,,,,,,,600,Fri,Aug,11474.95,11470.7,Up,00:02:00
657.2,2018-08-13,10:04:00,655.15,Buy,CUMMINSIND,2.05,677.7,659.25,661.3,663.35,665.4,667.45,669.5,671.55,673.6,675.65,655.15,10:13:00,-1230.0,Stoploss Hit,,,,,,,,,,,,600,Mon,Aug,11369.6,11429.5,Down,00:09:00
756.65,2018-09-12,09:47:00,754.0,Buy,CUMMINSIND,2.65,783.15,759.3,761.95,764.6,767.25,769.9,772.55,775.2,777.85,780.5,754.0,09:49:00,-1590.0,Stoploss Hit,,,,,,,,,,,,600,Wed,Sep,11381.55,11377.75,Up,00:02:00
745.6,2018-09-17,12:00:00,745.6,Sell,CUMMINSIND,,684.0,,,,,,,,,,740.0,10:37:00,-3360.0,Stoploss Hit,,734.4,728.8,723.2,717.6,712.0,706.4,700.8,695.2,689.6,5.6,600,Mon,Sep,11464.95,11515.2,Down,01:23:00
687.0,2018-09-27,09:59:00,687.0,Sell,CUMMINSIND,,665.0,,,,,,,,,,687.0,09:52:00,0.0,Stoploss Hit,Breakeven,684.8,682.6,680.4,678.2,676.0,673.8,671.6,669.4,667.2,2.2,600,Thu,Sep,10930.9,10930.45,Up,00:07:00
668.3,2018-10-10,10:13:00,668.3,Sell,CUMMINSIND,,632.55,,,,,,,,,,665.05,10:08:00,-1950.0,Stoploss Hit,,661.8,658.55,655.3,652.05,648.8,645.55,642.3,639.05,635.8,3.25,600,Wed,Oct,10339.7,10453.05,Down,00:05:00
677.05,2018-10-11,11:56:00,677.05,Buy,CUMMINSIND,1.55,692.55,678.6,680.15,681.7,683.25,684.8,686.35,687.9,689.45,691.0,677.05,12:28:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,600,Thu,Oct,10688.7,10584.75,Up,00:32:00
668.5,2018-10-24,10:05:00,668.5,Buy,CUMMINSIND,2.05,689.0,670.55,672.6,674.65,676.7,678.75,680.8,682.85,684.9,686.95,668.5,10:38:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,600,Wed,Oct,10078.1,10030.0,Up,00:33:00
785.9,2018-11-12,09:58:00,792.2,Buy,CUMMINSIND,0.9,794.9,786.8,787.7,788.6,789.5,790.4,791.3,792.2,793.1,794.0,792.2,10:09:00,3780.0,Stoploss Hit,1to7 trail,,,,,,,,,,,600,Mon,Nov,10614.7,10598.4,Up,00:11:00
799.5,2018-11-15,10:31:00,799.5,Buy,CUMMINSIND,2.85,828.0,802.35,805.2,808.05,810.9,813.75,816.6,819.45,822.3,825.15,807.8,15:00:00,4980.0,Market Exit,Breakeven,,,,,,,,,,,600,Thu,Nov,10580.6,10576.3,Up,04:29:00
787.85,2018-11-20,09:47:00,787.85,Buy,CUMMINSIND,1.4,801.85,789.25,790.65,792.05,793.45,794.85,796.25,797.65,799.05,800.45,787.85,10:03:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,600,Tue,Nov,10740.1,10763.4,Down,00:16:00
