buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
477.9,2018-08-24,09:46:00,477.9,Sell,DABUR,,465.9,,,,,,,,,,477.9,12:12:00,0.0,Stoploss Hit,Breakeven,476.7,475.5,474.3,473.1,471.9,470.7,469.5,468.3,467.1,1.2,1250,Fri,Aug,11401.5,11360.8,Up,1899-12-29 21:34:00
487.7,2018-08-28,10:08:00,486.8,Buy,DABUR,0.9,496.7,488.6,489.5,490.4,491.3,492.2,493.1,494.0,494.9,495.8,486.8,10:45:00,-1125.0,Stoploss Hit,,,,,,,,,,,,1250,Tue,Aug,11401.5,11360.8,Up,00:37:00
461.55,2018-09-14,09:57:00,463.45,Buy,DABUR,1.9,480.55,463.45,465.35,467.25,469.15,471.05,472.95,474.85,476.75,478.65,468.5,15:00:00,8687.5,Market Exit,1to1 trail,,,,,,,,,,,1250,Fri,Sep,11605.85,11557.1,Up,05:03:00
454.85,2018-09-21,10:45:00,454.85,Sell,DABUR,,452.65,,,,,,,,,,458.15,09:56:00,4125.0,Stoploss Hit,1to6 Trail,457.6,457.05,456.5,455.95,455.4,454.85,454.3,453.75,453.2,0.55,1250,Fri,Sep,11598.75,11582.35,Up,00:49:00
447.05,2018-09-24,09:57:00,447.05,Sell,DABUR,,429.05,,,,,,,,,,447.05,09:46:00,0.0,Stoploss Hit,Breakeven,445.25,443.45,441.65,439.85,438.05,436.25,434.45,432.65,430.85,1.8,1250,Mon,Sep,11675.85,11676.8,Down,00:11:00
410.9,2018-10-05,12:34:00,410.9,Sell,DABUR,,388.4,,,,,,,,,,410.9,10:03:00,0.0,Stoploss Hit,Breakeven,408.65,406.4,404.15,401.9,399.65,397.4,395.15,392.9,390.65,2.25,1250,Fri,Oct,11464.95,11515.2,Down,02:31:00
393.0,2018-10-11,12:57:00,391.85,Buy,DABUR,1.15,404.5,394.15,395.3,396.45,397.6,398.75,399.9,401.05,402.2,403.35,391.85,13:00:00,-1437.5,Stoploss Hit,,,,,,,,,,,,1250,Thu,Oct,11464.95,11515.2,Down,00:03:00
404.85,2018-10-12,11:21:00,404.85,Buy,DABUR,2.2,426.85,407.05,409.25,411.45,413.65,415.85,418.05,420.25,422.45,424.65,407.35,15:00:00,3125.0,Market Exit,Breakeven,,,,,,,,,,,1250,Fri,Oct,10331.55,10234.65,Up,03:39:00
422.0,2018-10-17,09:46:00,420.6,Buy,DABUR,1.4,436.0,423.4,424.8,426.2,427.6,429.0,430.4,431.8,433.2,434.6,420.6,09:51:00,-1750.0,Stoploss Hit,,,,,,,,,,,,1250,Wed,Oct,11079.8,11053.8,Up,00:05:00
404.7,2018-10-24,12:00:00,404.7,Sell,DABUR,,388.75,,,,,,,,,,403.25,10:39:00,-1812.5,Stoploss Hit,,401.8,400.35,398.9,397.45,396.0,394.55,393.1,391.65,390.2,1.45,1250,Wed,Oct,10982.7,11008.3,Down,01:21:00
