buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
240.8,2018-08-03,12:49:00,239.6,Buy,DEEPAKNTR,1.2,252.8,242.0,243.2,244.4,245.6,246.8,248.0,249.2,250.4,251.6,239.6,13:49:00,-300.0,Stoploss Hit,,,,,,,,,,,,250,Fri,Aug,11297.8,11244.7,Up,01:00:00
285.0,2018-08-16,10:50:00,281.5,Buy,DEEPAKNTR,3.5,320.0,288.5,292.0,295.5,299.0,302.5,306.0,309.5,313.0,316.5,281.5,14:34:00,-875.0,Stoploss Hit,,,,,,,,,,,,250,Thu,Aug,11369.6,11429.5,Down,03:44:00
277.55,2018-08-20,10:01:00,277.55,Sell,DEEPAKNTR,,270.95,,,,,,,,,,276.95,10:01:00,-150.0,Stoploss Hit,,276.35,275.75,275.15,274.55,273.95,273.35,272.75,272.15,271.55,0.6,250,Mon,Aug,11502.1,11470.75,Up,00:00:00
272.7,2018-08-23,09:48:00,272.7,Sell,DEEPAKNTR,,266.65,,,,,,,,,,272.15,09:48:00,-137.5,Stoploss Hit,,271.6,271.05,270.5,269.95,269.4,268.85,268.3,267.75,267.2,0.55,250,Thu,Aug,11620.7,11570.9,Up,00:00:00
269.65,2018-08-27,10:12:00,269.65,Sell,DEEPAKNTR,,254.25,,,,,,,,,,268.25,09:50:00,-350.0,Stoploss Hit,,266.85,265.45,264.05,262.65,261.25,259.85,258.45,257.05,255.65,1.4,250,Mon,Aug,10524.2,10472.5,Up,00:22:00
270.35,2018-08-28,13:02:00,270.35,Sell,DEEPAKNTR,,248.9,,,,,,,,,,268.4,10:29:00,-487.5,Stoploss Hit,,266.45,264.5,262.55,260.6,258.65,256.7,254.75,252.8,250.85,1.95,250,Tue,Aug,11566.6,11582.75,Down,02:33:00
278.85,2018-09-19,12:41:00,283.35,Buy,DEEPAKNTR,2.25,301.35,281.1,283.35,285.6,287.85,290.1,292.35,294.6,296.85,299.1,289.1,15:00:00,2562.5,Market Exit,1to2 trail,,,,,,,,,,,250,Wed,Sep,11476.85,11438.1,Up,02:19:00
296.55,2018-09-27,09:54:00,296.55,Sell,DEEPAKNTR,,291.6,,,,,,,,,,296.1,09:54:00,-112.5,Stoploss Hit,,295.65,295.2,294.75,294.3,293.85,293.4,292.95,292.5,292.05,0.45,250,Thu,Sep,11164.4,11143.1,Up,00:00:00
279.3,2018-10-01,10:57:00,279.3,Sell,DEEPAKNTR,,272.3,,,,,,,,,,279.3,10:52:00,0.0,Stoploss Hit,Breakeven,278.6,277.9,277.2,276.5,275.8,275.1,274.4,273.7,273.0,0.7,250,Mon,Oct,11008.1,10977.55,Up,00:05:00
284.85,2018-10-03,11:13:00,284.0,Buy,DEEPAKNTR,0.85,293.35,285.7,286.55,287.4,288.25,289.1,289.95,290.8,291.65,292.5,284.0,11:19:00,-212.5,Stoploss Hit,,,,,,,,,,,,250,Wed,Oct,10754.7,10858.25,Down,00:06:00
270.8,2018-10-04,12:23:00,270.8,Sell,DEEPAKNTR,,262.55,,,,,,,,,,270.05,12:00:00,-187.5,Stoploss Hit,,269.3,268.55,267.8,267.05,266.3,265.55,264.8,264.05,263.3,0.75,250,Thu,Oct,11079.8,11053.8,Up,00:23:00
264.95,2018-10-05,12:35:00,264.95,Sell,DEEPAKNTR,,250.1,,,,,,,,,,263.6,12:11:00,-337.5,Stoploss Hit,,262.25,260.9,259.55,258.2,256.85,255.5,254.15,252.8,251.45,1.35,250,Fri,Oct,10982.7,11008.3,Down,00:24:00
248.9,2018-10-11,09:48:00,247.0,Buy,DEEPAKNTR,1.9,267.9,250.8,252.7,254.6,256.5,258.4,260.3,262.2,264.1,266.0,247.0,09:53:00,-475.0,Stoploss Hit,,,,,,,,,,,,250,Thu,Oct,10390.3,10348.05,Up,00:05:00
243.0,2018-10-24,10:04:00,243.0,Sell,DEEPAKNTR,,231.45,,,,,,,,,,241.95,10:00:00,-262.5,Stoploss Hit,,240.9,239.85,238.8,237.75,236.7,235.65,234.6,233.55,232.5,1.05,250,Wed,Oct,10209.55,10198.4,Up,00:04:00
244.85,2018-10-29,10:47:00,244.85,Sell,DEEPAKNTR,,233.3,,,,,,,,,,243.8,10:07:00,-262.5,Stoploss Hit,,242.75,241.7,240.65,239.6,238.55,237.5,236.45,235.4,234.35,1.05,250,Mon,Oct,10152.6,10245.25,Down,00:40:00
246.0,2018-10-30,09:58:00,246.0,Buy,DEEPAKNTR,0.7,253.0,246.7,247.4,248.1,248.8,249.5,250.2,250.9,251.6,252.3,246.0,10:02:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,250,Tue,Oct,10278.15,10146.8,Up,00:04:00
272.7,2018-11-05,09:56:00,272.7,Sell,DEEPAKNTR,,256.75,,,,,,,,,,271.25,09:55:00,-362.5,Stoploss Hit,,269.8,268.35,266.9,265.45,264.0,262.55,261.1,259.65,258.2,1.45,250,Mon,Nov,10441.7,10386.6,Up,00:01:00
269.15,2018-11-06,10:08:00,271.95,Buy,DEEPAKNTR,0.7,276.15,269.85,270.55,271.25,271.95,272.65,273.35,274.05,274.75,275.45,271.95,10:14:00,700.0,Stoploss Hit,1to4 trail,,,,,,,,,,,250,Tue,Nov,10552.0,10524.0,Up,00:06:00
283.45,2018-11-09,10:09:00,283.45,Buy,DEEPAKNTR,1.2,295.45,284.65,285.85,287.05,288.25,289.45,290.65,291.85,293.05,294.25,283.45,10:48:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,250,Fri,Nov,10614.7,10598.4,Up,00:39:00
271.4,2018-11-13,13:42:00,271.4,Sell,DEEPAKNTR,,237.85,,,,,,,,,,268.35,09:54:00,-762.5,Stoploss Hit,,265.3,262.25,259.2,256.15,253.1,250.05,247.0,243.95,240.9,3.05,250,Tue,Nov,10122.35,10124.9,Down,03:48:00
271.5,2018-11-14,10:13:00,270.05,Buy,DEEPAKNTR,1.45,286.0,272.95,274.4,275.85,277.3,278.75,280.2,281.65,283.1,284.55,270.05,10:18:00,-362.5,Stoploss Hit,,,,,,,,,,,,250,Wed,Nov,10558.75,10553.0,Up,00:05:00
259.45,2018-11-20,09:55:00,263.3,Buy,DEEPAKNTR,0.55,264.95,260.0,260.55,261.1,261.65,262.2,262.75,263.3,263.85,264.4,263.3,10:08:00,962.5,Stoploss Hit,1to7 trail,,,,,,,,,,,250,Tue,Nov,10607.8,10585.2,Up,00:13:00
248.45,2018-11-29,11:36:00,248.45,Sell,DEEPAKNTR,,235.95,,,,,,,,,,248.45,11:02:00,0.0,Stoploss Hit,Breakeven,247.2,245.95,244.7,243.45,242.2,240.95,239.7,238.45,237.2,1.25,250,Thu,Nov,11677.05,11672.15,Up,00:34:00
253.0,2018-12-04,13:21:00,253.0,Sell,DEEPAKNTR,,245.3,,,,,,,,,,252.3,13:18:00,-175.0,Stoploss Hit,,251.6,250.9,250.2,249.5,248.8,248.1,247.4,246.7,246.0,0.7,250,Tue,Dec,10808.7,10728.85,Up,00:03:00
234.3,2018-12-14,10:36:00,234.3,Sell,DEEPAKNTR,,229.75,,,,,,,,,,236.25,10:21:00,487.5,Stoploss Hit,1to3 Trail,235.6,234.95,234.3,233.65,233.0,232.35,231.7,231.05,230.4,0.65,250,Fri,Dec,10591.0,10549.15,Up,00:15:00
233.55,2018-12-17,13:33:00,233.55,Sell,DEEPAKNTR,,229.05,,,,,,,,,,233.55,13:18:00,0.0,Stoploss Hit,Breakeven,233.1,232.65,232.2,231.75,231.3,230.85,230.4,229.95,229.5,0.45,250,Mon,Dec,10853.2,10805.45,Up,00:15:00
222.55,2019-01-01,11:11:00,222.55,Buy,DEEPAKNTR,0.85,231.05,223.4,224.25,225.1,225.95,226.8,227.65,228.5,229.35,230.2,222.55,12:38:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,250,Tue,Jan,10913.2,10859.9,Up,01:27:00
222.95,2019-01-02,09:49:00,222.95,Buy,DEEPAKNTR,0.3,225.95,223.25,223.55,223.85,224.15,224.45,224.75,225.05,225.35,225.65,222.95,10:03:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,250,Wed,Jan,10820.95,10779.8,Up,00:14:00
223.25,2019-01-03,10:07:00,222.65,Buy,DEEPAKNTR,0.6,229.25,223.85,224.45,225.05,225.65,226.25,226.85,227.45,228.05,228.65,222.65,10:07:00,-150.0,Stoploss Hit,,,,,,,,,,,,250,Thu,Jan,10796.8,10792.5,Up,00:00:00
222.0,2019-01-10,09:56:00,222.75,Buy,DEEPAKNTR,0.25,224.5,222.25,222.5,222.75,223.0,223.25,223.5,223.75,224.0,224.25,222.75,11:02:00,187.5,Stoploss Hit,1to3 trail,,,,,,,,,,,250,Thu,Jan,10859.35,10855.15,Up,01:06:00
210.0,2019-01-29,15:29:00,210.0,Sell,DEEPAKNTR,,196.25,,,,,,,,,,208.75,10:54:00,-312.5,Stoploss Hit,,207.5,206.25,205.0,203.75,202.5,201.25,200.0,198.75,197.5,1.25,250,Tue,Jan,11500.3,11462.2,Up,04:35:00
210.05,2019-01-30,14:31:00,210.05,Sell,DEEPAKNTR,,205.05,,,,,,,,,,210.05,09:55:00,0.0,Stoploss Hit,Breakeven,209.55,209.05,208.55,208.05,207.55,207.05,206.55,206.05,205.55,0.5,250,Wed,Jan,10653.7,10661.55,Down,04:36:00
227.1,2019-02-05,10:25:00,227.1,Sell,DEEPAKNTR,,220.6,,,,,,,,,,227.1,09:46:00,0.0,Stoploss Hit,Breakeven,226.45,225.8,225.15,224.5,223.85,223.2,222.55,221.9,221.25,0.65,250,Tue,Feb,10908.65,10912.25,Down,00:39:00
219.0,2019-02-14,12:00:00,218.15,Buy,DEEPAKNTR,0.85,227.5,219.85,220.7,221.55,222.4,223.25,224.1,224.95,225.8,226.65,218.15,12:17:00,-212.5,Stoploss Hit,,,,,,,,,,,,250,Thu,Feb,10786.1,10793.65,Down,00:17:00
218.0,2019-02-19,15:21:00,218.0,Sell,DEEPAKNTR,,187.75,,,,,,,,,,215.25,10:06:00,-687.5,Stoploss Hit,,212.5,209.75,207.0,204.25,201.5,198.75,196.0,193.25,190.5,2.75,250,Tue,Feb,10636.7,10640.95,Down,05:15:00
218.4,2019-02-22,10:23:00,218.0,Buy,DEEPAKNTR,0.4,222.4,218.8,219.2,219.6,220.0,220.4,220.8,221.2,221.6,222.0,218.0,10:23:00,-100.0,Stoploss Hit,,,,,,,,,,,,250,Fri,Feb,10813.25,10791.65,Up,00:00:00
230.55,2019-02-28,10:04:00,230.55,Buy,DEEPAKNTR,1.8,248.55,232.35,234.15,235.95,237.75,239.55,241.35,243.15,244.95,246.75,233.05,15:00:00,625.0,Market Exit,Breakeven,,,,,,,,,,,250,Thu,Feb,10865.7,10806.65,Up,04:56:00
234.05,2019-03-01,09:55:00,234.05,Buy,DEEPAKNTR,0.4,238.05,234.45,234.85,235.25,235.65,236.05,236.45,236.85,237.25,237.65,234.05,09:56:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,250,Fri,Mar,10636.7,10640.95,Down,00:01:00
248.5,2019-03-06,11:00:00,247.7,Buy,DEEPAKNTR,0.8,256.5,249.3,250.1,250.9,251.7,252.5,253.3,254.1,254.9,255.7,247.7,11:01:00,-200.0,Stoploss Hit,,,,,,,,,,,,250,Wed,Mar,10881.2,10835.3,Up,00:01:00
255.35,2019-03-14,10:24:00,255.35,Sell,DEEPAKNTR,,255.0,,,,,,,,,,255.5,10:23:00,37.5,Stoploss Hit,1to3 Trail,255.45,255.4,255.35,255.3,255.25,255.2,255.15,255.1,255.05,0.05,250,Thu,Mar,11068.75,11035.4,Up,00:01:00
258.55,2019-03-15,13:11:00,258.55,Sell,DEEPAKNTR,,249.55,,,,,,,,,,259.55,10:05:00,250.0,Stoploss Hit,1to1 Trail,258.55,257.55,256.55,255.55,254.55,253.55,252.55,251.55,250.55,1.0,250,Fri,Mar,11395.65,11456.9,Down,03:06:00
277.5,2019-03-29,13:23:00,277.5,Sell,DEEPAKNTR,,261.0,,,,,,,,,,276.0,12:40:00,-375.0,Stoploss Hit,,274.5,273.0,271.5,270.0,268.5,267.0,265.5,264.0,262.5,1.5,250,Fri,Mar,11531.45,11483.25,Up,00:43:00
275.5,2019-04-01,12:02:00,275.5,Sell,DEEPAKNTR,,270.0,,,,,,,,,,275.0,11:54:00,-125.0,Stoploss Hit,,274.5,274.0,273.5,273.0,272.5,272.0,271.5,271.0,270.5,0.5,250,Mon,Apr,11463.65,11445.05,Up,00:08:00
272.9,2019-04-02,12:42:00,272.9,Sell,DEEPAKNTR,,265.75,,,,,,,,,,272.25,12:41:00,-162.5,Stoploss Hit,,271.6,270.95,270.3,269.65,269.0,268.35,267.7,267.05,266.4,0.65,250,Tue,Apr,11375.2,11354.25,Up,00:01:00
271.9,2019-04-10,10:00:00,272.5,Buy,DEEPAKNTR,0.6,277.9,272.5,273.1,273.7,274.3,274.9,275.5,276.1,276.7,277.3,272.5,10:19:00,150.0,Stoploss Hit,1to1 trail,,,,,,,,,,,250,Wed,Apr,11736.2,11690.35,Up,00:19:00
267.05,2019-04-22,10:39:00,267.05,Buy,DEEPAKNTR,1.05,277.55,268.1,269.15,270.2,271.25,272.3,273.35,274.4,275.45,276.5,267.05,10:51:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,250,Mon,Apr,11592.55,11584.3,Up,00:12:00
265.7,2019-05-02,10:03:00,264.55,Buy,DEEPAKNTR,1.15,277.2,266.85,268.0,269.15,270.3,271.45,272.6,273.75,274.9,276.05,264.55,13:16:00,-287.5,Stoploss Hit,,,,,,,,,,,,250,Thu,May,11727.05,11752.8,Down,03:13:00
287.0,2019-05-07,13:45:00,287.0,Sell,DEEPAKNTR,,283.7,,,,,,,,,,286.7,13:45:00,-75.0,Stoploss Hit,,286.4,286.1,285.8,285.5,285.2,284.9,284.6,284.3,284.0,0.3,250,Tue,May,11322.4,11359.45,Down,00:00:00
282.5,2019-05-17,10:07:00,282.5,Sell,DEEPAKNTR,,277.0,,,,,,,,,,282.0,10:07:00,-125.0,Stoploss Hit,,281.5,281.0,280.5,280.0,279.5,279.0,278.5,278.0,277.5,0.5,250,Fri,May,11605.8,11712.25,Down,00:00:00
