buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
247.1,2018-08-03,12:05:00,247.1,Sell,DELTACORP,,240.1,,,,,,,,,,247.1,11:25:00,0.0,Stoploss Hit,Breakeven,246.4,245.7,245.0,244.3,243.6,242.9,242.2,241.5,240.8,0.7,2800,Fri,Aug,11297.8,11244.7,Up,00:40:00
269.95,2018-08-09,10:18:00,269.95,Buy,DELTACORP,1.5,284.95,271.45,272.95,274.45,275.95,277.45,278.95,280.45,281.95,283.45,269.95,11:02:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2800,Thu,Aug,11369.6,11429.5,Down,00:44:00
262.9,2018-08-20,10:27:00,262.9,Sell,DELTACORP,,259.75,,,,,,,,,,263.25,09:59:00,980.0,Stoploss Hit,1to1 Trail,262.9,262.55,262.2,261.85,261.5,261.15,260.8,260.45,260.1,0.35,2800,Mon,Aug,11502.1,11470.75,Up,00:28:00
265.6,2018-08-23,09:56:00,265.6,Sell,DELTACORP,,260.1,,,,,,,,,,265.1,09:56:00,-1400.0,Stoploss Hit,,264.6,264.1,263.6,263.1,262.6,262.1,261.6,261.1,260.6,0.5,2800,Thu,Aug,10524.2,10472.5,Up,00:00:00
256.0,2018-08-27,10:13:00,256.0,Sell,DELTACORP,,251.5,,,,,,,,,,256.0,09:51:00,0.0,Stoploss Hit,Breakeven,255.55,255.1,254.65,254.2,253.75,253.3,252.85,252.4,251.95,0.45,2800,Mon,Aug,11566.6,11582.75,Down,00:22:00
271.05,2018-09-07,10:16:00,268.5,Buy,DELTACORP,2.55,296.55,273.6,276.15,278.7,281.25,283.8,286.35,288.9,291.45,294.0,268.5,12:23:00,-7140.0,Stoploss Hit,,,,,,,,,,,,2800,Fri,Sep,11570.25,11589.1,Down,02:07:00
275.0,2018-09-10,10:13:00,275.0,Sell,DELTACORP,,262.9,,,,,,,,,,273.9,10:06:00,-3080.0,Stoploss Hit,,272.8,271.7,270.6,269.5,268.4,267.3,266.2,265.1,264.0,1.1,2800,Mon,Sep,11476.85,11438.1,Up,00:07:00
268.1,2018-09-11,13:57:00,268.1,Sell,DELTACORP,,245.0,,,,,,,,,,266.0,14:17:00,-5880.0,Stoploss Hit,,263.9,261.8,259.7,257.6,255.5,253.4,251.3,249.2,247.1,2.1,2800,Tue,Sep,11340.1,11287.5,Up,1899-12-29 23:40:00
272.0,2018-09-14,11:21:00,270.4,Buy,DELTACORP,1.6,288.0,273.6,275.2,276.8,278.4,280.0,281.6,283.2,284.8,286.4,270.4,12:12:00,-4480.0,Stoploss Hit,,,,,,,,,,,,2800,Fri,Sep,11443.5,11369.9,Up,00:51:00
243.15,2018-09-19,09:51:00,243.15,Sell,DELTACORP,,237.65,,,,,,,,,,242.65,09:49:00,-1400.0,Stoploss Hit,,242.15,241.65,241.15,240.65,240.15,239.65,239.15,238.65,238.15,0.5,2800,Wed,Sep,11326.65,11278.9,Up,00:02:00
246.8,2018-09-21,11:15:00,244.0,Buy,DELTACORP,2.8,274.8,249.6,252.4,255.2,258.0,260.8,263.6,266.4,269.2,272.0,244.0,12:40:00,-7840.0,Stoploss Hit,,,,,,,,,,,,2800,Fri,Sep,11271.3,11234.35,Up,01:25:00
223.0,2018-09-24,10:18:00,223.0,Sell,DELTACORP,,212.0,,,,,,,,,,222.0,10:14:00,-2800.0,Stoploss Hit,,221.0,220.0,219.0,218.0,217.0,216.0,215.0,214.0,213.0,1.0,2800,Mon,Sep,10969.95,10967.4,Up,00:04:00
221.8,2018-09-27,10:03:00,221.8,Buy,DELTACORP,1.3,234.8,223.1,224.4,225.7,227.0,228.3,229.6,230.9,232.2,233.5,221.8,10:58:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2800,Thu,Sep,11145.55,11067.45,Up,00:55:00
212.45,2018-10-11,09:49:00,211.45,Buy,DELTACORP,1.0,222.45,213.45,214.45,215.45,216.45,217.45,218.45,219.45,220.45,221.45,211.45,09:51:00,-2800.0,Stoploss Hit,,,,,,,,,,,,2800,Thu,Oct,10390.3,10348.05,Up,00:02:00
226.0,2018-10-15,11:50:00,225.05,Buy,DELTACORP,0.95,235.5,226.95,227.9,228.85,229.8,230.75,231.7,232.65,233.6,234.55,225.05,12:16:00,-2660.0,Stoploss Hit,,,,,,,,,,,,2800,Mon,Oct,10524.2,10472.5,Up,00:26:00
244.0,2018-10-16,10:19:00,242.15,Buy,DELTACORP,1.85,262.5,245.85,247.7,249.55,251.4,253.25,255.1,256.95,258.8,260.65,242.15,10:35:00,-5180.0,Stoploss Hit,,,,,,,,,,,,2800,Tue,Oct,10784.5,10791.55,Down,00:16:00
227.5,2018-10-19,10:02:00,226.0,Buy,DELTACORP,1.5,242.5,229.0,230.5,232.0,233.5,235.0,236.5,238.0,239.5,241.0,226.0,10:18:00,-4200.0,Stoploss Hit,,,,,,,,,,,,2800,Fri,Oct,10278.15,10146.8,Up,00:16:00
218.55,2018-10-23,10:07:00,218.55,Buy,DELTACORP,1.5,233.55,220.05,221.55,223.05,224.55,226.05,227.55,229.05,230.55,232.05,218.55,10:46:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2800,Tue,Oct,10152.6,10245.25,Down,00:39:00
226.3,2018-10-29,11:25:00,227.4,Buy,DELTACORP,1.1,237.3,227.4,228.5,229.6,230.7,231.8,232.9,234.0,235.1,236.2,229.55,15:00:00,9100.0,Market Exit,1to1 trail,,,,,,,,,,,2800,Mon,Oct,10462.3,10380.45,Up,03:35:00
249.6,2018-11-02,11:57:00,249.6,Buy,DELTACORP,0.95,259.1,250.55,251.5,252.45,253.4,254.35,255.3,256.25,257.2,258.15,249.6,14:18:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2800,Fri,Nov,10558.75,10553.0,Up,02:21:00
249.75,2018-11-05,10:50:00,249.75,Sell,DELTACORP,,241.5,,,,,,,,,,249.0,10:50:00,-2100.0,Stoploss Hit,,248.25,247.5,246.75,246.0,245.25,244.5,243.75,243.0,242.25,0.75,2800,Mon,Nov,10462.3,10380.45,Up,00:00:00
240.1,2018-11-09,09:47:00,240.1,Sell,DELTACORP,,234.2,,,,,,,,,,243.7,09:52:00,10080.0,Stoploss Hit,Breakeven,242.75,241.8,240.85,239.9,238.95,238.0,237.05,236.1,235.15,0.95,2800,Fri,Nov,10607.8,10585.2,Up,1899-12-29 23:55:00
240.1,2018-11-12,09:57:00,240.1,Sell,DELTACORP,,234.6,,,,,,,,,,240.1,09:52:00,0.0,Stoploss Hit,Breakeven,239.55,239.0,238.45,237.9,237.35,236.8,236.25,235.7,235.15,0.55,2800,Mon,Nov,10607.8,10585.2,Up,00:05:00
