buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
1153.65,2018-08-01,09:52:00,1153.65,Buy,DIVISLAB,5.8,1211.65,1159.45,1165.25,1171.05,1176.85,1182.65,1188.45,1194.25,1200.05,1205.85,1165.15,15:00:00,1725.0,Market Exit,Breakeven,,,,,,,,,,,150,Wed,Aug,11359.8,11356.5,Up,05:08:00
1190.6,2018-08-03,11:03:00,1190.6,Sell,DIVISLAB,,1179.8,,,,,,,,,,1191.8,10:56:00,180.0,Stoploss Hit,1to1 Trail,1190.6,1189.4,1188.2,1187.0,1185.8,1184.6,1183.4,1182.2,1181.0,1.2,150,Fri,Aug,11401.5,11360.8,Up,00:07:00
1300.05,2018-08-24,09:48:00,1293.95,Buy,DIVISLAB,6.1,1361.05,1306.15,1312.25,1318.35,1324.45,1330.55,1336.65,1342.75,1348.85,1354.95,1293.95,09:58:00,-915.0,Stoploss Hit,,,,,,,,,,,,150,Fri,Aug,11605.85,11557.1,Up,00:10:00
1294.9,2018-09-06,09:49:00,1306.3,Buy,DIVISLAB,3.8,1332.9,1298.7,1302.5,1306.3,1310.1,1313.9,1317.7,1321.5,1325.3,1329.1,1313.95,15:00:00,2857.5,Market Exit,1to3 trail,,,,,,,,,,,150,Thu,Sep,11340.1,11287.5,Up,05:11:00
1376.0,2018-09-18,09:58:00,1376.0,Buy,DIVISLAB,6.0,1436.0,1382.0,1388.0,1394.0,1400.0,1406.0,1412.0,1418.0,1424.0,1430.0,1376.0,11:03:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,150,Tue,Sep,10754.7,10858.25,Down,01:05:00
1387.7,2018-09-19,11:27:00,1387.7,Sell,DIVISLAB,,1300.25,,,,,,,,,,1379.75,11:11:00,-1192.5,Stoploss Hit,,1371.8,1363.85,1355.9,1347.95,1340.0,1332.05,1324.1,1316.15,1308.2,7.95,150,Wed,Sep,11271.3,11234.35,Up,00:16:00
1386.0,2018-09-21,12:41:00,1386.0,Sell,DIVISLAB,,1353.0,,,,,,,,,,1383.0,12:39:00,-450.0,Stoploss Hit,,1380.0,1377.0,1374.0,1371.0,1368.0,1365.0,1362.0,1359.0,1356.0,3.0,150,Fri,Sep,11164.4,11143.1,Up,00:02:00
1293.55,2018-10-19,15:00:00,1293.55,Sell,DIVISLAB,,1246.55,,,,,,,,,,1293.55,12:23:00,0.0,Stoploss Hit,Breakeven,1288.85,1284.15,1279.45,1274.75,1270.05,1265.35,1260.65,1255.95,1251.25,4.7,150,Fri,Oct,10152.6,10245.25,Down,02:37:00
1292.3,2018-10-22,12:12:00,1292.3,Sell,DIVISLAB,,1212.0,,,,,,,,,,1285.0,11:31:00,-1095.0,Stoploss Hit,,1277.7,1270.4,1263.1,1255.8,1248.5,1241.2,1233.9,1226.6,1219.3,7.3,150,Mon,Oct,10135.05,10224.75,Down,00:41:00
1435.0,2018-10-29,10:50:00,1423.95,Buy,DIVISLAB,11.05,1545.5,1446.05,1457.1,1468.15,1479.2,1490.25,1501.3,1512.35,1523.4,1534.45,1423.95,11:03:00,-1657.5,Stoploss Hit,,,,,,,,,,,,150,Mon,Oct,10239.4,10250.85,Down,00:13:00
1487.9,2018-11-01,10:20:00,1479.75,Buy,DIVISLAB,8.15,1569.4,1496.05,1504.2,1512.35,1520.5,1528.65,1536.8,1544.95,1553.1,1561.25,1479.75,11:43:00,-1222.5,Stoploss Hit,,,,,,,,,,,,150,Thu,Nov,10441.7,10386.6,Up,01:23:00
