buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
548.36,2018-08-01,12:58:00,548.36,Sell,DIXON,,537.58,,,,,,,,,,547.38,12:58:00,-122.5,Stoploss Hit,,546.4,545.42,544.44,543.46,542.48,541.5,540.52,539.54,538.56,0.98,125,Wed,Aug,11359.8,11356.5,Up,00:00:00
536.73,2018-08-07,09:46:00,536.73,Sell,DIXON,,531.36,,,,,,,,,,549.26,09:53:00,1566.25,Stoploss Hit,1to7 Trail,547.47,545.68,543.89,542.1,540.31,538.52,536.73,534.94,533.15,1.79,125,Tue,Aug,11412.5,11389.45,Up,1899-12-29 23:53:00
527.6,2018-08-09,09:59:00,527.6,Sell,DIXON,,527.0,,,,,,,,,,529.0,09:57:00,175.0,Stoploss Hit,1to7 Trail,528.8,528.6,528.4,528.2,528.0,527.8,527.6,527.4,527.2,0.2,125,Thu,Aug,11493.25,11450.0,Up,00:02:00
499.8,2018-08-17,13:46:00,496.0,Buy,DIXON,3.8,537.8,503.6,507.4,511.2,515.0,518.8,522.6,526.4,530.2,534.0,496.0,13:46:00,-475.0,Stoploss Hit,,,,,,,,,,,,125,Fri,Aug,11437.15,11385.05,Up,00:00:00
571.0,2018-09-04,09:52:00,571.0,Sell,DIXON,,562.2,,,,,,,,,,570.2,09:52:00,-100.0,Stoploss Hit,,569.4,568.6,567.8,567.0,566.2,565.4,564.6,563.8,563.0,0.8,125,Tue,Sep,11694.75,11691.9,Up,00:00:00
550.2,2018-09-10,10:23:00,550.2,Sell,DIXON,,536.12,,,,,,,,,,548.92,09:57:00,-160.0,Stoploss Hit,,547.64,546.36,545.08,543.8,542.52,541.24,539.96,538.68,537.4,1.28,125,Mon,Sep,11570.25,11589.1,Down,00:26:00
542.0,2018-09-12,10:54:00,542.0,Sell,DIXON,,500.97,,,,,,,,,,538.27,09:59:00,-466.25,Stoploss Hit,,534.54,530.81,527.08,523.35,519.62,515.89,512.16,508.43,504.7,3.73,125,Wed,Sep,11558.25,11536.9,Up,00:55:00
535.0,2018-09-17,10:38:00,534.0,Buy,DIXON,1.0,545.0,536.0,537.0,538.0,539.0,540.0,541.0,542.0,543.0,544.0,534.0,11:22:00,-125.0,Stoploss Hit,,,,,,,,,,,,125,Mon,Sep,11464.95,11515.2,Down,00:44:00
510.36,2018-09-24,12:29:00,510.36,Sell,DIXON,,493.96,,,,,,,,,,510.36,12:04:00,0.0,Stoploss Hit,Breakeven,508.72,507.08,505.44,503.8,502.16,500.52,498.88,497.24,495.6,1.64,125,Mon,Sep,11164.4,11143.1,Up,00:25:00
508.8,2018-10-01,11:01:00,508.8,Sell,DIXON,,503.4,,,,,,,,,,509.4,10:37:00,75.0,Stoploss Hit,1to1 Trail,508.8,508.2,507.6,507.0,506.4,505.8,505.2,504.6,504.0,0.6,125,Mon,Oct,10930.9,10930.45,Up,00:24:00
