buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
190.95,2018-08-09,09:49:00,193.8,Buy,DLF,0.95,200.45,191.9,192.85,193.8,194.75,195.7,196.65,197.6,198.55,199.5,193.8,14:47:00,4702.5,Stoploss Hit,1to3 trail,,,,,,,,,,,1650,Thu,Aug,11474.95,11470.7,Up,04:58:00
213.2,2018-08-24,09:54:00,213.2,Buy,DLF,0.9,222.2,214.1,215.0,215.9,216.8,217.7,218.6,219.5,220.4,221.3,213.2,10:19:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1650,Fri,Aug,11605.85,11557.1,Up,00:25:00
214.8,2018-08-27,10:08:00,214.8,Buy,DLF,1.3,227.8,216.1,217.4,218.7,220.0,221.3,222.6,223.9,225.2,226.5,214.8,13:02:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1650,Mon,Aug,11731.95,11691.95,Up,02:54:00
205.6,2018-09-07,10:11:00,205.6,Buy,DLF,0.95,215.1,206.55,207.5,208.45,209.4,210.35,211.3,212.25,213.2,214.15,205.6,10:31:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1650,Fri,Sep,11514.85,11520.3,Down,00:20:00
196.1,2018-09-12,10:22:00,196.1,Sell,DLF,,188.6,,,,,,,,,,196.1,09:51:00,0.0,Stoploss Hit,Breakeven,195.35,194.6,193.85,193.1,192.35,191.6,190.85,190.1,189.35,0.75,1650,Wed,Sep,11558.25,11536.9,Up,00:31:00
209.85,2018-09-17,10:09:00,209.85,Buy,DLF,1.15,221.35,211.0,212.15,213.3,214.45,215.6,216.75,217.9,219.05,220.2,212.55,15:00:00,4455.0,Market Exit,Breakeven,,,,,,,,,,,1650,Mon,Sep,11464.95,11515.2,Down,04:51:00
204.65,2018-09-21,09:55:00,203.3,Buy,DLF,1.35,218.15,206.0,207.35,208.7,210.05,211.4,212.75,214.1,215.45,216.8,203.3,10:15:00,-2227.5,Stoploss Hit,,,,,,,,,,,,1650,Fri,Sep,11381.55,11377.75,Up,00:20:00
181.3,2018-09-26,10:02:00,179.9,Buy,DLF,1.4,195.3,182.7,184.1,185.5,186.9,188.3,189.7,191.1,192.5,193.9,179.9,10:13:00,-2310.0,Stoploss Hit,,,,,,,,,,,,1650,Wed,Sep,11145.55,11067.45,Up,00:11:00
172.25,2018-09-27,12:20:00,172.25,Sell,DLF,,169.25,,,,,,,,,,179.25,10:21:00,11550.0,Stoploss Hit,1to7 Trail,178.25,177.25,176.25,175.25,174.25,173.25,172.25,171.25,170.25,1.0,1650,Thu,Sep,10135.05,10224.75,Down,01:59:00
179.6,2018-11-21,13:15:00,178.4,Buy,DLF,1.2,191.6,180.8,182.0,183.2,184.4,185.6,186.8,188.0,189.2,190.4,178.4,13:37:00,-1980.0,Stoploss Hit,,,,,,,,,,,,1650,Wed,Nov,10670.95,10656.2,Up,00:22:00
180.2,2018-12-04,10:07:00,179.2,Buy,DLF,1.0,190.2,181.2,182.2,183.2,184.2,185.2,186.2,187.2,188.2,189.2,179.2,10:20:00,-1650.0,Stoploss Hit,,,,,,,,,,,,1650,Tue,Dec,10708.75,10685.6,Up,00:13:00
166.95,2018-12-07,11:32:00,166.95,Sell,DLF,,159.8,,,,,,,,,,166.3,10:32:00,-1072.5,Stoploss Hit,,165.65,165.0,164.35,163.7,163.05,162.4,161.75,161.1,160.45,0.65,1650,Fri,Dec,10568.3,10526.75,Up,01:00:00
169.75,2018-12-11,11:20:00,168.5,Buy,DLF,1.25,182.25,171.0,172.25,173.5,174.75,176.0,177.25,178.5,179.75,181.0,168.5,12:08:00,-2062.5,Stoploss Hit,,,,,,,,,,,,1650,Tue,Dec,10808.7,10728.85,Up,00:48:00
178.0,2018-12-13,09:57:00,178.0,Buy,DLF,0.65,184.5,178.65,179.3,179.95,180.6,181.25,181.9,182.55,183.2,183.85,178.0,10:08:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,1650,Thu,Dec,10350.05,10488.45,Down,00:11:00
