buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
2247.4,2018-08-14,10:14:00,2247.4,Sell,DRREDDY,,2188.55,,,,,,,,,,2242.05,10:09:00,-668.75,Stoploss Hit,,2236.7,2231.35,2226.0,2220.65,2215.3,2209.95,2204.6,2199.25,2193.9,5.35,125,Tue,Aug,11381.7,11355.75,Up,00:05:00
2299.0,2018-08-16,10:28:00,2315.8,Buy,DRREDDY,8.4,2383.0,2307.4,2315.8,2324.2,2332.6,2341.0,2349.4,2357.8,2366.2,2374.6,2339.25,15:00:00,5031.25,Market Exit,1to2 trail,,,,,,,,,,,125,Thu,Aug,11381.7,11355.75,Up,04:32:00
2403.65,2018-08-28,09:47:00,2403.65,Sell,DRREDDY,,2317.1,,,,,,,,,,2446.6,11:09:00,5368.75,Stoploss Hit,Breakeven,2433.65,2420.7,2407.75,2394.8,2381.85,2368.9,2355.95,2343.0,2330.05,12.95,125,Tue,Aug,11675.85,11676.8,Down,1899-12-29 22:38:00
2396.2,2018-08-30,09:46:00,2396.2,Buy,DRREDDY,4.15,2437.7,2400.35,2404.5,2408.65,2412.8,2416.95,2421.1,2425.25,2429.4,2433.55,2396.2,09:56:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,125,Thu,Aug,11694.75,11691.9,Up,00:10:00
2575.95,2018-09-07,09:53:00,2601.25,Buy,DRREDDY,12.65,2702.45,2588.6,2601.25,2613.9,2626.55,2639.2,2651.85,2664.5,2677.15,2689.8,2632.1,15:00:00,7018.75,Market Exit,1to2 trail,,,,,,,,,,,125,Fri,Sep,11558.25,11536.9,Up,05:07:00
2546.25,2018-09-11,09:47:00,2546.25,Sell,DRREDDY,,2424.25,,,,,,,,,,2546.25,09:46:00,0.0,Stoploss Hit,Breakeven,2534.05,2521.85,2509.65,2497.45,2485.25,2473.05,2460.85,2448.65,2436.45,12.2,125,Tue,Sep,11443.5,11369.9,Up,00:01:00
2535.25,2018-09-12,10:22:00,2535.25,Sell,DRREDDY,,2433.5,,,,,,,,,,2526.0,10:05:00,-1156.25,Stoploss Hit,,2516.75,2507.5,2498.25,2489.0,2479.75,2470.5,2461.25,2452.0,2442.75,9.25,125,Wed,Sep,11340.1,11287.5,Up,00:17:00
2576.45,2018-09-14,10:03:00,2576.45,Buy,DRREDDY,9.15,2667.95,2585.6,2594.75,2603.9,2613.05,2622.2,2631.35,2640.5,2649.65,2658.8,2576.45,11:33:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,125,Fri,Sep,11443.5,11369.9,Up,01:30:00
2605.0,2018-09-17,10:03:00,2605.0,Buy,DRREDDY,4.0,2645.0,2609.0,2613.0,2617.0,2621.0,2625.0,2629.0,2633.0,2637.0,2641.0,2605.0,10:29:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,125,Mon,Sep,11271.3,11234.35,Up,00:26:00
2613.9,2018-09-18,10:03:00,2613.9,Buy,DRREDDY,3.9,2652.9,2617.8,2621.7,2625.6,2629.5,2633.4,2637.3,2641.2,2645.1,2649.0,2613.9,10:10:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,125,Tue,Sep,11326.65,11278.9,Up,00:07:00
2397.8,2018-10-05,09:51:00,2382.0,Buy,DRREDDY,15.8,2555.8,2413.6,2429.4,2445.2,2461.0,2476.8,2492.6,2508.4,2524.2,2540.0,2382.0,10:14:00,-1975.0,Stoploss Hit,,,,,,,,,,,,125,Fri,Oct,10514.1,10599.25,Down,00:23:00
2366.0,2018-10-09,10:05:00,2366.0,Buy,DRREDDY,3.35,2399.5,2369.35,2372.7,2376.05,2379.4,2382.75,2386.1,2389.45,2392.8,2396.15,2366.0,10:18:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,125,Tue,Oct,10169.8,10460.1,Down,00:13:00
2466.25,2018-10-10,13:00:00,2466.25,Sell,DRREDDY,,2397.5,,,,,,,,,,2460.0,12:55:00,-781.25,Stoploss Hit,,2453.75,2447.5,2441.25,2435.0,2428.75,2422.5,2416.25,2410.0,2403.75,6.25,125,Wed,Oct,10550.15,10512.5,Up,00:05:00
2466.95,2018-10-12,10:06:00,2466.95,Sell,DRREDDY,,2390.5,,,,,,,,,,2460.0,10:03:00,-868.75,Stoploss Hit,,2453.05,2446.1,2439.15,2432.2,2425.25,2418.3,2411.35,2404.4,2397.45,6.95,125,Fri,Oct,10152.6,10245.25,Down,00:03:00
2556.0,2018-10-16,10:08:00,2556.0,Sell,DRREDDY,,2490.0,,,,,,,,,,2550.0,10:07:00,-750.0,Stoploss Hit,,2544.0,2538.0,2532.0,2526.0,2520.0,2514.0,2508.0,2502.0,2496.0,6.0,125,Tue,Oct,10152.6,10245.25,Down,00:01:00
2557.2,2018-10-19,13:28:00,2557.2,Sell,DRREDDY,,2310.8,,,,,,,,,,2534.8,09:49:00,-2800.0,Stoploss Hit,,2512.4,2490.0,2467.6,2445.2,2422.8,2400.4,2378.0,2355.6,2333.2,22.4,125,Fri,Oct,10339.7,10453.05,Down,03:39:00
2558.6,2018-10-22,10:33:00,2558.6,Sell,DRREDDY,,2494.6,,,,,,,,,,2558.6,09:46:00,0.0,Stoploss Hit,Breakeven,2552.2,2545.8,2539.4,2533.0,2526.6,2520.2,2513.8,2507.4,2501.0,6.4,125,Mon,Oct,10135.05,10224.75,Down,00:47:00
