buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
269.88,2018-08-03,11:41:00,269.88,Sell,EICHERMOT,,268.26,,,,,,,,,,270.06,11:26:00,31.5,Stoploss Hit,1to1 Trail,269.88,269.7,269.52,269.34,269.16,268.98,268.8,268.62,268.44,0.18,175,Fri,Aug,11297.8,11244.7,Up,00:15:00
270.78,2018-08-07,11:16:00,270.78,Sell,EICHERMOT,,266.6,,,,,,,,,,270.4,11:14:00,-66.5,Stoploss Hit,,270.02,269.64,269.26,268.88,268.5,268.12,267.74,267.36,266.98,0.38,175,Tue,Aug,11751.8,11680.5,Up,00:02:00
275.12,2018-08-08,14:44:00,275.12,Sell,EICHERMOT,,271.12,,,,,,,,,,275.12,11:57:00,0.0,Stoploss Hit,Breakeven,274.72,274.32,273.92,273.52,273.12,272.72,272.32,271.92,271.52,0.4,175,Wed,Aug,11412.5,11389.45,Up,02:47:00
286.2,2018-08-10,12:03:00,287.1,Buy,EICHERMOT,0.9,295.2,287.1,288.0,288.9,289.8,290.7,291.6,292.5,293.4,294.3,289.2,15:00:00,525.0,Market Exit,1to1 trail,,,,,,,,,,,175,Fri,Aug,11369.6,11429.5,Down,02:57:00
284.36,2018-08-13,12:17:00,284.36,Sell,EICHERMOT,,280.56,,,,,,,,,,284.36,11:22:00,0.0,Stoploss Hit,Breakeven,283.98,283.6,283.22,282.84,282.46,282.08,281.7,281.32,280.94,0.38,175,Mon,Aug,11369.6,11429.5,Down,00:55:00
287.41,2018-08-24,09:53:00,287.41,Buy,EICHERMOT,0.73,294.71,288.14,288.87,289.6,290.33,291.06,291.79,292.52,293.25,293.98,287.41,12:14:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,175,Fri,Aug,11566.6,11582.75,Down,02:21:00
286.55,2018-08-28,09:48:00,286.55,Sell,EICHERMOT,,279.95,,,,,,,,,,288.35,11:35:00,315.0,Stoploss Hit,Breakeven,287.51,286.67,285.83,284.99,284.15,283.31,282.47,281.63,280.79,0.84,175,Tue,Aug,11694.75,11691.9,Up,1899-12-29 22:13:00
289.24,2018-09-07,10:16:00,288.33,Buy,EICHERMOT,0.91,298.34,290.15,291.06,291.97,292.88,293.79,294.7,295.61,296.52,297.43,288.33,11:21:00,-159.25,Stoploss Hit,,,,,,,,,,,,175,Fri,Sep,11514.15,11476.95,Up,01:05:00
281.48,2018-09-12,09:56:00,281.48,Sell,EICHERMOT,,272.9,,,,,,,,,,280.7,09:54:00,-136.5,Stoploss Hit,,279.92,279.14,278.36,277.58,276.8,276.02,275.24,274.46,273.68,0.78,175,Wed,Sep,11558.25,11536.9,Up,00:02:00
234.04,2018-10-01,11:53:00,234.04,Sell,EICHERMOT,,222.6,,,,,,,,,,233.0,11:44:00,-182.0,Stoploss Hit,,231.96,230.92,229.88,228.84,227.8,226.76,225.72,224.68,223.64,1.04,175,Mon,Oct,10969.95,10967.4,Up,00:09:00
215.02,2018-10-05,13:28:00,215.02,Sell,EICHERMOT,,206.22,,,,,,,,,,215.02,12:52:00,0.0,Stoploss Hit,Breakeven,214.14,213.26,212.38,211.5,210.62,209.74,208.86,207.98,207.1,0.88,175,Fri,Oct,10514.1,10599.25,Down,00:36:00
219.29,2018-10-11,10:07:00,220.87,Buy,EICHERMOT,0.79,227.19,220.08,220.87,221.66,222.45,223.24,224.03,224.82,225.61,226.4,220.87,11:28:00,276.5,Stoploss Hit,1to2 trail,,,,,,,,,,,175,Thu,Oct,10514.1,10599.25,Down,01:21:00
