buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
902.3,2018-08-01,11:54:00,902.3,Sell,ESCORTS,,847.85,,,,,,,,,,897.35,11:38:00,-1361.25,Stoploss Hit,,892.4,887.45,882.5,877.55,872.6,867.65,862.7,857.75,852.8,4.95,275,Wed,Aug,11359.8,11356.5,Up,00:16:00
911.25,2018-08-03,10:05:00,908.05,Buy,ESCORTS,3.2,943.25,914.45,917.65,920.85,924.05,927.25,930.45,933.65,936.85,940.05,908.05,10:10:00,-880.0,Stoploss Hit,,,,,,,,,,,,275,Fri,Aug,11401.5,11360.8,Up,00:05:00
860.4,2018-08-13,10:44:00,860.4,Buy,ESCORTS,1.9,879.4,862.3,864.2,866.1,868.0,869.9,871.8,873.7,875.6,877.5,860.4,10:53:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,275,Mon,Aug,11474.95,11470.7,Up,00:09:00
864.7,2018-08-14,09:49:00,862.3,Buy,ESCORTS,2.4,888.7,867.1,869.5,871.9,874.3,876.7,879.1,881.5,883.9,886.3,862.3,09:56:00,-660.0,Stoploss Hit,,,,,,,,,,,,275,Tue,Aug,11369.6,11429.5,Down,00:07:00
893.9,2018-08-24,09:56:00,890.6,Buy,ESCORTS,3.3,926.9,897.2,900.5,903.8,907.1,910.4,913.7,917.0,920.3,923.6,890.6,10:03:00,-907.5,Stoploss Hit,,,,,,,,,,,,275,Fri,Aug,11731.95,11691.95,Up,00:07:00
891.95,2018-08-27,12:16:00,891.95,Sell,ESCORTS,,866.45,,,,,,,,,,891.95,09:51:00,0.0,Stoploss Hit,Breakeven,889.4,886.85,884.3,881.75,879.2,876.65,874.1,871.55,869.0,2.55,275,Mon,Aug,11731.95,11691.95,Up,02:25:00
892.0,2018-08-30,10:17:00,892.0,Sell,ESCORTS,,863.4,,,,,,,,,,889.4,09:53:00,-715.0,Stoploss Hit,,886.8,884.2,881.6,879.0,876.4,873.8,871.2,868.6,866.0,2.6,275,Thu,Aug,11675.85,11676.8,Down,00:24:00
866.75,2018-08-31,14:31:00,866.75,Sell,ESCORTS,,861.05,,,,,,,,,,880.05,10:05:00,3657.5,Stoploss Hit,1to7 Trail,878.15,876.25,874.35,872.45,870.55,868.65,866.75,864.85,862.95,1.9,275,Fri,Aug,12174.55,12180.35,Down,04:26:00
887.55,2020-02-13,09:46:00,884.5,Buy,ESCORTS,3.05,918.05,890.6,893.65,896.7,899.75,902.8,905.85,908.9,911.95,915.0,884.5,09:48:00,-838.75,Stoploss Hit,,,,,,,,,,,,275,Thu,Feb,12190.15,12174.65,Up,00:02:00
878.0,2020-02-18,12:02:00,878.0,Sell,ESCORTS,,860.0,,,,,,,,,,878.0,10:02:00,0.0,Stoploss Hit,Breakeven,876.2,874.4,872.6,870.8,869.0,867.2,865.4,863.6,861.8,1.8,275,Tue,Feb,12119.0,12125.9,Down,02:00:00
833.9,2020-02-26,10:15:00,830.2,Buy,ESCORTS,3.7,870.9,837.6,841.3,845.0,848.7,852.4,856.1,859.8,863.5,867.2,830.2,10:35:00,-1017.5,Stoploss Hit,,,,,,,,,,,,275,Wed,Feb,11382.0,11633.3,Down,00:20:00
