buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
284.5,2018-08-10,10:29:00,284.5,Buy,EXIDEIND,0.55,290.0,285.05,285.6,286.15,286.7,287.25,287.8,288.35,288.9,289.45,284.5,11:01:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,3600,Fri,Aug,11474.95,11470.7,Up,00:32:00
289.9,2018-08-13,09:48:00,289.9,Buy,EXIDEIND,1.0,299.9,290.9,291.9,292.9,293.9,294.9,295.9,296.9,297.9,298.9,289.9,14:33:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,3600,Mon,Aug,11369.6,11429.5,Down,04:45:00
293.85,2018-08-20,10:00:00,293.85,Buy,EXIDEIND,0.5,298.85,294.35,294.85,295.35,295.85,296.35,296.85,297.35,297.85,298.35,293.85,10:09:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,3600,Mon,Aug,11437.15,11385.05,Up,00:09:00
295.9,2018-08-21,13:20:00,295.9,Sell,EXIDEIND,,286.0,,,,,,,,,,295.0,11:10:00,-3240.0,Stoploss Hit,,294.1,293.2,292.3,291.4,290.5,289.6,288.7,287.8,286.9,0.9,3600,Tue,Aug,11437.15,11385.05,Up,02:10:00
287.35,2018-08-31,09:46:00,287.35,Buy,EXIDEIND,0.75,294.85,288.1,288.85,289.6,290.35,291.1,291.85,292.6,293.35,294.1,287.35,10:08:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,3600,Fri,Aug,11744.95,11738.5,Up,00:22:00
273.3,2018-09-05,10:08:00,273.3,Sell,EXIDEIND,,265.05,,,,,,,,,,272.55,10:04:00,-2700.0,Stoploss Hit,,271.8,271.05,270.3,269.55,268.8,268.05,267.3,266.55,265.8,0.75,3600,Wed,Sep,11598.75,11582.35,Up,00:04:00
278.55,2018-09-10,09:56:00,278.55,Sell,EXIDEIND,,273.05,,,,,,,,,,278.05,09:54:00,-1800.0,Stoploss Hit,,277.55,277.05,276.55,276.05,275.55,275.05,274.55,274.05,273.55,0.5,3600,Mon,Sep,11570.25,11589.1,Down,00:02:00
272.85,2018-09-11,10:00:00,272.1,Buy,EXIDEIND,0.75,280.35,273.6,274.35,275.1,275.85,276.6,277.35,278.1,278.85,279.6,272.1,10:06:00,-2700.0,Stoploss Hit,,,,,,,,,,,,3600,Tue,Sep,11476.85,11438.1,Up,00:06:00
265.5,2018-09-12,11:30:00,265.5,Sell,EXIDEIND,,253.5,,,,,,,,,,265.5,09:54:00,0.0,Stoploss Hit,Breakeven,264.3,263.1,261.9,260.7,259.5,258.3,257.1,255.9,254.7,1.2,3600,Wed,Sep,11570.25,11589.1,Down,01:36:00
267.55,2018-09-21,10:55:00,267.55,Sell,EXIDEIND,,256.55,,,,,,,,,,266.55,10:13:00,-3600.0,Stoploss Hit,,265.55,264.55,263.55,262.55,261.55,260.55,259.55,258.55,257.55,1.0,3600,Fri,Sep,11464.95,11515.2,Down,00:42:00
263.45,2018-09-24,10:10:00,263.45,Sell,EXIDEIND,,255.2,,,,,,,,,,262.7,10:07:00,-2700.0,Stoploss Hit,,261.95,261.2,260.45,259.7,258.95,258.2,257.45,256.7,255.95,0.75,3600,Mon,Sep,11271.3,11234.35,Up,00:03:00
271.8,2018-09-27,09:58:00,271.8,Sell,EXIDEIND,,263.0,,,,,,,,,,271.0,09:55:00,-2880.0,Stoploss Hit,,270.2,269.4,268.6,267.8,267.0,266.2,265.4,264.6,263.8,0.8,3600,Thu,Sep,11079.8,11053.8,Up,00:03:00
267.6,2018-10-03,09:47:00,265.9,Buy,EXIDEIND,1.7,284.6,269.3,271.0,272.7,274.4,276.1,277.8,279.5,281.2,282.9,265.9,10:22:00,-6120.0,Stoploss Hit,,,,,,,,,,,,3600,Wed,Oct,10982.7,11008.3,Down,00:35:00
258.65,2018-10-19,10:02:00,258.65,Sell,EXIDEIND,,243.65,,,,,,,,,,258.65,09:55:00,0.0,Stoploss Hit,Breakeven,257.15,255.65,254.15,252.65,251.15,249.65,248.15,246.65,245.15,1.5,3600,Fri,Oct,10550.15,10512.5,Up,00:07:00
