buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
128.95,2018-08-03,10:20:00,128.95,Sell,INDHOTEL,,125.1,,,,,,,,,,128.6,10:19:00,-700.0,Stoploss Hit,,128.25,127.9,127.55,127.2,126.85,126.5,126.15,125.8,125.45,0.35,2000,Fri,Aug,11401.5,11360.8,Up,00:01:00
125.2,2018-08-14,15:25:00,125.2,Sell,INDHOTEL,,124.0,,,,,,,,,,126.0,09:58:00,1600.0,Stoploss Hit,1to4 Trail,125.8,125.6,125.4,125.2,125.0,124.8,124.6,124.4,124.2,0.2,2000,Tue,Aug,11381.7,11355.75,Up,05:27:00
127.35,2018-08-21,12:11:00,127.35,Buy,INDHOTEL,0.55,132.85,127.9,128.45,129.0,129.55,130.1,130.65,131.2,131.75,132.3,128.85,15:00:00,3000.0,Market Exit,Breakeven,,,,,,,,,,,2000,Tue,Aug,11605.85,11557.1,Up,02:49:00
126.65,2018-08-24,10:10:00,126.65,Sell,INDHOTEL,,121.7,,,,,,,,,,126.2,09:56:00,-900.0,Stoploss Hit,,125.75,125.3,124.85,124.4,123.95,123.5,123.05,122.6,122.15,0.45,2000,Fri,Aug,11605.85,11557.1,Up,00:14:00
127.05,2018-08-29,11:05:00,127.05,Sell,INDHOTEL,,125.4,,,,,,,,,,126.9,11:04:00,-300.0,Stoploss Hit,,126.75,126.6,126.45,126.3,126.15,126.0,125.85,125.7,125.55,0.15,2000,Wed,Aug,11694.75,11691.9,Up,00:01:00
129.7,2018-08-30,09:46:00,131.8,Buy,INDHOTEL,0.35,133.2,130.05,130.4,130.75,131.1,131.45,131.8,132.15,132.5,132.85,131.8,09:50:00,4200.0,Stoploss Hit,1to6 trail,,,,,,,,,,,2000,Thu,Aug,11694.75,11691.9,Up,00:04:00
129.0,2018-09-11,11:07:00,128.6,Buy,INDHOTEL,0.4,133.0,129.4,129.8,130.2,130.6,131.0,131.4,131.8,132.2,132.6,128.6,11:28:00,-800.0,Stoploss Hit,,,,,,,,,,,,2000,Tue,Sep,11476.85,11438.1,Up,00:21:00
126.85,2018-09-12,11:55:00,126.85,Sell,INDHOTEL,,119.15,,,,,,,,,,126.15,09:57:00,-1400.0,Stoploss Hit,,125.45,124.75,124.05,123.35,122.65,121.95,121.25,120.55,119.85,0.7,2000,Wed,Sep,11464.95,11515.2,Down,01:58:00
128.5,2018-09-19,10:19:00,128.0,Buy,INDHOTEL,0.5,133.5,129.0,129.5,130.0,130.5,131.0,131.5,132.0,132.5,133.0,128.0,10:39:00,-1000.0,Stoploss Hit,,,,,,,,,,,,2000,Wed,Sep,11464.95,11515.2,Down,00:20:00
126.5,2018-09-26,11:07:00,125.8,Buy,INDHOTEL,0.7,133.5,127.2,127.9,128.6,129.3,130.0,130.7,131.4,132.1,132.8,126.05,15:00:00,-900.0,Market Exit,,,,,,,,,,,,2000,Wed,Sep,11079.8,11053.8,Up,03:53:00
