buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
119.15,2018-08-21,09:51:00,120.65,Buy,INDIACEM,0.75,126.65,119.9,120.65,121.4,122.15,122.9,123.65,124.4,125.15,125.9,122.15,15:00:00,8700.0,Market Exit,1to2 trail,,,,,,,,,,,2900,Tue,Aug,11576.2,11551.75,Up,05:09:00
126.5,2018-09-03,11:13:00,126.25,Buy,INDIACEM,0.25,129.0,126.75,127.0,127.25,127.5,127.75,128.0,128.25,128.5,128.75,126.25,11:29:00,-725.0,Stoploss Hit,,,,,,,,,,,,2900,Mon,Sep,11675.85,11676.8,Down,00:16:00
119.15,2018-09-06,10:41:00,119.15,Sell,INDIACEM,,110.35,,,,,,,,,,118.35,10:25:00,-2320.0,Stoploss Hit,,117.55,116.75,115.95,115.15,114.35,113.55,112.75,111.95,111.15,0.8,2900,Thu,Sep,11514.15,11476.95,Up,00:16:00
118.1,2018-09-07,10:06:00,117.5,Buy,INDIACEM,0.6,124.1,118.7,119.3,119.9,120.5,121.1,121.7,122.3,122.9,123.5,117.5,10:28:00,-1740.0,Stoploss Hit,,,,,,,,,,,,2900,Fri,Sep,11558.25,11536.9,Up,00:22:00
119.7,2018-09-14,09:46:00,119.15,Buy,INDIACEM,0.55,125.2,120.25,120.8,121.35,121.9,122.45,123.0,123.55,124.1,124.65,119.15,09:49:00,-1595.0,Stoploss Hit,,,,,,,,,,,,2900,Fri,Sep,11443.5,11369.9,Up,00:03:00
107.3,2018-09-24,10:14:00,107.3,Sell,INDIACEM,,102.8,,,,,,,,,,107.3,10:06:00,0.0,Stoploss Hit,Breakeven,106.85,106.4,105.95,105.5,105.05,104.6,104.15,103.7,103.25,0.45,2900,Mon,Sep,11271.3,11234.35,Up,00:08:00
101.45,2018-10-01,09:46:00,100.35,Buy,INDIACEM,1.1,112.45,102.55,103.65,104.75,105.85,106.95,108.05,109.15,110.25,111.35,100.35,09:50:00,-3190.0,Stoploss Hit,,,,,,,,,,,,2900,Mon,Oct,10930.9,10930.45,Up,00:04:00
99.25,2018-10-03,11:38:00,99.25,Sell,INDIACEM,,90.45,,,,,,,,,,98.45,11:18:00,-2320.0,Stoploss Hit,,97.65,96.85,96.05,95.25,94.45,93.65,92.85,92.05,91.25,0.8,2900,Wed,Oct,11145.55,11067.45,Up,00:20:00
98.45,2018-10-04,09:51:00,97.95,Buy,INDIACEM,0.5,103.45,98.95,99.45,99.95,100.45,100.95,101.45,101.95,102.45,102.95,97.95,09:55:00,-1450.0,Stoploss Hit,,,,,,,,,,,,2900,Thu,Oct,10754.7,10858.25,Down,00:04:00
94.2,2018-10-10,10:31:00,94.2,Buy,INDIACEM,0.65,100.7,94.85,95.5,96.15,96.8,97.45,98.1,98.75,99.4,100.05,94.2,12:52:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,2900,Wed,Oct,10169.8,10460.1,Down,02:21:00
