buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
965.35,2018-08-03,10:02:00,965.35,Buy,INDIGO,4.4,1009.35,969.75,974.15,978.55,982.95,987.35,991.75,996.15,1000.55,1004.95,965.35,12:50:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,300,Fri,Aug,11328.9,11346.2,Down,02:48:00
1049.85,2018-08-08,13:49:00,1049.85,Sell,INDIGO,,1002.0,,,,,,,,,,1045.5,13:47:00,-1305.0,Stoploss Hit,,1041.15,1036.8,1032.45,1028.1,1023.75,1019.4,1015.05,1010.7,1006.35,4.35,300,Wed,Aug,11423.15,11387.1,Up,00:02:00
1059.7,2018-08-14,10:21:00,1059.7,Buy,INDIGO,3.95,1099.2,1063.65,1067.6,1071.55,1075.5,1079.45,1083.4,1087.35,1091.3,1095.25,1059.7,10:26:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,300,Tue,Aug,11369.6,11429.5,Down,00:05:00
1054.0,2018-08-23,13:52:00,1054.0,Sell,INDIGO,,1038.5,,,,,,,,,,1054.0,13:37:00,0.0,Stoploss Hit,Breakeven,1052.45,1050.9,1049.35,1047.8,1046.25,1044.7,1043.15,1041.6,1040.05,1.55,300,Thu,Aug,11502.1,11470.75,Up,00:15:00
1052.0,2018-08-24,09:57:00,1043.75,Buy,INDIGO,8.25,1134.5,1060.25,1068.5,1076.75,1085.0,1093.25,1101.5,1109.75,1118.0,1126.25,1052.45,15:00:00,135.0,Market Exit,,,,,,,,,,,,300,Fri,Aug,11473.85,11426.85,Up,05:03:00
908.55,2018-09-10,10:21:00,906.5,Buy,INDIGO,2.05,929.05,910.6,912.65,914.7,916.75,918.8,920.85,922.9,924.95,927.0,906.5,10:24:00,-615.0,Stoploss Hit,,,,,,,,,,,,300,Mon,Sep,11514.15,11476.95,Up,00:03:00
880.3,2018-09-12,12:48:00,880.3,Sell,INDIGO,,823.1,,,,,,,,,,875.1,09:53:00,-1560.0,Stoploss Hit,,869.9,864.7,859.5,854.3,849.1,843.9,838.7,833.5,828.3,5.2,300,Wed,Sep,11570.25,11589.1,Down,02:55:00
893.0,2018-09-14,12:04:00,893.0,Sell,INDIGO,,863.0,,,,,,,,,,893.0,11:14:00,0.0,Stoploss Hit,Breakeven,890.0,887.0,884.0,881.0,878.0,875.0,872.0,869.0,866.0,3.0,300,Fri,Sep,11340.1,11287.5,Up,00:50:00
839.0,2018-09-27,09:59:00,832.7,Buy,INDIGO,6.3,902.0,845.3,851.6,857.9,864.2,870.5,876.8,883.1,889.4,895.7,832.7,11:19:00,-1890.0,Stoploss Hit,,,,,,,,,,,,300,Thu,Sep,11079.8,11053.8,Up,01:20:00
815.0,2018-10-01,09:47:00,805.0,Buy,INDIGO,10.0,915.0,825.0,835.0,845.0,855.0,865.0,875.0,885.0,895.0,905.0,805.0,09:51:00,-3000.0,Stoploss Hit,,,,,,,,,,,,300,Mon,Oct,11145.55,11067.45,Up,00:04:00
790.0,2018-10-03,11:52:00,783.5,Buy,INDIGO,6.5,855.0,796.5,803.0,809.5,816.0,822.5,829.0,835.5,842.0,848.5,783.5,12:06:00,-1950.0,Stoploss Hit,,,,,,,,,,,,300,Wed,Oct,11008.1,10977.55,Up,00:14:00
802.0,2018-10-12,11:12:00,798.35,Buy,INDIGO,3.65,838.5,805.65,809.3,812.95,816.6,820.25,823.9,827.55,831.2,834.85,798.35,11:13:00,-1095.0,Stoploss Hit,,,,,,,,,,,,300,Fri,Oct,10169.8,10460.1,Down,00:01:00
813.0,2018-10-24,11:36:00,813.0,Sell,INDIGO,,754.0,,,,,,,,,,813.0,10:01:00,0.0,Stoploss Hit,Breakeven,807.1,801.2,795.3,789.4,783.5,777.6,771.7,765.8,759.9,5.9,300,Wed,Oct,10278.15,10146.8,Up,01:35:00
882.0,2018-10-26,10:33:00,871.15,Buy,INDIGO,10.85,990.5,892.85,903.7,914.55,925.4,936.25,947.1,957.95,968.8,979.65,871.15,13:26:00,-3255.0,Stoploss Hit,,,,,,,,,,,,300,Fri,Oct,10558.75,10553.0,Up,02:53:00
979.8,2018-11-05,09:56:00,972.15,Buy,INDIGO,7.65,1056.3,987.45,995.1,1002.75,1010.4,1018.05,1025.7,1033.35,1041.0,1048.65,972.15,10:25:00,-2295.0,Stoploss Hit,,,,,,,,,,,,300,Mon,Nov,10552.0,10524.0,Up,00:29:00
1039.0,2018-11-14,10:25:00,1039.0,Buy,INDIGO,4.6,1085.0,1043.6,1048.2,1052.8,1057.4,1062.0,1066.6,1071.2,1075.8,1080.4,1039.0,13:19:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,300,Wed,Nov,10881.7,10862.55,Up,02:54:00
1040.0,2018-11-28,10:39:00,1036.1,Buy,INDIGO,3.9,1079.0,1043.9,1047.8,1051.7,1055.6,1059.5,1063.4,1067.3,1071.2,1075.1,1036.1,10:49:00,-1170.0,Stoploss Hit,,,,,,,,,,,,300,Wed,Nov,10644.0,10616.7,Up,00:10:00
1046.05,2018-11-29,10:05:00,1046.05,Sell,INDIGO,,1015.8,,,,,,,,,,1043.3,09:47:00,-825.0,Stoploss Hit,,1040.55,1037.8,1035.05,1032.3,1029.55,1026.8,1024.05,1021.3,1018.55,2.75,300,Thu,Nov,10820.45,10869.5,Down,00:18:00
1041.9,2018-11-30,10:31:00,1041.9,Sell,INDIGO,,1013.3,,,,,,,,,,1039.3,10:25:00,-780.0,Stoploss Hit,,1036.7,1034.1,1031.5,1028.9,1026.3,1023.7,1021.1,1018.5,1015.9,2.6,300,Fri,Nov,10892.1,10858.7,Up,00:06:00
1003.3,2018-12-03,09:46:00,1003.3,Sell,INDIGO,,994.0,,,,,,,,,,1025.0,10:00:00,6510.0,Stoploss Hit,1to7 Trail,1021.9,1018.8,1015.7,1012.6,1009.5,1006.4,1003.3,1000.2,997.1,3.1,300,Mon,Dec,10930.7,10876.75,Up,1899-12-29 23:46:00
1019.9,2018-12-07,10:19:00,1015.25,Buy,INDIGO,4.65,1066.4,1024.55,1029.2,1033.85,1038.5,1043.15,1047.8,1052.45,1057.1,1061.75,1015.25,10:21:00,-1395.0,Stoploss Hit,,,,,,,,,,,,300,Fri,Dec,10644.8,10601.15,Up,00:02:00
1011.6,2018-12-11,09:49:00,1006.2,Buy,INDIGO,5.4,1065.6,1017.0,1022.4,1027.8,1033.2,1038.6,1044.0,1049.4,1054.8,1060.2,1006.2,10:19:00,-1620.0,Stoploss Hit,,,,,,,,,,,,300,Tue,Dec,10350.05,10488.45,Down,00:30:00
1025.5,2018-12-12,13:30:00,1025.5,Sell,INDIGO,,974.9,,,,,,,,,,1020.9,12:11:00,-1380.0,Stoploss Hit,,1016.3,1011.7,1007.1,1002.5,997.9,993.3,988.7,984.1,979.5,4.6,300,Wed,Dec,10591.0,10549.15,Up,01:19:00
1137.0,2018-12-19,12:31:00,1137.0,Buy,INDIGO,2.15,1158.5,1139.15,1141.3,1143.45,1145.6,1147.75,1149.9,1152.05,1154.2,1156.35,1137.0,12:53:00,0.0,Stoploss Hit,Breakeven,,,,,,,,,,,300,Wed,Dec,10784.5,10791.55,Down,00:22:00
1153.9,2018-12-24,10:16:00,1153.9,Sell,INDIGO,,1122.55,,,,,,,,,,1151.05,09:54:00,-855.0,Stoploss Hit,,1148.2,1145.35,1142.5,1139.65,1136.8,1133.95,1131.1,1128.25,1125.4,2.85,300,Mon,Dec,10930.55,10908.7,Up,00:22:00
