buyprice,date,buytime,sl,type,stock,buyslpoints,tgt,buy1to1,buy1to2,buy1to3,buy1to4,buy1to5,buy1to6,buy1to7,buy1to8,buy1to9,sellprice,selltime,p&l,remarks,trail,sell1to1,sell1to2,sell1to3,sell1to4,sell1to5,sell1to6,sell1to7,sell1to8,sell1to9,sellslpoints,lot_size,day,month,nifty_open,nifty_prev_close,nifty_trend,trade_time
2019.15,2018-08-02,09:52:00,2022.5,Buy,INDUSINDBK,3.35,2052.65,2022.5,2025.85,2029.2,2032.55,2035.9,2039.25,2042.6,2045.95,2049.3,2029.4,15:00:00,4612.5,Market Exit,1to1 trail,,,,,,,,,,,450,Thu,Aug,11328.9,11346.2,Down,05:08:00
2034.85,2018-08-03,10:01:00,2031.8,Buy,INDUSINDBK,3.05,2065.35,2037.9,2040.95,2044.0,2047.05,2050.1,2053.15,2056.2,2059.25,2062.3,2031.8,10:05:00,-1372.5,Stoploss Hit,,,,,,,,,,,,450,Fri,Aug,11401.5,11360.8,Up,00:04:00
1980.9,2018-08-13,14:08:00,1980.9,Buy,INDUSINDBK,4.05,2021.4,1984.95,1989.0,1993.05,1997.1,2001.15,2005.2,2009.25,2013.3,2017.35,1992.75,15:00:00,5332.5,Market Exit,Breakeven,,,,,,,,,,,450,Mon,Aug,11369.6,11429.5,Down,00:52:00
1993.95,2018-08-17,09:54:00,1990.05,Buy,INDUSINDBK,3.9,2032.95,1997.85,2001.75,2005.65,2009.55,2013.45,2017.35,2021.25,2025.15,2029.05,1990.05,10:03:00,-1755.0,Stoploss Hit,,,,,,,,,,,,450,Fri,Aug,11566.6,11582.75,Down,00:09:00
1903.05,2018-09-03,10:25:00,1903.05,Sell,INDUSINDBK,,1851.9,,,,,,,,,,1898.4,10:01:00,-2092.5,Stoploss Hit,,1893.75,1889.1,1884.45,1879.8,1875.15,1870.5,1865.85,1861.2,1856.55,4.65,450,Mon,Sep,11751.8,11680.5,Up,00:24:00
1842.1,2018-09-05,14:21:00,1842.1,Sell,INDUSINDBK,,1775.55,,,,,,,,,,1836.05,09:49:00,-2722.5,Stoploss Hit,,1830.0,1823.95,1817.9,1811.85,1805.8,1799.75,1793.7,1787.65,1781.6,6.05,450,Wed,Sep,11570.25,11589.1,Down,04:32:00
1870.6,2018-09-06,10:04:00,1866.05,Buy,INDUSINDBK,4.55,1916.1,1875.15,1879.7,1884.25,1888.8,1893.35,1897.9,1902.45,1907.0,1911.55,1866.05,10:34:00,-2047.5,Stoploss Hit,,,,,,,,,,,,450,Thu,Sep,11514.15,11476.95,Up,00:30:00
1872.5,2018-09-07,13:02:00,1872.5,Sell,INDUSINDBK,,1814.75,,,,,,,,,,1867.25,11:07:00,-2362.5,Stoploss Hit,,1862.0,1856.75,1851.5,1846.25,1841.0,1835.75,1830.5,1825.25,1820.0,5.25,450,Fri,Sep,11558.25,11536.9,Up,01:55:00
1812.75,2018-09-12,13:00:00,1812.75,Sell,INDUSINDBK,,1785.25,,,,,,,,,,1812.75,12:38:00,0.0,Stoploss Hit,Breakeven,1810.0,1807.25,1804.5,1801.75,1799.0,1796.25,1793.5,1790.75,1788.0,2.75,450,Wed,Sep,11464.95,11515.2,Down,00:22:00
1864.25,2018-09-19,09:52:00,1864.25,Sell,INDUSINDBK,,1826.75,,,,,,,,,,1864.25,09:46:00,0.0,Stoploss Hit,Breakeven,1860.5,1856.75,1853.0,1849.25,1845.5,1841.75,1838.0,1834.25,1830.5,3.75,450,Wed,Sep,11464.95,11515.2,Down,00:06:00
1651.65,2018-09-25,10:07:00,1651.65,Sell,INDUSINDBK,,1633.5,,,,,,,,,,1650.0,10:06:00,-742.5,Stoploss Hit,,1648.35,1646.7,1645.05,1643.4,1641.75,1640.1,1638.45,1636.8,1635.15,1.65,450,Tue,Sep,11145.55,11067.45,Up,00:01:00
1711.35,2018-09-26,11:33:00,1709.95,Buy,INDUSINDBK,1.4,1725.35,1712.75,1714.15,1715.55,1716.95,1718.35,1719.75,1721.15,1722.55,1723.95,1709.95,11:46:00,-630.0,Stoploss Hit,,,,,,,,,,,,450,Wed,Sep,11145.55,11067.45,Up,00:13:00
1708.5,2018-09-27,10:05:00,1703.45,Buy,INDUSINDBK,5.05,1759.0,1713.55,1718.6,1723.65,1728.7,1733.75,1738.8,1743.85,1748.9,1753.95,1703.45,10:31:00,-2272.5,Stoploss Hit,,,,,,,,,,,,450,Thu,Sep,10390.3,10348.05,Up,00:26:00
1599.0,2018-10-09,11:02:00,1599.0,Sell,INDUSINDBK,,1560.5,,,,,,,,,,1599.0,10:42:00,0.0,Stoploss Hit,Breakeven,1595.15,1591.3,1587.45,1583.6,1579.75,1575.9,1572.05,1568.2,1564.35,3.85,450,Tue,Oct,10169.8,10460.1,Down,00:20:00
1549.1,2018-10-22,13:03:00,1549.1,Sell,INDUSINDBK,,1517.6,,,,,,,,,,1570.1,09:55:00,9450.0,Stoploss Hit,1to4 Trail,1564.85,1559.6,1554.35,1549.1,1543.85,1538.6,1533.35,1528.1,1522.85,5.25,450,Mon,Oct,10558.75,10553.0,Up,03:08:00
1500.8,2018-11-14,10:06:00,1500.8,Sell,INDUSINDBK,,1439.75,,,,,,,,,,1495.25,10:00:00,-2497.5,Stoploss Hit,,1489.7,1484.15,1478.6,1473.05,1467.5,1461.95,1456.4,1450.85,1445.3,5.55,450,Wed,Nov,10568.3,10526.75,Up,00:06:00
1505.3,2018-11-19,09:47:00,1522.5,Buy,INDUSINDBK,4.3,1548.3,1509.6,1513.9,1518.2,1522.5,1526.8,1531.1,1535.4,1539.7,1544.0,1533.0,15:00:00,12465.0,Market Exit,1to4 trail,,,,,,,,,,,450,Mon,Nov,10708.75,10685.6,Up,05:13:00
1549.7,2018-11-26,10:13:00,1546.3,Buy,INDUSINDBK,3.4,1583.7,1553.1,1556.5,1559.9,1563.3,1566.7,1570.1,1573.5,1576.9,1580.3,1546.3,10:18:00,-1530.0,Stoploss Hit,,,,,,,,,,,,450,Mon,Nov,10708.75,10685.6,Up,00:05:00
1655.45,2018-12-03,14:05:00,1651.3,Buy,INDUSINDBK,4.15,1696.95,1659.6,1663.75,1667.9,1672.05,1676.2,1680.35,1684.5,1688.65,1692.8,1658.85,15:00:00,1530.0,Market Exit,,,,,,,,,,,,450,Mon,Dec,10913.2,10859.9,Up,00:55:00
1654.0,2018-12-04,09:53:00,1648.75,Buy,INDUSINDBK,5.25,1706.5,1659.25,1664.5,1669.75,1675.0,1680.25,1685.5,1690.75,1696.0,1701.25,1648.75,10:05:00,-2362.5,Stoploss Hit,,,,,,,,,,,,450,Tue,Dec,10718.15,10782.9,Down,00:12:00
1627.8,2018-12-17,10:39:00,1623.6,Buy,INDUSINDBK,4.2,1669.8,1632.0,1636.2,1640.4,1644.6,1648.8,1653.0,1657.2,1661.4,1665.6,1623.6,11:04:00,-1890.0,Stoploss Hit,,,,,,,,,,,,450,Mon,Dec,10850.9,10888.35,Down,00:25:00
1593.3,2018-12-19,09:53:00,1593.3,Sell,INDUSINDBK,,1561.0,,,,,,,,,,1641.0,10:11:00,21465.0,Stoploss Hit,Breakeven,1633.0,1625.0,1617.0,1609.0,1601.0,1593.0,1585.0,1577.0,1569.0,8.0,450,Wed,Dec,10786.1,10793.65,Down,1899-12-29 23:42:00
1610.0,2018-12-20,09:54:00,1617.3,Buy,INDUSINDBK,-7.3,1537.0,1602.7,1595.4,1588.1,1580.8,1573.5,1566.2,1558.9,1551.6,1544.3,1617.3,09:54:00,3285.0,Stoploss Hit,,,,,,,,,,,,450,Thu,Dec,10817.9,10729.85,Up,00:00:00
1615.0,2018-12-21,09:55:00,1615.0,Sell,INDUSINDBK,,1586.95,,,,,,,,,,1612.45,09:51:00,-1147.5,Stoploss Hit,,1609.9,1607.35,1604.8,1602.25,1599.7,1597.15,1594.6,1592.05,1589.5,2.55,450,Fri,Dec,10913.2,10859.9,Up,00:04:00
1566.0,2019-01-08,09:49:00,1562.55,Buy,INDUSINDBK,3.45,1600.5,1569.45,1572.9,1576.35,1579.8,1583.25,1586.7,1590.15,1593.6,1597.05,1562.55,10:13:00,-1552.5,Stoploss Hit,,,,,,,,,,,,450,Tue,Jan,10786.25,10771.8,Up,00:24:00
1492.9,2019-01-14,10:07:00,1492.9,Sell,INDUSINDBK,,1451.65,,,,,,,,,,1489.15,10:04:00,-1687.5,Stoploss Hit,,1485.4,1481.65,1477.9,1474.15,1470.4,1466.65,1462.9,1459.15,1455.4,3.75,450,Mon,Jan,10899.65,10886.8,Up,00:03:00
1527.25,2019-01-18,09:48:00,1523.5,Buy,INDUSINDBK,3.75,1564.75,1531.0,1534.75,1538.5,1542.25,1546.0,1549.75,1553.5,1557.25,1561.0,1523.5,09:52:00,-1687.5,Stoploss Hit,,,,,,,,,,,,450,Fri,Jan,10949.8,10961.85,Down,00:04:00
1514.9,2019-01-21,10:11:00,1510.4,Buy,INDUSINDBK,4.5,1559.9,1519.4,1523.9,1528.4,1532.9,1537.4,1541.9,1546.4,1550.9,1555.4,1510.4,10:31:00,-2025.0,Stoploss Hit,,,,,,,,,,,,450,Mon,Jan,10931.05,10922.75,Up,00:20:00
1518.0,2019-02-01,09:58:00,1514.4,Buy,INDUSINDBK,3.6,1554.0,1521.6,1525.2,1528.8,1532.4,1536.0,1539.6,1543.2,1546.8,1550.4,1514.4,10:39:00,-1620.0,Stoploss Hit,,,,,,,,,,,,450,Fri,Feb,10702.25,10652.2,Up,00:41:00
